"","Time","Boston","","Score","","Milwaukee"
"239","0:01.0","Personal foul by G. Antetokounmpo (drawn by G. Williams)","","45-48","",""
"240","0:01.0","G. Williams makes free throw 1 of 2","+1","46-48","",""
"241","0:01.0","D. Theis enters the game for A. Horford","","46-48","",""
"242","0:01.0","","","46-48","","G. Allen enters the game for P. Connaughton"
"243","0:01.0","","","46-48","","B. Portis enters the game for W. Matthews"
"244","0:01.0","G. Williams makes free throw 2 of 2","+1","47-48","",""
"245","0:00.0","","","47-48","","G. Antetokounmpo misses 3-pt jump shot from 63 ft"
"246","0:00.0","","","47-48","","Offensive rebound by Team"
"247","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"248","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"249","Time","Boston","","Score","","Milwaukee"
"250","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"251","11:45.0","G. Williams misses 3-pt jump shot from 26 ft","","47-48","",""
"252","11:42.0","","","47-48","","Defensive rebound by G. Antetokounmpo"
"253","11:36.0","","","47-50","+2","J. Holiday makes 2-pt layup from 1 ft"
"254","11:28.0","Shooting foul by W. Matthews (drawn by J. Tatum)","","47-50","",""
"255","11:28.0","J. Tatum makes free throw 1 of 2","+1","48-50","",""
"256","11:28.0","J. Tatum misses free throw 2 of 2","","48-50","",""
"257","11:26.0","","","48-50","","Defensive rebound by G. Antetokounmpo"
"258","11:16.0","","","48-50","","Shooting foul by J. Brown (drawn by B. Lopez)"
"259","11:16.0","","","48-51","+1","B. Lopez makes free throw 1 of 2"
"260","11:16.0","","","48-52","+1","B. Lopez makes free throw 2 of 2"
"261","11:01.0","Turnover by M. Smart (bad pass; steal by J. Holiday)","","48-52","",""
"262","10:56.0","","","48-54","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft"
"263","10:56.0","","","48-54","","Technical foul by G. Antetokounmpo"
"264","10:56.0","J. Tatum makes technical free throw","+1","49-54","",""
"265","10:37.0","A. Horford misses 2-pt jump shot from 9 ft","","49-54","",""
"266","10:34.0","","","49-54","","Defensive rebound by G. Antetokounmpo"
"267","10:28.0","","","49-54","","G. Antetokounmpo misses 3-pt jump shot from 27 ft"
"268","10:26.0","Defensive rebound by A. Horford","","49-54","",""
"269","10:24.0","G. Williams makes 2-pt dunk at rim (assist by A. Horford)","+2","51-54","",""
"270","10:07.0","","","51-54","","Personal foul by A. Horford (drawn by B. Lopez)"
"271","9:58.0","","","51-54","","J. Holiday misses 2-pt layup from 8 ft"
"272","9:56.0","Defensive rebound by G. Williams","","51-54","",""
"273","9:51.0","J. Brown misses 3-pt jump shot from 27 ft","","51-54","",""
"274","9:49.0","","","51-54","","Defensive rebound by G. Allen"
"275","9:40.0","","","51-57","+3","W. Matthews makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)"
"276","9:22.0","J. Tatum makes 2-pt layup from 1 ft","+2","53-57","",""
"277","9:03.0","","","53-57","","Shooting foul by J. Brown (drawn by G. Antetokounmpo)"
"278","9:03.0","","","53-58","+1","G. Antetokounmpo makes free throw 1 of 2"
"279","9:03.0","D. White enters the game for J. Brown","","53-58","",""
"280","9:03.0","","","53-58","","P. Connaughton enters the game for W. Matthews"
"281","9:03.0","","","53-59","+1","G. Antetokounmpo makes free throw 2 of 2"
"282","8:47.0","M. Smart misses 2-pt jump shot from 6 ft","","53-59","",""
"283","8:44.0","","","53-59","","Defensive rebound by J. Holiday"
"284","8:40.0","","","53-59","","Shooting foul by G. Williams (drawn by J. Holiday)"
"285","8:40.0","","","53-60","+1","J. Holiday makes free throw 1 of 2"
"286","8:40.0","","","53-61","+1","J. Holiday makes free throw 2 of 2"
"287","8:27.0","A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum)","+3","56-61","",""
"288","8:11.0","","","56-63","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"289","7:45.0","A. Horford misses 3-pt jump shot from 27 ft","","56-63","",""
"290","7:41.0","Offensive rebound by J. Tatum","","56-63","",""
"291","7:41.0","J. Tatum misses 2-pt layup at rim","","56-63","",""
"292","7:40.0","Offensive rebound by J. Tatum","","56-63","",""
"293","7:39.0","J. Tatum makes 2-pt layup from 3 ft","+2","58-63","",""
"294","7:26.0","","","58-63","","G. Antetokounmpo misses 2-pt jump shot from 16 ft"
"295","7:26.0","Defensive rebound by Team","","58-63","",""
"296","7:07.0","J. Tatum makes 3-pt jump shot from 27 ft","+3","61-63","",""
"297","7:01.0","","","61-63","","Milwaukee full timeout"
"298","7:01.0","","","61-63","","G. Hill enters the game for G. Allen"
"299","7:01.0","","","61-63","","B. Portis enters the game for B. Lopez"
"300","6:41.0","","","61-63","","J. Holiday misses 3-pt jump shot from 25 ft"
"301","6:37.0","Defensive rebound by J. Tatum","","61-63","",""
"302","6:32.0","J. Tatum misses 2-pt layup from 3 ft","","61-63","",""
"303","6:32.0","","","61-63","","Defensive rebound by G. Hill"
"304","6:32.0","","","61-63","","Personal foul by D. White (drawn by G. Hill)"
"305","6:32.0","","","61-64","+1","G. Hill makes free throw 1 of 2"
"306","6:32.0","","","61-65","+1","G. Hill makes free throw 2 of 2"
"307","6:17.0","J. Tatum misses 2-pt jump shot from 15 ft","","61-65","",""
"308","6:15.0","","","61-65","","Defensive rebound by G. Antetokounmpo"
"309","6:09.0","","","61-67","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"310","5:55.0","M. Smart makes 2-pt layup from 1 ft (assist by J. Tatum)","+2","63-67","",""
"311","5:44.0","","","63-67","","J. Holiday misses 2-pt hook shot from 6 ft"
"312","5:44.0","","","63-67","","Offensive rebound by Team"
"313","5:35.0","","","63-67","","G. Antetokounmpo misses 2-pt jump shot from 11 ft"
"314","5:32.0","Defensive rebound by G. Williams","","63-67","",""
"315","5:21.0","J. Tatum misses 2-pt layup from 2 ft","","63-67","",""
"316","5:18.0","","","63-67","","Defensive rebound by P. Connaughton"
"317","5:03.0","","","63-69","+2","B. Portis makes 2-pt hook shot from 11 ft (assist by G. Hill)"
"318","4:49.0","G. Williams makes 2-pt jump shot from 20 ft (assist by M. Smart)","+2","65-69","",""
"319","4:26.0","","","65-71","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"320","4:06.0","J. Tatum misses 2-pt jump shot from 6 ft","","65-71","",""
"321","4:03.0","","","65-71","","Defensive rebound by P. Connaughton"
"322","4:01.0","","","65-71","","Shooting foul by G. Williams (drawn by G. Antetokounmpo)"
"323","4:01.0","","","65-71","","G. Antetokounmpo misses free throw 1 of 2"
"324","4:01.0","","","65-71","","Offensive rebound by Team"
"325","4:01.0","D. Theis enters the game for A. Horford","","65-71","",""
"326","4:01.0","","","65-71","","G. Allen enters the game for J. Holiday"
"327","4:01.0","","","65-71","","B. Lopez enters the game for B. Portis"
"328","4:01.0","","","65-71","","G. Antetokounmpo misses free throw 2 of 2"
"329","4:01.0","","","65-71","","Offensive rebound by B. Lopez"
"330","4:00.0","","","65-73","+2","B. Lopez makes 2-pt layup at rim"
"331","3:44.0","D. White misses 3-pt jump shot from 28 ft","","65-73","",""
"332","3:44.0","","","65-73","","Defensive rebound by Team"
"333","3:44.0","Loose ball foul by G. Williams (drawn by G. Antetokounmpo)","","65-73","",""
"334","3:44.0","","","65-73","","G. Antetokounmpo misses free throw 1 of 2"
"335","3:44.0","","","65-73","","Offensive rebound by Team"
"336","3:44.0","J. Brown enters the game for M. Smart","","65-73","",""
"337","3:44.0","A. Horford enters the game for G. Williams","","65-73","",""
"338","3:44.0","","","65-74","+1","G. Antetokounmpo makes free throw 2 of 2"
"339","3:23.0","D. Theis misses 2-pt jump shot from 11 ft","","65-74","",""
"340","3:20.0","","","65-74","","Defensive rebound by G. Antetokounmpo"
"341","3:13.0","","","65-76","+2","G. Antetokounmpo makes 2-pt hook shot from 15 ft"
"342","3:13.0","Boston full timeout","","65-76","",""
"343","3:13.0","","","65-76","","J. Holiday enters the game for P. Connaughton"
"344","3:13.0","","","65-76","","W. Matthews enters the game for G. Hill"
"345","3:03.0","Personal foul by W. Matthews (drawn by J. Tatum)","","65-76","",""
"346","3:03.0","","","65-76","","G. Hill enters the game for W. Matthews"
"347","2:53.0","J. Brown makes 3-pt jump shot from 23 ft (assist by J. Tatum)","+3","68-76","",""
"348","2:43.0","","","68-78","+2","J. Holiday makes 2-pt layup from 1 ft"
