"","Time","Chicago","","Score","","Milwaukee"
"2","12:00.0","Jump ball: N. Vucevic vs. B. Lopez (W. Matthews gains possession)","Jump ball: N. Vucevic vs. B. Lopez (W. Matthews gains possession)","Jump ball: N. Vucevic vs. B. Lopez (W. Matthews gains possession)","Jump ball: N. Vucevic vs. B. Lopez (W. Matthews gains possession)","Jump ball: N. Vucevic vs. B. Lopez (W. Matthews gains possession)"
"3","11:41.0","","","0-0","","Shooting foul by A. Caruso (drawn by B. Lopez)"
"4","11:41.0","","","0-1","+1","B. Lopez makes free throw 1 of 2"
"5","11:41.0","","","0-2","+1","B. Lopez makes free throw 2 of 2"
"6","11:24.0","Z. LaVine misses 2-pt layup from 1 ft","","0-2","",""
"7","11:22.0","","","0-2","","Defensive rebound by G. Antetokounmpo"
"8","11:08.0","","","0-4","+2","B. Lopez makes 2-pt layup from 1 ft (assist by J. Holiday)"
"9","10:56.0","D. DeRozan misses 2-pt jump shot from 17 ft","","0-4","",""
"10","10:53.0","","","0-4","","Defensive rebound by G. Antetokounmpo"
"11","10:47.0","","","0-6","+2","G. Antetokounmpo makes 2-pt layup from 4 ft"
"12","10:34.0","D. DeRozan misses 2-pt jump shot from 20 ft","","0-6","",""
"13","10:31.0","","","0-6","","Defensive rebound by G. Antetokounmpo"
"14","10:27.0","","","0-9","+3","G. Antetokounmpo makes 3-pt jump shot from 27 ft"
"15","10:27.0","Chicago full timeout","","0-9","",""
"16","10:12.0","N. Vucevic makes 3-pt jump shot from 27 ft (assist by A. Caruso)","+3","3-9","",""
"17","9:55.0","","","3-9","","Turnover by W. Matthews (step out of bounds)"
"18","9:45.0","N. Vucevic misses 2-pt layup from 2 ft","","3-9","",""
"19","9:42.0","","","3-9","","Defensive rebound by W. Matthews"
"20","9:33.0","","","3-11","+2","K. Middleton makes 2-pt jump shot from 13 ft"
"21","9:10.0","D. DeRozan makes 2-pt jump shot from 23 ft (assist by Z. LaVine)","+2","5-11","",""
"22","8:57.0","","","5-11","","B. Lopez misses 3-pt jump shot from 29 ft"
"23","8:54.0","Defensive rebound by N. Vucevic","","5-11","",""
"24","8:50.0","N. Vucevic misses 3-pt jump shot from 26 ft","","5-11","",""
"25","8:47.0","","","5-11","","Defensive rebound by G. Antetokounmpo"
"26","8:38.0","","","5-11","","K. Middleton misses 3-pt jump shot from 28 ft"
"27","8:36.0","Defensive rebound by A. Caruso","","5-11","",""
"28","8:22.0","A. Caruso misses 3-pt jump shot from 23 ft","","5-11","",""
"29","8:17.0","Offensive rebound by N. Vucevic","","5-11","",""
"30","8:17.0","N. Vucevic misses 2-pt layup at rim","","5-11","",""
"31","8:17.0","","","5-11","","Defensive rebound by W. Matthews"
"32","7:58.0","","","5-11","","G. Antetokounmpo misses 3-pt jump shot from 27 ft"
"33","7:54.0","","","5-11","","Offensive rebound by J. Holiday"
"34","7:46.0","","","5-14","+3","B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo)"
"35","7:20.0","Z. LaVine misses 3-pt jump shot from 28 ft","","5-14","",""
"36","7:17.0","Offensive rebound by A. Caruso","","5-14","",""
"37","7:14.0","A. Caruso misses 3-pt jump shot from 24 ft","","5-14","",""
"38","7:14.0","","","5-14","","Defensive rebound by G. Antetokounmpo"
"39","7:04.0","","","5-14","","J. Holiday misses 2-pt layup from 4 ft"
"40","7:02.0","","","5-14","","Offensive rebound by G. Antetokounmpo"
"41","7:01.0","","","5-16","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft"
"42","6:36.0","N. Vucevic misses 2-pt jump shot from 15 ft","","5-16","",""
"43","6:33.0","","","5-16","","Defensive rebound by G. Antetokounmpo"
"44","6:29.0","","","5-18","+2","G. Antetokounmpo makes 2-pt layup from 4 ft"
"45","6:18.0","Shooting foul by W. Matthews (drawn by D. DeRozan)","","5-18","",""
"46","6:18.0","D. DeRozan makes free throw 1 of 2","+1","6-18","",""
"47","6:18.0","","","6-18","","G. Allen enters the game for J. Holiday"
"48","6:18.0","D. DeRozan makes free throw 2 of 2","+1","7-18","",""
"49","6:03.0","","","7-21","+3","W. Matthews makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)"
"50","5:54.0","Z. LaVine makes 2-pt layup from 1 ft","+2","9-21","",""
"51","5:37.0","","","9-21","","W. Matthews misses 3-pt jump shot from 26 ft"
"52","5:34.0","Defensive rebound by N. Vucevic","","9-21","",""
"53","5:29.0","Z. LaVine misses 3-pt jump shot from 27 ft","","9-21","",""
"54","5:26.0","","","9-21","","Defensive rebound by G. Allen"
"55","5:23.0","","","9-21","","Milwaukee full timeout"
"56","5:23.0","J. Green enters the game for A. Caruso","","9-21","",""
"57","5:23.0","T. Thompson enters the game for N. Vucevic","","9-21","",""
"58","5:23.0","C. White enters the game for P. Williams","","9-21","",""
"59","5:23.0","","","9-21","","J. Holiday enters the game for G. Antetokounmpo"
"60","5:23.0","","","9-21","","B. Portis enters the game for W. Matthews"
"61","5:14.0","","","9-21","","B. Lopez misses 3-pt jump shot from 27 ft"
"62","5:09.0","Defensive rebound by Z. LaVine","","9-21","",""
"63","5:02.0","Turnover by D. DeRozan (bad pass; steal by J. Holiday)","","9-21","",""
"64","4:59.0","","","9-21","","J. Holiday misses 3-pt jump shot from 27 ft"
"65","4:59.0","","","9-21","","Offensive rebound by Team"
"66","4:59.0","Loose ball foul by Z. LaVine (drawn by B. Portis)","","9-21","",""
"67","4:51.0","","","9-23","+2","B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton)"
"68","4:37.0","D. DeRozan makes 2-pt jump shot from 14 ft","+2","11-23","",""
"69","4:21.0","","","11-25","+2","B. Lopez makes 2-pt jump shot from 11 ft (assist by K. Middleton)"
"70","4:07.0","D. DeRozan misses 2-pt jump shot from 20 ft","","11-25","",""
"71","4:03.0","","","11-25","","Defensive rebound by B. Portis"
"72","4:00.0","","","11-25","","Turnover by K. Middleton (traveling)"
"73","3:49.0","Z. LaVine makes 2-pt jump shot from 3 ft","+2","13-25","",""
"74","3:37.0","","","13-27","+2","J. Holiday makes 2-pt jump shot from 8 ft"
"75","3:21.0","D. DeRozan misses 3-pt jump shot from 24 ft","","13-27","",""
"76","3:16.0","Offensive rebound by T. Thompson","","13-27","",""
"77","3:16.0","T. Thompson makes 2-pt layup at rim","+2","15-27","",""
"78","3:01.0","","","15-27","","B. Portis misses 3-pt jump shot from 25 ft"
"79","3:01.0","Defensive rebound by D. DeRozan","","15-27","",""
"80","3:01.0","Personal foul by G. Allen (drawn by D. DeRozan)","","15-27","",""
"81","3:01.0","A. Dosunmu enters the game for D. DeRozan","","15-27","",""
"82","3:01.0","N. Vucevic enters the game for T. Thompson","","15-27","",""
"83","3:01.0","","","15-27","","G. Antetokounmpo enters the game for B. Lopez"
"84","3:01.0","","","15-27","","P. Connaughton enters the game for K. Middleton"
"85","2:45.0","C. White misses 3-pt jump shot from 27 ft (block by G. Allen)","","15-27","",""
"86","2:41.0","","","15-27","","Defensive rebound by G. Antetokounmpo"
"87","2:29.0","","","15-27","","J. Holiday misses 3-pt jump shot from 28 ft"
"88","2:26.0","Defensive rebound by Z. LaVine","","15-27","",""
"89","2:23.0","A. Dosunmu misses 3-pt jump shot from 26 ft","","15-27","",""
"90","2:21.0","Offensive rebound by N. Vucevic","","15-27","",""
"91","2:21.0","Shooting foul by G. Allen (drawn by N. Vucevic)","","15-27","",""
"92","2:21.0","N. Vucevic misses free throw 1 of 2","","15-27","",""
"93","2:21.0","Offensive rebound by Team","","15-27","",""
"94","2:21.0","N. Vucevic makes free throw 2 of 2","+1","16-27","",""
"95","2:01.0","","","16-27","","P. Connaughton misses 3-pt jump shot from 28 ft"
"96","1:58.0","","","16-27","","Offensive rebound by B. Portis"
"97","1:57.0","","","16-29","+2","B. Portis makes 2-pt jump shot from 8 ft"
"98","1:43.0","Turnover by A. Dosunmu (back court)","","16-29","",""
"99","1:43.0","D. DeRozan enters the game for Z. LaVine","","16-29","",""
"100","1:24.0","","","16-32","+3","B. Portis makes 3-pt jump shot from 28 ft (assist by J. Holiday)"
"101","1:07.0","Personal foul by J. Holiday (drawn by D. DeRozan)","","16-32","",""
"102","1:07.0","","","16-32","","J. Carter enters the game for G. Allen"
"103","0:59.0","Turnover by D. DeRozan (bad pass; steal by J. Holiday)","","16-32","",""
"104","0:53.0","","","16-32","","J. Carter misses 3-pt jump shot from 25 ft"
"105","0:50.0","Defensive rebound by N. Vucevic","","16-32","",""
"106","0:42.0","N. Vucevic misses 3-pt jump shot from 26 ft","","16-32","",""
"107","0:39.0","Offensive rebound by A. Dosunmu","","16-32","",""
"108","0:38.0","C. White makes 3-pt jump shot from 26 ft (assist by A. Dosunmu)","+3","19-32","",""
"109","0:27.0","","","19-34","+2","J. Holiday makes 2-pt dunk from 3 ft (assist by B. Portis)"
"110","0:07.0","N. Vucevic makes 2-pt hook shot from 9 ft (assist by D. DeRozan)","+2","21-34","",""
"111","0:02.0","","","21-34","","Personal take foul by J. Green (drawn by G. Antetokounmpo)"
"112","0:02.0","","","21-34","","K. Middleton enters the game for J. Carter"
"113","0:00.0","","","21-34","","K. Middleton misses 2-pt jump shot from 20 ft"
"114","0:00.0","","","21-34","","Offensive rebound by Team"
"115","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"116","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"117","Time","Chicago","","Score","","Milwaukee"
"118","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"119","11:49.0","C. White misses 2-pt jump shot from 17 ft","","21-34","",""
"120","11:46.0","","","21-34","","Defensive rebound by G. Antetokounmpo"
"121","11:32.0","","","21-34","","G. Allen misses 3-pt jump shot from 23 ft"
"122","11:29.0","Defensive rebound by Z. LaVine","","21-34","",""
"123","11:15.0","N. Vucevic makes 2-pt jump shot from 6 ft (assist by D. DeRozan)","+2","23-34","",""
"124","11:03.0","","","23-34","","Personal foul by D. DeRozan (drawn by K. Middleton)"
"125","11:03.0","A. Caruso enters the game for C. White","","23-34","",""
"126","10:59.0","","","23-36","+2","G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton)"
"127","10:43.0","Z. LaVine misses 2-pt layup from 4 ft (block by G. Antetokounmpo)","","23-36","",""
"128","10:40.0","","","23-36","","Defensive rebound by P. Connaughton"
"129","10:31.0","","","23-36","","K. Middleton misses 2-pt layup from 1 ft"
"130","10:29.0","Defensive rebound by D. DeRozan","","23-36","",""
"131","10:22.0","Personal foul by K. Middleton (drawn by D. DeRozan)","","23-36","",""
"132","10:22.0","D. Jones enters the game for N. Vucevic","","23-36","",""
"133","10:22.0","","","23-36","","J. Carter enters the game for J. Holiday"
"134","10:09.0","D. DeRozan makes 2-pt jump shot from 19 ft","+2","25-36","",""
"135","9:50.0","","","25-36","","Offensive foul by G. Antetokounmpo (drawn by D. DeRozan)"
"136","9:50.0","","","25-36","","Turnover by G. Antetokounmpo (offensive foul)"
"137","9:50.0","Chicago full timeout","","25-36","",""
"138","9:50.0","","","25-36","","W. Matthews enters the game for G. Allen"
"139","9:39.0","D. DeRozan makes 2-pt jump shot from 18 ft","+2","27-36","",""
"140","9:22.0","","","27-36","","P. Connaughton misses 2-pt layup from 1 ft"
"141","9:22.0","","","27-36","","Offensive rebound by Team"
