"","Time","Chicago","","Score","","Milwaukee"
"142","9:22.0","Loose ball foul by A. Caruso (drawn by G. Antetokounmpo)","","27-36","",""
"143","9:10.0","","","27-36","","K. Middleton misses 3-pt jump shot from 27 ft"
"144","9:07.0","Defensive rebound by D. DeRozan","","27-36","",""
"145","8:58.0","Turnover by D. DeRozan (lost ball; steal by K. Middleton)","","27-36","",""
"146","8:51.0","","","27-36","","G. Antetokounmpo misses 2-pt layup from 5 ft"
"147","8:45.0","","","27-36","","Offensive rebound by G. Antetokounmpo"
"148","8:45.0","","","27-38","+2","G. Antetokounmpo makes 2-pt dunk at rim"
"149","8:41.0","A. Caruso misses 3-pt jump shot from 27 ft","","27-38","",""
"150","8:38.0","","","27-38","","Defensive rebound by W. Matthews"
"151","8:26.0","","","27-38","","K. Middleton misses 3-pt jump shot from 27 ft"
"152","8:25.0","","","27-38","","Offensive rebound by G. Antetokounmpo"
"153","8:25.0","","","27-38","","Shooting foul by Z. LaVine (drawn by G. Antetokounmpo)"
"154","8:25.0","","","27-38","","G. Antetokounmpo misses free throw 1 of 2"
"155","8:25.0","","","27-38","","Offensive rebound by Team"
"156","8:25.0","N. Vucevic enters the game for J. Green","","27-38","",""
"157","8:25.0","P. Williams enters the game for D. Jones","","27-38","",""
"158","8:25.0","","","27-38","","B. Lopez enters the game for P. Connaughton"
"159","8:25.0","","","27-38","","G. Antetokounmpo misses free throw 2 of 2"
"160","8:22.0","Defensive rebound by Z. LaVine","","27-38","",""
"161","8:18.0","Shooting foul by G. Antetokounmpo (drawn by P. Williams)","","27-38","",""
"162","8:18.0","P. Williams misses free throw 1 of 2","","27-38","",""
"163","8:18.0","Offensive rebound by Team","","27-38","",""
"164","8:18.0","","","27-38","","B. Portis enters the game for G. Antetokounmpo"
"165","8:18.0","P. Williams makes free throw 2 of 2","+1","28-38","",""
"166","8:02.0","","","28-38","","Offensive foul by B. Lopez (drawn by D. DeRozan)"
"167","8:02.0","","","28-38","","Turnover by B. Lopez (offensive foul)"
"168","7:50.0","D. DeRozan misses 2-pt jump shot from 19 ft","","28-38","",""
"169","7:47.0","","","28-38","","Defensive rebound by B. Portis"
"170","7:39.0","","","28-41","+3","J. Carter makes 3-pt jump shot from 23 ft (assist by K. Middleton)"
"171","7:23.0","A. Caruso makes 2-pt layup from 2 ft (assist by N. Vucevic)","+2","30-41","",""
"172","7:09.0","","","30-43","+2","K. Middleton makes 2-pt jump shot from 19 ft"
"173","6:47.0","N. Vucevic misses 3-pt jump shot from 26 ft","","30-43","",""
"174","6:44.0","","","30-43","","Defensive rebound by B. Portis"
"175","6:34.0","","","30-43","","Turnover by K. Middleton (bad pass; steal by D. DeRozan)"
"176","6:29.0","Shooting foul by B. Portis (drawn by P. Williams)","","30-43","",""
"177","6:29.0","C. White enters the game for A. Caruso","","30-43","",""
"178","6:29.0","","","30-43","","J. Holiday enters the game for W. Matthews"
"179","6:29.0","P. Williams makes free throw 1 of 2","+1","31-43","",""
"180","6:29.0","P. Williams makes free throw 2 of 2","+1","32-43","",""
"181","6:13.0","","","32-43","","Turnover by K. Middleton (bad pass; steal by P. Williams)"
"182","6:13.0","Turnover by P. Williams (step out of bounds)","","32-43","",""
"183","6:13.0","","","32-43","","W. Matthews enters the game for J. Carter"
"184","6:07.0","","","32-43","","K. Middleton misses 3-pt jump shot from 23 ft"
"185","6:07.0","","","32-43","","Offensive rebound by B. Portis"
"186","6:07.0","","","32-43","","Shooting foul by P. Williams (drawn by B. Portis)"
"187","6:07.0","","","32-43","","B. Portis misses free throw 1 of 2"
"188","6:07.0","","","32-43","","Offensive rebound by Team"
"189","6:07.0","","","32-43","","G. Allen enters the game for K. Middleton"
"190","6:07.0","","","32-44","+1","B. Portis makes free throw 2 of 2"
"191","5:52.0","Shooting foul by W. Matthews (drawn by D. DeRozan)","","32-44","",""
"192","5:52.0","D. DeRozan makes free throw 1 of 2","+1","33-44","",""
"193","5:52.0","D. DeRozan makes free throw 2 of 2","+1","34-44","",""
"194","5:38.0","","","34-44","","B. Portis misses 2-pt jump shot from 5 ft"
"195","5:36.0","Defensive rebound by P. Williams","","34-44","",""
"196","5:29.0","D. DeRozan misses 2-pt jump shot from 20 ft","","34-44","",""
"197","5:26.0","","","34-44","","Defensive rebound by B. Portis"
"198","5:18.0","","","34-44","","J. Holiday misses 2-pt jump shot from 17 ft"
"199","5:16.0","Defensive rebound by C. White","","34-44","",""
"200","4:58.0","Z. LaVine makes 3-pt jump shot from 26 ft (assist by N. Vucevic)","+3","37-44","",""
"201","4:36.0","","","37-44","","J. Holiday misses 2-pt jump shot from 9 ft"
"202","4:34.0","Defensive rebound by P. Williams","","37-44","",""
"203","4:27.0","Personal foul by J. Holiday (drawn by Z. LaVine)","","37-44","",""
"204","4:27.0","Z. LaVine makes free throw 1 of 2","+1","38-44","",""
"205","4:27.0","A. Caruso enters the game for D. DeRozan","","38-44","",""
"206","4:27.0","","","38-44","","G. Antetokounmpo enters the game for W. Matthews"
"207","4:27.0","Z. LaVine makes free throw 2 of 2","+1","39-44","",""
"208","4:15.0","","","39-46","+2","G. Antetokounmpo makes 2-pt jump shot from 11 ft (assist by J. Holiday)"
"209","3:57.0","N. Vucevic misses 3-pt jump shot from 27 ft","","39-46","",""
"210","3:55.0","","","39-46","","Defensive rebound by G. Allen"
"211","3:50.0","","","39-46","","Personal foul by C. White (drawn by G. Antetokounmpo)"
"212","3:50.0","","","39-47","+1","G. Antetokounmpo makes free throw 1 of 2"
"213","3:50.0","","","39-47","","G. Antetokounmpo misses free throw 2 of 2"
"214","3:47.0","","","39-47","","Offensive rebound by B. Lopez"
"215","3:43.0","","","39-47","","B. Lopez misses 2-pt hook shot from 6 ft (block by N. Vucevic)"
"216","3:40.0","Defensive rebound by N. Vucevic","","39-47","",""
"217","3:32.0","Z. LaVine misses 3-pt jump shot from 28 ft","","39-47","",""
"218","3:28.0","","","39-47","","Defensive rebound by G. Allen"
"219","3:17.0","","","39-47","","G. Antetokounmpo misses 2-pt jump shot from 7 ft"
"220","3:14.0","Defensive rebound by A. Caruso","","39-47","",""
"221","3:14.0","D. DeRozan enters the game for C. White","","39-47","",""
"222","2:58.0","D. DeRozan misses 2-pt jump shot from 12 ft","","39-47","",""
"223","2:56.0","Offensive rebound by N. Vucevic","","39-47","",""
"224","2:42.0","D. DeRozan misses 2-pt jump shot from 14 ft","","39-47","",""
"225","2:40.0","","","39-47","","Defensive rebound by B. Lopez"
"226","2:33.0","","","39-47","","G. Antetokounmpo misses 2-pt jump shot from 10 ft"
"227","2:31.0","Defensive rebound by Z. LaVine","","39-47","",""
"228","2:28.0","Shooting foul by G. Allen (drawn by Z. LaVine)","","39-47","",""
"229","2:28.0","","","39-47","","Milwaukee full timeout"
"230","2:28.0","","","39-47","","P. Connaughton enters the game for G. Allen"
"231","2:28.0","","","39-47","","K. Middleton enters the game for B. Lopez"
"232","2:28.0","Z. LaVine makes free throw 1 of 2","+1","40-47","",""
"233","2:28.0","Z. LaVine makes free throw 2 of 2","+1","41-47","",""
"234","2:07.0","","","41-47","","Turnover by K. Middleton (bad pass; steal by D. DeRozan)"
"235","1:55.0","Turnover by Z. LaVine (bad pass)","","41-47","",""
"236","1:37.0","","","41-47","","P. Connaughton misses 3-pt jump shot from 27 ft"
"237","1:35.0","Defensive rebound by D. DeRozan","","41-47","",""
"238","1:25.0","P. Williams misses 3-pt jump shot from 27 ft","","41-47","",""
"239","1:21.0","","","41-47","","Defensive rebound by J. Holiday"
"240","1:14.0","","","41-50","+3","P. Connaughton makes 3-pt jump shot from 23 ft (assist by J. Holiday)"
"241","0:50.0","Shooting foul by B. Portis (drawn by N. Vucevic)","","41-50","",""
"242","0:50.0","N. Vucevic makes free throw 1 of 2","+1","42-50","",""
"243","0:50.0","J. Green enters the game for P. Williams","","42-50","",""
"244","0:50.0","","","42-50","","B. Lopez enters the game for B. Portis"
"245","0:50.0","N. Vucevic makes free throw 2 of 2","+1","43-50","",""
"246","0:30.0","","","43-50","","J. Holiday misses 2-pt jump shot from 20 ft (block by Z. LaVine)"
"247","0:26.0","Defensive rebound by J. Green","","43-50","",""
"248","0:24.0","Z. LaVine misses 2-pt layup from 4 ft","","43-50","",""
"249","0:20.0","","","43-50","","Defensive rebound by P. Connaughton"
"250","0:00.0","","","43-50","","P. Connaughton misses 3-pt jump shot from 23 ft"
"251","0:00.0","","","43-50","","Offensive rebound by Team"
"252","0:00.0","Loose ball foul by Z. LaVine (drawn by G. Antetokounmpo)","","43-50","",""
"253","0:00.0","","","43-51","+1","G. Antetokounmpo makes free throw 1 of 2"
"254","0:00.0","","","43-51","","J. Carter enters the game for J. Holiday"
"255","0:00.0","","","43-51","","G. Antetokounmpo misses free throw 2 of 2"
"256","0:00.0","","","43-51","","Offensive rebound by Team"
"257","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"258","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"259","Time","Chicago","","Score","","Milwaukee"
"260","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"261","11:41.0","N. Vucevic makes 2-pt jump shot from 15 ft (assist by Z. LaVine)","+2","45-51","",""
"262","11:35.0","","","45-53","+2","K. Middleton makes 2-pt layup from 2 ft"
"263","11:35.0","Chicago full timeout","","45-53","",""
"264","11:22.0","D. DeRozan makes 2-pt jump shot from 11 ft","+2","47-53","",""
"265","11:02.0","","","47-53","","J. Holiday misses 2-pt jump shot from 10 ft"
"266","10:59.0","Defensive rebound by Z. LaVine","","47-53","",""
"267","10:57.0","Personal foul by J. Holiday (drawn by A. Caruso)","","47-53","",""
"268","10:43.0","Z. LaVine makes 2-pt jump shot from 16 ft","+2","49-53","",""
"269","10:26.0","","","49-53","","K. Middleton misses 3-pt jump shot from 28 ft"
"270","10:24.0","Defensive rebound by N. Vucevic","","49-53","",""
"271","10:17.0","N. Vucevic misses 3-pt jump shot from 26 ft","","49-53","",""
"272","10:14.0","","","49-53","","Defensive rebound by J. Holiday"
"273","10:04.0","","","49-56","+3","K. Middleton makes 3-pt jump shot from 26 ft (assist by W. Matthews)"
"274","9:46.0","D. DeRozan misses 2-pt jump shot from 10 ft","","49-56","",""
"275","9:43.0","","","49-56","","Defensive rebound by W. Matthews"
"276","9:38.0","","","49-56","","G. Antetokounmpo misses 3-pt jump shot from 26 ft"
"277","9:37.0","Defensive rebound by Team","","49-56","",""
"278","9:37.0","","","49-56","","Loose ball foul by K. Middleton (drawn by D. DeRozan)"
"279","9:25.0","N. Vucevic makes 2-pt layup from 1 ft (assist by D. DeRozan)","+2","51-56","",""
"280","9:19.0","","","51-56","","Shooting foul by D. DeRozan (drawn by G. Antetokounmpo)"
"281","9:19.0","","","51-57","+1","G. Antetokounmpo makes free throw 1 of 2"
"282","9:19.0","","","51-57","","G. Antetokounmpo misses free throw 2 of 2"
"283","9:15.0","Defensive rebound by D. DeRozan","","51-57","",""
"284","9:05.0","Z. LaVine makes 3-pt jump shot from 27 ft (assist by D. DeRozan)","+3","54-57","",""
"285","8:45.0","","","54-57","","G. Antetokounmpo misses 2-pt jump shot from 15 ft"
"286","8:42.0","Defensive rebound by N. Vucevic","","54-57","",""
"287","8:30.0","P. Williams misses 3-pt jump shot from 24 ft","","54-57","",""
"288","8:30.0","","","54-57","","Defensive rebound by Team"
"289","8:17.0","","","54-60","+3","W. Matthews makes 3-pt jump shot from 23 ft (assist by K. Middleton)"
"290","8:05.0","Offensive foul by N. Vucevic (drawn by W. Matthews)","","54-60","",""
"291","8:05.0","Turnover by N. Vucevic (offensive foul)","","54-60","",""
"292","7:51.0","","","54-60","","Shooting foul by A. Caruso (drawn by G. Antetokounmpo)"
"293","7:51.0","","","54-61","+1","G. Antetokounmpo makes free throw 1 of 2"
"294","7:51.0","J. Green enters the game for P. Williams","","54-61","",""
"295","7:51.0","","","54-62","+1","G. Antetokounmpo makes free throw 2 of 2"
"296","7:28.0","Z. LaVine makes 2-pt jump shot from 17 ft","+2","56-62","",""
"297","7:08.0","","","56-62","","B. Lopez misses 3-pt jump shot from 23 ft"
"298","7:04.0","Defensive rebound by Z. LaVine","","56-62","",""
"299","6:52.0","N. Vucevic misses 2-pt jump shot from 18 ft","","56-62","",""
"300","6:50.0","Offensive rebound by J. Green","","56-62","",""
"301","6:49.0","J. Green misses 2-pt layup from 2 ft (block by G. Antetokounmpo)","","56-62","",""
"302","6:49.0","","","56-62","","Defensive rebound by G. Antetokounmpo"
"303","6:43.0","","","56-62","","Turnover by G. Antetokounmpo (bad pass; steal by N. Vucevic)"
"304","6:41.0","Offensive foul by Z. LaVine (drawn by K. Middleton)","","56-62","",""
"305","6:41.0","Turnover by Z. LaVine (offensive foul)","","56-62","",""
"306","6:41.0","","","56-62","","G. Allen enters the game for J. Holiday"
"307","6:30.0","","","56-64","+2","G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton)"
"308","6:14.0","Z. LaVine misses 3-pt jump shot from 27 ft","","56-64","",""
"309","6:11.0","","","56-64","","Defensive rebound by B. Lopez"
"310","5:53.0","","","56-64","","G. Antetokounmpo misses 3-pt jump shot from 25 ft"
"311","5:50.0","Defensive rebound by Z. LaVine","","56-64","",""
"312","5:43.0","N. Vucevic misses 2-pt layup from 2 ft","","56-64","",""
"313","5:43.0","Offensive rebound by N. Vucevic","","56-64","",""
"314","5:43.0","N. Vucevic makes 2-pt layup from 3 ft","+2","58-64","",""
"315","5:43.0","Shooting foul by G. Antetokounmpo (drawn by N. Vucevic)","","58-64","",""
"316","5:43.0","","","58-64","","Milwaukee full timeout"
"317","5:43.0","A. Dosunmu enters the game for A. Caruso","","58-64","",""
"318","5:43.0","C. White enters the game for Z. LaVine","","58-64","",""
"319","5:43.0","","","58-64","","J. Holiday enters the game for G. Antetokounmpo"
"320","5:43.0","","","58-64","","B. Portis enters the game for W. Matthews"
"321","5:43.0","N. Vucevic makes free throw 1 of 1","+1","59-64","",""
"322","5:29.0","","","59-64","","Turnover by J. Holiday (traveling)"
"323","5:11.0","N. Vucevic makes 2-pt hook shot from 7 ft","+2","61-64","",""
"324","4:58.0","","","61-64","","K. Middleton misses 3-pt jump shot from 26 ft"
"325","4:56.0","Defensive rebound by N. Vucevic","","61-64","",""
"326","4:40.0","N. Vucevic makes 3-pt jump shot from 27 ft (assist by D. DeRozan)","+3","64-64","",""
"327","4:25.0","","","64-64","","B. Lopez misses 2-pt jump shot from 10 ft"
"328","4:23.0","Defensive rebound by C. White","","64-64","",""
"329","4:13.0","D. DeRozan misses 2-pt layup from 3 ft (block by B. Lopez)","","64-64","",""
"330","4:10.0","","","64-64","","Defensive rebound by B. Portis"
"331","4:02.0","","","64-64","","G. Allen misses 3-pt jump shot from 23 ft"
"332","4:02.0","Defensive rebound by N. Vucevic","","64-64","",""
"333","3:47.0","N. Vucevic misses 3-pt jump shot from 26 ft","","64-64","",""
"334","3:44.0","","","64-64","","Defensive rebound by B. Portis"
"335","3:41.0","","","64-64","","Offensive foul by B. Lopez (drawn by J. Green)"
"336","3:41.0","","","64-64","","Turnover by B. Lopez (offensive foul)"
"337","3:41.0","T. Thompson enters the game for N. Vucevic","","64-64","",""
"338","3:41.0","","","64-64","","P. Connaughton enters the game for B. Lopez"
"339","3:29.0","D. DeRozan misses 2-pt jump shot from 20 ft","","64-64","",""
"340","3:26.0","","","64-64","","Defensive rebound by J. Holiday"
"341","3:23.0","","","64-64","","Turnover by K. Middleton (bad pass)"
"342","3:11.0","C. White makes 3-pt jump shot from 29 ft (assist by D. DeRozan)","+3","67-64","",""
"343","2:57.0","","","67-64","","P. Connaughton misses 3-pt jump shot from 24 ft"
"344","2:55.0","Defensive rebound by C. White","","67-64","",""
"345","2:52.0","C. White makes 2-pt layup from 1 ft","+2","69-64","",""
"346","2:43.0","","","69-64","","Milwaukee full timeout"
"347","2:43.0","","","69-64","","G. Antetokounmpo enters the game for K. Middleton"
"348","2:36.0","","","69-64","","Personal foul by A. Dosunmu (drawn by J. Holiday)"
"349","2:26.0","","","69-66","+2","J. Holiday makes 2-pt hook shot from 5 ft"
"350","2:07.0","D. DeRozan misses 2-pt layup from 3 ft","","69-66","",""
"351","2:03.0","Offensive rebound by T. Thompson","","69-66","",""
