"","Time","Dallas","","Score","","Golden State"
"2","12:00.0","Jump ball: D. Powell vs. K. Looney (D. Green gains possession)","Jump ball: D. Powell vs. K. Looney (D. Green gains possession)","Jump ball: D. Powell vs. K. Looney (D. Green gains possession)","Jump ball: D. Powell vs. K. Looney (D. Green gains possession)","Jump ball: D. Powell vs. K. Looney (D. Green gains possession)"
"3","11:41.0","","","0-2","+2","K. Looney makes 2-pt hook shot from 5 ft (assist by S. Curry)"
"4","11:21.0","D. Finney-Smith misses 2-pt layup from 7 ft","","0-2","",""
"5","11:18.0","Offensive rebound by D. Powell","","0-2","",""
"6","11:17.0","D. Finney-Smith makes 2-pt jump shot from 20 ft (assist by J. Brunson)","+2","2-2","",""
"7","10:58.0","","","2-2","","A. Wiggins misses 3-pt jump shot from 26 ft"
"8","10:55.0","","","2-2","","Offensive rebound by K. Looney"
"9","10:53.0","","","2-4","+2","K. Looney makes 2-pt layup from 6 ft"
"10","10:37.0","J. Brunson misses 2-pt jump shot from 10 ft","","2-4","",""
"11","10:35.0","","","2-4","","Defensive rebound by K. Thompson"
"12","10:21.0","","","2-7","+3","K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Looney)"
"13","10:08.0","Turnover by L. Doncic (lost ball; steal by S. Curry)","","2-7","",""
"14","10:05.0","","","2-9","+2","A. Wiggins makes 2-pt dunk from 2 ft (assist by S. Curry)"
"15","9:41.0","R. Bullock misses 3-pt jump shot from 23 ft","","2-9","",""
"16","9:38.0","","","2-9","","Defensive rebound by S. Curry"
"17","9:29.0","","","2-9","","K. Thompson misses 3-pt jump shot from 27 ft"
"18","9:27.0","Defensive rebound by L. Doncic","","2-9","",""
"19","9:16.0","D. Powell makes 2-pt layup from 5 ft (assist by D. Finney-Smith)","+2","4-9","",""
"20","9:16.0","Shooting foul by D. Green (drawn by D. Powell)","","4-9","",""
"21","9:16.0","D. Powell makes free throw 1 of 1","+1","5-9","",""
"22","9:06.0","","","5-12","+3","S. Curry makes 3-pt jump shot from 28 ft"
"23","8:52.0","L. Doncic misses 2-pt layup from 6 ft","","5-12","",""
"24","8:52.0","","","5-12","","Defensive rebound by Team"
"25","8:52.0","Loose ball foul by D. Powell (drawn by K. Looney)","","5-12","",""
"26","8:52.0","","","5-12","","Golden State full timeout"
"27","8:38.0","","","5-14","+2","K. Thompson makes 2-pt jump shot from 13 ft (assist by D. Green)"
"28","8:16.0","L. Doncic makes 2-pt jump shot from 11 ft","+2","7-14","",""
"29","8:09.0","","","7-14","","K. Thompson misses 3-pt jump shot from 27 ft"
"30","8:07.0","Defensive rebound by L. Doncic","","7-14","",""
"31","8:02.0","L. Doncic misses 3-pt jump shot from 27 ft","","7-14","",""
"32","8:00.0","","","7-14","","Defensive rebound by S. Curry"
"33","7:47.0","","","7-14","","K. Looney misses 2-pt layup from 4 ft"
"34","7:44.0","Defensive rebound by D. Powell","","7-14","",""
"35","7:32.0","R. Bullock makes 3-pt jump shot from 22 ft (assist by L. Doncic)","+3","10-14","",""
"36","7:18.0","","","10-14","","Turnover by S. Curry (step out of bounds)"
