"","Time","Golden State","","Score","","Dallas"
"80","4:00.0","","","21-14","","F. Ntilikina enters the game for R. Bullock"
"81","3:50.0","D. Green misses 2-pt jump shot from 21 ft","","21-14","",""
"82","3:48.0","","","21-14","","Defensive rebound by L. Doncic"
"83","3:28.0","","","21-14","","F. Ntilikina misses 3-pt jump shot from 22 ft"
"84","3:25.0","Defensive rebound by D. Green","","21-14","",""
"85","3:15.0","D. Green misses 2-pt jump shot from 8 ft","","21-14","",""
"86","3:12.0","Offensive rebound by A. Wiggins","","21-14","",""
"87","3:11.0","A. Wiggins makes 2-pt layup at rim","+2","23-14","",""
"88","2:53.0","","","23-14","","M. Kleber misses 3-pt jump shot from 25 ft"
"89","2:50.0","Defensive rebound by S. Curry","","23-14","",""
"90","2:47.0","S. Curry misses 3-pt jump shot from 30 ft","","23-14","",""
"91","2:43.0","","","23-14","","Defensive rebound by L. Doncic"
"92","2:36.0","","","23-14","","Personal foul by S. Curry (drawn by M. Kleber)"
"93","2:36.0","","","23-14","","R. Bullock enters the game for D. Finney-Smith"
"94","2:25.0","","","23-14","","L. Doncic misses 2-pt jump shot from 8 ft"
"95","2:23.0","Defensive rebound by O. Porter","","23-14","",""
"96","2:18.0","A. Wiggins misses 3-pt jump shot from 24 ft","","23-14","",""
"97","2:14.0","","","23-14","","Defensive rebound by M. Kleber"
"98","2:01.0","","","23-17","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by F. Ntilikina)"
"99","1:34.0","Turnover by Team (shot clock)","","23-17","",""
"100","1:34.0","K. Looney enters the game for D. Green","","23-17","",""
"101","1:22.0","Violation by Team (kicked ball)","","23-17","",""
"102","1:11.0","","","23-17","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"103","1:08.0","Defensive rebound by S. Curry","","23-17","",""
"104","1:01.0","S. Curry makes 2-pt layup from 1 ft","+2","25-17","",""
"105","0:55.0","","","25-19","+2","S. Dinwiddie makes 2-pt layup from 2 ft"
"106","0:44.0","J. Poole misses 3-pt jump shot from 25 ft","","25-19","",""
"107","0:41.0","","","25-19","","Defensive rebound by L. Doncic"
"108","0:34.0","","","25-19","","Personal foul by A. Wiggins (drawn by L. Doncic)"
"109","0:34.0","D. Green enters the game for A. Wiggins","","25-19","",""
"110","0:27.0","","","25-19","","R. Bullock misses 2-pt jump shot from 3 ft"
"111","0:25.0","Defensive rebound by K. Looney","","25-19","",""
"112","0:07.0","S. Curry misses 3-pt jump shot from 31 ft","","25-19","",""
"113","0:03.0","","","25-19","","Defensive rebound by R. Bullock"
"114","0:00.0","","","25-22","+3","L. Doncic makes 3-pt jump shot from 32 ft"
"115","0:00.0","","","25-22","","Instant Replay (Request: Ruling Stands)"
"116","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"117","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"118","Time","Golden State","","Score","","Dallas"
"119","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"120","11:41.0","M. Moody misses 3-pt jump shot from 25 ft","","25-22","",""
"121","11:34.0","","","25-22","","Defensive rebound by S. Dinwiddie"
"122","11:26.0","","","25-24","+2","S. Dinwiddie makes 2-pt layup from 1 ft (assist by R. Bullock)"
"123","11:09.0","K. Thompson misses 3-pt jump shot from 25 ft","","25-24","",""
"124","11:07.0","","","25-24","","Defensive rebound by S. Dinwiddie"
"125","11:05.0","","","25-24","","Shooting foul by J. Poole (drawn by S. Dinwiddie)"
"126","11:05.0","","","25-25","+1","S. Dinwiddie makes free throw 1 of 2"
"127","11:05.0","","","25-26","+1","S. Dinwiddie makes free throw 2 of 2"
"128","10:48.0","O. Porter misses 2-pt jump shot from 16 ft","","25-26","",""
"129","10:43.0","Offensive rebound by K. Looney","","25-26","",""
"130","10:37.0","K. Thompson misses 3-pt jump shot from 23 ft","","25-26","",""
"131","10:33.0","Offensive rebound by Team","","25-26","",""
"132","10:29.0","O. Porter makes 2-pt layup from 1 ft (assist by K. Looney)","+2","27-26","",""
"133","10:14.0","","","27-26","","Shooting foul by J. Poole (drawn by J. Brunson)"
"134","10:14.0","","","27-27","+1","J. Brunson makes free throw 1 of 2"
"135","10:14.0","","","27-27","","J. Brunson misses free throw 2 of 2"
"136","10:12.0","","","27-27","","Offensive rebound by D. Finney-Smith"
"137","10:09.0","","","27-27","","J. Brunson misses 3-pt jump shot from 25 ft"
"138","10:05.0","Defensive rebound by K. Thompson","","27-27","",""
"139","10:01.0","Shooting foul by D. Bertans (drawn by J. Poole)","","27-27","",""
"140","10:01.0","J. Poole makes free throw 1 of 2","+1","28-27","",""
"141","10:01.0","J. Poole makes free throw 2 of 2","+1","29-27","",""
"142","9:38.0","","","29-30","+3","J. Brunson makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith)"
"143","9:11.0","Turnover by Team (shot clock)","","29-30","",""
"144","9:11.0","Golden State full timeout","","29-30","",""
"145","9:11.0","J. Toscano-Anderson enters the game for O. Porter","","29-30","",""
"146","8:55.0","","","29-30","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"147","8:52.0","Defensive rebound by K. Thompson","","29-30","",""
"148","8:36.0","Turnover by J. Toscano-Anderson (bad pass; steal by R. Bullock)","","29-30","",""
"149","8:24.0","","","29-30","","Shooting foul by M. Moody (drawn by S. Dinwiddie)"
"150","8:24.0","","","29-31","+1","S. Dinwiddie makes free throw 1 of 2"
"151","8:24.0","","","29-32","+1","S. Dinwiddie makes free throw 2 of 2"
