"","Time","Golden State","","Score","","Dallas"
"357","10:03.0","","","83-73","+1","L. Doncic makes free throw 1 of 2"
"358","10:03.0","","","83-74","+1","L. Doncic makes free throw 2 of 2"
"359","9:52.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by J. Poole)","+3","86-74","",""
"360","9:41.0","","","86-76","+2","L. Doncic makes 2-pt dunk from 1 ft"
"361","9:32.0","Golden State full timeout","","86-76","",""
"362","9:32.0","D. Green enters the game for K. Looney","","86-76","",""
"363","9:25.0","K. Thompson misses 3-pt jump shot from 26 ft","","86-76","",""
"364","9:23.0","","","86-76","","Defensive rebound by M. Kleber"
"365","9:16.0","","","86-76","","Shooting foul by K. Thompson (drawn by S. Dinwiddie)"
"366","9:16.0","","","86-77","+1","S. Dinwiddie makes free throw 1 of 2"
"367","9:16.0","","","86-78","+1","S. Dinwiddie makes free throw 2 of 2"
"368","8:55.0","J. Poole makes 3-pt jump shot from 28 ft (assist by A. Wiggins)","+3","89-78","",""
"369","8:30.0","","","89-81","+3","L. Doncic makes 3-pt jump shot from 25 ft"
"370","8:21.0","Offensive foul by J. Poole (drawn by L. Doncic)","","89-81","",""
"371","8:21.0","Turnover by J. Poole (offensive foul)","","89-81","",""
"372","8:21.0","S. Curry enters the game for M. Moody","","89-81","",""
"373","7:59.0","","","89-81","","M. Kleber misses 3-pt jump shot from 25 ft"
"374","7:57.0","","","89-81","","Offensive rebound by D. Finney-Smith"
"375","7:55.0","","","89-81","","S. Dinwiddie misses 3-pt jump shot from 29 ft"
"376","7:52.0","","","89-81","","Offensive rebound by M. Kleber"
"377","7:39.0","","","89-81","","L. Doncic misses 2-pt jump shot from 19 ft"
"378","7:39.0","","","89-81","","Offensive rebound by Team"
"379","7:39.0","","","89-81","","Turnover by Team (shot clock)"
"380","7:28.0","J. Poole misses 3-pt jump shot from 23 ft","","89-81","",""
"381","7:23.0","","","89-81","","Defensive rebound by D. Finney-Smith"
"382","7:16.0","","","89-83","+2","D. Bertans makes 2-pt dunk from 1 ft (assist by S. Dinwiddie)"
"383","7:03.0","Shooting foul by M. Kleber (drawn by S. Curry)","","89-83","",""
"384","7:03.0","S. Curry makes free throw 1 of 2","+1","90-83","",""
"385","7:03.0","","","90-83","","J. Brunson enters the game for S. Dinwiddie"
"386","7:03.0","","","90-83","","R. Bullock enters the game for M. Kleber"
"387","7:03.0","S. Curry makes free throw 2 of 2","+1","91-83","",""
"388","6:52.0","","","91-83","","D. Bertans misses 3-pt jump shot from 26 ft"
"389","6:48.0","Defensive rebound by D. Green","","91-83","",""
"390","6:38.0","Golden State full timeout","","91-83","",""
"391","6:38.0","Instant Replay (Challenge: Ruling Stands)","","91-83","",""
"392","6:38.0","A. Wiggins makes 2-pt dunk from 2 ft (assist by S. Curry)","+2","93-83","",""
"393","6:38.0","","","93-83","","S. Dinwiddie enters the game for D. Finney-Smith"
"394","6:25.0","","","93-83","","Personal foul by S. Curry (drawn by R. Bullock)"
"395","6:17.0","","","93-83","","L. Doncic misses 3-pt jump shot from 28 ft"
"396","6:15.0","","","93-83","","Offensive rebound by Team"
"397","6:01.0","","","93-83","","Turnover by Team (shot clock)"
"398","5:49.0","S. Curry misses 2-pt jump shot from 14 ft","","93-83","",""
"399","5:46.0","Offensive rebound by A. Wiggins","","93-83","",""
"400","5:46.0","A. Wiggins makes 2-pt dunk at rim","+2","95-83","",""
"401","5:41.0","","","95-83","","Personal foul by A. Wiggins (drawn by L. Doncic)"
"402","5:41.0","","","95-84","+1","L. Doncic makes free throw 1 of 2"
"403","5:41.0","","","95-84","","D. Finney-Smith enters the game for D. Bertans"
"404","5:41.0","","","95-85","+1","L. Doncic makes free throw 2 of 2"
"405","5:19.0","A. Wiggins misses 2-pt jump shot from 18 ft","","95-85","",""
"406","5:15.0","","","95-85","","Defensive rebound by J. Brunson"
"407","5:07.0","","","95-85","","R. Bullock misses 3-pt jump shot from 25 ft"
"408","5:03.0","Defensive rebound by J. Poole","","95-85","",""
"409","4:57.0","Personal foul by S. Dinwiddie (drawn by J. Poole)","","95-85","",""
"410","4:43.0","S. Curry makes 2-pt layup from 5 ft","+2","97-85","",""
"411","4:35.0","","","97-85","","Shooting foul by S. Curry (drawn by L. Doncic)"
"412","4:35.0","","","97-85","","L. Doncic misses free throw 1 of 2"
"413","4:35.0","","","97-85","","Offensive rebound by Team"
"414","4:35.0","","","97-86","+1","L. Doncic makes free throw 2 of 2"
"415","4:14.0","Shooting foul by L. Doncic (drawn by A. Wiggins)","","97-86","",""
"416","4:14.0","A. Wiggins makes free throw 1 of 3","+1","98-86","",""
"417","4:14.0","Violation by Team (delay of game)","","98-86","",""
"418","4:14.0","A. Wiggins makes free throw 2 of 3","+1","99-86","",""
"419","4:14.0","A. Wiggins makes free throw 3 of 3","+1","100-86","",""
"420","4:05.0","","","100-88","+2","L. Doncic makes 2-pt layup from 2 ft"
"421","3:38.0","A. Wiggins makes 2-pt dunk at rim (assist by D. Green)","+2","102-88","",""
"422","3:21.0","","","102-91","+3","L. Doncic makes 3-pt jump shot from 25 ft (assist by J. Brunson)"
"423","2:58.0","K. Thompson misses 3-pt jump shot from 23 ft","","102-91","",""
"424","2:56.0","","","102-91","","Defensive rebound by L. Doncic"
"425","2:42.0","","","102-93","+2","J. Brunson makes 2-pt jump shot from 5 ft (assist by R. Bullock)"
"426","2:18.0","S. Curry misses 2-pt layup from 2 ft","","102-93","",""
"427","2:17.0","","","102-93","","Defensive rebound by L. Doncic"
"428","2:10.0","","","102-93","","J. Brunson misses 2-pt jump shot from 7 ft"
"429","2:10.0","Defensive rebound by Team","","102-93","",""
"430","1:57.0","D. Green makes 2-pt layup from 1 ft (assist by S. Curry)","+2","104-93","",""
"431","1:49.0","","","104-96","+3","L. Doncic makes 3-pt jump shot from 26 ft"
"432","1:49.0","Golden State full timeout","","104-96","",""
"433","1:28.0","D. Green misses 2-pt jump shot from 8 ft","","104-96","",""
"434","1:26.0","","","104-96","","Defensive rebound by L. Doncic"
"435","1:15.0","","","104-99","+3","S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"436","0:54.0","J. Poole makes 3-pt jump shot from 23 ft (assist by K. Thompson)","+3","107-99","",""
"437","0:47.0","","","107-99","","L. Doncic misses 3-pt jump shot from 25 ft"
"438","0:43.0","Defensive rebound by S. Curry","","107-99","",""
"439","0:29.0","S. Curry misses 2-pt layup from 5 ft (block by L. Doncic)","","107-99","",""
"440","0:26.0","","","107-99","","Defensive rebound by R. Bullock"
"441","0:25.0","","","107-99","","Shooting foul by A. Wiggins (drawn by L. Doncic)"
"442","0:25.0","","","107-100","+1","L. Doncic makes free throw 1 of 2"
"443","0:25.0","","","107-100","","L. Doncic misses free throw 2 of 2"
"444","0:21.0","Defensive rebound by K. Thompson","","107-100","",""
"445","0:21.0","Golden State full timeout","","107-100","",""
"446","0:11.0","D. Green makes 2-pt layup from 1 ft (assist by K. Thompson)","+2","109-100","",""
"447","0:05.0","","","109-100","","S. Dinwiddie misses 3-pt jump shot from 27 ft"
"448","0:02.0","Defensive rebound by J. Poole","","109-100","",""
"449","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
