"","Time","Dallas","","Score","","Phoenix"
"2","12:00.0","Violation by Team (jump ball)","","0-0","",""
"3","11:43.0","","","0-0","","D. Booker misses 3-pt jump shot from 24 ft"
"4","11:38.0","Defensive rebound by D. Powell","","0-0","",""
"5","11:26.0","K. Porzingis misses 3-pt jump shot from 24 ft","","0-0","",""
"6","11:23.0","","","0-0","","Defensive rebound by J. Crowder"
"7","11:14.0","","","0-0","","C. Paul misses 3-pt jump shot from 26 ft"
"8","11:12.0","Defensive rebound by D. Powell","","0-0","",""
"9","10:53.0","K. Porzingis misses 2-pt jump shot from 14 ft","","0-0","",""
"10","10:50.0","","","0-0","","Defensive rebound by D. Ayton"
"11","10:33.0","","","0-0","","D. Booker misses 3-pt jump shot from 25 ft"
"12","10:31.0","Defensive rebound by D. Powell","","0-0","",""
"13","10:25.0","K. Porzingis makes 2-pt layup from 4 ft (assist by T. Hardaway)","+2","2-0","",""
"14","10:09.0","","","2-0","","Turnover by J. Crowder (bad pass; steal by K. Porzingis)"
"15","10:06.0","K. Porzingis makes 2-pt dunk from 2 ft","+2","4-0","",""
"16","9:49.0","","","4-0","","D. Ayton misses 2-pt hook shot from 7 ft"
"17","9:47.0","Defensive rebound by J. Brunson","","4-0","",""
"18","9:36.0","K. Porzingis makes 2-pt jump shot from 16 ft (assist by D. Powell)","+2","6-0","",""
"19","9:22.0","","","6-0","","D. Ayton misses 2-pt jump shot from 19 ft"
"20","9:19.0","Defensive rebound by K. Porzingis","","6-0","",""
"21","9:13.0","K. Porzingis misses 3-pt jump shot from 29 ft","","6-0","",""
"22","9:12.0","","","6-0","","Defensive rebound by Team"
"23","8:56.0","","","6-0","","D. Ayton misses 2-pt hook shot from 7 ft"
"24","8:54.0","Defensive rebound by K. Porzingis","","6-0","",""
"25","8:45.0","J. Brunson misses 3-pt jump shot from 28 ft","","6-0","",""
"26","8:43.0","","","6-0","","Defensive rebound by D. Booker"
"27","8:33.0","","","6-0","","D. Booker misses 2-pt jump shot from 7 ft"
"28","8:30.0","Defensive rebound by D. Powell","","6-0","",""
"29","8:25.0","J. Brunson makes 2-pt layup from 4 ft (assist by D. Powell)","+2","8-0","",""
"30","8:04.0","","","8-2","+2","D. Ayton makes 2-pt jump shot from 7 ft"
"31","7:39.0","K. Porzingis misses 3-pt jump shot from 31 ft","","8-2","",""
"32","7:35.0","","","8-2","","Defensive rebound by D. Booker"
"33","7:25.0","","","8-2","","C. Paul misses 3-pt jump shot from 26 ft"
"34","7:23.0","Defensive rebound by K. Porzingis","","8-2","",""
"35","7:00.0","D. Finney-Smith misses 2-pt jump shot from 16 ft","","8-2","",""
"36","6:57.0","","","8-2","","Defensive rebound by C. Paul"
"37","6:52.0","","","8-4","+2","D. Booker makes 2-pt layup from 3 ft (assist by C. Paul)"
"38","6:42.0","T. Hardaway misses 2-pt jump shot from 5 ft (block by D. Ayton)","","8-4","",""
"39","6:42.0","","","8-4","","Defensive rebound by D. Ayton"
"40","6:35.0","","","8-4","","J. Crowder misses 3-pt jump shot from 24 ft"
"41","6:32.0","","","8-4","","Offensive rebound by D. Ayton"
"42","6:31.0","","","8-7","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by D. Ayton)"
"43","6:30.0","Dallas full timeout","","8-7","",""
"44","6:30.0","R. Bullock enters the game for D. Powell","","8-7","",""
"45","6:18.0","T. Hardaway makes 3-pt jump shot from 26 ft (assist by K. Porzingis)","+3","11-7","",""
"46","5:51.0","","","11-7","","C. Paul misses 3-pt jump shot from 26 ft"
"47","5:48.0","","","11-7","","Offensive rebound by D. Ayton"
"48","5:47.0","","","11-9","+2","D. Ayton makes 2-pt layup from 2 ft"
"49","5:31.0","T. Hardaway makes 3-pt jump shot from 25 ft","+3","14-9","",""
"50","5:15.0","","","14-11","+2","D. Booker makes 2-pt jump shot from 21 ft (assist by C. Paul)"
"51","4:59.0","J. Brunson misses 2-pt jump shot from 10 ft","","14-11","",""
"52","4:56.0","","","14-11","","Defensive rebound by C. Paul"
"53","4:53.0","","","14-13","+2","D. Booker makes 2-pt layup from 3 ft"
"54","4:53.0","","","14-13","","Shooting foul by T. Hardaway (drawn by D. Booker)"
"55","4:53.0","W. Cauley-Stein enters the game for J. Brunson","","14-13","",""
