"","Time","Phoenix","","Score","","New Orleans"
"67","2:31.0","C. Payne misses 2-pt jump shot from 5 ft","","16-20","",""
"68","2:25.0","Offensive rebound by J. McGee","","16-20","",""
"69","2:25.0","J. McGee makes 2-pt layup at rim","+2","18-20","",""
"70","2:09.0","","","18-20","","Shooting foul by J. McGee (drawn by J. Valanciunas)"
"71","2:09.0","Phoenix full timeout","","18-20","",""
"72","2:09.0","C. Johnson enters the game for M. Bridges","","18-20","",""
"73","2:09.0","","","18-21","+1","J. Valanciunas makes free throw 1 of 2"
"74","2:09.0","","","18-21","","J. Valanciunas misses free throw 2 of 2"
"75","2:06.0","Defensive rebound by T. Craig","","18-21","",""
"76","1:54.0","C. Johnson misses 2-pt jump shot from 21 ft","","18-21","",""
"77","1:51.0","Offensive rebound by J. McGee","","18-21","",""
"78","1:46.0","L. Shamet makes 2-pt jump shot from 10 ft (assist by J. McGee)","+2","20-21","",""
"79","1:30.0","","","20-21","","B. Ingram misses 3-pt jump shot from 26 ft"
"80","1:27.0","","","20-21","","Offensive rebound by B. Ingram"
"81","1:19.0","","","20-21","","B. Ingram misses 2-pt jump shot from 10 ft"
"82","1:16.0","","","20-21","","Offensive rebound by J. Valanciunas"
"83","1:14.0","","","20-23","+2","J. Valanciunas makes 2-pt dunk from 2 ft"
"84","1:03.0","Offensive foul by C. Payne (drawn by D. Graham)","","20-23","",""
"85","1:03.0","Turnover by C. Payne (offensive foul)","","20-23","",""
"86","0:47.0","","","20-25","+2","J. Valanciunas makes 2-pt hook shot from 7 ft (assist by T. Murphy)"
"87","0:35.0","C. Payne misses 3-pt jump shot from 26 ft","","20-25","",""
"88","0:31.0","","","20-25","","Defensive rebound by D. Graham"
"89","0:24.0","","","20-25","","T. Murphy misses 3-pt jump shot from 23 ft"
"90","0:21.0","Defensive rebound by J. McGee","","20-25","",""
"91","0:04.0","C. Johnson misses 3-pt jump shot from 28 ft","","20-25","",""
"92","0:00.0","Offensive rebound by T. Craig","","20-25","",""
"93","0:00.0","J. McGee makes 2-pt layup from 2 ft (assist by T. Craig)","+2","22-25","",""
"94","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"95","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"96","Time","Phoenix","","Score","","New Orleans"
"97","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"98","11:41.0","","","22-28","+3","D. Graham makes 3-pt jump shot from 27 ft (assist by C. McCollum)"
"99","11:24.0","J. McGee makes 2-pt dunk from 3 ft (assist by C. Paul)","+2","24-28","",""
"100","11:06.0","","","24-30","+2","C. McCollum makes 2-pt jump shot from 19 ft"
"101","10:51.0","C. Johnson makes 3-pt jump shot from 23 ft (assist by C. Paul)","+3","27-30","",""
"102","10:34.0","","","27-30","","Shooting foul by C. Paul (drawn by N. Marshall)"
"103","10:34.0","","","27-31","+1","N. Marshall makes free throw 1 of 2"
"104","10:34.0","","","27-32","+1","N. Marshall makes free throw 2 of 2"
"105","10:25.0","Turnover by L. Shamet (lost ball; steal by D. Graham)","","27-32","",""
"106","10:21.0","","","27-32","","C. McCollum misses 3-pt jump shot from 25 ft"
"107","10:17.0","","","27-32","","Offensive rebound by T. Murphy"
"108","10:17.0","","","27-32","","Shooting foul by C. Johnson (drawn by T. Murphy)"
"109","10:17.0","","","27-33","+1","T. Murphy makes free throw 1 of 2"
"110","10:17.0","","","27-33","","T. Murphy misses free throw 2 of 2"
"111","10:14.0","Defensive rebound by J. McGee","","27-33","",""
"112","9:57.0","J. McGee makes 2-pt dunk from 2 ft (assist by C. Paul)","+2","29-33","",""
"113","9:40.0","","","29-35","+2","C. McCollum makes 2-pt dunk from 4 ft (assist by J. Valanciunas)"
"114","9:20.0","C. Johnson makes 2-pt layup from 2 ft (assist by C. Paul)","+2","31-35","",""
"115","9:07.0","","","31-37","+2","J. Valanciunas makes 2-pt layup from 3 ft"
"116","9:07.0","","","31-37","","Shooting foul by J. McGee (drawn by J. Valanciunas)"
"117","9:07.0","D. Ayton enters the game for J. McGee","","31-37","",""
"118","9:07.0","","","31-37","","J. Alvarado enters the game for D. Graham"
"119","9:07.0","","","31-37","","L. Nance enters the game for T. Murphy"
"120","9:07.0","","","31-37","","J. Valanciunas misses free throw 1 of 1"
"121","9:04.0","Defensive rebound by D. Ayton","","31-37","",""
"122","8:52.0","C. Johnson misses 3-pt jump shot from 26 ft","","31-37","",""
"123","8:47.0","","","31-37","","Defensive rebound by J. Valanciunas"
"124","8:42.0","","","31-39","+2","C. McCollum makes 2-pt jump shot from 7 ft"
"125","8:42.0","Phoenix full timeout","","31-39","",""
"126","8:42.0","J. Crowder enters the game for L. Shamet","","31-39","",""
"127","8:42.0","","","31-39","","H. Jones enters the game for J. Valanciunas"
"128","8:21.0","M. Bridges makes 2-pt layup from 4 ft (assist by J. Crowder)","+2","33-39","",""
"129","7:57.0","","","33-39","","C. McCollum misses 3-pt jump shot from 27 ft"
"130","7:57.0","Defensive rebound by C. Paul","","33-39","",""
"131","7:47.0","M. Bridges makes 2-pt layup from 2 ft (assist by C. Paul)","+2","35-39","",""
"132","7:46.0","","","35-39","","New Orleans full timeout"
"133","7:46.0","","","35-39","","B. Ingram enters the game for N. Marshall"
"134","7:31.0","","","35-41","+2","L. Nance makes 2-pt dunk from 3 ft (assist by C. McCollum)"
"135","7:21.0","Personal foul by H. Jones (drawn by J. Crowder)","","35-41","",""
"136","7:10.0","C. Johnson misses 2-pt jump shot from 18 ft","","35-41","",""
"137","7:06.0","","","35-41","","Defensive rebound by J. Alvarado"
"138","6:58.0","","","35-41","","J. Alvarado misses 3-pt jump shot from 25 ft"
"139","6:53.0","Defensive rebound by M. Bridges","","35-41","",""
"140","6:53.0","Personal foul by L. Nance (drawn by M. Bridges)","","35-41","",""
"141","6:40.0","Personal foul by J. Alvarado (drawn by C. Paul)","","35-41","",""
"142","6:31.0","M. Bridges misses 2-pt layup from 6 ft","","35-41","",""
"143","6:26.0","Offensive rebound by D. Ayton","","35-41","",""
"144","6:26.0","D. Ayton makes 2-pt layup at rim","+2","37-41","",""
"145","6:10.0","","","37-43","+2","L. Nance makes 2-pt layup from 2 ft (assist by B. Ingram)"
"146","5:44.0","C. Johnson misses 3-pt jump shot from 22 ft","","37-43","",""
"147","5:40.0","","","37-43","","Defensive rebound by C. McCollum"
"148","5:35.0","","","37-43","","B. Ingram misses 3-pt jump shot from 25 ft"
"149","5:31.0","","","37-43","","Offensive rebound by C. McCollum"
"150","5:28.0","","","37-43","","C. McCollum misses 2-pt jump shot from 6 ft"
"151","5:28.0","Defensive rebound by J. Crowder","","37-43","",""
"152","5:14.0","C. Johnson makes 3-pt jump shot from 23 ft (assist by M. Bridges)","+3","40-43","",""
"153","4:54.0","","","40-43","","Shooting foul by C. Paul (drawn by B. Ingram)"
"154","4:54.0","","","40-44","+1","B. Ingram makes free throw 1 of 2"
"155","4:54.0","C. Payne enters the game for C. Paul","","40-44","",""
"156","4:54.0","","","40-44","","J. Valanciunas enters the game for H. Jones"
"157","4:54.0","","","40-45","+1","B. Ingram makes free throw 2 of 2"
"158","4:42.0","Shooting foul by J. Valanciunas (drawn by C. Johnson)","","40-45","",""
"159","4:42.0","C. Johnson makes free throw 1 of 2","+1","41-45","",""
"160","4:42.0","C. Johnson makes free throw 2 of 2","+1","42-45","",""
"161","4:26.0","","","42-45","","Offensive foul by J. Valanciunas (drawn by J. Crowder)"
"162","4:26.0","","","42-45","","Turnover by J. Valanciunas (offensive foul)"
"163","4:10.0","D. Ayton makes 2-pt jump shot from 9 ft (assist by C. Payne)","+2","44-45","",""
"164","4:00.0","","","44-45","","Shooting foul by C. Payne (drawn by J. Alvarado)"
"165","4:00.0","","","44-46","+1","J. Alvarado makes free throw 1 of 2"
"166","4:00.0","","","44-46","","H. Jones enters the game for L. Nance"
"167","4:00.0","","","44-46","","J. Alvarado misses free throw 2 of 2"
"168","3:57.0","Defensive rebound by C. Johnson","","44-46","",""
"169","3:47.0","C. Payne misses 2-pt jump shot from 6 ft","","44-46","",""
"170","3:45.0","","","44-46","","Defensive rebound by B. Ingram"
"171","3:30.0","","","44-46","","J. Alvarado misses 3-pt jump shot from 25 ft"
"172","3:26.0","","","44-46","","Offensive rebound by H. Jones"
"173","3:24.0","","","44-46","","H. Jones misses 2-pt layup from 4 ft (block by M. Bridges)"
"174","3:20.0","Defensive rebound by C. Johnson","","44-46","",""
"175","3:06.0","M. Bridges misses 2-pt jump shot from 10 ft","","44-46","",""
"176","3:03.0","","","44-46","","Defensive rebound by J. Valanciunas"
"177","3:01.0","","","44-46","","Shooting foul by C. Johnson (drawn by H. Jones)"
"178","3:01.0","","","44-47","+1","H. Jones makes free throw 1 of 2"
"179","3:01.0","C. Paul enters the game for C. Johnson","","44-47","",""
"180","3:01.0","","","44-48","+1","H. Jones makes free throw 2 of 2"
"181","2:40.0","M. Bridges makes 2-pt layup from 5 ft (assist by D. Ayton)","+2","46-48","",""
"182","2:20.0","","","46-48","","B. Ingram misses 3-pt jump shot from 26 ft"
"183","2:18.0","Defensive rebound by M. Bridges","","46-48","",""
"184","2:09.0","C. Payne makes 2-pt jump shot from 18 ft","+2","48-48","",""
"185","2:03.0","","","48-48","","Offensive foul by B. Ingram (drawn by J. Crowder)"
"186","2:03.0","","","48-48","","Turnover by B. Ingram (offensive foul)"
"187","2:03.0","","","48-48","","L. Nance enters the game for J. Valanciunas"
"188","1:46.0","J. Crowder makes 3-pt jump shot from 27 ft (assist by M. Bridges)","+3","51-48","",""
"189","1:28.0","","","51-48","","C. McCollum misses 3-pt jump shot from 26 ft"
"190","1:22.0","","","51-48","","Offensive rebound by C. McCollum"
"191","1:21.0","","","51-48","","C. McCollum misses 2-pt jump shot from 6 ft"
"192","1:20.0","","","51-48","","Offensive rebound by C. McCollum"
"193","1:18.0","","","51-48","","C. McCollum misses 2-pt layup from 1 ft (block by C. Payne)"
"194","1:18.0","","","51-48","","Offensive rebound by C. McCollum"
"195","1:09.0","","","51-48","","Turnover by J. Alvarado (bad pass; steal by C. Paul)"
"196","1:08.0","Offensive foul by J. Crowder (drawn by J. Alvarado)","","51-48","",""
"197","1:08.0","Turnover by J. Crowder (offensive foul)","","51-48","",""
"198","0:45.0","","","51-48","","C. McCollum misses 2-pt layup from 3 ft (block by D. Ayton)"
"199","0:45.0","Defensive rebound by Team","","51-48","",""
"200","0:27.0","C. Paul misses 3-pt jump shot from 28 ft","","51-48","",""
"201","0:24.0","Offensive rebound by M. Bridges","","51-48","",""
"202","0:14.0","D. Ayton misses 2-pt jump shot from 19 ft","","51-48","",""
"203","0:11.0","","","51-48","","Defensive rebound by C. McCollum"
"204","0:02.0","","","51-48","","Personal foul by J. Crowder (drawn by B. Ingram)"
"205","0:02.0","","","51-49","+1","B. Ingram makes free throw 1 of 2"
"206","0:02.0","C. Johnson enters the game for C. Payne","","51-49","",""
"207","0:02.0","","","51-49","","N. Marshall enters the game for H. Jones"
"208","0:02.0","","","51-49","","B. Ingram misses free throw 2 of 2"
"209","0:00.0","Defensive rebound by D. Ayton","","51-49","",""
"210","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"211","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"212","Time","Phoenix","","Score","","New Orleans"
"213","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"214","11:46.0","","","51-49","","Personal foul by J. Crowder (drawn by H. Jones)"
"215","11:35.0","","","51-51","+2","B. Ingram makes 2-pt jump shot from 15 ft"
"216","11:08.0","D. Ayton misses 2-pt jump shot from 9 ft","","51-51","",""
"217","11:05.0","","","51-51","","Defensive rebound by J. Valanciunas"
"218","10:50.0","","","51-53","+2","B. Ingram makes 2-pt jump shot from 15 ft"
"219","10:37.0","M. Bridges misses 2-pt jump shot from 16 ft","","51-53","",""
"220","10:33.0","Offensive rebound by D. Ayton","","51-53","",""
"221","10:31.0","D. Ayton makes 2-pt hook shot from 10 ft","+2","53-53","",""
"222","10:16.0","","","53-55","+2","B. Ingram makes 2-pt layup from 5 ft (assist by J. Valanciunas)"
"223","10:00.0","C. Paul misses 2-pt jump shot from 19 ft","","53-55","",""
"224","9:58.0","","","53-55","","Defensive rebound by C. McCollum"
"225","9:52.0","","","53-55","","C. McCollum misses 3-pt jump shot from 26 ft"
"226","9:47.0","","","53-55","","Offensive rebound by J. Valanciunas"
"227","9:45.0","","","53-55","","J. Valanciunas misses 2-pt jump shot from 14 ft"
"228","9:45.0","Defensive rebound by D. Ayton","","53-55","",""
"229","9:39.0","M. Bridges misses 2-pt jump shot from 10 ft","","53-55","",""
"230","9:39.0","","","53-55","","Defensive rebound by J. Valanciunas"
"231","9:31.0","","","53-57","+2","J. Valanciunas makes 2-pt layup from 3 ft (assist by B. Ingram)"
"232","9:16.0","Personal foul by H. Jones (drawn by C. Paul)","","53-57","",""
"233","9:08.0","C. Johnson misses 2-pt jump shot from 12 ft","","53-57","",""
"234","9:07.0","","","53-57","","Defensive rebound by C. McCollum"
"235","9:00.0","","","53-57","","Turnover by C. McCollum (bad pass; steal by J. Crowder)"
"236","8:55.0","C. Johnson misses 2-pt layup from 3 ft","","53-57","",""
"237","8:55.0","","","53-57","","Defensive rebound by B. Ingram"
"238","8:55.0","","","53-57","","Personal foul by M. Bridges (drawn by B. Ingram)"
"239","8:34.0","","","53-59","+2","J. Hayes makes 2-pt dunk from 3 ft (assist by B. Ingram)"
"240","8:33.0","Phoenix full timeout","","53-59","",""
"241","8:21.0","Shooting foul by J. Hayes (drawn by D. Ayton)","","53-59","",""
"242","8:21.0","D. Ayton misses free throw 1 of 2","","53-59","",""
"243","8:21.0","Offensive rebound by Team","","53-59","",""
"244","8:21.0","D. Ayton makes free throw 2 of 2","+1","54-59","",""
"245","8:09.0","","","54-59","","Shooting foul by C. Johnson (drawn by H. Jones)"
"246","8:09.0","","","54-60","+1","H. Jones makes free throw 1 of 2"
"247","8:09.0","","","54-61","+1","H. Jones makes free throw 2 of 2"
"248","7:54.0","J. Crowder makes 2-pt jump shot from 21 ft (assist by C. Johnson)","+2","56-61","",""
"249","7:37.0","","","56-61","","C. McCollum misses 2-pt jump shot from 14 ft"
"250","7:35.0","Defensive rebound by J. Crowder","","56-61","",""
"251","7:28.0","Shooting foul by B. Ingram (drawn by J. Crowder)","","56-61","",""
"252","7:28.0","J. Crowder makes free throw 1 of 3","+1","57-61","",""
"253","7:28.0","J. Crowder misses free throw 2 of 3","","57-61","",""
"254","7:28.0","Offensive rebound by Team","","57-61","",""
"255","7:28.0","J. Crowder misses free throw 3 of 3","","57-61","",""
"256","7:26.0","","","57-61","","Defensive rebound by J. Valanciunas"
"257","7:11.0","","","57-63","+2","B. Ingram makes 2-pt jump shot from 15 ft"
"258","6:58.0","C. Johnson makes 3-pt jump shot from 25 ft (assist by C. Paul)","+3","60-63","",""
"259","6:41.0","","","60-63","","Shooting foul by C. Johnson (drawn by H. Jones)"
"260","6:41.0","","","60-64","+1","H. Jones makes free throw 1 of 2"
"261","6:41.0","L. Shamet enters the game for C. Johnson","","60-64","",""
"262","6:41.0","","","60-65","+1","H. Jones makes free throw 2 of 2"
"263","6:28.0","C. Paul misses 2-pt jump shot from 16 ft","","60-65","",""
"264","6:26.0","","","60-65","","Defensive rebound by J. Hayes"
"265","6:13.0","","","60-65","","B. Ingram misses 2-pt jump shot from 16 ft"
"266","6:11.0","Defensive rebound by D. Ayton","","60-65","",""
"267","6:06.0","Offensive foul by D. Ayton (drawn by H. Jones)","","60-65","",""
"268","6:06.0","Turnover by D. Ayton (offensive foul)","","60-65","",""
"269","5:56.0","","","60-65","","H. Jones misses 3-pt jump shot from 26 ft"
"270","5:52.0","Defensive rebound by L. Shamet","","60-65","",""
"271","5:48.0","Shooting foul by J. Hayes (drawn by J. Crowder)","","60-65","",""
"272","5:48.0","J. Crowder makes free throw 1 of 3","+1","61-65","",""
"273","5:48.0","J. Crowder makes free throw 2 of 3","+1","62-65","",""
"274","5:48.0","","","62-65","","T. Murphy enters the game for J. Hayes"
"275","5:48.0","","","62-65","","L. Nance enters the game for J. Valanciunas"
"276","5:48.0","J. Crowder makes free throw 3 of 3","+1","63-65","",""
"277","5:27.0","","","63-67","+2","H. Jones makes 2-pt hook shot from 3 ft (assist by L. Nance)"
"278","5:16.0","C. Paul misses 2-pt jump shot from 16 ft","","63-67","",""
"279","5:16.0","","","63-67","","Defensive rebound by T. Murphy"
"280","5:06.0","","","63-67","","B. Ingram misses 2-pt jump shot from 20 ft"
"281","5:05.0","","","63-67","","Offensive rebound by Team"
"282","4:56.0","","","63-67","","H. Jones misses 2-pt jump shot from 7 ft"
"283","4:53.0","Defensive rebound by J. Crowder","","63-67","",""
"284","4:37.0","L. Shamet misses 3-pt jump shot from 28 ft (block by H. Jones)","","63-67","",""
"285","4:37.0","","","63-67","","Defensive rebound by Team"
"286","4:36.0","Loose ball foul by J. Crowder (drawn by B. Ingram)","","63-67","",""
"287","4:36.0","","","63-68","+1","B. Ingram makes free throw 1 of 2"
"288","4:36.0","T. Craig enters the game for D. Ayton","","63-68","",""
"289","4:36.0","J. McGee enters the game for J. Crowder","","63-68","",""
"290","4:36.0","C. Payne enters the game for C. Paul","","63-68","",""
"291","4:36.0","","","63-69","+1","B. Ingram makes free throw 2 of 2"
"292","4:23.0","J. McGee makes 2-pt layup from 3 ft (assist by L. Shamet)","+2","65-69","",""
"293","4:05.0","","","65-71","+2","C. McCollum makes 2-pt jump shot from 18 ft"
"294","3:47.0","T. Craig misses 2-pt layup from 4 ft","","65-71","",""
"295","3:46.0","Offensive rebound by T. Craig","","65-71","",""
"296","3:45.0","T. Craig misses 2-pt layup from 1 ft","","65-71","",""
"297","3:44.0","Offensive rebound by T. Craig","","65-71","",""
"298","3:43.0","T. Craig makes 2-pt layup from 2 ft","+2","67-71","",""
"299","3:27.0","","","67-71","","Turnover by C. McCollum (bad pass; steal by T. Craig)"
"300","3:27.0","Personal foul by C. McCollum (drawn by T. Craig)","","67-71","",""
"301","3:27.0","T. Craig makes free throw 1 of 2","+1","68-71","",""
"302","3:27.0","","","68-71","","D. Graham enters the game for H. Jones"
"303","3:27.0","","","68-71","","J. Valanciunas enters the game for C. McCollum"
"304","3:27.0","T. Craig misses free throw 2 of 2","","68-71","",""
"305","3:25.0","","","68-71","","Defensive rebound by L. Nance"
"306","3:07.0","","","68-73","+2","B. Ingram makes 2-pt dunk from 2 ft"
"307","2:48.0","T. Craig misses 3-pt jump shot from 26 ft","","68-73","",""
"308","2:43.0","","","68-73","","Defensive rebound by L. Nance"
"309","2:41.0","","","68-73","","D. Graham misses 2-pt jump shot from 23 ft"
"310","2:38.0","","","68-73","","Offensive rebound by L. Nance"
"311","2:33.0","","","68-73","","Personal foul by J. McGee (drawn by J. Valanciunas)"
"312","2:33.0","","","68-73","","New Orleans full timeout"
"313","2:33.0","C. Johnson enters the game for M. Bridges","","68-73","",""
"314","2:33.0","","","68-74","+1","J. Valanciunas makes free throw 1 of 2"
"315","2:33.0","","","68-75","+1","J. Valanciunas makes free throw 2 of 2"
"316","2:18.0","J. McGee makes 2-pt layup from 5 ft (assist by C. Johnson)","+2","70-75","",""
"317","1:56.0","","","70-77","+2","B. Ingram makes 2-pt dunk from 4 ft (assist by J. Valanciunas)"
"318","1:37.0","C. Payne makes 2-pt jump shot from 8 ft","+2","72-77","",""
"319","1:22.0","","","72-79","+2","B. Ingram makes 2-pt layup from 3 ft (assist by J. Valanciunas)"
"320","1:11.0","C. Payne makes 2-pt dunk from 3 ft","+2","74-79","",""
"321","1:02.0","","","74-82","+3","D. Graham makes 3-pt jump shot from 26 ft"
"322","0:39.0","C. Payne misses 3-pt jump shot from 25 ft","","74-82","",""
"323","0:37.0","","","74-82","","Defensive rebound by J. Valanciunas"
"324","0:30.0","","","74-82","","B. Ingram misses 2-pt jump shot from 12 ft"
"325","0:27.0","","","74-82","","Offensive rebound by T. Murphy"
"326","0:21.0","","","74-82","","Personal foul by C. Payne (drawn by D. Graham)"
"327","0:21.0","","","74-83","+1","D. Graham makes free throw 1 of 2"
"328","0:21.0","M. Bridges enters the game for T. Craig","","74-83","",""
"329","0:21.0","","","74-83","","N. Marshall enters the game for J. Valanciunas"
"330","0:21.0","","","74-84","+1","D. Graham makes free throw 2 of 2"
"331","0:02.0","Turnover by C. Payne (bad pass; steal by L. Nance)","","74-84","",""
"332","0:00.0","","","74-84","","B. Ingram misses 2-pt jump shot from 19 ft"
"333","0:00.0","","","74-84","","Offensive rebound by Team"
"334","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"335","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"336","Time","Phoenix","","Score","","New Orleans"
"337","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"338","11:45.0","L. Shamet makes 3-pt jump shot from 26 ft (assist by C. Paul)","+3","77-84","",""
"339","11:18.0","","","77-84","","J. Valanciunas misses 2-pt jump shot from 2 ft"
"340","11:16.0","Defensive rebound by M. Bridges","","77-84","",""
"341","11:04.0","C. Paul misses 3-pt jump shot from 27 ft","","77-84","",""
"342","11:01.0","Offensive rebound by C. Paul","","77-84","",""
"343","10:50.0","J. McGee makes 2-pt jump shot from 18 ft (assist by M. Bridges)","+2","79-84","",""
"344","10:32.0","","","79-86","+2","C. McCollum makes 2-pt jump shot from 6 ft (assist by N. Marshall)"
"345","10:32.0","Violation by Team (def goaltending)","","79-86","",""
"346","10:21.0","Turnover by C. Paul (bad pass; steal by H. Jones)","","79-86","",""
"347","10:19.0","","","79-86","","Personal take foul by M. Bridges (drawn by D. Graham)"
