"","Time","Phoenix","","Score","","New Orleans"
"2","12:00.0","Jump ball: D. Ayton vs. J. Valanciunas (J. Crowder gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (J. Crowder gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (J. Crowder gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (J. Crowder gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (J. Crowder gains possession)"
"3","11:37.0","Turnover by C. Paul (lost ball; steal by C. McCollum)","","0-0","",""
"4","11:33.0","","","0-0","","C. McCollum misses 3-pt jump shot from 26 ft"
"5","11:29.0","Defensive rebound by J. Crowder","","0-0","",""
"6","11:21.0","D. Ayton misses 2-pt jump shot from 14 ft","","0-0","",""
"7","11:12.0","","","0-0","","Defensive rebound by C. McCollum"
"8","11:02.0","","","0-0","","Turnover by J. Hayes (bad pass; steal by C. Paul)"
"9","10:57.0","M. Bridges makes 2-pt layup from 4 ft (assist by J. Crowder)","+2","2-0","",""
"10","10:36.0","","","2-2","+2","B. Ingram makes 2-pt jump shot from 16 ft"
"11","10:22.0","D. Ayton makes 2-pt jump shot from 8 ft (assist by C. Johnson)","+2","4-2","",""
"12","10:02.0","","","4-5","+3","B. Ingram makes 3-pt jump shot from 23 ft (assist by H. Jones)"
"13","9:51.0","D. Ayton makes 2-pt jump shot from 14 ft (assist by C. Paul)","+2","6-5","",""
"14","9:29.0","","","6-7","+2","J. Valanciunas makes 2-pt jump shot from 5 ft (assist by H. Jones)"
"15","9:11.0","M. Bridges misses 3-pt jump shot from 25 ft","","6-7","",""
"16","9:09.0","","","6-7","","Defensive rebound by J. Hayes"
"17","8:56.0","","","6-7","","J. Valanciunas misses 2-pt jump shot from 15 ft"
"18","8:54.0","Defensive rebound by M. Bridges","","6-7","",""
"19","8:44.0","C. Paul makes 2-pt layup from 4 ft","+2","8-7","",""
"20","8:32.0","","","8-7","","C. McCollum misses 3-pt jump shot from 25 ft"
"21","8:29.0","Defensive rebound by C. Johnson","","8-7","",""
"22","8:26.0","J. Crowder misses 3-pt jump shot from 25 ft","","8-7","",""
"23","8:23.0","","","8-7","","Defensive rebound by J. Valanciunas"
"24","8:12.0","","","8-7","","J. Valanciunas misses 2-pt jump shot from 16 ft"
"25","8:09.0","Defensive rebound by D. Ayton","","8-7","",""
"26","7:47.0","D. Ayton makes 2-pt dunk from 3 ft (assist by J. Crowder)","+2","10-7","",""
"27","7:26.0","","","10-10","+3","C. McCollum makes 3-pt jump shot from 27 ft"
"28","7:01.0","J. Crowder misses 2-pt jump shot from 3 ft","","10-10","",""
"29","6:58.0","","","10-10","","Defensive rebound by J. Valanciunas"
"30","6:52.0","","","10-10","","J. Hayes misses 2-pt layup from 7 ft"
"31","6:50.0","","","10-10","","Offensive rebound by J. Valanciunas"
"32","6:47.0","","","10-12","+2","J. Valanciunas makes 2-pt layup from 4 ft"
"33","6:34.0","Personal foul by H. Jones (drawn by C. Paul)","","10-12","",""
"34","6:34.0","","","10-12","","New Orleans full timeout"
"35","6:27.0","C. Paul makes 2-pt jump shot from 20 ft (assist by J. Crowder)","+2","12-12","",""
"36","6:03.0","","","12-14","+2","C. McCollum makes 2-pt jump shot from 6 ft (assist by B. Ingram)"
"37","5:47.0","J. Crowder misses 2-pt jump shot from 16 ft","","12-14","",""
"38","5:46.0","","","12-14","","Defensive rebound by Team"
"39","5:46.0","Jump ball: J. Hayes vs. D. Ayton (C. McCollum gains possession)","Jump ball: J. Hayes vs. D. Ayton (C. McCollum gains possession)","Jump ball: J. Hayes vs. D. Ayton (C. McCollum gains possession)","Jump ball: J. Hayes vs. D. Ayton (C. McCollum gains possession)","Jump ball: J. Hayes vs. D. Ayton (C. McCollum gains possession)"
"40","5:46.0","","","12-14","","L. Nance enters the game for J. Valanciunas"
"41","5:30.0","","","12-16","+2","B. Ingram makes 2-pt layup from 2 ft (assist by H. Jones)"
"42","5:06.0","D. Ayton makes 2-pt layup from 3 ft (assist by M. Bridges)","+2","14-16","",""
"43","4:48.0","","","14-16","","Shooting foul by D. Ayton (drawn by B. Ingram)"
"44","4:48.0","","","14-17","+1","B. Ingram makes free throw 1 of 2"
"45","4:48.0","L. Shamet enters the game for C. Johnson","","14-17","",""
"46","4:48.0","","","14-17","","T. Murphy enters the game for J. Hayes"
"47","4:48.0","","","14-18","+1","B. Ingram makes free throw 2 of 2"
"48","4:27.0","M. Bridges misses 2-pt jump shot from 8 ft","","14-18","",""
"49","4:23.0","Offensive rebound by J. Crowder","","14-18","",""
"50","4:19.0","D. Ayton makes 2-pt layup from 4 ft (assist by J. Crowder)","+2","16-18","",""
"51","4:08.0","","","16-18","","Personal foul by L. Shamet (drawn by B. Ingram)"
"52","4:08.0","C. Payne enters the game for C. Paul","","16-18","",""
"53","4:01.0","","","16-18","","Personal foul by M. Bridges (drawn by L. Nance)"
"54","4:01.0","","","16-18","","Turnover by  (5 sec)"
"55","3:49.0","L. Shamet misses 3-pt jump shot from 25 ft","","16-18","",""
"56","3:46.0","","","16-18","","Defensive rebound by H. Jones"
"57","3:34.0","","","16-18","","C. McCollum misses 3-pt jump shot from 25 ft"
"58","3:30.0","Defensive rebound by D. Ayton","","16-18","",""
"59","3:19.0","Turnover by D. Ayton (out of bounds lost ball)","","16-18","",""
"60","3:19.0","T. Craig enters the game for D. Ayton","","16-18","",""
"61","3:19.0","J. McGee enters the game for J. Crowder","","16-18","",""
"62","3:19.0","","","16-18","","D. Graham enters the game for H. Jones"
"63","3:19.0","","","16-18","","J. Valanciunas enters the game for C. McCollum"
"64","2:55.0","","","16-18","","B. Ingram misses 3-pt jump shot from 25 ft"
"65","2:52.0","","","16-18","","Offensive rebound by L. Nance"
"66","2:48.0","","","16-20","+2","B. Ingram makes 2-pt jump shot from 16 ft (assist by L. Nance)"
