"","Time","Dallas","","Score","","Utah"
"343","7:21.0","Offensive rebound by D. Finney-Smith","","85-80","",""
"344","7:19.0","R. Bullock misses 3-pt jump shot from 23 ft","","85-80","",""
"345","7:16.0","","","85-80","","Defensive rebound by D. Mitchell"
"346","7:10.0","","","85-80","","D. Mitchell misses 2-pt layup from 3 ft"
"347","7:09.0","Defensive rebound by Team","","85-80","",""
"348","6:49.0","Turnover by L. Doncic (bad pass; steal by R. O'Neale)","","85-80","",""
"349","6:43.0","","","85-80","","J. Clarkson misses 3-pt jump shot from 25 ft"
"350","6:41.0","Defensive rebound by R. Bullock","","85-80","",""
"351","6:41.0","Dallas full timeout","","85-80","",""
"352","6:41.0","","","85-80","","R. Gobert enters the game for E. Paschall"
"353","6:25.0","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Brunson)","+3","88-80","",""
"354","6:12.0","","","88-82","+2","D. Mitchell makes 2-pt layup from 2 ft"
"355","5:48.0","J. Brunson misses 3-pt jump shot from 28 ft","","88-82","",""
"356","5:44.0","","","88-82","","Defensive rebound by R. Gobert"
"357","5:41.0","","","88-82","","Personal foul by R. Bullock (drawn by D. Mitchell)"
"358","5:29.0","","","88-82","","J. Clarkson misses 3-pt jump shot from 25 ft"
"359","5:24.0","","","88-82","","Offensive rebound by J. Clarkson"
"360","5:24.0","","","88-84","+2","J. Clarkson makes 2-pt layup at rim"
"361","5:07.0","Offensive foul by R. Bullock (drawn by R. O'Neale)","","88-84","",""
"362","5:07.0","Turnover by R. Bullock (offensive foul)","","88-84","",""
"363","5:07.0","M. Kleber enters the game for S. Dinwiddie","","88-84","",""
"364","4:56.0","","","88-84","","Shooting foul by R. Bullock (drawn by D. Mitchell)"
"365","4:56.0","Violation by Team (delay of game)","","88-84","",""
"366","4:56.0","","","88-85","+1","D. Mitchell makes free throw 1 of 2"
"367","4:56.0","S. Dinwiddie enters the game for M. Kleber","","88-85","",""
"368","4:56.0","","","88-86","+1","D. Mitchell makes free throw 2 of 2"
"369","4:33.0","D. Finney-Smith misses 3-pt jump shot from 25 ft","","88-86","",""
"370","4:30.0","","","88-86","","Defensive rebound by R. O'Neale"
"371","4:21.0","","","88-88","+2","R. Gobert makes 2-pt dunk from 3 ft (assist by D. Mitchell)"
"372","4:04.0","D. Finney-Smith makes 3-pt jump shot from 28 ft (assist by L. Doncic)","+3","91-88","",""
"373","3:59.0","","","91-88","","Utah full timeout"
"374","3:59.0","","","91-88","","M. Conley enters the game for J. Clarkson"
"375","3:43.0","","","91-88","","R. O'Neale misses 3-pt jump shot from 26 ft"
"376","3:40.0","","","91-88","","Offensive rebound by R. Gobert"
"377","3:40.0","","","91-88","","Personal foul by L. Doncic (drawn by R. Gobert)"
"378","3:40.0","","","91-89","+1","R. Gobert makes free throw 1 of 2"
"379","3:40.0","","","91-90","+1","R. Gobert makes free throw 2 of 2"
"380","3:28.0","","","91-90","","Violation by Team (kicked ball)"
"381","3:18.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","94-90","",""
"382","3:03.0","","","94-90","","Shooting foul by S. Dinwiddie (drawn by D. Mitchell)"
"383","3:03.0","","","94-91","+1","D. Mitchell makes free throw 1 of 2"
"384","3:03.0","Dallas full timeout","","94-91","",""
"385","3:03.0","","","94-91","","D. Mitchell misses free throw 2 of 2"
"386","3:01.0","Defensive rebound by S. Dinwiddie","","94-91","",""
"387","2:39.0","L. Doncic misses 2-pt jump shot from 22 ft","","94-91","",""
"388","2:36.0","","","94-91","","Defensive rebound by M. Conley"
"389","2:30.0","","","94-94","+3","B. Bogdanovic makes 3-pt jump shot from 24 ft (assist by D. Mitchell)"
"390","2:03.0","J. Brunson makes 3-pt jump shot from 24 ft (assist by L. Doncic)","+3","97-94","",""
"391","1:49.0","","","97-94","","B. Bogdanovic misses 3-pt jump shot from 28 ft"
"392","1:45.0","Defensive rebound by D. Finney-Smith","","97-94","",""
"393","1:28.0","D. Finney-Smith misses 3-pt jump shot from 27 ft","","97-94","",""
"394","1:26.0","","","97-94","","Defensive rebound by R. Gobert"
"395","1:17.0","","","97-94","","M. Conley misses 3-pt jump shot from 25 ft"
"396","1:13.0","Defensive rebound by J. Brunson","","97-94","",""
"397","0:55.0","Personal foul by R. O'Neale (drawn by J. Brunson)","","97-94","",""
"398","0:48.0","L. Doncic misses 3-pt jump shot from 26 ft","","97-94","",""
"399","0:44.0","","","97-94","","Defensive rebound by D. Mitchell"
"400","0:35.0","","","97-96","+2","R. Gobert makes 2-pt layup from 2 ft"
"401","0:11.0","L. Doncic misses 2-pt jump shot from 8 ft","","97-96","",""
"402","0:09.0","","","97-96","","Defensive rebound by R. O'Neale"
"403","0:05.0","","","97-96","","Turnover by M. Conley (traveling)"
"404","0:05.0","","","97-96","","D. House enters the game for M. Conley"
"405","0:04.0","Personal take foul by B. Bogdanovic (drawn by J. Brunson)","","97-96","",""
"406","0:04.0","J. Brunson misses free throw 1 of 2","","97-96","",""
"407","0:04.0","Offensive rebound by Team","","97-96","",""
"408","0:04.0","","","97-96","","H. Whiteside enters the game for B. Bogdanovic"
"409","0:04.0","J. Brunson makes free throw 2 of 2","+1","98-96","",""
"410","0:04.0","","","98-96","","Utah full timeout"
"411","0:04.0","M. Kleber enters the game for J. Brunson","","98-96","",""
"412","0:04.0","","","98-96","","B. Bogdanovic enters the game for R. Gobert"
"413","0:04.0","","","98-96","","J. Clarkson enters the game for D. House"
"414","0:04.0","","","98-96","","M. Conley enters the game for H. Whiteside"
"415","0:01.0","","","98-96","","B. Bogdanovic misses 3-pt jump shot from 23 ft"
"416","0:01.0","Defensive rebound by D. Finney-Smith","","98-96","",""
"417","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
