"","Time","New Orleans","","Score","","Phoenix"
"343","10:04.0","","","95-92","+2","J. McGee makes 2-pt dunk from 1 ft (assist by C. Paul)"
"344","9:38.0","L. Nance misses 2-pt jump shot from 14 ft","","95-92","",""
"345","9:37.0","","","95-92","","Defensive rebound by J. McGee"
"346","9:32.0","","","95-92","","Turnover by J. McGee (lost ball; steal by J. Alvarado)"
"347","9:27.0","L. Nance misses 3-pt jump shot from 25 ft","","95-92","",""
"348","9:25.0","","","95-92","","Defensive rebound by M. Bridges"
"349","9:22.0","","","95-92","","C. Johnson misses 3-pt jump shot from 24 ft"
"350","9:17.0","","","95-92","","Offensive rebound by J. McGee"
"351","9:03.0","","","95-92","","M. Bridges misses 2-pt layup from 3 ft"
"352","9:02.0","Defensive rebound by L. Nance","","95-92","",""
"353","8:58.0","T. Murphy misses 2-pt jump shot from 22 ft","","95-92","",""
"354","8:54.0","","","95-92","","Defensive rebound by C. Johnson"
"355","8:45.0","Violation by Team (kicked ball)","","95-92","",""
"356","8:45.0","J. Valanciunas enters the game for L. Nance","","95-92","",""
"357","8:45.0","","","95-92","","D. Ayton enters the game for J. McGee"
"358","8:39.0","","","95-94","+2","M. Bridges makes 2-pt dunk from 1 ft (assist by D. Ayton)"
"359","8:25.0","Turnover by C. McCollum (bad pass; steal by C. Johnson)","","95-94","",""
"360","8:22.0","","","95-96","+2","C. Johnson makes 2-pt dunk from 1 ft"
"361","8:16.0","New Orleans full timeout","","95-96","",""
"362","8:16.0","B. Ingram enters the game for T. Murphy","","95-96","",""
"363","8:03.0","J. Valanciunas makes 2-pt hook shot from 4 ft (assist by C. McCollum)","+2","97-96","",""
"364","7:47.0","","","97-98","+2","D. Ayton makes 2-pt layup from 2 ft (assist by C. Paul)"
"365","7:28.0","B. Ingram makes 2-pt jump shot from 13 ft (assist by J. Alvarado)","+2","99-98","",""
"366","7:28.0","","","99-98","","Violation by Team (def goaltending)"
"367","7:15.0","","","99-98","","Personal foul by J. Valanciunas (drawn by C. Paul)"
"368","7:02.0","","","99-98","","C. Paul misses 2-pt jump shot from 13 ft"
"369","7:01.0","Defensive rebound by B. Ingram","","99-98","",""
"370","6:53.0","B. Ingram misses 2-pt jump shot from 13 ft","","99-98","",""
"371","6:53.0","Offensive rebound by Team","","99-98","",""
"372","6:50.0","Turnover by J. Alvarado (bad pass; steal by L. Shamet)","","99-98","",""
"373","6:39.0","","","99-98","","D. Ayton misses 2-pt jump shot from 16 ft"
"374","6:36.0","Defensive rebound by H. Jones","","99-98","",""
"375","6:19.0","C. McCollum makes 3-pt jump shot from 25 ft (assist by J. Valanciunas)","+3","102-98","",""
"376","6:02.0","","","102-98","","Shooting foul by J. Valanciunas (drawn by M. Bridges)"
"377","6:02.0","","","102-98","","M. Bridges misses free throw 1 of 2"
"378","6:02.0","","","102-98","","Offensive rebound by Team"
"379","6:02.0","","","102-99","+1","M. Bridges makes free throw 2 of 2"
"380","5:45.0","Turnover by J. Valanciunas (bad pass)","","102-99","",""
"381","5:38.0","","","102-99","","Personal foul by H. Jones (drawn by C. Paul)"
"382","5:29.0","","","102-99","","C. Johnson misses 3-pt jump shot from 27 ft"
"383","5:26.0","Defensive rebound by B. Ingram","","102-99","",""
"384","5:19.0","J. Alvarado makes 3-pt jump shot from 24 ft (assist by B. Ingram)","+3","105-99","",""
"385","5:03.0","","","105-99","","Personal foul by J. Alvarado (drawn by C. Paul)"
"386","5:03.0","","","105-100","+1","C. Paul makes free throw 1 of 2"
"387","5:03.0","","","105-100","","J. Crowder enters the game for L. Shamet"
"388","5:03.0","","","105-101","+1","C. Paul makes free throw 2 of 2"
"389","4:46.0","C. McCollum makes 2-pt layup from 2 ft","+2","107-101","",""
"390","4:30.0","","","107-103","+2","M. Bridges makes 2-pt layup from 1 ft (assist by C. Paul)"
"391","4:16.0","C. McCollum makes 3-pt jump shot from 27 ft (assist by J. Valanciunas)","+3","110-103","",""
"392","4:02.0","","","110-106","+3","C. Johnson makes 3-pt jump shot from 24 ft (assist by D. Ayton)"
"393","3:40.0","B. Ingram makes 3-pt jump shot from 24 ft (assist by H. Jones)","+3","113-106","",""
"394","3:25.0","","","113-108","+2","C. Paul makes 2-pt layup from 2 ft"
"395","3:17.0","H. Jones makes 2-pt layup from 1 ft (assist by J. Alvarado)","+2","115-108","",""
"396","3:17.0","","","115-108","","Violation by Team (def goaltending)"
"397","3:17.0","","","115-108","","Phoenix full timeout"
"398","3:17.0","New Orleans full timeout","","115-108","",""
"399","3:17.0","L. Nance enters the game for J. Valanciunas","","115-108","",""
"400","3:06.0","","","115-110","+2","J. Crowder makes 2-pt jump shot from 21 ft (assist by C. Paul)"
"401","2:41.0","B. Ingram makes 3-pt jump shot from 27 ft","+3","118-110","",""
"402","2:25.0","","","118-113","+3","C. Paul makes 3-pt jump shot from 25 ft"
"403","1:58.0","B. Ingram makes 2-pt jump shot from 16 ft (assist by C. McCollum)","+2","120-113","",""
"404","1:50.0","","","120-113","","C. Paul misses 3-pt jump shot from 27 ft"
"405","1:47.0","Defensive rebound by B. Ingram","","120-113","",""
"406","1:42.0","Shooting foul by D. Ayton (drawn by H. Jones)","","120-113","",""
"407","1:42.0","H. Jones misses free throw 1 of 2","","120-113","",""
"408","1:42.0","Offensive rebound by Team","","120-113","",""
"409","1:42.0","H. Jones makes free throw 2 of 2","+1","121-113","",""
"410","1:25.0","","","121-113","","Turnover by J. Crowder (bad pass)"
"411","1:10.0","C. McCollum misses 2-pt jump shot from 15 ft","","121-113","",""
"412","1:09.0","","","121-113","","Defensive rebound by C. Johnson"
"413","1:09.0","","","121-113","","Personal foul by H. Jones (drawn by C. Johnson)"
"414","1:09.0","J. Valanciunas enters the game for J. Alvarado","","121-113","",""
"415","1:09.0","","","121-113","","C. Johnson misses free throw 1 of 2"
"416","1:09.0","","","121-113","","Offensive rebound by Team"
"417","1:09.0","","","121-114","+1","C. Johnson makes free throw 2 of 2"
"418","1:08.0","Personal foul by J. Crowder (drawn by B. Ingram)","","121-114","",""
"419","1:08.0","B. Ingram makes free throw 1 of 2","+1","122-114","",""
"420","1:08.0","J. Alvarado enters the game for J. Valanciunas","","122-114","",""
"421","1:08.0","B. Ingram makes free throw 2 of 2","+1","123-114","",""
"422","0:56.0","","","123-114","","C. Johnson misses 3-pt jump shot from 25 ft"
"423","0:54.0","Defensive rebound by B. Ingram","","123-114","",""
"424","0:39.0","B. Ingram misses 2-pt jump shot from 21 ft","","123-114","",""
"425","0:35.0","","","123-114","","Defensive rebound by C. Johnson"
"426","0:30.0","","","123-114","","C. Paul misses 3-pt jump shot from 26 ft"
"427","0:29.0","Defensive rebound by Team","","123-114","",""
"428","0:16.0","L. Nance makes 2-pt layup from 2 ft (assist by C. McCollum)","+2","125-114","",""
"429","0:04.0","","","125-114","","C. Johnson misses 3-pt jump shot from 26 ft"
"430","0:01.0","Defensive rebound by L. Nance","","125-114","",""
"431","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
