"","Time","New Orleans","","Score","","Phoenix"
"79","4:08.0","C. McCollum makes free throw 2 of 2","+1","18-18","",""
"80","3:48.0","","","18-18","","D. Booker misses 2-pt layup from 5 ft"
"81","3:46.0","Defensive rebound by T. Murphy","","18-18","",""
"82","3:30.0","H. Jones makes 3-pt jump shot from 24 ft (assist by B. Ingram)","+3","21-18","",""
"83","3:23.0","Violation by Team (kicked ball)","","21-18","",""
"84","3:23.0","D. Graham enters the game for C. McCollum","","21-18","",""
"85","3:23.0","","","21-18","","T. Craig enters the game for D. Ayton"
"86","3:23.0","","","21-18","","J. McGee enters the game for M. Bridges"
"87","3:10.0","","","21-18","","D. Booker misses 3-pt jump shot from 26 ft"
"88","3:07.0","","","21-18","","Offensive rebound by Team"
"89","3:07.0","","","21-18","","Turnover by Team (shot clock)"
"90","2:44.0","B. Ingram misses 2-pt layup from 4 ft","","21-18","",""
"91","2:41.0","Offensive rebound by B. Ingram","","21-18","",""
"92","2:40.0","B. Ingram makes 2-pt layup from 2 ft","+2","23-18","",""
"93","2:30.0","","","23-18","","C. Payne misses 3-pt jump shot from 27 ft"
"94","2:26.0","Defensive rebound by L. Nance","","23-18","",""
"95","2:19.0","D. Graham makes 2-pt jump shot from 8 ft","+2","25-18","",""
"96","2:03.0","New Orleans full timeout","","25-18","",""
"97","1:54.0","","","25-20","+2","C. Payne makes 2-pt layup from 3 ft (assist by D. Booker)"
"98","1:32.0","D. Graham misses 3-pt jump shot from 26 ft","","25-20","",""
"99","1:28.0","","","25-20","","Defensive rebound by T. Craig"
"100","1:23.0","","","25-20","","Turnover by D. Booker (bad pass)"
"101","1:05.0","B. Ingram makes 2-pt jump shot from 17 ft","+2","27-20","",""
"102","0:47.0","","","27-23","+3","D. Booker makes 3-pt jump shot from 26 ft"
"103","0:41.0","Offensive foul by B. Ingram (drawn by T. Craig)","","27-23","",""
"104","0:41.0","Turnover by B. Ingram (offensive foul)","","27-23","",""
"105","0:41.0","N. Marshall enters the game for D. Graham","","27-23","",""
"106","0:33.0","","","27-26","+3","D. Booker makes 3-pt jump shot from 26 ft"
"107","0:08.0","T. Murphy makes 3-pt jump shot from 27 ft (assist by H. Jones)","+3","30-26","",""
"108","0:00.0","","","30-28","+2","D. Booker makes 2-pt jump shot from 16 ft"
"109","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"110","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"111","Time","New Orleans","","Score","","Phoenix"
"112","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"113","11:36.0","L. Nance makes 2-pt jump shot from 12 ft","+2","32-28","",""
"114","11:22.0","","","32-28","","Personal foul by J. Alvarado (drawn by C. Johnson)"
"115","11:13.0","","","32-28","","Personal foul by T. Murphy (drawn by J. McGee)"
"116","11:13.0","","","32-28","","C. Payne enters the game for T. Craig"
"117","10:59.0","","","32-30","+2","C. Payne makes 2-pt layup from 2 ft (assist by C. Paul)"
"118","10:49.0","C. McCollum misses 2-pt jump shot from 17 ft","","32-30","",""
"119","10:49.0","","","32-30","","Defensive rebound by C. Johnson"
"120","10:35.0","","","32-30","","Turnover by C. Payne (bad pass)"
"121","10:11.0","T. Murphy misses 2-pt layup from 8 ft","","32-30","",""
"122","10:08.0","","","32-30","","Defensive rebound by M. Bridges"
"123","10:03.0","","","32-32","+2","J. McGee makes 2-pt dunk from 1 ft (assist by C. Paul)"
"124","9:51.0","Personal foul by C. Johnson (drawn by C. McCollum)","","32-32","",""
"125","9:45.0","Turnover by L. Nance (out of bounds lost ball)","","32-32","",""
"126","9:32.0","","","32-32","","C. Paul misses 2-pt jump shot from 16 ft"
"127","9:30.0","Defensive rebound by C. McCollum","","32-32","",""
"128","9:22.0","C. McCollum misses 2-pt jump shot from 11 ft","","32-32","",""
"129","9:20.0","Offensive rebound by C. McCollum","","32-32","",""
"130","9:17.0","C. McCollum misses 2-pt layup from 2 ft","","32-32","",""
"131","9:17.0","Offensive rebound by L. Nance","","32-32","",""
"132","9:17.0","L. Nance makes 2-pt layup from 2 ft","+2","34-32","",""
