"","Time","Boston","","Score","","Milwaukee"
"79","3:22.0","J. Brown makes 2-pt jump shot from 16 ft (assist by R. Williams)","+2","15-18","",""
"80","3:03.0","","","15-21","+3","B. Portis makes 3-pt jump shot from 26 ft (assist by J. Holiday)"
"81","2:46.0","D. White misses 2-pt jump shot from 17 ft","","15-21","",""
"82","2:44.0","","","15-21","","Defensive rebound by B. Lopez"
"83","2:33.0","","","15-21","","B. Portis misses 2-pt layup from 3 ft (block by A. Horford)"
"84","2:29.0","","","15-21","","Offensive rebound by B. Portis"
"85","2:27.0","","","15-21","","B. Portis misses 2-pt layup from 3 ft"
"86","2:25.0","Defensive rebound by A. Horford","","15-21","",""
"87","2:22.0","J. Brown misses 3-pt jump shot from 26 ft","","15-21","",""
"88","2:19.0","","","15-21","","Defensive rebound by P. Connaughton"
"89","2:10.0","","","15-21","","P. Connaughton misses 3-pt jump shot from 27 ft"
"90","2:08.0","Defensive rebound by G. Williams","","15-21","",""
"91","2:00.0","Shooting foul by B. Lopez (drawn by J. Brown)","","15-21","",""
"92","2:00.0","J. Brown makes free throw 1 of 2","+1","16-21","",""
"93","2:00.0","J. Tatum enters the game for R. Williams","","16-21","",""
"94","2:00.0","","","16-21","","G. Allen enters the game for J. Holiday"
"95","2:00.0","","","16-21","","G. Antetokounmpo enters the game for B. Lopez"
"96","2:00.0","J. Brown makes free throw 2 of 2","+1","17-21","",""
"97","1:48.0","","","17-21","","P. Connaughton misses 3-pt jump shot from 26 ft"
"98","1:45.0","Defensive rebound by J. Tatum","","17-21","",""
"99","1:45.0","P. Pritchard enters the game for J. Brown","","17-21","",""
"100","1:36.0","Offensive foul by J. Tatum (drawn by G. Hill)","","17-21","",""
"101","1:36.0","Turnover by J. Tatum (offensive foul)","","17-21","",""
"102","1:27.0","","","17-21","","Shooting foul by P. Pritchard (drawn by G. Antetokounmpo)"
"103","1:27.0","","","17-21","","G. Antetokounmpo misses free throw 1 of 2"
"104","1:27.0","","","17-21","","Offensive rebound by Team"
"105","1:27.0","","","17-22","+1","G. Antetokounmpo makes free throw 2 of 2"
"106","1:05.0","D. White makes 2-pt jump shot from 11 ft (assist by J. Tatum)","+2","19-22","",""
"107","0:47.0","","","19-22","","G. Hill misses 3-pt jump shot from 26 ft"
"108","0:45.0","Defensive rebound by D. White","","19-22","",""
"109","0:43.0","A. Horford misses 2-pt layup from 3 ft","","19-22","",""
"110","0:43.0","","","19-22","","Defensive rebound by G. Antetokounmpo"
"111","0:38.0","","","19-22","","Offensive foul by G. Antetokounmpo (drawn by G. Williams)"
"112","0:38.0","","","19-22","","Turnover by G. Antetokounmpo (offensive foul)"
"113","0:38.0","","","19-22","","Milwaukee full timeout"
"114","0:38.0","","","19-22","","Instant Replay (Challenge: Stands)"
"115","0:38.0","","","19-22","","J. Holiday enters the game for G. Allen"
"116","0:38.0","","","19-22","","W. Matthews enters the game for B. Portis"
"117","0:30.0","J. Tatum misses 3-pt jump shot from 27 ft","","19-22","",""
"118","0:27.0","","","19-22","","Defensive rebound by P. Connaughton"
"119","0:06.0","","","19-22","","J. Holiday misses 2-pt jump shot from 10 ft (block by J. Tatum)"
"120","0:06.0","","","19-22","","Offensive rebound by Team"
"121","0:06.0","","","19-22","","Turnover by Team (shot clock)"
"122","0:01.0","J. Tatum misses 2-pt jump shot from 18 ft","","19-22","",""
"123","0:00.0","","","19-22","","Defensive rebound by P. Connaughton"
"124","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"125","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"126","Time","Boston","","Score","","Milwaukee"
"127","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"128","11:41.0","P. Pritchard misses 3-pt jump shot from 27 ft","","19-22","",""
"129","11:38.0","","","19-22","","Defensive rebound by P. Connaughton"
"130","11:28.0","","","19-22","","Turnover by G. Antetokounmpo (bad pass; steal by R. Williams)"
"131","11:03.0","A. Horford misses 3-pt jump shot from 23 ft","","19-22","",""
"132","11:01.0","Offensive rebound by P. Pritchard","","19-22","",""
"133","11:00.0","A. Horford makes 3-pt jump shot from 23 ft (assist by P. Pritchard)","+3","22-22","",""
"134","10:47.0","","","22-22","","J. Holiday misses 2-pt jump shot from 7 ft"
"135","10:41.0","","","22-22","","Offensive rebound by B. Lopez"
"136","10:41.0","","","22-24","+2","B. Lopez makes 2-pt dunk at rim"
"137","10:33.0","P. Pritchard misses 3-pt jump shot from 26 ft","","22-24","",""
"138","10:30.0","","","22-24","","Defensive rebound by B. Lopez"
"139","10:18.0","","","22-26","+2","B. Lopez makes 2-pt jump shot from 10 ft (assist by G. Antetokounmpo)"
"140","10:03.0","J. Tatum misses 3-pt jump shot from 26 ft","","22-26","",""
