"","Time","Boston","","Score","","Milwaukee"
"347","4:33.0","D. White enters the game for M. Smart","","61-69","",""
"348","4:33.0","","","61-69","","G. Hill enters the game for J. Holiday"
"349","4:33.0","","","61-70","+1","G. Antetokounmpo makes free throw 2 of 2"
"350","4:21.0","Shooting foul by P. Connaughton (drawn by D. White)","","61-70","",""
"351","4:21.0","D. White makes free throw 1 of 2","+1","62-70","",""
"352","4:21.0","D. White makes free throw 2 of 2","+1","63-70","",""
"353","4:05.0","","","63-73","+3","W. Matthews makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)"
"354","3:45.0","J. Tatum misses 2-pt jump shot from 16 ft","","63-73","",""
"355","3:42.0","","","63-73","","Defensive rebound by P. Connaughton"
"356","3:34.0","","","63-73","","G. Antetokounmpo misses 2-pt jump shot from 19 ft"
"357","3:31.0","Defensive rebound by D. Theis","","63-73","",""
"358","3:26.0","Offensive foul by D. Theis (drawn by G. Hill)","","63-73","",""
"359","3:26.0","Turnover by D. Theis (offensive foul)","","63-73","",""
"360","3:26.0","","","63-73","","B. Lopez enters the game for G. Antetokounmpo"
"361","3:12.0","","","63-73","","B. Portis misses 3-pt jump shot from 23 ft"
"362","3:09.0","Defensive rebound by A. Horford","","63-73","",""
"363","3:05.0","Turnover by J. Brown (bad pass; steal by B. Portis)","","63-73","",""
"364","2:47.0","","","63-73","","B. Portis misses 2-pt jump shot from 10 ft"
"365","2:45.0","Defensive rebound by A. Horford","","63-73","",""
"366","2:42.0","","","63-73","","Loose ball foul by W. Matthews (drawn by D. White)"
"367","2:42.0","D. White misses free throw 1 of 2","","63-73","",""
"368","2:42.0","Offensive rebound by Team","","63-73","",""
"369","2:42.0","P. Pritchard enters the game for J. Brown","","63-73","",""
"370","2:42.0","R. Williams enters the game for D. Theis","","63-73","",""
"371","2:42.0","","","63-73","","G. Allen enters the game for G. Hill"
"372","2:42.0","","","63-73","","J. Holiday enters the game for W. Matthews"
"373","2:42.0","D. White makes free throw 2 of 2","+1","64-73","",""
"374","2:29.0","","","64-73","","B. Lopez misses 2-pt hook shot from 9 ft"
"375","2:27.0","Defensive rebound by R. Williams","","64-73","",""
"376","2:12.0","D. White misses 3-pt jump shot from 27 ft","","64-73","",""
"377","2:09.0","","","64-73","","Defensive rebound by J. Holiday"
"378","2:03.0","","","64-75","+2","J. Holiday makes 2-pt jump shot from 15 ft"
"379","1:48.0","J. Tatum misses 3-pt jump shot from 27 ft","","64-75","",""
"380","1:44.0","","","64-75","","Defensive rebound by B. Lopez"
"381","1:36.0","","","64-75","","P. Connaughton misses 2-pt layup from 2 ft (block by R. Williams)"
"382","1:35.0","","","64-75","","Offensive rebound by J. Holiday"
"383","1:34.0","","","64-75","","J. Holiday misses 2-pt layup from 2 ft"
"384","1:33.0","","","64-75","","Offensive rebound by B. Lopez"
"385","1:33.0","","","64-77","+2","B. Lopez makes 2-pt dunk from 2 ft"
"386","1:13.0","J. Tatum makes 2-pt layup from 11 ft (assist by R. Williams)","+2","66-77","",""
"387","0:55.0","","","66-77","","J. Holiday misses 2-pt jump shot from 17 ft"
"388","0:55.0","Defensive rebound by A. Horford","","66-77","",""
"389","0:49.0","J. Tatum misses 2-pt layup from 3 ft","","66-77","",""
"390","0:46.0","","","66-77","","Defensive rebound by B. Portis"
"391","0:40.0","","","66-80","+3","J. Holiday makes 3-pt jump shot from 23 ft (assist by G. Allen)"
"392","0:29.0","Shooting foul by P. Connaughton (drawn by D. White)","","66-80","",""
"393","0:29.0","D. White makes free throw 1 of 2","+1","67-80","",""
"394","0:29.0","M. Smart enters the game for P. Pritchard","","67-80","",""
"395","0:29.0","","","67-80","","J. Carter enters the game for B. Lopez"
"396","0:29.0","D. White misses free throw 2 of 2","","67-80","",""
"397","0:26.0","","","67-80","","Defensive rebound by B. Portis"
"398","0:05.0","","","67-80","","J. Carter misses 2-pt jump shot from 12 ft"
"399","0:02.0","","","67-80","","Offensive rebound by B. Portis"
"400","0:00.0","","","67-80","","J. Holiday misses 3-pt jump shot from 28 ft"
"401","0:00.0","","","67-80","","Offensive rebound by Team"
"402","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"403","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"404","Time","Boston","","Score","","Milwaukee"
"405","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"406","11:42.0","","","67-80","","G. Antetokounmpo misses 2-pt layup from 3 ft (block by A. Horford)"
"407","11:39.0","Defensive rebound by A. Horford","","67-80","",""
"408","11:33.0","J. Brown makes 2-pt layup from 5 ft","+2","69-80","",""
"409","11:23.0","","","69-80","","J. Holiday misses 3-pt jump shot from 26 ft"
"410","11:22.0","Defensive rebound by Team","","69-80","",""
"411","11:09.0","A. Horford makes 3-pt jump shot from 27 ft (assist by P. Pritchard)","+3","72-80","",""
"412","10:55.0","","","72-80","","Personal foul by A. Horford (drawn by J. Holiday)"
"413","10:48.0","","","72-83","+3","P. Connaughton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)"
"414","10:30.0","P. Pritchard misses 2-pt jump shot from 15 ft","","72-83","",""
"415","10:26.0","","","72-83","","Defensive rebound by J. Holiday"
"416","10:22.0","","","72-83","","B. Lopez misses 2-pt jump shot from 11 ft"
"417","10:20.0","Defensive rebound by P. Pritchard","","72-83","",""
"418","10:06.0","Shooting foul by B. Lopez (drawn by J. Brown)","","72-83","",""
"419","10:06.0","J. Brown misses free throw 1 of 2","","72-83","",""
"420","10:06.0","Offensive rebound by Team","","72-83","",""
"421","10:06.0","","","72-83","","B. Portis enters the game for B. Lopez"
"422","10:06.0","J. Brown makes free throw 2 of 2","+1","73-83","",""
"423","10:01.0","","","73-83","","Personal foul by J. Brown (drawn by J. Holiday)"
"424","9:48.0","","","73-86","+3","G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by G. Allen)"
"425","9:32.0","D. White makes 3-pt jump shot from 27 ft (assist by A. Horford)","+3","76-86","",""
"426","9:15.0","","","76-86","","J. Holiday misses 2-pt layup from 6 ft"
"427","9:10.0","","","76-86","","Offensive rebound by B. Portis"
"428","9:10.0","","","76-88","+2","B. Portis makes 2-pt layup at rim"
"429","9:02.0","J. Brown makes 3-pt jump shot from 27 ft (assist by A. Horford)","+3","79-88","",""
"430","8:51.0","","","79-88","","G. Antetokounmpo misses 3-pt jump shot from 25 ft"
"431","8:49.0","Defensive rebound by A. Horford","","79-88","",""
"432","8:40.0","A. Horford makes 2-pt layup from 3 ft (assist by J. Brown)","+2","81-88","",""
"433","8:27.0","","","81-88","","Personal foul by P. Pritchard (drawn by G. Allen)"
"434","8:27.0","M. Smart enters the game for P. Pritchard","","81-88","",""
"435","8:27.0","J. Tatum enters the game for D. White","","81-88","",""
"436","8:27.0","","","81-88","","W. Matthews enters the game for P. Connaughton"
"437","8:19.0","","","81-90","+2","J. Holiday makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo)"
"438","7:58.0","J. Tatum makes 2-pt layup from 4 ft (assist by A. Horford)","+2","83-90","",""
"439","7:43.0","","","83-90","","J. Holiday misses 2-pt layup from 6 ft (block by G. Williams)"
"440","7:39.0","Defensive rebound by J. Brown","","83-90","",""
"441","7:36.0","J. Brown makes 2-pt layup from 1 ft","+2","85-90","",""
"442","7:30.0","","","85-90","","Milwaukee full timeout"
"443","7:12.0","","","85-92","+2","G. Antetokounmpo makes 2-pt hook shot from 7 ft"
"444","6:56.0","Personal foul by B. Portis (drawn by G. Williams)","","85-92","",""
"445","6:53.0","J. Brown misses 3-pt jump shot from 23 ft","","85-92","",""
"446","6:51.0","","","85-92","","Defensive rebound by W. Matthews"
"447","6:41.0","","","85-92","","G. Antetokounmpo misses 2-pt layup from 1 ft (block by G. Williams)"
"448","6:41.0","","","85-92","","Offensive rebound by Team"
"449","6:33.0","","","85-92","","J. Holiday misses 2-pt jump shot from 11 ft"
"450","6:31.0","Defensive rebound by A. Horford","","85-92","",""
"451","6:29.0","J. Brown makes 2-pt layup from 2 ft (assist by M. Smart)","+2","87-92","",""
"452","6:29.0","Shooting foul by G. Antetokounmpo (drawn by J. Brown)","","87-92","",""
"453","6:29.0","J. Brown makes free throw 1 of 1","+1","88-92","",""
"454","6:09.0","","","88-92","","J. Holiday misses 2-pt jump shot from 19 ft"
"455","6:07.0","Defensive rebound by A. Horford","","88-92","",""
"456","5:59.0","M. Smart misses 2-pt layup from 3 ft (block by J. Holiday)","","88-92","",""
"457","5:59.0","Offensive rebound by Team","","88-92","",""
"458","5:59.0","","","88-92","","P. Connaughton enters the game for G. Allen"
"459","5:57.0","Offensive foul by G. Williams (drawn by P. Connaughton)","","88-92","",""
"460","5:57.0","Turnover by G. Williams (offensive foul)","","88-92","",""
"461","5:57.0","Boston full timeout","","88-92","",""
"462","5:57.0","Instant Replay (Challenge: Stands)","","88-92","",""
"463","5:57.0","","","88-92","","B. Lopez enters the game for B. Portis"
"464","5:39.0","","","88-94","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft"
"465","5:21.0","A. Horford makes 2-pt jump shot from 19 ft (assist by J. Tatum)","+2","90-94","",""
"466","5:02.0","","","90-97","+3","P. Connaughton makes 3-pt jump shot from 23 ft (assist by J. Holiday)"
"467","4:52.0","Personal foul by W. Matthews (drawn by J. Tatum)","","90-97","",""
"468","4:43.0","A. Horford makes 3-pt jump shot from 27 ft (assist by M. Smart)","+3","93-97","",""
"469","4:22.0","","","93-97","","J. Holiday misses 3-pt jump shot from 27 ft"
"470","4:20.0","Defensive rebound by J. Brown","","93-97","",""
"471","4:10.0","A. Horford makes 2-pt hook shot from 5 ft (assist by J. Tatum)","+2","95-97","",""
"472","3:44.0","","","95-97","","Turnover by G. Antetokounmpo (bad pass; steal by J. Tatum)"
"473","3:44.0","","","95-97","","Loose ball foul by W. Matthews (drawn by M. Smart)"
"474","3:44.0","M. Smart misses free throw 1 of 2","","95-97","",""
"475","3:44.0","Offensive rebound by Team","","95-97","",""
"476","3:44.0","","","95-97","","Milwaukee full timeout"
"477","3:44.0","M. Smart makes free throw 2 of 2","+1","96-97","",""
"478","3:26.0","","","96-97","","P. Connaughton misses 3-pt jump shot from 26 ft"
"479","3:26.0","Defensive rebound by Team","","96-97","",""
"480","3:03.0","J. Tatum misses 2-pt jump shot from 13 ft","","96-97","",""
"481","3:01.0","","","96-97","","Defensive rebound by P. Connaughton"
"482","2:48.0","","","96-99","+2","G. Antetokounmpo makes 2-pt hook shot from 9 ft"
"483","2:33.0","Personal foul by J. Holiday (drawn by J. Brown)","","96-99","",""
"484","2:33.0","J. Brown makes free throw 1 of 2","+1","97-99","",""
"485","2:33.0","J. Brown makes free throw 2 of 2","+1","98-99","",""
"486","2:18.0","","","98-99","","P. Connaughton misses 3-pt jump shot from 25 ft"
"487","2:16.0","Defensive rebound by J. Brown","","98-99","",""
"488","2:04.0","A. Horford misses 3-pt jump shot from 27 ft","","98-99","",""
"489","2:01.0","","","98-99","","Defensive rebound by P. Connaughton"
"490","1:53.0","","","98-99","","G. Antetokounmpo misses 2-pt layup from 2 ft"
"491","1:50.0","Defensive rebound by G. Williams","","98-99","",""
"492","1:49.0","Shooting foul by J. Holiday (drawn by J. Brown)","","98-99","",""
"493","1:49.0","J. Brown makes free throw 1 of 2","+1","99-99","",""
"494","1:49.0","J. Brown makes free throw 2 of 2","+1","100-99","",""
"495","1:29.0","","","100-99","","J. Holiday misses 3-pt jump shot from 27 ft (block by G. Williams)"
"496","1:27.0","","","100-99","","Offensive rebound by W. Matthews"
"497","1:25.0","","","100-99","","G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. Brown)"
"498","1:25.0","","","100-99","","Offensive rebound by Team"
"499","1:25.0","","","100-99","","Turnover by Team (shot clock)"
"500","1:03.0","J. Brown misses 3-pt jump shot from 29 ft","","100-99","",""
"501","1:00.0","Offensive rebound by G. Williams","","100-99","",""
"502","0:51.0","M. Smart misses 3-pt jump shot from 28 ft","","100-99","",""
"503","0:50.0","","","100-99","","Defensive rebound by Team"
"504","0:50.0","","","100-99","","Milwaukee full timeout"
"505","0:44.0","","","100-101","+2","G. Antetokounmpo makes 2-pt layup from 2 ft (assist by P. Connaughton)"
"506","0:35.0","J. Brown misses 2-pt layup from 2 ft","","100-101","",""
"507","0:29.0","","","100-101","","Defensive rebound by J. Holiday"
"508","0:11.0","","","100-103","+2","J. Holiday makes 2-pt jump shot from 12 ft"
"509","0:11.0","Boston full timeout","","100-103","",""
"510","0:11.0","","","100-103","","G. Hill enters the game for B. Lopez"
"511","0:04.0","Personal foul by J. Holiday (drawn by M. Smart)","","100-103","",""
"512","0:04.0","M. Smart makes free throw 1 of 2","+1","101-103","",""
"513","0:04.0","R. Williams enters the game for J. Brown","","101-103","",""
"514","0:04.0","","","101-103","","B. Lopez enters the game for P. Connaughton"
"515","0:04.0","","","101-103","","B. Portis enters the game for G. Hill"
"516","0:04.0","M. Smart misses free throw 2 of 2","","101-103","",""
"517","0:04.0","Offensive rebound by M. Smart","","101-103","",""
"518","0:03.0","M. Smart misses 2-pt jump shot from 5 ft","","101-103","",""
"519","0:02.0","Offensive rebound by R. Williams","","101-103","",""
"520","0:01.0","R. Williams misses 2-pt layup from 1 ft","","101-103","",""
"521","0:01.0","Offensive rebound by A. Horford","","101-103","",""
"522","0:01.0","A. Horford misses 2-pt layup from 2 ft","","101-103","",""
"523","0:00.0","Offensive rebound by Team","","101-103","",""
"524","0:00.0","Instant Replay (Request: Ruling Stands)","","101-103","",""
"525","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
