"","Time","Milwaukee","","Score","","Boston"
"87","0:41.0","G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by J. Holiday)","+2","19-27","",""
"88","0:18.0","","","19-30","+3","J. Brown makes 3-pt jump shot from 24 ft (assist by P. Pritchard)"
"89","0:09.0","Personal foul by J. Tatum (drawn by J. Holiday)","","19-30","",""
"90","0:09.0","J. Holiday makes free throw 1 of 2","+1","20-30","",""
"91","0:09.0","W. Matthews enters the game for G. Allen","","20-30","",""
"92","0:09.0","","","20-30","","G. Williams enters the game for R. Williams"
"93","0:09.0","J. Holiday makes free throw 2 of 2","+1","21-30","",""
"94","0:02.0","","","21-32","+2","J. Tatum makes 2-pt layup from 2 ft (assist by J. Brown)"
"95","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"96","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"97","Time","Milwaukee","","Score","","Boston"
"98","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"99","11:39.0","G. Antetokounmpo misses 3-pt jump shot from 23 ft","","21-32","",""
"100","11:35.0","","","21-32","","Defensive rebound by A. Horford"
"101","11:20.0","","","21-32","","Turnover by P. Pritchard (bad pass; steal by J. Carter)"
"102","11:17.0","Turnover by J. Carter (lost ball; steal by A. Horford)","","21-32","",""
"103","11:12.0","","","21-35","+3","P. Pritchard makes 3-pt jump shot from 25 ft (assist by D. White)"
"104","10:52.0","G. Antetokounmpo misses 2-pt layup from 4 ft","","21-35","",""
"105","10:50.0","","","21-35","","Defensive rebound by D. White"
"106","10:46.0","","","21-37","+2","A. Horford makes 2-pt layup from 1 ft (assist by D. White)"
"107","10:33.0","Personal foul by D. White (drawn by W. Matthews)","","21-37","",""
"108","10:23.0","W. Matthews makes 2-pt jump shot from 9 ft (assist by G. Antetokounmpo)","+2","23-37","",""
"109","10:01.0","","","23-37","","A. Horford misses 3-pt jump shot from 25 ft"
"110","9:58.0","Defensive rebound by B. Portis","","23-37","",""
"111","9:45.0","Turnover by P. Connaughton (bad pass; steal by A. Horford)","","23-37","",""
"112","9:41.0","","","23-37","","Turnover by A. Horford (off goaltending)"
"113","9:24.0","J. Carter makes 2-pt jump shot from 21 ft (assist by G. Antetokounmpo)","+2","25-37","",""
"114","9:03.0","","","25-37","","D. White misses 2-pt jump shot from 11 ft"
"115","9:01.0","Defensive rebound by G. Antetokounmpo","","25-37","",""
"116","8:50.0","Turnover by B. Portis (lost ball; steal by D. White)","","25-37","",""
"117","8:44.0","","","25-37","","Personal foul by J. Carter (drawn by D. White)"
"118","8:44.0","B. Lopez enters the game for P. Connaughton","","25-37","",""
"119","8:44.0","","","25-37","","R. Williams enters the game for A. Horford"
"120","8:29.0","","","25-37","","G. Williams misses 2-pt jump shot from 8 ft"
"121","8:26.0","Defensive rebound by B. Lopez","","25-37","",""
"122","8:20.0","G. Antetokounmpo misses 2-pt jump shot from 10 ft","","25-37","",""
"123","8:18.0","","","25-37","","Defensive rebound by G. Williams"
"124","8:10.0","","","25-37","","J. Tatum misses 3-pt jump shot from 25 ft"
"125","8:06.0","Defensive rebound by B. Portis","","25-37","",""
"126","7:46.0","Turnover by J. Carter (step out of bounds)","","25-37","",""
"127","7:46.0","J. Holiday enters the game for G. Antetokounmpo","","25-37","",""
"128","7:46.0","","","25-37","","J. Brown enters the game for P. Pritchard"
"129","7:29.0","","","25-39","+2","G. Williams makes 2-pt hook shot from 3 ft (assist by D. White)"
"130","7:10.0","J. Holiday misses 2-pt hook shot from 12 ft","","25-39","",""
"131","7:08.0","","","25-39","","Defensive rebound by J. Tatum"
"132","6:59.0","","","25-42","+3","J. Brown makes 3-pt jump shot from 24 ft (assist by D. White)"
"133","6:58.0","Milwaukee full timeout","","25-42","",""
"134","6:58.0","G. Allen enters the game for J. Carter","","25-42","",""
"135","6:58.0","","","25-42","","P. Pritchard enters the game for J. Tatum"
"136","6:35.0","Shooting foul by G. Williams (drawn by W. Matthews)","","25-42","",""
"137","6:35.0","W. Matthews makes free throw 1 of 2","+1","26-42","",""
"138","6:35.0","W. Matthews makes free throw 2 of 2","+1","27-42","",""
"139","6:23.0","","","27-42","","Shooting foul by B. Lopez (drawn by R. Williams)"
"140","6:23.0","","","27-43","+1","R. Williams makes free throw 1 of 2"
"141","6:23.0","","","27-44","+1","R. Williams makes free throw 2 of 2"
"142","6:01.0","Shooting foul by R. Williams (drawn by B. Portis)","","27-44","",""
"143","6:01.0","B. Portis makes free throw 1 of 2","+1","28-44","",""
"144","6:01.0","B. Portis makes free throw 2 of 2","+1","29-44","",""
"145","5:48.0","","","29-44","","D. White misses 3-pt jump shot from 26 ft"
"146","5:45.0","Defensive rebound by Team","","29-44","",""
"147","5:32.0","G. Allen misses 2-pt jump shot from 5 ft","","29-44","",""
"148","5:30.0","","","29-44","","Defensive rebound by G. Williams"
"149","5:18.0","","","29-44","","Turnover by J. Brown (back court)"
"150","5:11.0","Offensive foul by B. Portis (drawn by G. Williams)","","29-44","",""
"151","5:11.0","Turnover by B. Portis (offensive foul)","","29-44","",""
"152","5:11.0","P. Connaughton enters the game for B. Portis","","29-44","",""
"153","5:11.0","","","29-44","","A. Horford enters the game for P. Pritchard"
"154","5:11.0","","","29-44","","J. Tatum enters the game for R. Williams"
"155","4:56.0","","","29-44","","Personal foul by G. Allen (drawn by D. White)"
"156","4:47.0","","","29-47","+3","A. Horford makes 3-pt jump shot from 26 ft (assist by G. Williams)"
"157","4:40.0","Turnover by J. Holiday (lost ball; steal by J. Brown)","","29-47","",""
"158","4:38.0","","","29-47","","Shooting foul by J. Holiday (drawn by J. Tatum)"
"159","4:38.0","","","29-48","+1","J. Tatum makes free throw 1 of 2"
"160","4:38.0","G. Antetokounmpo enters the game for B. Lopez","","29-48","",""
"161","4:38.0","J. Carter enters the game for W. Matthews","","29-48","",""
"162","4:38.0","","","29-49","+1","J. Tatum makes free throw 2 of 2"
"163","4:14.0","J. Holiday makes 2-pt jump shot from 18 ft","+2","31-49","",""
"164","3:48.0","","","31-51","+2","A. Horford makes 2-pt layup from 3 ft (assist by J. Tatum)"
"165","3:36.0","Personal foul by D. White (drawn by G. Antetokounmpo)","","31-51","",""
"166","3:36.0","","","31-51","","Boston full timeout"
"167","3:36.0","","","31-51","","Instant Replay (Challenge: Stands)"
"168","3:36.0","","","31-51","","P. Pritchard enters the game for D. White"
"169","3:26.0","P. Connaughton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo)","+2","33-51","",""
"170","3:08.0","","","33-54","+3","J. Tatum makes 3-pt jump shot from 25 ft"
"171","2:52.0","J. Holiday makes 2-pt layup from 2 ft","+2","35-54","",""
"172","2:37.0","","","35-57","+3","P. Pritchard makes 3-pt jump shot from 24 ft (assist by J. Brown)"
"173","2:29.0","G. Antetokounmpo makes 2-pt layup from 3 ft (assist by J. Holiday)","+2","37-57","",""
"174","2:29.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","37-57","",""
"175","2:29.0","G. Antetokounmpo makes free throw 1 of 1","+1","38-57","",""
"176","2:17.0","","","38-57","","A. Horford misses 3-pt jump shot from 25 ft"
"177","2:14.0","Defensive rebound by G. Allen","","38-57","",""
"178","2:05.0","P. Connaughton makes 2-pt layup from 3 ft (assist by J. Holiday)","+2","40-57","",""
"179","2:05.0","","","40-57","","Violation by Team (def goaltending)"
"180","1:51.0","","","40-60","+3","G. Williams makes 3-pt jump shot from 23 ft (assist by P. Pritchard)"
"181","1:38.0","Turnover by G. Antetokounmpo (step out of bounds)","","40-60","",""
"182","1:21.0","","","40-60","","J. Tatum misses 3-pt jump shot from 24 ft"
"183","1:18.0","Defensive rebound by G. Antetokounmpo","","40-60","",""
"184","1:11.0","G. Antetokounmpo misses 2-pt layup from 3 ft","","40-60","",""
"185","1:09.0","","","40-60","","Defensive rebound by P. Pritchard"
"186","1:02.0","","","40-62","+2","J. Brown makes 2-pt jump shot from 14 ft"
"187","0:42.0","J. Holiday misses 2-pt layup from 4 ft","","40-62","",""
"188","0:40.0","","","40-62","","Defensive rebound by A. Horford"
"189","0:40.0","B. Lopez enters the game for G. Allen","","40-62","",""
"190","0:40.0","W. Matthews enters the game for J. Carter","","40-62","",""
"191","0:23.0","","","40-65","+3","J. Brown makes 3-pt jump shot from 26 ft (assist by G. Williams)"
"192","0:01.0","J. Holiday misses 2-pt jump shot from 19 ft","","40-65","",""
"193","0:01.0","Offensive rebound by Team","","40-65","",""
"194","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"195","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"196","Time","Milwaukee","","Score","","Boston"
"197","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"198","11:50.0","Offensive foul by B. Lopez (drawn by A. Horford)","","40-65","",""
"199","11:50.0","Turnover by B. Lopez (offensive foul)","","40-65","",""
"200","11:45.0","","","40-65","","Personal foul by G. Antetokounmpo (drawn by D. White)"
"201","11:36.0","","","40-65","","J. Brown misses 3-pt jump shot from 24 ft"
"202","11:32.0","","","40-65","","Offensive rebound by D. White"
"203","11:20.0","","","40-65","","J. Tatum misses 3-pt jump shot from 23 ft"
"204","11:17.0","Defensive rebound by B. Portis","","40-65","",""
"205","11:11.0","B. Lopez misses 2-pt jump shot from 5 ft","","40-65","",""
"206","11:09.0","","","40-65","","Defensive rebound by A. Horford"
"207","11:02.0","","","40-65","","D. White misses 3-pt jump shot from 27 ft"
"208","10:59.0","Defensive rebound by W. Matthews","","40-65","",""
"209","10:54.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","40-65","",""
"210","10:54.0","G. Antetokounmpo makes free throw 1 of 2","+1","41-65","",""
"211","10:54.0","G. Antetokounmpo misses free throw 2 of 2","","41-65","",""
"212","10:51.0","","","41-65","","Defensive rebound by A. Horford"
"213","10:28.0","Jump ball: G. Antetokounmpo vs. J. Tatum (B. Lopez gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (B. Lopez gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (B. Lopez gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (B. Lopez gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (B. Lopez gains possession)"
"214","10:28.0","","","41-65","","Turnover by J. Tatum (lost ball; steal by G. Antetokounmpo)"
"215","10:25.0","G. Antetokounmpo makes 2-pt layup from 3 ft","+2","43-65","",""
"216","10:25.0","Shooting foul by R. Williams (drawn by G. Antetokounmpo)","","43-65","",""
"217","10:25.0","G. Antetokounmpo misses free throw 1 of 1","","43-65","",""
"218","10:25.0","","","43-65","","Defensive rebound by D. White"
"219","10:13.0","","","43-67","+2","R. Williams makes 2-pt layup from 3 ft (assist by J. Brown)"
"220","10:05.0","G. Antetokounmpo makes 3-pt jump shot from 25 ft","+3","46-67","",""
"221","9:47.0","","","46-70","+3","J. Tatum makes 3-pt jump shot from 24 ft (assist by J. Brown)"
"222","9:35.0","Turnover by G. Antetokounmpo (lost ball; steal by J. Tatum)","","46-70","",""
"223","9:31.0","","","46-70","","Flagrant foul type 1 by B. Portis (drawn by A. Horford)"
"224","9:31.0","","","46-70","","Instant Replay (Request: Ruling Stands)"
"225","9:31.0","","","46-70","","G. Williams enters the game for R. Williams"
"226","9:31.0","","","46-71","+1","A. Horford makes flagrant free throw 1 of 2"
"227","9:31.0","","","46-72","+1","A. Horford makes flagrant free throw 2 of 2"
"228","9:22.0","","","46-72","","J. Brown misses 3-pt jump shot from 25 ft"
"229","9:19.0","Defensive rebound by B. Lopez","","46-72","",""
"230","9:09.0","G. Antetokounmpo makes 2-pt jump shot from 18 ft","+2","48-72","",""
"231","8:59.0","","","48-72","","Turnover by D. White (step out of bounds)"
"232","8:47.0","Turnover by J. Holiday (out of bounds lost ball)","","48-72","",""
"233","8:24.0","","","48-72","","G. Williams misses 3-pt jump shot from 27 ft"
"234","8:21.0","Defensive rebound by B. Lopez","","48-72","",""
"235","8:15.0","J. Holiday misses 3-pt jump shot from 25 ft","","48-72","",""
"236","8:11.0","Offensive rebound by B. Portis","","48-72","",""
"237","7:58.0","Turnover by Team (shot clock)","","48-72","",""
"238","7:37.0","","","48-72","","Turnover by J. Tatum (bad pass; steal by J. Holiday)"
"239","7:35.0","Personal take foul by D. White (drawn by G. Antetokounmpo)","","48-72","",""
"240","7:35.0","G. Allen enters the game for B. Portis","","48-72","",""
"241","7:27.0","J. Holiday misses 2-pt layup from 3 ft","","48-72","",""
"242","7:24.0","Offensive rebound by J. Holiday","","48-72","",""
"243","7:24.0","J. Holiday makes 2-pt layup at rim","+2","50-72","",""
"244","7:18.0","","","50-72","","Personal foul by J. Holiday (drawn by J. Brown)"
"245","7:18.0","J. Carter enters the game for J. Holiday","","50-72","",""
"246","7:18.0","","","50-72","","P. Pritchard enters the game for D. White"
"247","7:09.0","","","50-72","","J. Brown misses 2-pt jump shot from 20 ft"
"248","7:06.0","Defensive rebound by G. Antetokounmpo","","50-72","",""
"249","7:00.0","G. Antetokounmpo misses 2-pt jump shot from 19 ft","","50-72","",""
"250","6:57.0","","","50-72","","Defensive rebound by A. Horford"
"251","6:44.0","","","50-72","","P. Pritchard misses 2-pt jump shot from 20 ft"
"252","6:42.0","Defensive rebound by G. Antetokounmpo","","50-72","",""
"253","6:34.0","G. Antetokounmpo makes 2-pt layup at rim","+2","52-72","",""
"254","6:32.0","","","52-72","","Boston full timeout"
"255","6:32.0","J. Holiday enters the game for J. Carter","","52-72","",""
"256","6:10.0","","","52-72","","P. Pritchard misses 2-pt layup from 4 ft"
"257","6:08.0","","","52-72","","Offensive rebound by Team"
"258","6:08.0","","","52-72","","Turnover by Team (shot clock)"
"259","5:57.0","Offensive foul by G. Antetokounmpo (drawn by G. Williams)","","52-72","",""
"260","5:57.0","Turnover by G. Antetokounmpo (offensive foul)","","52-72","",""
"261","5:57.0","Instant Replay (Request: Ruling Stands)","","52-72","",""
"262","5:34.0","","","52-72","","G. Williams misses 3-pt jump shot from 26 ft"
"263","5:31.0","Defensive rebound by W. Matthews","","52-72","",""
"264","5:25.0","G. Antetokounmpo misses 2-pt hook shot from 10 ft","","52-72","",""
"265","5:23.0","Offensive rebound by Team","","52-72","",""
"266","5:23.0","","","52-72","","Loose ball foul by G. Williams (drawn by B. Lopez)"
"267","5:11.0","G. Antetokounmpo makes 2-pt layup from 1 ft","+2","54-72","",""
"268","5:00.0","","","54-72","","J. Tatum misses 3-pt jump shot from 26 ft"
"269","4:57.0","Defensive rebound by W. Matthews","","54-72","",""
"270","4:50.0","J. Holiday makes 2-pt jump shot from 12 ft","+2","56-72","",""
"271","4:49.0","","","56-72","","Boston full timeout"
"272","4:49.0","","","56-72","","R. Williams enters the game for A. Horford"
"273","4:36.0","","","56-72","","J. Brown misses 2-pt dunk from 5 ft (block by B. Lopez)"
"274","4:33.0","","","56-72","","Offensive rebound by R. Williams"
"275","4:31.0","","","56-75","+3","G. Williams makes 3-pt jump shot from 26 ft (assist by J. Tatum)"
"276","4:11.0","W. Matthews misses 3-pt jump shot from 25 ft (block by J. Tatum)","","56-75","",""
"277","4:09.0","","","56-75","","Defensive rebound by R. Williams"
"278","3:46.0","","","56-77","+2","J. Tatum makes 2-pt jump shot from 20 ft"
"279","3:27.0","G. Antetokounmpo makes 2-pt layup from 2 ft","+2","58-77","",""
"280","3:05.0","","","58-77","","Offensive foul by J. Tatum (drawn by W. Matthews)"
"281","3:05.0","","","58-77","","Turnover by J. Tatum (offensive foul)"
"282","3:05.0","J. Carter enters the game for B. Lopez","","58-77","",""
"283","3:05.0","B. Portis enters the game for W. Matthews","","58-77","",""
"284","3:00.0","G. Antetokounmpo makes 2-pt layup at rim","+2","60-77","",""
"285","3:00.0","Shooting foul by R. Williams (drawn by G. Antetokounmpo)","","60-77","",""
"286","3:00.0","G. Antetokounmpo misses free throw 1 of 1","","60-77","",""
"287","2:57.0","","","60-77","","Defensive rebound by P. Pritchard"
"288","2:42.0","","","60-79","+2","J. Tatum makes 2-pt jump shot from 7 ft (assist by P. Pritchard)"
"289","2:42.0","","","60-79","","Shooting foul by J. Carter (drawn by J. Tatum)"
"290","2:42.0","","","60-79","","A. Horford enters the game for J. Brown"
"291","2:42.0","","","60-79","","J. Tatum misses free throw 1 of 1"
"292","2:42.0","Defensive rebound by G. Antetokounmpo","","60-79","",""
"293","2:20.0","Turnover by J. Carter (bad pass; steal by J. Tatum)","","60-79","",""
"294","2:16.0","","","60-81","+2","R. Williams makes 2-pt dunk from 2 ft (assist by J. Tatum)"
"295","2:09.0","Milwaukee full timeout","","60-81","",""
"296","1:57.0","G. Antetokounmpo misses 2-pt layup from 7 ft (block by A. Horford)","","60-81","",""
"297","1:54.0","","","60-81","","Defensive rebound by A. Horford"
"298","1:54.0","","","60-81","","J. Tatum misses 3-pt jump shot from 26 ft"
"299","1:52.0","Defensive rebound by G. Allen","","60-81","",""
"300","1:46.0","Turnover by G. Antetokounmpo (bad pass; steal by J. Tatum)","","60-81","",""
"301","1:42.0","","","60-83","+2","J. Tatum makes 2-pt dunk from 2 ft"
"302","1:32.0","B. Portis makes 2-pt jump shot from 11 ft (assist by G. Antetokounmpo)","+2","62-83","",""
"303","1:13.0","","","62-83","","G. Williams misses 3-pt jump shot from 24 ft"
"304","1:10.0","Defensive rebound by B. Portis","","62-83","",""
"305","0:53.0","G. Antetokounmpo makes 2-pt layup from 4 ft","+2","64-83","",""
"306","0:53.0","Violation by Team (delay of game)","","64-83","",""
"307","0:32.0","","","64-83","","G. Williams misses 2-pt layup from 2 ft (block by G. Allen)"
"308","0:31.0","Defensive rebound by J. Holiday","","64-83","",""
"309","0:28.0","B. Portis makes 2-pt dunk from 2 ft (assist by J. Carter)","+2","66-83","",""
"310","0:07.0","","","66-83","","J. Tatum misses 2-pt jump shot from 22 ft"
"311","0:04.0","Defensive rebound by G. Antetokounmpo","","66-83","",""
"312","0:01.0","J. Holiday misses 3-pt jump shot from 44 ft","","66-83","",""
"313","0:01.0","Offensive rebound by Team","","66-83","",""
"314","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"315","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"316","Time","Milwaukee","","Score","","Boston"
"317","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"318","11:45.0","","","66-83","","D. White misses 3-pt jump shot from 24 ft"
"319","11:42.0","Defensive rebound by B. Portis","","66-83","",""
"320","11:31.0","P. Connaughton misses 3-pt jump shot from 23 ft","","66-83","",""
"321","11:28.0","Offensive rebound by B. Lopez","","66-83","",""
"322","11:27.0","B. Lopez makes 2-pt layup from 2 ft","+2","68-83","",""
"323","11:14.0","","","68-83","","A. Horford misses 3-pt jump shot from 23 ft"
"324","11:12.0","","","68-83","","Offensive rebound by Team"
"325","11:12.0","Loose ball foul by B. Lopez (drawn by R. Williams)","","68-83","",""
"326","11:00.0","","","68-85","+2","R. Williams makes 2-pt jump shot from 14 ft (assist by J. Brown)"
"327","10:43.0","B. Portis makes 2-pt hook shot from 10 ft","+2","70-85","",""
"328","10:28.0","","","70-88","+3","J. Brown makes 3-pt jump shot from 27 ft (assist by J. Tatum)"
"329","10:17.0","J. Holiday misses 2-pt jump shot from 4 ft (block by R. Williams)","","70-88","",""
"330","10:14.0","","","70-88","","Defensive rebound by D. White"
"331","10:08.0","","","70-88","","Offensive foul by J. Tatum (drawn by G. Allen)"
"332","10:08.0","","","70-88","","Turnover by J. Tatum (offensive foul)"
"333","9:56.0","J. Holiday misses 3-pt jump shot from 25 ft","","70-88","",""
"334","9:54.0","","","70-88","","Defensive rebound by J. Tatum"
"335","9:43.0","","","70-88","","J. Tatum misses 2-pt layup from 2 ft (block by B. Lopez)"
"336","9:39.0","","","70-88","","Offensive rebound by J. Brown"
"337","9:38.0","","","70-88","","Technical foul by J. Tatum"
"338","9:38.0","G. Allen misses technical free throw","","70-88","",""
"339","9:38.0","","","70-88","","Defensive rebound by Team"
"340","9:38.0","G. Antetokounmpo enters the game for G. Allen","","70-88","",""
"341","9:26.0","","","70-88","","Turnover by Team (shot clock)"
"342","9:17.0","Personal foul by A. Horford (drawn by G. Antetokounmpo)","","70-88","",""
"343","9:09.0","G. Antetokounmpo misses 2-pt jump shot from 6 ft","","70-88","",""
"344","9:07.0","Offensive rebound by G. Antetokounmpo","","70-88","",""
"345","9:07.0","Shooting foul by R. Williams (drawn by G. Antetokounmpo)","","70-88","",""
"346","9:07.0","G. Antetokounmpo misses free throw 1 of 2","","70-88","",""
"347","9:07.0","Offensive rebound by Team","","70-88","",""
"348","9:07.0","J. Carter enters the game for J. Holiday","","70-88","",""
