"","Time","Milwaukee","","Score","","Boston"
"2","12:00.0","Jump ball: B. Lopez vs. R. Williams (J. Brown gains possession)","Jump ball: B. Lopez vs. R. Williams (J. Brown gains possession)","Jump ball: B. Lopez vs. R. Williams (J. Brown gains possession)","Jump ball: B. Lopez vs. R. Williams (J. Brown gains possession)","Jump ball: B. Lopez vs. R. Williams (J. Brown gains possession)"
"3","11:38.0","","","0-0","","D. White misses 2-pt layup from 3 ft (block by B. Lopez)"
"4","11:35.0","Defensive rebound by B. Lopez","","0-0","",""
"5","11:30.0","G. Antetokounmpo misses 3-pt jump shot from 27 ft","","0-0","",""
"6","11:26.0","","","0-0","","Defensive rebound by A. Horford"
"7","11:16.0","","","0-2","+2","J. Brown makes 2-pt jump shot from 20 ft (assist by A. Horford)"
"8","10:57.0","Turnover by G. Antetokounmpo (bad pass; steal by J. Brown)","","0-2","",""
"9","10:45.0","","","0-4","+2","A. Horford makes 2-pt jump shot from 19 ft (assist by J. Tatum)"
"10","10:31.0","Turnover by J. Holiday (lost ball; steal by A. Horford)","","0-4","",""
"11","10:16.0","","","0-7","+3","J. Brown makes 3-pt jump shot from 24 ft (assist by A. Horford)"
"12","9:53.0","J. Holiday misses 2-pt jump shot from 18 ft","","0-7","",""
"13","9:51.0","","","0-7","","Defensive rebound by R. Williams"
"14","9:33.0","","","0-7","","D. White misses 3-pt jump shot from 23 ft"
"15","9:30.0","Defensive rebound by W. Matthews","","0-7","",""
"16","9:20.0","G. Antetokounmpo misses 2-pt jump shot from 15 ft","","0-7","",""
"17","9:17.0","","","0-7","","Defensive rebound by J. Brown"
"18","9:10.0","","","0-7","","J. Brown misses 2-pt jump shot from 19 ft"
"19","9:08.0","Defensive rebound by B. Portis","","0-7","",""
"20","8:57.0","G. Antetokounmpo misses 2-pt layup from 5 ft","","0-7","",""
"21","8:55.0","","","0-7","","Defensive rebound by A. Horford"
"22","8:40.0","","","0-7","","Turnover by J. Brown (bad pass; steal by J. Holiday)"
"23","8:36.0","B. Portis makes 2-pt layup from 3 ft (assist by J. Holiday)","+2","2-7","",""
"24","8:36.0","Shooting foul by D. White (drawn by B. Portis)","","2-7","",""
"25","8:36.0","","","2-7","","G. Williams enters the game for R. Williams"
"26","8:36.0","B. Portis makes free throw 1 of 1","+1","3-7","",""
"27","8:19.0","","","3-7","","A. Horford misses 2-pt layup from 3 ft (block by G. Antetokounmpo)"
"28","8:17.0","Defensive rebound by J. Holiday","","3-7","",""
"29","8:06.0","G. Antetokounmpo misses 2-pt hook shot from 8 ft","","3-7","",""
"30","8:03.0","","","3-7","","Defensive rebound by G. Williams"
"31","8:00.0","","","3-7","","Shooting foul by B. Lopez (drawn by J. Brown)"
"32","8:00.0","","","3-8","+1","J. Brown makes free throw 1 of 2"
"33","8:00.0","","","3-9","+1","J. Brown makes free throw 2 of 2"
"34","7:37.0","J. Holiday misses 2-pt layup from 3 ft","","3-9","",""
"35","7:35.0","","","3-9","","Defensive rebound by J. Brown"
"36","7:31.0","","","3-9","","Turnover by D. White (step out of bounds)"
"37","7:14.0","G. Antetokounmpo misses 2-pt jump shot from 15 ft","","3-9","",""
"38","7:12.0","","","3-9","","Defensive rebound by A. Horford"
"39","7:12.0","G. Allen enters the game for J. Holiday","","3-9","",""
"40","6:55.0","","","3-12","+3","J. Tatum makes 3-pt jump shot from 24 ft (assist by A. Horford)"
"41","6:41.0","G. Antetokounmpo misses 3-pt jump shot from 25 ft","","3-12","",""
"42","6:38.0","Offensive rebound by B. Lopez","","3-12","",""
"43","6:36.0","B. Portis misses 3-pt jump shot from 27 ft","","3-12","",""
"44","6:33.0","","","3-12","","Defensive rebound by G. Williams"
"45","6:26.0","","","3-15","+3","G. Williams makes 3-pt jump shot from 24 ft (assist by J. Tatum)"
"46","6:25.0","Milwaukee full timeout","","3-15","",""
"47","6:25.0","P. Connaughton enters the game for G. Antetokounmpo","","3-15","",""
"48","6:25.0","J. Holiday enters the game for W. Matthews","","3-15","",""
"49","6:25.0","","","3-15","","R. Williams enters the game for A. Horford"
"50","6:01.0","J. Holiday misses 2-pt jump shot from 16 ft (block by J. Brown)","","3-15","",""
"51","5:59.0","","","3-15","","Defensive rebound by J. Brown"
"52","5:52.0","","","3-18","+3","J. Brown makes 3-pt jump shot from 24 ft"
"53","5:36.0","J. Holiday makes 3-pt jump shot from 23 ft","+3","6-18","",""
"54","5:17.0","","","6-18","","J. Tatum misses 2-pt jump shot from 3 ft"
"55","5:16.0","","","6-18","","Offensive rebound by J. Tatum"
"56","5:15.0","","","6-18","","G. Williams misses 2-pt layup from 5 ft"
"57","5:12.0","","","6-18","","Offensive rebound by R. Williams"
"58","5:12.0","","","6-20","+2","R. Williams makes 2-pt layup at rim"
"59","4:47.0","J. Holiday makes 2-pt layup from 2 ft","+2","8-20","",""
"60","4:36.0","","","8-23","+3","G. Williams makes 3-pt jump shot from 23 ft (assist by R. Williams)"
"61","4:25.0","G. Allen makes 2-pt layup from 3 ft","+2","10-23","",""
"62","4:04.0","","","10-25","+2","J. Brown makes 2-pt jump shot from 18 ft"
"63","3:47.0","B. Portis makes 2-pt layup from 9 ft (assist by J. Holiday)","+2","12-25","",""
"64","3:47.0","G. Antetokounmpo enters the game for B. Lopez","","12-25","",""
"65","3:47.0","J. Carter enters the game for B. Portis","","12-25","",""
"66","3:47.0","","","12-25","","A. Horford enters the game for J. Tatum"
"67","3:47.0","","","12-25","","P. Pritchard enters the game for D. White"
"68","3:21.0","","","12-27","+2","J. Brown makes 2-pt jump shot from 17 ft"
"69","3:11.0","G. Allen misses 3-pt jump shot from 28 ft","","12-27","",""
"70","3:09.0","","","12-27","","Defensive rebound by P. Pritchard"
"71","2:46.0","","","12-27","","Instant Replay (Request: Ruling Stands)"
"72","2:46.0","","","12-27","","Turnover by Team (shot clock)"
"73","2:33.0","J. Holiday misses 3-pt jump shot from 26 ft","","12-27","",""
"74","2:30.0","","","12-27","","Defensive rebound by A. Horford"
"75","2:09.0","","","12-27","","R. Williams misses 2-pt jump shot from 21 ft"
"76","2:07.0","","","12-27","","Offensive rebound by Team"
"77","2:07.0","","","12-27","","Turnover by Team (shot clock)"
"78","2:07.0","","","12-27","","Boston full timeout"
"79","2:07.0","","","12-27","","J. Tatum enters the game for G. Williams"
"80","1:53.0","P. Connaughton makes 3-pt jump shot from 25 ft (assist by G. Allen)","+3","15-27","",""
"81","1:30.0","","","15-27","","J. Tatum misses 2-pt jump shot from 15 ft"
"82","1:25.0","Defensive rebound by P. Connaughton","","15-27","",""
"83","1:22.0","Personal foul by J. Brown (drawn by G. Antetokounmpo)","","15-27","",""
"84","1:10.0","P. Connaughton makes 2-pt layup from 2 ft (assist by G. Antetokounmpo)","+2","17-27","",""
"85","0:50.0","","","17-27","","A. Horford misses 3-pt jump shot from 24 ft"
"86","0:46.0","Defensive rebound by J. Carter","","17-27","",""
