"","Time","Utah","","Score","","Dallas"
"2","12:00.0","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)"
"3","11:48.0","M. Conley misses 3-pt jump shot from 25 ft","","0-0","",""
"4","11:47.0","","","0-0","","Defensive rebound by L. Doncic"
"5","11:33.0","","","0-2","+2","D. Powell makes 2-pt dunk at rim (assist by L. Doncic)"
"6","11:18.0","D. Mitchell misses 3-pt jump shot from 26 ft","","0-2","",""
"7","11:16.0","","","0-2","","Defensive rebound by L. Doncic"
"8","10:59.0","","","0-4","+2","L. Doncic makes 2-pt jump shot from 5 ft"
"9","10:46.0","B. Bogdanovic misses 3-pt jump shot from 25 ft","","0-4","",""
"10","10:43.0","Offensive rebound by R. Gobert","","0-4","",""
"11","10:32.0","B. Bogdanovic misses 2-pt jump shot from 10 ft","","0-4","",""
"12","10:30.0","","","0-4","","Defensive rebound by L. Doncic"
"13","10:21.0","","","0-4","","Turnover by L. Doncic (lost ball; steal by R. Gobert)"
"14","10:16.0","M. Conley makes 2-pt layup from 2 ft","+2","2-4","",""
"15","9:56.0","","","2-4","","J. Brunson misses 2-pt jump shot from 9 ft"
"16","9:54.0","Defensive rebound by D. Mitchell","","2-4","",""
"17","9:48.0","D. Mitchell makes 2-pt jump shot from 13 ft","+2","4-4","",""
"18","9:23.0","","","4-7","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by J. Brunson)"
"19","9:12.0","R. O'Neale misses 3-pt jump shot from 26 ft","","4-7","",""
"20","9:09.0","","","4-7","","Defensive rebound by D. Finney-Smith"
"21","8:59.0","","","4-7","","J. Brunson misses 3-pt jump shot from 24 ft"
"22","8:57.0","Defensive rebound by R. O'Neale","","4-7","",""
"23","8:51.0","D. Mitchell misses 3-pt jump shot from 26 ft","","4-7","",""
"24","8:47.0","","","4-7","","Defensive rebound by L. Doncic"
"25","8:39.0","","","4-7","","Turnover by L. Doncic (bad pass; steal by R. O'Neale)"
"26","8:25.0","Personal foul by J. Brunson (drawn by R. O'Neale)","","4-7","",""
"27","8:13.0","M. Conley misses 2-pt jump shot from 6 ft","","4-7","",""
"28","8:11.0","","","4-7","","Defensive rebound by L. Doncic"
"29","8:03.0","","","4-7","","L. Doncic misses 3-pt jump shot from 28 ft"
"30","8:00.0","","","4-7","","Offensive rebound by D. Finney-Smith"
"31","7:58.0","","","4-10","+3","D. Finney-Smith makes 3-pt jump shot from 25 ft"
"32","7:37.0","B. Bogdanovic misses 2-pt jump shot from 8 ft","","4-10","",""
"33","7:37.0","Offensive rebound by R. Gobert","","4-10","",""
"34","7:37.0","Shooting foul by L. Doncic (drawn by R. Gobert)","","4-10","",""
"35","7:37.0","R. Gobert misses free throw 1 of 2","","4-10","",""
"36","7:37.0","Offensive rebound by Team","","4-10","",""
"37","7:37.0","R. Gobert makes free throw 2 of 2","+1","5-10","",""
"38","7:16.0","","","5-10","","Turnover by L. Doncic (bad pass)"
"39","7:06.0","Shooting foul by R. Bullock (drawn by R. Gobert)","","5-10","",""
"40","7:06.0","R. Gobert misses free throw 1 of 2","","5-10","",""
"41","7:06.0","Offensive rebound by Team","","5-10","",""
"42","7:06.0","J. Clarkson enters the game for M. Conley","","5-10","",""
"43","7:06.0","R. Gobert makes free throw 2 of 2","+1","6-10","",""
"44","6:53.0","","","6-10","","L. Doncic misses 2-pt jump shot from 11 ft"
"45","6:50.0","","","6-10","","Offensive rebound by D. Finney-Smith"
"46","6:40.0","","","6-12","+2","D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson)"
"47","6:39.0","Utah full timeout","","6-12","",""
"48","6:39.0","H. Whiteside enters the game for R. Gobert","","6-12","",""
"49","6:18.0","D. Mitchell makes 2-pt jump shot from 8 ft","+2","8-12","",""
