"","Time","Utah","","Score","","Dallas"
"50","5:59.0","","","8-14","+2","D. Powell makes 2-pt layup from 1 ft (assist by L. Doncic)"
"51","5:47.0","H. Whiteside misses 2-pt jump shot from 5 ft","","8-14","",""
"52","5:45.0","","","8-14","","Defensive rebound by D. Powell"
"53","5:27.0","","","8-16","+2","D. Powell makes 2-pt layup from 1 ft (assist by D. Finney-Smith)"
"54","4:59.0","D. Mitchell misses 3-pt jump shot from 23 ft","","8-16","",""
"55","4:57.0","","","8-16","","Defensive rebound by D. Finney-Smith"
"56","4:50.0","","","8-16","","J. Brunson misses 3-pt jump shot from 23 ft"
"57","4:49.0","","","8-16","","Offensive rebound by Team"
"58","4:49.0","Loose ball foul by J. Clarkson (drawn by D. Finney-Smith)","","8-16","",""
"59","4:49.0","D. House enters the game for R. O'Neale","","8-16","",""
"60","4:49.0","","","8-16","","S. Dinwiddie enters the game for J. Brunson"
"61","4:49.0","","","8-16","","M. Kleber enters the game for D. Powell"
"62","4:40.0","","","8-16","","L. Doncic misses 3-pt jump shot from 25 ft"
"63","4:40.0","Defensive rebound by H. Whiteside","","8-16","",""
"64","4:26.0","Shooting foul by S. Dinwiddie (drawn by B. Bogdanovic)","","8-16","",""
"65","4:26.0","B. Bogdanovic makes free throw 1 of 2","+1","9-16","",""
"66","4:26.0","B. Bogdanovic misses free throw 2 of 2","","9-16","",""
"67","4:22.0","","","9-16","","Defensive rebound by M. Kleber"
"68","4:09.0","","","9-16","","Turnover by D. Finney-Smith (step out of bounds)"
"69","4:09.0","","","9-16","","J. Brunson enters the game for L. Doncic"
"70","3:56.0","J. Clarkson misses 2-pt jump shot from 10 ft","","9-16","",""
"71","3:54.0","","","9-16","","Defensive rebound by R. Bullock"
"72","3:48.0","","","9-18","+2","J. Brunson makes 2-pt layup from 2 ft"
"73","3:31.0","H. Whiteside misses 2-pt layup from 4 ft","","9-18","",""
"74","3:30.0","","","9-18","","Defensive rebound by M. Kleber"
"75","3:22.0","","","9-18","","Turnover by J. Brunson (lost ball; steal by H. Whiteside)"
"76","3:09.0","H. Whiteside misses 2-pt layup from 3 ft","","9-18","",""
"77","3:08.0","Offensive rebound by H. Whiteside","","9-18","",""
"78","3:05.0","H. Whiteside makes 2-pt hook shot from 5 ft","+2","11-18","",""
"79","2:45.0","","","11-18","","M. Kleber misses 3-pt jump shot from 24 ft"
"80","2:41.0","Defensive rebound by D. Mitchell","","11-18","",""
"81","2:39.0","D. Mitchell makes 2-pt layup from 1 ft","+2","13-18","",""
"82","2:39.0","Shooting foul by J. Brunson (drawn by D. Mitchell)","","13-18","",""
"83","2:39.0","","","13-18","","Dallas full timeout"
"84","2:39.0","R. Gobert enters the game for B. Bogdanovic","","13-18","",""
"85","2:39.0","J. Hernangómez enters the game for H. Whiteside","","13-18","",""
"86","2:39.0","","","13-18","","J. Green enters the game for R. Bullock"
"87","2:39.0","D. Mitchell makes free throw 1 of 1","+1","14-18","",""
"88","2:39.0","M. Conley enters the game for D. Mitchell","","14-18","",""
"89","2:19.0","","","14-18","","Shooting foul by R. Gobert (drawn by S. Dinwiddie)"
"90","2:19.0","","","14-18","","S. Dinwiddie misses free throw 1 of 2"
"91","2:19.0","","","14-18","","Offensive rebound by Team"
"92","2:19.0","","","14-18","","D. Bertans enters the game for D. Finney-Smith"
"93","2:19.0","","","14-19","+1","S. Dinwiddie makes free throw 2 of 2"
"94","1:57.0","R. Gobert makes 2-pt layup from 1 ft (assist by J. Clarkson)","+2","16-19","",""
"95","1:46.0","","","16-19","","J. Brunson misses 2-pt jump shot from 5 ft"
"96","1:44.0","Defensive rebound by J. Hernangómez","","16-19","",""
"97","1:24.0","Turnover by J. Clarkson (bad pass; steal by D. Bertans)","","16-19","",""
"98","1:09.0","","","16-22","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft"
"99","0:47.0","Offensive foul by M. Conley (drawn by J. Green)","","16-22","",""
"100","0:47.0","Turnover by M. Conley (offensive foul)","","16-22","",""
"101","0:30.0","","","16-24","+2","J. Brunson makes 2-pt jump shot from 7 ft"
"102","0:23.0","Shooting foul by J. Green (drawn by M. Conley)","","16-24","",""
"103","0:23.0","M. Conley makes free throw 1 of 3","+1","17-24","",""
"104","0:23.0","M. Conley misses free throw 2 of 3","","17-24","",""
"105","0:23.0","Offensive rebound by Team","","17-24","",""
"106","0:23.0","R. O'Neale enters the game for J. Clarkson","","17-24","",""
"107","0:23.0","M. Conley makes free throw 3 of 3","+1","18-24","",""
"108","0:04.0","","","18-24","","J. Brunson misses 3-pt jump shot from 25 ft"
"109","0:01.0","Defensive rebound by Team","","18-24","",""
"110","0:01.0","J. Clarkson enters the game for R. O'Neale","","18-24","",""
"111","0:00.0","J. Clarkson misses 3-pt jump shot from 45 ft","","18-24","",""
"112","0:00.0","Offensive rebound by Team","","18-24","",""
"113","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"114","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"115","Time","Utah","","Score","","Dallas"
"116","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"117","11:49.0","","","18-24","","J. Brunson misses 2-pt dunk from 1 ft"
"118","11:47.0","Defensive rebound by R. Gobert","","18-24","",""
"119","11:43.0","J. Hernangómez misses 3-pt jump shot from 25 ft","","18-24","",""
"120","11:39.0","","","18-24","","Defensive rebound by L. Doncic"
"121","11:36.0","","","18-26","+2","L. Doncic makes 2-pt layup from 1 ft"
"122","11:22.0","Offensive foul by J. Hernangómez (drawn by R. Bullock)","","18-26","",""
"123","11:22.0","Turnover by J. Hernangómez (offensive foul)","","18-26","",""
"124","11:09.0","","","18-26","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"125","11:08.0","Defensive rebound by D. House","","18-26","",""
"126","10:58.0","R. Gobert makes 2-pt layup from 1 ft (assist by M. Conley)","+2","20-26","",""
"127","10:43.0","","","20-28","+2","J. Brunson makes 2-pt layup from 2 ft (assist by D. Finney-Smith)"
"128","10:22.0","J. Clarkson makes 2-pt jump shot from 11 ft","+2","22-28","",""
"129","10:10.0","","","22-28","","L. Doncic misses 2-pt jump shot from 2 ft"
"130","10:08.0","","","22-28","","Offensive rebound by R. Bullock"
"131","10:01.0","","","22-30","+2","D. Finney-Smith makes 2-pt layup from 2 ft (assist by R. Bullock)"
"132","9:50.0","D. House makes 3-pt jump shot from 23 ft (assist by M. Conley)","+3","25-30","",""
"133","9:40.0","","","25-30","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"134","9:36.0","Defensive rebound by J. Clarkson","","25-30","",""
"135","9:24.0","J. Hernangómez makes 3-pt jump shot from 25 ft (assist by J. Clarkson)","+3","28-30","",""
"136","9:07.0","","","28-30","","L. Doncic misses 2-pt jump shot from 5 ft (block by D. House)"
"137","9:04.0","Defensive rebound by M. Conley","","28-30","",""
"138","8:58.0","J. Hernangómez misses 3-pt jump shot from 23 ft","","28-30","",""
"139","8:55.0","","","28-30","","Defensive rebound by S. Dinwiddie"
"140","8:49.0","","","28-30","","J. Brunson misses 3-pt jump shot from 25 ft"
"141","8:47.0","","","28-30","","Offensive rebound by D. Finney-Smith"
"142","8:45.0","","","28-30","","R. Bullock misses 3-pt jump shot from 24 ft"
"143","8:42.0","","","28-30","","Offensive rebound by J. Brunson"
"144","8:36.0","","","28-33","+3","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"145","8:35.0","Utah full timeout","","28-33","",""
"146","8:35.0","B. Bogdanovic enters the game for M. Conley","","28-33","",""
"147","8:35.0","D. Mitchell enters the game for R. Gobert","","28-33","",""
"148","8:35.0","H. Whiteside enters the game for J. Hernangómez","","28-33","",""
"149","8:35.0","","","28-33","","D. Powell enters the game for S. Dinwiddie"
"150","8:14.0","Turnover by D. Mitchell (bad pass; steal by R. Bullock)","","28-33","",""
"151","8:09.0","","","28-33","","Turnover by L. Doncic (bad pass; steal by D. Mitchell)"
"152","8:05.0","Turnover by D. Mitchell (bad pass)","","28-33","",""
"153","7:43.0","","","28-33","","Shooting foul by D. House (drawn by J. Brunson)"
"154","7:43.0","","","28-34","+1","J. Brunson makes free throw 1 of 2"
"155","7:43.0","R. O'Neale enters the game for D. House","","28-34","",""
"156","7:43.0","","","28-35","+1","J. Brunson makes free throw 2 of 2"
"157","7:23.0","Turnover by B. Bogdanovic (lost ball; steal by R. Bullock)","","28-35","",""
"158","7:00.0","","","28-37","+2","J. Brunson makes 2-pt layup from 1 ft"
"159","6:51.0","J. Clarkson makes 2-pt jump shot from 8 ft","+2","30-37","",""
"160","6:32.0","","","30-40","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"161","6:19.0","J. Clarkson makes 2-pt jump shot from 6 ft","+2","32-40","",""
"162","6:11.0","","","32-40","","Personal take foul by B. Bogdanovic (drawn by L. Doncic)"
"163","6:11.0","","","32-40","","S. Dinwiddie enters the game for L. Doncic"
"164","5:57.0","","","32-42","+2","J. Brunson makes 2-pt jump shot from 10 ft"
"165","5:57.0","","","32-42","","Shooting foul by B. Bogdanovic (drawn by J. Brunson)"
"166","5:57.0","","","32-43","+1","J. Brunson makes free throw 1 of 1"
"167","5:41.0","J. Clarkson misses 2-pt jump shot from 10 ft","","32-43","",""
"168","5:38.0","","","32-43","","Defensive rebound by J. Brunson"
"169","5:27.0","","","32-43","","J. Brunson misses 2-pt jump shot from 12 ft (block by H. Whiteside)"
"170","5:25.0","Defensive rebound by J. Clarkson","","32-43","",""
"171","5:19.0","D. Mitchell misses 3-pt jump shot from 22 ft","","32-43","",""
"172","5:16.0","","","32-43","","Defensive rebound by D. Powell"
"173","5:06.0","","","32-43","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"174","5:03.0","Defensive rebound by R. O'Neale","","32-43","",""
"175","4:57.0","B. Bogdanovic misses 3-pt jump shot from 24 ft","","32-43","",""
"176","4:54.0","","","32-43","","Defensive rebound by S. Dinwiddie"
"177","4:50.0","","","32-43","","R. Bullock misses 3-pt jump shot from 25 ft"
"178","4:47.0","Defensive rebound by Team","","32-43","",""
"179","4:47.0","R. Gobert enters the game for H. Whiteside","","32-43","",""
"180","4:33.0","Turnover by R. Gobert (off goaltending)","","32-43","",""
"181","4:33.0","","","32-43","","L. Doncic enters the game for J. Brunson"
"182","4:11.0","","","32-45","+2","L. Doncic makes 2-pt jump shot from 8 ft"
"183","3:57.0","Personal foul by S. Dinwiddie (drawn by B. Bogdanovic)","","32-45","",""
"184","3:57.0","M. Conley enters the game for J. Clarkson","","32-45","",""
"185","3:57.0","","","32-45","","M. Kleber enters the game for D. Powell"
"186","3:49.0","B. Bogdanovic misses 3-pt jump shot from 25 ft","","32-45","",""
"187","3:47.0","","","32-45","","Defensive rebound by M. Kleber"
"188","3:38.0","","","32-45","","L. Doncic misses 3-pt jump shot from 25 ft"
"189","3:35.0","Defensive rebound by R. Gobert","","32-45","",""
"190","3:22.0","R. O'Neale misses 3-pt jump shot from 26 ft","","32-45","",""
"191","3:19.0","","","32-45","","Defensive rebound by L. Doncic"
"192","3:02.0","","","32-47","+2","L. Doncic makes 2-pt jump shot from 13 ft"
"193","3:02.0","","","32-47","","Shooting foul by B. Bogdanovic (drawn by L. Doncic)"
"194","3:02.0","J. Clarkson enters the game for B. Bogdanovic","","32-47","",""
"195","3:02.0","","","32-47","","J. Green enters the game for R. Bullock"
"196","3:02.0","","","32-47","","L. Doncic misses free throw 1 of 1"
"197","2:58.0","","","32-47","","Offensive rebound by M. Kleber"
"198","2:50.0","","","32-47","","J. Green misses 3-pt jump shot from 25 ft"
"199","2:47.0","Defensive rebound by R. Gobert","","32-47","",""
"200","2:41.0","R. O'Neale misses 3-pt jump shot from 23 ft","","32-47","",""
"201","2:39.0","","","32-47","","Defensive rebound by J. Green"
"202","2:39.0","","","32-47","","Dallas full timeout"
"203","2:21.0","","","32-47","","D. Finney-Smith misses 2-pt jump shot from 8 ft"
"204","2:19.0","Defensive rebound by R. Gobert","","32-47","",""
"205","2:06.0","D. Mitchell misses 3-pt jump shot from 26 ft","","32-47","",""
"206","2:03.0","","","32-47","","Defensive rebound by S. Dinwiddie"
"207","1:49.0","","","32-47","","Turnover by L. Doncic (lost ball; steal by J. Clarkson)"
"208","1:46.0","Personal foul by L. Doncic (drawn by J. Clarkson)","","32-47","",""
"209","1:46.0","","","32-47","","J. Brunson enters the game for J. Green"
"210","1:40.0","M. Conley misses 2-pt jump shot from 7 ft","","32-47","",""
"211","1:40.0","Offensive rebound by Team","","32-47","",""
"212","1:34.0","D. Mitchell misses 2-pt jump shot from 8 ft","","32-47","",""
"213","1:33.0","","","32-47","","Defensive rebound by L. Doncic"
"214","1:16.0","","","32-49","+2","L. Doncic makes 2-pt layup from 2 ft"
"215","1:16.0","","","32-49","","Shooting foul by R. Gobert (drawn by L. Doncic)"
"216","1:16.0","","","32-50","+1","L. Doncic makes free throw 1 of 1"
"217","1:01.0","D. Mitchell misses 2-pt jump shot from 9 ft","","32-50","",""
"218","0:59.0","","","32-50","","Defensive rebound by L. Doncic"
"219","0:45.0","","","32-50","","Shooting foul by D. Mitchell (drawn by D. Finney-Smith)"
"220","0:45.0","","","32-51","+1","D. Finney-Smith makes free throw 1 of 2"
"221","0:45.0","","","32-52","+1","D. Finney-Smith makes free throw 2 of 2"
"222","0:39.0","J. Clarkson makes 2-pt layup from 3 ft","+2","34-52","",""
"223","0:31.0","","","34-52","","L. Doncic misses 3-pt jump shot from 25 ft"
"224","0:28.0","Defensive rebound by R. Gobert","","34-52","",""
"225","0:11.0","J. Clarkson makes 2-pt jump shot from 16 ft","+2","36-52","",""
"226","0:00.0","","","36-52","","L. Doncic misses 3-pt jump shot from 25 ft"
"227","0:00.0","","","36-52","","Offensive rebound by Team"
"228","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"229","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"230","Time","Utah","","Score","","Dallas"
"231","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"232","11:45.0","","","36-54","+2","L. Doncic makes 2-pt layup from 2 ft"
"233","11:24.0","R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell)","+3","39-54","",""
"234","10:59.0","","","39-56","+2","L. Doncic makes 2-pt jump shot from 15 ft (assist by J. Brunson)"
"235","10:47.0","Personal foul by D. Powell (drawn by R. Gobert)","","39-56","",""
"236","10:35.0","B. Bogdanovic misses 3-pt jump shot from 25 ft","","39-56","",""
"237","10:31.0","","","39-56","","Defensive rebound by L. Doncic"
"238","10:30.0","","","39-56","","Personal take foul by M. Conley (drawn by L. Doncic)"
"239","10:16.0","","","39-58","+2","L. Doncic makes 2-pt layup from 1 ft (assist by D. Finney-Smith)"
"240","9:55.0","Personal foul by R. Bullock (drawn by M. Conley)","","39-58","",""
"241","9:55.0","","","39-58","","Technical foul by R. Bullock"
"242","9:55.0","B. Bogdanovic makes technical free throw","+1","40-58","",""
"243","9:49.0","M. Conley misses 3-pt jump shot from 24 ft","","40-58","",""
"244","9:47.0","Offensive rebound by R. Gobert","","40-58","",""
"245","9:47.0","Personal foul by D. Finney-Smith (drawn by R. Gobert)","","40-58","",""
"246","9:41.0","R. O'Neale misses 3-pt jump shot from 26 ft","","40-58","",""
"247","9:38.0","","","40-58","","Defensive rebound by D. Powell"
"248","9:28.0","","","40-58","","Shooting foul by R. Gobert (drawn by L. Doncic)"
"249","9:28.0","","","40-59","+1","L. Doncic makes free throw 1 of 2"
"250","9:28.0","","","40-60","+1","L. Doncic makes free throw 2 of 2"
"251","9:07.0","R. O'Neale makes 2-pt layup from 1 ft (assist by B. Bogdanovic)","+2","42-60","",""
"252","8:57.0","","","42-63","+3","R. Bullock makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith)"
"253","8:38.0","R. Gobert makes 2-pt dunk from 1 ft (assist by M. Conley)","+2","44-63","",""
"254","8:24.0","","","44-63","","R. Bullock misses 3-pt jump shot from 27 ft"
"255","8:20.0","Defensive rebound by R. O'Neale","","44-63","",""
"256","8:14.0","D. Mitchell misses 2-pt layup from 3 ft","","44-63","",""
"257","8:13.0","","","44-63","","Defensive rebound by Team"
"258","8:13.0","","","44-63","","M. Kleber enters the game for D. Powell"
"259","8:13.0","Jump ball: D. Finney-Smith vs. R. Gobert (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. R. Gobert (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. R. Gobert (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. R. Gobert (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. R. Gobert (L. Doncic gains possession)"
"260","8:00.0","","","44-63","","L. Doncic misses 3-pt jump shot from 28 ft"
"261","7:58.0","","","44-63","","Offensive rebound by Team"
"262","7:58.0","Loose ball foul by R. Gobert (drawn by M. Kleber)","","44-63","",""
"263","7:58.0","H. Whiteside enters the game for R. Gobert","","44-63","",""
"264","7:51.0","","","44-63","","Shooting foul by M. Conley (drawn by J. Brunson)"
"265","7:51.0","","","44-64","+1","J. Brunson makes free throw 1 of 2"
"266","7:51.0","","","44-65","+1","J. Brunson makes free throw 2 of 2"
"267","7:34.0","D. Mitchell makes 2-pt jump shot from 9 ft (assist by R. O'Neale)","+2","46-65","",""
"268","7:20.0","","","46-65","","R. Bullock misses 3-pt jump shot from 26 ft"
"269","7:17.0","Defensive rebound by H. Whiteside","","46-65","",""
"270","7:06.0","Turnover by B. Bogdanovic (lost ball; steal by D. Finney-Smith)","","46-65","",""
"271","7:00.0","","","46-68","+3","J. Brunson makes 3-pt jump shot from 23 ft (assist by R. Bullock)"
"272","7:00.0","Utah full timeout","","46-68","",""
"273","7:00.0","J. Clarkson enters the game for M. Conley","","46-68","",""
"274","6:41.0","D. Mitchell misses 2-pt jump shot from 13 ft","","46-68","",""
"275","6:38.0","","","46-68","","Defensive rebound by L. Doncic"
"276","6:31.0","","","46-68","","Shooting foul by J. Clarkson (drawn by L. Doncic)"
"277","6:31.0","","","46-68","","L. Doncic misses free throw 1 of 2"
"278","6:31.0","","","46-68","","Offensive rebound by Team"
"279","6:31.0","","","46-68","","L. Doncic misses free throw 2 of 2"
"280","6:29.0","Defensive rebound by H. Whiteside","","46-68","",""
"281","6:07.0","Offensive foul by R. O'Neale (drawn by L. Doncic)","","46-68","",""
"282","6:07.0","Turnover by R. O'Neale (offensive foul)","","46-68","",""
"283","6:07.0","Instant Replay (Request: Ruling Stands)","","46-68","",""
"284","5:55.0","","","46-68","","R. Bullock misses 3-pt jump shot from 26 ft"
"285","5:51.0","Defensive rebound by J. Clarkson","","46-68","",""
"286","5:46.0","Turnover by D. Mitchell (bad pass; steal by R. Bullock)","","46-68","",""
"287","5:40.0","","","46-71","+3","L. Doncic makes 3-pt jump shot from 26 ft"
"288","5:28.0","B. Bogdanovic misses 2-pt jump shot from 7 ft","","46-71","",""
"289","5:28.0","","","46-71","","Defensive rebound by R. Bullock"
"290","5:04.0","","","46-74","+3","L. Doncic makes 3-pt jump shot from 28 ft"
"291","5:03.0","Utah full timeout","","46-74","",""
"292","5:03.0","D. House enters the game for R. O'Neale","","46-74","",""
"293","5:03.0","E. Paschall enters the game for H. Whiteside","","46-74","",""
"294","5:03.0","","","46-74","","S. Dinwiddie enters the game for J. Brunson"
"295","4:47.0","B. Bogdanovic misses 2-pt jump shot from 13 ft","","46-74","",""
"296","4:45.0","","","46-74","","Defensive rebound by R. Bullock"
"297","4:24.0","","","46-74","","Turnover by D. Finney-Smith (lost ball; steal by J. Clarkson)"
"298","4:16.0","E. Paschall misses 2-pt jump shot from 6 ft","","46-74","",""
"299","4:14.0","","","46-74","","Defensive rebound by L. Doncic"
"300","4:02.0","","","46-74","","Shooting foul by E. Paschall (drawn by L. Doncic)"
"301","4:02.0","","","46-75","+1","L. Doncic makes free throw 1 of 2"
"302","4:02.0","","","46-76","+1","L. Doncic makes free throw 2 of 2"
"303","3:47.0","J. Clarkson misses 3-pt jump shot from 24 ft (block by L. Doncic)","","46-76","",""
"304","3:43.0","","","46-76","","Defensive rebound by R. Bullock"
"305","3:40.0","","","46-79","+3","L. Doncic makes 3-pt jump shot from 29 ft (assist by S. Dinwiddie)"
"306","3:28.0","D. Mitchell misses 3-pt jump shot from 26 ft","","46-79","",""
"307","3:23.0","","","46-79","","Defensive rebound by R. Bullock"
"308","3:10.0","","","46-79","","L. Doncic misses 3-pt jump shot from 26 ft"
"309","3:07.0","Defensive rebound by E. Paschall","","46-79","",""
"310","3:03.0","D. House misses 2-pt layup from 1 ft","","46-79","",""
"311","3:01.0","","","46-79","","Defensive rebound by R. Bullock"
"312","2:44.0","","","46-79","","D. Finney-Smith misses 3-pt jump shot from 26 ft"
"313","2:41.0","Defensive rebound by J. Clarkson","","46-79","",""
"314","2:34.0","J. Clarkson makes 2-pt layup from 2 ft","+2","48-79","",""
"315","2:05.0","","","48-79","","D. Finney-Smith misses 2-pt layup from 1 ft"
"316","2:03.0","Defensive rebound by D. House","","48-79","",""
"317","1:44.0","Turnover by D. Mitchell (out of bounds lost ball)","","48-79","",""
"318","1:44.0","M. Conley enters the game for B. Bogdanovic","","48-79","",""
"319","1:44.0","R. Gobert enters the game for D. Mitchell","","48-79","",""
"320","1:44.0","J. Hernangómez enters the game for E. Paschall","","48-79","",""
"321","1:44.0","","","48-79","","J. Brunson enters the game for R. Bullock"
"322","1:20.0","","","48-81","+2","J. Brunson makes 2-pt jump shot from 7 ft"
"323","1:10.0","R. Gobert makes 2-pt dunk from 1 ft (assist by J. Clarkson)","+2","50-81","",""
"324","0:44.0","","","50-81","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"325","0:43.0","Defensive rebound by J. Hernangómez","","50-81","",""
"326","0:37.0","R. Gobert misses 2-pt layup from 4 ft","","50-81","",""
"327","0:37.0","Offensive rebound by R. Gobert","","50-81","",""
"328","0:37.0","R. Gobert makes 2-pt dunk at rim","+2","52-81","",""
"329","0:37.0","Shooting foul by D. Finney-Smith (drawn by R. Gobert)","","52-81","",""
"330","0:37.0","","","52-81","","R. Bullock enters the game for S. Dinwiddie"
"331","0:37.0","","","52-81","","J. Green enters the game for D. Finney-Smith"
"332","0:37.0","R. Gobert makes free throw 1 of 1","+1","53-81","",""
"333","0:31.0","","","53-81","","L. Doncic misses 2-pt jump shot from 8 ft"
"334","0:30.0","Defensive rebound by R. Gobert","","53-81","",""
"335","0:30.0","Personal foul by L. Doncic (drawn by R. Gobert)","","53-81","",""
"336","0:30.0","R. Gobert makes free throw 1 of 2","+1","54-81","",""
"337","0:30.0","R. Gobert makes free throw 2 of 2","+1","55-81","",""
"338","0:08.0","","","55-81","","J. Brunson misses 3-pt jump shot from 24 ft"
"339","0:05.0","Defensive rebound by D. House","","55-81","",""
"340","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"341","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"342","Time","Utah","","Score","","Dallas"
"343","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"344","11:40.0","J. Clarkson makes 2-pt jump shot from 23 ft","+2","57-81","",""
"345","11:24.0","","","57-81","","Personal foul by M. Conley (drawn by J. Brunson)"
"346","11:13.0","","","57-81","","J. Brunson misses 3-pt jump shot from 25 ft"
"347","11:11.0","","","57-81","","Offensive rebound by Team"
"348","11:11.0","Loose ball foul by R. Gobert (drawn by D. Powell)","","57-81","",""
