Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy,oponent_team
5:47.0,L.Doncic,2,98-105,4.0,2-pt,jump,8,makes,Dallas,2022-08-01 05:47:00,GSW
5:12.0,L.Doncic,2,98-105,4.0,2-pt,layup,ft,misses,Dallas,2022-08-01 05:12:00,GSW
4:49.0,L.Doncic,2,99-107,4.0,free,throw,2,makes,Dallas,2022-08-01 04:49:00,GSW
4:49.0,L.Doncic,2,100-107,4.0,free,throw,2,makes,Dallas,2022-08-01 04:49:00,GSW
4:17.0,L.Doncic,2,103-110,4.0,3-pt,jump,29,makes,Dallas,2022-08-01 04:17:00,GSW
3:36.0,L.Doncic,2,106-112,4.0,3-pt,jump,30,makes,Dallas,2022-08-01 03:36:00,GSW
2:25.0,L.Doncic,2,109-116,4.0,free,throw,2,makes,Dallas,2022-08-01 02:25:00,GSW
2:25.0,L.Doncic,2,110-116,4.0,free,throw,2,makes,Dallas,2022-08-01 02:25:00,GSW
1:30.0,L.Doncic,2,112-119,4.0,3-pt,jump,30,misses,Dallas,2022-08-01 01:30:00,GSW
11:09.0,L.Doncic,3,0-0,1.0,free,throw,2,misses,Dallas,2022-08-01 11:09:00,GSW
11:09.0,L.Doncic,3,0-1,1.0,free,throw,2,makes,Dallas,2022-08-01 11:09:00,GSW
10:45.0,L.Doncic,3,2-3,1.0,2-pt,layup,2,makes,Dallas,2022-08-01 10:45:00,GSW
9:21.0,L.Doncic,3,9-6,1.0,free,throw,2,makes,Dallas,2022-08-01 09:21:00,GSW
9:21.0,L.Doncic,3,9-7,1.0,free,throw,2,makes,Dallas,2022-08-01 09:21:00,GSW
7:10.0,L.Doncic,3,14-7,1.0,3-pt,jump,27,misses,Dallas,2022-08-01 07:10:00,GSW
6:01.0,L.Doncic,3,19-9,1.0,2-pt,jump,8,makes,Dallas,2022-08-01 06:01:00,GSW
4:24.0,L.Doncic,3,21-14,1.0,2-pt,jump,4,misses,Dallas,2022-08-01 04:24:00,GSW
2:25.0,L.Doncic,3,23-14,1.0,2-pt,jump,8,misses,Dallas,2022-08-01 02:25:00,GSW
0:00.0,L.Doncic,3,25-22,1.0,3-pt,jump,32,makes,Dallas,2022-08-01 00:00:00,GSW
5:51.0,L.Doncic,3,31-38,2.0,technical,free,,makes,Dallas,2022-08-01 05:51:00,GSW
5:17.0,L.Doncic,3,33-40,2.0,free,throw,2,makes,Dallas,2022-08-01 05:17:00,GSW
5:17.0,L.Doncic,3,33-41,2.0,free,throw,2,makes,Dallas,2022-08-01 05:17:00,GSW
3:24.0,L.Doncic,3,35-42,2.0,2-pt,jump,9,misses,Dallas,2022-08-01 03:24:00,GSW
2:46.0,L.Doncic,3,38-42,2.0,3-pt,jump,28,misses,Dallas,2022-08-01 02:46:00,GSW
2:17.0,L.Doncic,3,40-42,2.0,2-pt,jump,6,misses,Dallas,2022-08-01 02:17:00,GSW
1:24.0,L.Doncic,3,43-43,2.0,free,throw,2,makes,Dallas,2022-08-01 01:24:00,GSW
1:24.0,L.Doncic,3,43-44,2.0,free,throw,2,makes,Dallas,2022-08-01 01:24:00,GSW
10:46.0,L.Doncic,3,50-47,3.0,3-pt,jump,25,misses,Dallas,2022-08-01 10:46:00,GSW
10:22.0,L.Doncic,3,50-47,3.0,2-pt,jump,8,misses,Dallas,2022-08-01 10:22:00,GSW
9:56.0,L.Doncic,3,52-49,3.0,2-pt,layup,1,makes,Dallas,2022-08-01 09:56:00,GSW
8:43.0,L.Doncic,3,58-53,3.0,2-pt,jump,11,makes,Dallas,2022-08-01 08:43:00,GSW
5:03.0,L.Doncic,3,63-56,3.0,2-pt,jump,7,misses,Dallas,2022-08-01 05:03:00,GSW
11:46.0,L.Doncic,3,78-70,4.0,2-pt,layup,1,makes,Dallas,2022-08-01 11:46:00,GSW
10:03.0,L.Doncic,3,83-74,4.0,free,throw,2,makes,Dallas,2022-08-01 10:03:00,GSW
10:03.0,L.Doncic,3,83-73,4.0,free,throw,2,makes,Dallas,2022-08-01 10:03:00,GSW
9:41.0,L.Doncic,3,86-76,4.0,2-pt,dunk,1,makes,Dallas,2022-08-01 09:41:00,GSW
8:30.0,L.Doncic,3,89-81,4.0,3-pt,jump,25,makes,Dallas,2022-08-01 08:30:00,GSW
7:39.0,L.Doncic,3,89-81,4.0,2-pt,jump,19,misses,Dallas,2022-08-01 07:39:00,GSW
6:17.0,L.Doncic,3,93-83,4.0,3-pt,jump,28,misses,Dallas,2022-08-01 06:17:00,GSW
5:41.0,L.Doncic,3,95-84,4.0,free,throw,2,makes,Dallas,2022-08-01 05:41:00,GSW
5:41.0,L.Doncic,3,95-85,4.0,free,throw,2,makes,Dallas,2022-08-01 05:41:00,GSW
4:35.0,L.Doncic,3,97-85,4.0,free,throw,2,misses,Dallas,2022-08-01 04:35:00,GSW
4:35.0,L.Doncic,3,97-86,4.0,free,throw,2,makes,Dallas,2022-08-01 04:35:00,GSW
4:05.0,L.Doncic,3,100-88,4.0,2-pt,layup,2,makes,Dallas,2022-08-01 04:05:00,GSW
3:21.0,L.Doncic,3,102-91,4.0,3-pt,jump,25,makes,Dallas,2022-08-01 03:21:00,GSW
1:49.0,L.Doncic,3,104-96,4.0,3-pt,jump,26,makes,Dallas,2022-08-01 01:49:00,GSW
0:47.0,L.Doncic,3,107-99,4.0,3-pt,jump,25,misses,Dallas,2022-08-01 00:47:00,GSW
0:25.0,L.Doncic,3,107-100,4.0,free,throw,2,misses,Dallas,2022-08-01 00:25:00,GSW
0:25.0,L.Doncic,3,107-100,4.0,free,throw,2,makes,Dallas,2022-08-01 00:25:00,GSW
11:24.0,L.Doncic,4,0-0,1.0,3-pt,jump,22,misses,Dallas,2022-08-01 11:24:00,GSW
9:56.0,L.Doncic,4,2-3,1.0,2-pt,jump,13,misses,Dallas,2022-08-01 09:56:00,GSW
8:58.0,L.Doncic,4,6-3,1.0,2-pt,jump,4,misses,Dallas,2022-08-01 08:58:00,GSW
8:06.0,L.Doncic,4,9-6,1.0,free,throw,2,misses,Dallas,2022-08-01 08:06:00,GSW
8:06.0,L.Doncic,4,9-7,1.0,free,throw,2,makes,Dallas,2022-08-01 08:06:00,GSW
4:38.0,L.Doncic,4,16-18,1.0,2-pt,layup,2,makes,Dallas,2022-08-01 04:38:00,GSW
4:12.0,L.Doncic,4,16-19,1.0,free,throw,2,misses,Dallas,2022-08-01 04:12:00,GSW
4:12.0,L.Doncic,4,16-19,1.0,free,throw,2,makes,Dallas,2022-08-01 04:12:00,GSW
3:10.0,L.Doncic,4,18-19,1.0,2-pt,layup,ft,misses,Dallas,2022-08-01 03:10:00,GSW
1:49.0,L.Doncic,4,19-22,1.0,3-pt,jump,26,misses,Dallas,2022-08-01 01:49:00,GSW
0:31.0,L.Doncic,4,22-28,1.0,3-pt,jump,30,makes,Dallas,2022-08-01 00:31:00,GSW
5:15.0,L.Doncic,4,35-48,2.0,3-pt,jump,27,misses,Dallas,2022-08-01 05:15:00,GSW
3:30.0,L.Doncic,4,40-54,2.0,2-pt,layup,ft,misses,Dallas,2022-08-01 03:30:00,GSW
3:22.0,L.Doncic,4,40-55,2.0,free,throw,2,makes,Dallas,2022-08-01 03:22:00,GSW
3:22.0,L.Doncic,4,40-56,2.0,free,throw,2,makes,Dallas,2022-08-01 03:22:00,GSW
2:44.0,L.Doncic,4,42-56,2.0,2-pt,jump,14,misses,Dallas,2022-08-01 02:44:00,GSW
2:32.0,L.Doncic,4,42-58,2.0,2-pt,layup,3,makes,Dallas,2022-08-01 02:32:00,GSW
1:33.0,L.Doncic,4,47-62,2.0,2-pt,layup,1,makes,Dallas,2022-08-01 01:33:00,GSW
0:31.0,L.Doncic,4,47-62,2.0,3-pt,jump,28,misses,Dallas,2022-08-01 00:31:00,GSW
0:01.0,L.Doncic,4,47-62,2.0,2-pt,jump,5,misses,Dallas,2022-08-01 00:01:00,GSW
9:24.0,L.Doncic,4,50-72,3.0,2-pt,jump,5,makes,Dallas,2022-08-01 09:24:00,GSW
8:42.0,L.Doncic,4,52-75,3.0,3-pt,jump,24,makes,Dallas,2022-08-01 08:42:00,GSW
7:30.0,L.Doncic,4,54-78,3.0,2-pt,jump,17,misses,Dallas,2022-08-01 07:30:00,GSW
6:57.0,L.Doncic,4,56-81,3.0,3-pt,jump,26,makes,Dallas,2022-08-01 06:57:00,GSW
6:36.0,L.Doncic,4,56-81,3.0,3-pt,jump,25,misses,Dallas,2022-08-01 06:36:00,GSW
3:49.0,L.Doncic,4,65-89,3.0,3-pt,jump,26,misses,Dallas,2022-08-01 03:49:00,GSW
2:20.0,L.Doncic,4,67-95,3.0,3-pt,jump,25,misses,Dallas,2022-08-01 02:20:00,GSW
5:57.0,L.Doncic,4,89-107,4.0,2-pt,layup,1,makes,Dallas,2022-08-01 05:57:00,GSW
5:33.0,L.Doncic,4,89-107,4.0,2-pt,jump,5,misses,Dallas,2022-08-01 05:33:00,GSW
5:10.0,L.Doncic,4,91-108,4.0,free,throw,2,misses,Dallas,2022-08-01 05:10:00,GSW
5:10.0,L.Doncic,4,91-108,4.0,free,throw,2,makes,Dallas,2022-08-01 05:10:00,GSW
4:36.0,L.Doncic,4,94-110,4.0,2-pt,jump,2,makes,Dallas,2022-08-01 04:36:00,GSW
3:59.0,L.Doncic,4,97-110,4.0,3-pt,jump,35,misses,Dallas,2022-08-01 03:59:00,GSW
3:09.0,L.Doncic,4,102-112,4.0,2-pt,dunk,(assist,makes,Dallas,2022-08-01 03:09:00,GSW
0:54.0,L.Doncic,4,107-118,4.0,free,throw,2,makes,Dallas,2022-08-01 00:54:00,GSW
0:54.0,L.Doncic,4,107-119,4.0,free,throw,2,makes,Dallas,2022-08-01 00:54:00,GSW
8:52.0,L.Doncic,5,5-12,1.0,2-pt,layup,ft,misses,Dallas,2022-08-01 08:52:00,GSW
8:16.0,L.Doncic,5,7-14,1.0,2-pt,jump,11,makes,Dallas,2022-08-01 08:16:00,GSW
