"","Time","Milwaukee","","Score","","Boston"
"38","6:31.0","B. Portis makes 2-pt hook shot from 9 ft (assist by K. Middleton)","+2","12-14","",""
"39","6:21.0","","","12-14","","Personal foul by P. Connaughton (drawn by J. Tatum)"
"40","6:21.0","R. Hood enters the game for B. Portis","","12-14","",""
"41","6:21.0","","","12-14","","D. Schröder enters the game for J. Brown"
"42","6:11.0","","","12-14","","J. Tatum misses 2-pt jump shot from 15 ft"
"43","6:08.0","","","12-14","","Offensive rebound by A. Horford"
"44","6:08.0","","","12-14","","Personal foul by P. Connaughton (drawn by A. Horford)"
"45","6:08.0","D. Cousins enters the game for G. Antetokounmpo","","12-14","",""
"46","5:57.0","","","12-17","+3","A. Horford makes 3-pt jump shot from 26 ft (assist by M. Smart)"
"47","5:43.0","K. Middleton misses 3-pt jump shot from 27 ft","","12-17","",""
"48","5:39.0","","","12-17","","Defensive rebound by M. Smart"
"49","5:35.0","","","12-17","","J. Tatum misses 2-pt layup from 1 ft (block by D. Cousins)"
"50","5:33.0","","","12-17","","Offensive rebound by Team"
"51","5:33.0","J. Holiday enters the game for G. Allen","","12-17","",""
"52","5:33.0","","","12-17","","G. Williams enters the game for A. Horford"
"53","5:18.0","","","12-17","","M. Smart misses 2-pt jump shot from 10 ft"
"54","5:16.0","Defensive rebound by D. Cousins","","12-17","",""
"55","5:05.0","D. Cousins makes 3-pt jump shot from 27 ft (assist by J. Holiday)","+3","15-17","",""
"56","4:45.0","","","15-17","","M. Smart misses 3-pt jump shot from 26 ft"
"57","4:42.0","Defensive rebound by R. Hood","","15-17","",""
"58","4:34.0","R. Hood makes 2-pt hook shot from 11 ft","+2","17-17","",""
"59","4:16.0","","","17-17","","D. Schröder misses 3-pt jump shot from 27 ft"
"60","4:13.0","Defensive rebound by K. Middleton","","17-17","",""
"61","4:05.0","P. Connaughton makes 2-pt layup from 6 ft (assist by K. Middleton)","+2","19-17","",""
"62","4:05.0","","","19-17","","Boston full timeout"
"63","4:05.0","S. Mamukelashvili enters the game for K. Middleton","","19-17","",""
"64","4:05.0","","","19-17","","R. Langford enters the game for J. Tatum"
"65","3:54.0","","","19-19","+2","D. Schröder makes 2-pt layup from 6 ft"
"66","3:40.0","P. Connaughton misses 3-pt jump shot from 28 ft","","19-19","",""
"67","3:36.0","","","19-19","","Defensive rebound by R. Williams"
"68","3:29.0","","","19-19","","Turnover by D. Schröder (bad pass; steal by J. Holiday)"
"69","3:25.0","J. Holiday makes 3-pt jump shot from 26 ft","+3","22-19","",""
"70","3:05.0","","","22-19","","Turnover by D. Schröder (out of bounds lost ball)"
"71","3:05.0","","","22-19","","E. Freedom enters the game for R. Williams"
"72","2:52.0","D. Cousins makes 3-pt jump shot from 27 ft (assist by J. Holiday)","+3","25-19","",""
"73","2:36.0","","","25-21","+2","R. Langford makes 2-pt layup from 5 ft (assist by M. Smart)"
"74","2:21.0","S. Mamukelashvili misses 3-pt jump shot from 24 ft","","25-21","",""
"75","2:18.0","","","25-21","","Defensive rebound by R. Langford"
"76","2:02.0","","","25-21","","R. Langford misses 3-pt jump shot from 27 ft"
"77","1:58.0","","","25-21","","Offensive rebound by E. Freedom"
"78","1:53.0","","","25-21","","D. Schröder misses 2-pt jump shot from 4 ft"
"79","1:50.0","Defensive rebound by P. Connaughton","","25-21","",""
"80","1:41.0","P. Connaughton makes 3-pt jump shot from 24 ft (assist by D. Cousins)","+3","28-21","",""
"81","1:21.0","","","28-21","","Turnover by E. Freedom (lost ball; steal by P. Connaughton)"
"82","1:14.0","P. Connaughton makes 2-pt jump shot from 12 ft","+2","30-21","",""
"83","0:54.0","","","30-21","","M. Smart misses 2-pt jump shot from 18 ft"
"84","0:52.0","Defensive rebound by D. Cousins","","30-21","",""
"85","0:41.0","P. Connaughton misses 3-pt jump shot from 23 ft","","30-21","",""
"86","0:39.0","","","30-21","","Defensive rebound by R. Langford"
"87","0:35.0","","","30-21","","D. Schröder misses 3-pt jump shot from 26 ft"
"88","0:30.0","","","30-21","","Offensive rebound by M. Smart"
"89","0:24.0","","","30-21","","G. Williams misses 3-pt jump shot from 24 ft"
"90","0:21.0","Defensive rebound by R. Hood","","30-21","",""
"91","0:05.0","Personal foul by G. Williams (drawn by J. Holiday)","","30-21","",""
"92","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"93","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"94","Time","Milwaukee","","Score","","Boston"
"95","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"96","11:49.0","Personal foul by A. Horford (drawn by G. Antetokounmpo)","","30-21","",""
"97","11:33.0","B. Portis makes 3-pt jump shot from 23 ft (assist by G. Allen)","+3","33-21","",""
"98","11:22.0","","","33-24","+3","J. Brown makes 3-pt jump shot from 26 ft (assist by D. Schröder)"
"99","11:13.0","Turnover by K. Middleton (bad pass; steal by J. Brown)","","33-24","",""
"100","11:09.0","","","33-26","+2","R. Langford makes 2-pt layup from 3 ft (assist by J. Brown)"
"101","10:56.0","K. Middleton makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo)","+2","35-26","",""
"102","10:42.0","","","35-28","+2","J. Brown makes 2-pt jump shot from 21 ft"
"103","10:29.0","G. Allen makes 2-pt layup from 2 ft","+2","37-28","",""
"104","10:15.0","","","37-28","","R. Langford misses 3-pt jump shot from 24 ft"
"105","10:13.0","Defensive rebound by G. Antetokounmpo","","37-28","",""
"106","9:50.0","G. Antetokounmpo makes 2-pt layup from 2 ft","+2","39-28","",""
"107","9:42.0","","","39-28","","D. Schröder misses 2-pt layup from 2 ft"
"108","9:41.0","","","39-28","","Offensive rebound by R. Langford"
"109","9:39.0","","","39-31","+3","J. Tatum makes 3-pt jump shot from 25 ft (assist by R. Langford)"
"110","9:22.0","Turnover by G. Antetokounmpo (traveling)","","39-31","",""
"111","8:58.0","","","39-31","","J. Brown misses 2-pt jump shot from 20 ft"
"112","8:55.0","Defensive rebound by B. Portis","","39-31","",""
"113","8:43.0","K. Middleton misses 2-pt jump shot from 14 ft","","39-31","",""
"114","8:40.0","Offensive rebound by B. Portis","","39-31","",""
"115","8:38.0","B. Portis makes 2-pt hook shot from 6 ft","+2","41-31","",""
"116","8:11.0","","","41-31","","Turnover by Team (shot clock)"
"117","8:04.0","Turnover by J. Smart (bad pass)","","41-31","",""
"118","8:04.0","P. Connaughton enters the game for G. Antetokounmpo","","41-31","",""
"119","8:04.0","J. Holiday enters the game for J. Smart","","41-31","",""
"120","7:45.0","","","41-33","+2","A. Horford makes 2-pt hook shot from 6 ft (assist by J. Tatum)"
"121","7:23.0","B. Portis misses 3-pt jump shot from 26 ft (block by A. Horford)","","41-33","",""
"122","7:22.0","Offensive rebound by K. Middleton","","41-33","",""
"123","7:22.0","Personal foul by D. Schröder (drawn by K. Middleton)","","41-33","",""
"124","7:22.0","","","41-33","","G. Williams enters the game for J. Brown"
"125","7:14.0","Turnover by K. Middleton (bad pass)","","41-33","",""
"126","6:58.0","","","41-33","","D. Schröder misses 3-pt jump shot from 25 ft"
"127","6:54.0","Defensive rebound by K. Middleton","","41-33","",""
"128","6:45.0","P. Connaughton misses 3-pt jump shot from 27 ft","","41-33","",""
"129","6:43.0","","","41-33","","Defensive rebound by Team"
"130","6:43.0","","","41-33","","Boston full timeout"
"131","6:43.0","","","41-33","","A. Nesmith enters the game for A. Horford"
"132","6:43.0","","","41-33","","R. Williams enters the game for R. Langford"
"133","6:30.0","","","41-33","","Shooting foul by K. Middleton (drawn by J. Tatum)"
"134","6:30.0","","","41-34","+1","J. Tatum makes free throw 1 of 2"
"135","6:30.0","","","41-35","+1","J. Tatum makes free throw 2 of 2"
"136","6:15.0","Turnover by K. Middleton (bad pass; steal by R. Williams)","","41-35","",""
"137","6:00.0","","","41-35","","A. Nesmith misses 3-pt jump shot from 25 ft"
"138","5:57.0","Defensive rebound by K. Middleton","","41-35","",""
"139","5:45.0","B. Portis misses 2-pt layup from 2 ft","","41-35","",""
"140","5:43.0","","","41-35","","Defensive rebound by G. Williams"
"141","5:23.0","","","41-35","","J. Tatum misses 3-pt jump shot from 25 ft"
"142","5:23.0","G. Antetokounmpo enters the game for K. Middleton","","41-35","",""
"143","5:23.0","","","41-35","","J. Brown enters the game for J. Tatum"
"144","5:23.0","Defensive rebound by Team","","41-35","",""
"145","5:23.0","Jump ball: B. Portis vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Portis vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Portis vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Portis vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Portis vs. R. Williams (G. Antetokounmpo gains possession)"
"146","5:13.0","G. Allen misses 3-pt jump shot from 23 ft","","41-35","",""
"147","5:10.0","","","41-35","","Defensive rebound by R. Williams"
"148","5:03.0","","","41-35","","J. Brown misses 2-pt layup from 5 ft (block by B. Portis)"
"149","5:01.0","Defensive rebound by P. Connaughton","","41-35","",""
"150","5:01.0","Personal take foul by D. Schröder (drawn by G. Antetokounmpo)","","41-35","",""
"151","5:01.0","D. Cousins enters the game for G. Allen","","41-35","",""
"152","5:01.0","R. Hood enters the game for B. Portis","","41-35","",""
"153","5:01.0","","","41-35","","M. Smart enters the game for D. Schröder"
"154","4:50.0","D. Cousins misses 3-pt jump shot from 25 ft","","41-35","",""
"155","4:45.0","","","41-35","","Defensive rebound by J. Brown"
"156","4:39.0","","","41-35","","Turnover by J. Brown (lost ball; steal by J. Holiday)"
"157","4:35.0","G. Antetokounmpo makes 2-pt layup from 11 ft (assist by R. Hood)","+2","43-35","",""
"158","4:35.0","Shooting foul by J. Brown (drawn by G. Antetokounmpo)","","43-35","",""
"159","4:35.0","G. Antetokounmpo makes free throw 1 of 1","+1","44-35","",""
"160","4:22.0","","","44-35","","J. Brown misses 3-pt jump shot from 27 ft"
"161","4:20.0","","","44-35","","Offensive rebound by Team"
"162","4:14.0","","","44-35","","Turnover by J. Brown (traveling)"
"163","3:48.0","J. Holiday misses 2-pt jump shot from 11 ft","","44-35","",""
"164","3:44.0","","","44-35","","Defensive rebound by J. Brown"
"165","3:44.0","","","44-35","","A. Horford enters the game for A. Nesmith"
"166","3:44.0","","","44-35","","J. Tatum enters the game for R. Williams"
"167","3:34.0","","","44-38","+3","G. Williams makes 3-pt jump shot from 27 ft (assist by M. Smart)"
"168","3:12.0","R. Hood misses 3-pt jump shot from 23 ft","","44-38","",""
"169","3:12.0","","","44-38","","Defensive rebound by G. Williams"
"170","3:02.0","","","44-38","","M. Smart misses 3-pt jump shot from 26 ft"
"171","2:57.0","Defensive rebound by G. Antetokounmpo","","44-38","",""
"172","2:49.0","Turnover by G. Antetokounmpo (back court)","","44-38","",""
"173","2:49.0","Milwaukee full timeout","","44-38","",""
"174","2:31.0","","","44-41","+3","G. Williams makes 3-pt jump shot from 23 ft (assist by J. Tatum)"
"175","2:16.0","Def 3 sec tech foul by Team","","44-41","",""
"176","2:16.0","J. Holiday makes technical free throw","+1","45-41","",""
"177","2:16.0","K. Middleton enters the game for J. Holiday","","45-41","",""
"178","2:07.0","Turnover by G. Antetokounmpo (lost ball; steal by J. Brown)","","45-41","",""
"179","2:04.0","","","45-41","","Shooting foul by G. Antetokounmpo (drawn by J. Brown)"
"180","2:04.0","","","45-42","+1","J. Brown makes free throw 1 of 2"
"181","2:04.0","","","45-43","+1","J. Brown makes free throw 2 of 2"
"182","1:50.0","R. Hood misses 3-pt jump shot from 24 ft","","45-43","",""
"183","1:47.0","Offensive rebound by K. Middleton","","45-43","",""
"184","1:44.0","K. Middleton misses 2-pt layup from 3 ft","","45-43","",""
"185","1:42.0","","","45-43","","Defensive rebound by M. Smart"
"186","1:39.0","","","45-45","+2","J. Tatum makes 2-pt layup from 3 ft (assist by M. Smart)"
"187","1:23.0","G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton)","+2","47-45","",""
"188","1:23.0","G. Allen enters the game for D. Cousins","","47-45","",""
"189","1:12.0","","","47-45","","J. Brown misses 3-pt jump shot from 23 ft"
"190","1:10.0","","","47-45","","Offensive rebound by A. Horford"
"191","1:09.0","","","47-48","+3","J. Tatum makes 3-pt jump shot from 26 ft (assist by A. Horford)"
"192","0:57.0","K. Middleton misses 2-pt jump shot from 7 ft","","47-48","",""
"193","0:55.0","","","47-48","","Defensive rebound by A. Horford"
"194","0:51.0","","","47-48","","Turnover by J. Tatum (bad pass)"
"195","0:32.0","Shooting foul by A. Horford (drawn by P. Connaughton)","","47-48","",""
"196","0:32.0","","","47-48","","Violation by Team (delay of game)"
"197","0:32.0","P. Connaughton makes free throw 1 of 3","+1","48-48","",""
"198","0:32.0","P. Connaughton makes free throw 2 of 3","+1","49-48","",""
"199","0:32.0","P. Connaughton makes free throw 3 of 3","+1","50-48","",""
"200","0:13.0","","","50-51","+3","G. Williams makes 3-pt jump shot from 24 ft (assist by J. Tatum)"
"201","0:03.0","P. Connaughton misses 2-pt jump shot from 8 ft","","50-51","",""
"202","0:01.0","","","50-51","","Defensive rebound by Team"
"203","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"204","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"205","Time","Milwaukee","","Score","","Boston"
"206","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"207","11:47.0","K. Middleton misses 2-pt jump shot from 22 ft","","50-51","",""
"208","11:43.0","","","50-51","","Defensive rebound by R. Williams"
"209","11:40.0","","","50-53","+2","J. Tatum makes 2-pt layup from 2 ft (assist by R. Williams)"
"210","11:33.0","Personal foul by M. Smart (drawn by K. Middleton)","","50-53","",""
"211","11:16.0","K. Middleton misses 2-pt jump shot from 16 ft","","50-53","",""
"212","11:14.0","Offensive rebound by Team","","50-53","",""
"213","11:14.0","Turnover by Team (shot clock)","","50-53","",""
"214","11:06.0","","","50-53","","Personal foul by G. Allen (drawn by M. Smart)"
"215","10:49.0","","","50-53","","A. Horford misses 2-pt jump shot from 19 ft"
"216","10:47.0","Defensive rebound by K. Middleton","","50-53","",""
"217","10:42.0","J. Holiday misses 3-pt jump shot from 25 ft","","50-53","",""
"218","10:40.0","","","50-53","","Defensive rebound by J. Tatum"
"219","10:27.0","","","50-55","+2","J. Tatum makes 2-pt jump shot from 18 ft"
"220","10:11.0","G. Allen misses 3-pt jump shot from 23 ft","","50-55","",""
"221","10:09.0","","","50-55","","Defensive rebound by M. Smart"
"222","10:00.0","","","50-55","","R. Williams misses 2-pt layup from 5 ft"
"223","9:55.0","","","50-55","","Offensive rebound by R. Williams"
"224","9:55.0","","","50-57","+2","R. Williams makes 2-pt layup at rim"
"225","9:39.0","J. Holiday makes 2-pt jump shot from 7 ft","+2","52-57","",""
"226","9:21.0","","","52-57","","J. Tatum misses 3-pt jump shot from 27 ft"
"227","9:19.0","Defensive rebound by K. Middleton","","52-57","",""
"228","9:14.0","J. Holiday makes 2-pt layup from 2 ft (assist by B. Portis)","+2","54-57","",""
"229","9:03.0","","","54-57","","Turnover by J. Brown (lost ball; steal by J. Holiday)"
"230","9:00.0","B. Portis makes 2-pt dunk from 1 ft (assist by J. Holiday)","+2","56-57","",""
"231","8:38.0","","","56-59","+2","R. Williams makes 2-pt layup from 2 ft (assist by M. Smart)"
"232","8:28.0","J. Holiday misses 2-pt layup from 3 ft (block by J. Brown)","","56-59","",""
"233","8:26.0","","","56-59","","Defensive rebound by M. Smart"
"234","8:17.0","","","56-61","+2","J. Brown makes 2-pt jump shot from 13 ft"
"235","8:02.0","B. Portis misses 3-pt jump shot from 22 ft","","56-61","",""
"236","7:59.0","","","56-61","","Defensive rebound by J. Brown"
"237","7:49.0","","","56-64","+3","J. Tatum makes 3-pt jump shot from 26 ft (assist by A. Horford)"
"238","7:48.0","Milwaukee full timeout","","56-64","",""
"239","7:48.0","P. Connaughton enters the game for B. Portis","","56-64","",""
"240","7:35.0","J. Holiday misses 2-pt jump shot from 10 ft","","56-64","",""
"241","7:34.0","Offensive rebound by Team","","56-64","",""
"242","7:31.0","G. Antetokounmpo makes 2-pt jump shot from 13 ft (assist by J. Holiday)","+2","58-64","",""
"243","7:06.0","","","58-64","","A. Horford misses 2-pt hook shot from 6 ft"
"244","7:04.0","Defensive rebound by P. Connaughton","","58-64","",""
"245","6:48.0","G. Allen misses 2-pt layup from 5 ft","","58-64","",""
"246","6:47.0","","","58-64","","Defensive rebound by Team"
"247","6:37.0","","","58-64","","Shooting foul by K. Middleton (drawn by J. Brown)"
"248","6:37.0","","","58-65","+1","J. Brown makes free throw 1 of 2"
"249","6:37.0","","","58-66","+1","J. Brown makes free throw 2 of 2"
"250","6:30.0","Turnover by G. Antetokounmpo (bad pass; steal by J. Tatum)","","58-66","",""
"251","6:25.0","","","58-66","","Turnover by J. Tatum (lost ball; steal by G. Allen)"
"252","6:22.0","Shooting foul by R. Williams (drawn by G. Antetokounmpo)","","58-66","",""
"253","6:22.0","G. Antetokounmpo makes free throw 1 of 2","+1","59-66","",""
"254","6:22.0","R. Hood enters the game for K. Middleton","","59-66","",""
"255","6:22.0","G. Antetokounmpo makes free throw 2 of 2","+1","60-66","",""
"256","6:11.0","","","60-68","+2","R. Williams makes 2-pt layup from 2 ft (assist by M. Smart)"
"257","5:54.0","G. Allen makes 2-pt jump shot from 13 ft (assist by J. Holiday)","+2","62-68","",""
"258","5:41.0","","","62-68","","M. Smart misses 3-pt jump shot from 28 ft"
"259","5:38.0","Defensive rebound by G. Antetokounmpo","","62-68","",""
"260","5:33.0","G. Allen makes 3-pt jump shot from 23 ft (assist by P. Connaughton)","+3","65-68","",""
"261","5:33.0","","","65-68","","Boston full timeout"
"262","5:33.0","","","65-68","","D. Schröder enters the game for A. Horford"
"263","5:33.0","","","65-68","","G. Williams enters the game for J. Tatum"
"264","5:18.0","","","65-71","+3","J. Brown makes 3-pt jump shot from 29 ft (assist by M. Smart)"
"265","5:02.0","G. Antetokounmpo makes 2-pt layup from 2 ft (assist by P. Connaughton)","+2","67-71","",""
"266","4:45.0","","","67-71","","J. Brown misses 3-pt jump shot from 26 ft"
"267","4:42.0","Defensive rebound by G. Allen","","67-71","",""
"268","4:31.0","G. Allen misses 3-pt jump shot from 25 ft","","67-71","",""
"269","4:30.0","","","67-71","","Defensive rebound by G. Williams"
"270","4:22.0","","","67-71","","Personal foul by G. Allen (drawn by D. Schröder)"
"271","4:22.0","","","67-71","","R. Langford enters the game for J. Brown"
"272","4:17.0","","","67-74","+3","G. Williams makes 3-pt jump shot from 26 ft (assist by D. Schröder)"
"273","4:00.0","G. Antetokounmpo misses 2-pt jump shot from 14 ft","","67-74","",""
"274","3:57.0","Offensive rebound by P. Connaughton","","67-74","",""
"275","3:54.0","R. Hood misses 3-pt jump shot from 24 ft","","67-74","",""
"276","3:51.0","","","67-74","","Defensive rebound by R. Williams"
"277","3:38.0","","","67-74","","D. Schröder misses 2-pt jump shot from 17 ft"
"278","3:36.0","Defensive rebound by G. Antetokounmpo","","67-74","",""
"279","3:31.0","G. Antetokounmpo misses 3-pt jump shot from 25 ft","","67-74","",""
"280","3:28.0","","","67-74","","Defensive rebound by R. Williams"
"281","3:23.0","","","67-76","+2","M. Smart makes 2-pt layup from 5 ft"
"282","3:13.0","Shooting foul by R. Williams (drawn by J. Holiday)","","67-76","",""
"283","3:13.0","J. Holiday makes free throw 1 of 2","+1","68-76","",""
"284","3:13.0","D. Cousins enters the game for G. Allen","","68-76","",""
"285","3:13.0","B. Portis enters the game for G. Antetokounmpo","","68-76","",""
"286","3:13.0","","","68-76","","J. Tatum enters the game for M. Smart"
"287","3:13.0","J. Holiday misses free throw 2 of 2","","68-76","",""
"288","3:10.0","Offensive rebound by D. Cousins","","68-76","",""
"289","3:08.0","D. Cousins misses 2-pt hook shot from 7 ft (block by R. Williams)","","68-76","",""
"290","3:06.0","","","68-76","","Defensive rebound by D. Schröder"
"291","2:56.0","","","68-79","+3","R. Langford makes 3-pt jump shot from 23 ft (assist by G. Williams)"
"292","2:47.0","J. Holiday makes 2-pt layup from 2 ft","+2","70-79","",""
"293","2:28.0","","","70-81","+2","J. Tatum makes 2-pt jump shot from 8 ft"
"294","2:10.0","B. Portis misses 2-pt layup from 3 ft","","70-81","",""
"295","2:05.0","Offensive rebound by B. Portis","","70-81","",""
"296","2:05.0","B. Portis misses 2-pt layup at rim","","70-81","",""
"297","2:04.0","Offensive rebound by P. Connaughton","","70-81","",""
"298","2:04.0","J. Holiday makes 2-pt layup from 3 ft","+2","72-81","",""
"299","2:04.0","Instant Replay","","72-81","",""
"300","2:03.0","Loose ball foul by B. Portis (drawn by G. Williams)","","72-81","",""
"301","2:03.0","Technical foul by B. Portis","","72-81","",""
"302","2:03.0","","","72-81","","Technical foul by G. Williams"
"303","2:03.0","K. Middleton enters the game for P. Connaughton","","72-81","",""
"304","2:03.0","","","72-81","","A. Horford enters the game for R. Williams"
"305","1:46.0","","","72-83","+2","J. Tatum makes 2-pt layup from 4 ft"
"306","1:27.0","J. Holiday misses 2-pt jump shot from 9 ft","","72-83","",""
"307","1:24.0","","","72-83","","Defensive rebound by G. Williams"
"308","1:13.0","","","72-83","","D. Schröder misses 3-pt jump shot from 27 ft"
"309","1:09.0","","","72-83","","Offensive rebound by J. Tatum"
"310","1:08.0","","","72-83","","J. Tatum misses 3-pt jump shot from 26 ft"
"311","1:05.0","Defensive rebound by R. Hood","","72-83","",""
"312","0:50.0","J. Holiday makes 2-pt layup from 6 ft","+2","74-83","",""
"313","0:40.0","","","74-83","","Personal take foul by K. Middleton (drawn by D. Schröder)"
"314","0:40.0","","","74-84","+1","D. Schröder makes free throw 1 of 2"
"315","0:40.0","","","74-85","+1","D. Schröder makes free throw 2 of 2"
"316","0:40.0","J. Smart enters the game for K. Middleton","","74-85","",""
"317","0:30.0","J. Holiday misses 2-pt layup from 3 ft (block by R. Langford)","","74-85","",""
"318","0:29.0","Offensive rebound by Team","","74-85","",""
"319","0:25.0","J. Holiday misses 2-pt jump shot from 13 ft","","74-85","",""
"320","0:23.0","","","74-85","","Defensive rebound by A. Horford"
"321","0:01.0","","","74-85","","R. Langford misses 3-pt jump shot from 24 ft"
"322","0:01.0","Defensive rebound by J. Smart","","74-85","",""
"323","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"324","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"325","Time","Milwaukee","","Score","","Boston"
"326","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"327","11:41.0","","","74-85","","R. Langford misses 2-pt jump shot from 3 ft"
"328","11:37.0","Defensive rebound by B. Portis","","74-85","",""
"329","11:23.0","G. Antetokounmpo misses 2-pt jump shot from 11 ft","","74-85","",""
"330","11:18.0","Offensive rebound by B. Portis","","74-85","",""
"331","11:18.0","B. Portis makes 2-pt layup at rim","+2","76-85","",""
"332","11:05.0","","","76-87","+2","J. Tatum makes 2-pt jump shot from 14 ft (assist by A. Horford)"
"333","10:53.0","Turnover by J. Smart (back court)","","76-87","",""
"334","10:39.0","","","76-90","+3","D. Schröder makes 3-pt jump shot from 23 ft (assist by R. Langford)"
"335","10:22.0","P. Connaughton misses 3-pt jump shot from 27 ft","","76-90","",""
"336","10:20.0","Offensive rebound by G. Antetokounmpo","","76-90","",""
"337","10:20.0","G. Antetokounmpo makes 2-pt layup from 9 ft","+2","78-90","",""
"338","10:20.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","78-90","",""
"339","10:20.0","G. Antetokounmpo misses free throw 1 of 1","","78-90","",""
"340","10:20.0","","","78-90","","Defensive rebound by G. Williams"
"341","10:06.0","","","78-90","","G. Williams misses 3-pt jump shot from 27 ft"
"342","10:03.0","Defensive rebound by P. Connaughton","","78-90","",""
"343","9:55.0","Turnover by G. Allen (bad pass; steal by J. Tatum)","","78-90","",""
"344","9:43.0","","","78-90","","A. Horford misses 3-pt jump shot from 26 ft"
"345","9:39.0","Defensive rebound by P. Connaughton","","78-90","",""
"346","9:30.0","J. Smart makes 3-pt jump shot from 23 ft (assist by B. Portis)","+3","81-90","",""
"347","9:12.0","","","81-90","","J. Tatum misses 2-pt jump shot from 17 ft"
"348","9:08.0","Defensive rebound by B. Portis","","81-90","",""
