"","Time","Milwaukee","","Score","","Boston"
"2","12:00.0","Jump ball: B. Portis vs. R. Williams (M. Smart gains possession)","Jump ball: B. Portis vs. R. Williams (M. Smart gains possession)","Jump ball: B. Portis vs. R. Williams (M. Smart gains possession)","Jump ball: B. Portis vs. R. Williams (M. Smart gains possession)","Jump ball: B. Portis vs. R. Williams (M. Smart gains possession)"
"3","11:46.0","","","0-3","+3","J. Brown makes 3-pt jump shot from 23 ft (assist by M. Smart)"
"4","11:25.0","J. Holiday makes 2-pt jump shot from 22 ft","+2","2-3","",""
"5","11:13.0","","","2-3","","J. Brown misses 2-pt jump shot from 9 ft"
"6","11:09.0","Defensive rebound by G. Antetokounmpo","","2-3","",""
"7","11:02.0","K. Middleton makes 2-pt jump shot from 16 ft","+2","4-3","",""
"8","10:43.0","","","4-5","+2","R. Williams makes 2-pt hook shot from 4 ft (assist by J. Brown)"
"9","10:32.0","B. Portis misses 3-pt jump shot from 27 ft","","4-5","",""
"10","10:28.0","","","4-5","","Defensive rebound by J. Tatum"
"11","10:17.0","","","4-5","","J. Tatum misses 3-pt jump shot from 24 ft"
"12","10:15.0","Defensive rebound by G. Antetokounmpo","","4-5","",""
"13","10:02.0","B. Portis misses 3-pt jump shot from 23 ft","","4-5","",""
"14","9:59.0","","","4-5","","Defensive rebound by J. Brown"
"15","9:56.0","","","4-5","","Personal foul by K. Middleton (drawn by J. Brown)"
"16","9:43.0","","","4-7","+2","R. Williams makes 2-pt dunk from 1 ft (assist by M. Smart)"
"17","9:25.0","G. Antetokounmpo misses 2-pt jump shot from 17 ft","","4-7","",""
"18","9:22.0","","","4-7","","Defensive rebound by R. Williams"
"19","9:15.0","","","4-9","+2","J. Tatum makes 2-pt layup from 5 ft"
"20","8:54.0","G. Allen makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)","+3","7-9","",""
"21","8:33.0","","","7-9","","J. Tatum misses 3-pt jump shot from 26 ft"
"22","8:31.0","Defensive rebound by G. Antetokounmpo","","7-9","",""
"23","8:27.0","G. Antetokounmpo misses 3-pt jump shot from 27 ft","","7-9","",""
"24","8:24.0","","","7-9","","Defensive rebound by J. Tatum"
"25","8:13.0","","","7-9","","A. Horford misses 3-pt jump shot from 23 ft"
"26","8:10.0","Defensive rebound by K. Middleton","","7-9","",""
"27","7:54.0","Offensive foul by B. Portis (drawn by J. Brown)","","7-9","",""
"28","7:54.0","Turnover by B. Portis (offensive foul)","","7-9","",""
"29","7:41.0","","","7-9","","Turnover by J. Tatum (bad pass; steal by G. Antetokounmpo)"
"30","7:36.0","J. Holiday makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo)","+3","10-9","",""
"31","7:26.0","Violation by Team (kicked ball)","","10-9","",""
"32","7:16.0","","","10-12","+3","J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Brown)"
"33","7:09.0","Milwaukee full timeout","","10-12","",""
"34","7:09.0","P. Connaughton enters the game for J. Holiday","","10-12","",""
"35","6:54.0","G. Allen misses 3-pt jump shot from 26 ft","","10-12","",""
"36","6:51.0","","","10-12","","Defensive rebound by J. Tatum"
"37","6:42.0","","","10-14","+2","J. Brown makes 2-pt layup from 8 ft (assist by J. Tatum)"
