"","Time","Phoenix","","Score","","Dallas"
"149","6:31.0","","","37-51","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"150","6:27.0","Defensive rebound by M. Bridges","","37-51","",""
"151","6:19.0","C. Paul makes 3-pt jump shot from 23 ft (assist by D. Booker)","+3","40-51","",""
"152","6:04.0","","","40-51","","J. Brunson misses 2-pt jump shot from 14 ft"
"153","6:02.0","Defensive rebound by C. Paul","","40-51","",""
"154","5:57.0","M. Bridges misses 2-pt jump shot from 12 ft","","40-51","",""
"155","5:55.0","Offensive rebound by D. Ayton","","40-51","",""
"156","5:54.0","D. Ayton makes 2-pt layup at rim","+2","42-51","",""
"157","5:29.0","","","42-51","","J. Brunson misses 2-pt jump shot from 11 ft"
"158","5:29.0","Defensive rebound by Team","","42-51","",""
"159","5:29.0","","","42-51","","Loose ball foul by D. Powell (drawn by D. Ayton)"
"160","5:29.0","","","42-51","","L. Doncic enters the game for J. Brunson"
"161","5:29.0","","","42-51","","M. Kleber enters the game for D. Powell"
"162","5:29.0","","","42-51","","Technical foul by D. Powell"
"163","5:29.0","D. Booker makes technical free throw","+1","43-51","",""
"164","5:12.0","J. Crowder misses 3-pt jump shot from 22 ft","","43-51","",""
"165","5:10.0","","","43-51","","Defensive rebound by S. Dinwiddie"
"166","4:55.0","","","43-54","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"167","4:36.0","D. Booker makes 2-pt layup from 1 ft","+2","45-54","",""
"168","4:36.0","Shooting foul by M. Kleber (drawn by D. Booker)","","45-54","",""
"169","4:36.0","D. Booker makes free throw 1 of 1","+1","46-54","",""
"170","4:24.0","","","46-54","","L. Doncic misses 3-pt jump shot from 26 ft"
"171","4:22.0","Defensive rebound by D. Ayton","","46-54","",""
"172","4:15.0","Personal foul by R. Bullock (drawn by D. Ayton)","","46-54","",""
"173","4:05.0","C. Paul makes 2-pt layup from 1 ft","+2","48-54","",""
"174","3:52.0","","","48-57","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"175","3:36.0","D. Booker makes 2-pt layup from 1 ft","+2","50-57","",""
"176","3:24.0","","","50-57","","L. Doncic misses 2-pt jump shot from 13 ft"
"177","3:20.0","","","50-57","","Offensive rebound by D. Finney-Smith"
"178","3:18.0","","","50-57","","D. Finney-Smith misses 2-pt layup from 2 ft"
"179","3:18.0","Defensive rebound by M. Bridges","","50-57","",""
"180","3:12.0","M. Bridges misses 2-pt jump shot from 18 ft","","50-57","",""
"181","3:10.0","","","50-57","","Defensive rebound by M. Kleber"
"182","2:49.0","","","50-59","+2","M. Kleber makes 2-pt layup from 1 ft (assist by L. Doncic)"
"183","2:31.0","J. Crowder makes 2-pt layup at rim","+2","52-59","",""
"184","2:21.0","","","52-59","","Shooting foul by M. Bridges (drawn by L. Doncic)"
"185","2:21.0","Phoenix full timeout","","52-59","",""
"186","2:21.0","","","52-59","","J. Brunson enters the game for R. Bullock"
"187","2:21.0","","","52-59","","F. Ntilikina enters the game for S. Dinwiddie"
"188","2:21.0","","","52-60","+1","L. Doncic makes free throw 1 of 2"
"189","2:21.0","","","52-61","+1","L. Doncic makes free throw 2 of 2"
"190","2:11.0","","","52-61","","Violation by Team (kicked ball)"
"191","2:07.0","Turnover by J. Crowder (bad pass; steal by F. Ntilikina)","","52-61","",""
"192","1:52.0","","","52-61","","Personal foul by C. Paul (drawn by L. Doncic)"
"193","1:52.0","C. Payne enters the game for C. Paul","","52-61","",""
"194","1:40.0","","","52-61","","L. Doncic misses 3-pt jump shot from 26 ft"
"195","1:38.0","","","52-61","","Offensive rebound by M. Kleber"
"196","1:38.0","","","52-61","","Personal foul by J. Crowder (drawn by M. Kleber)"
"197","1:38.0","","","52-62","+1","M. Kleber makes free throw 1 of 2"
"198","1:38.0","","","52-63","+1","M. Kleber makes free throw 2 of 2"
"199","1:16.0","J. Crowder makes 2-pt jump shot from 10 ft (assist by C. Payne)","+2","54-63","",""
"200","0:56.0","","","54-63","","Turnover by L. Doncic (lost ball; steal by J. Crowder)"
"201","0:48.0","C. Payne misses 3-pt jump shot from 26 ft","","54-63","",""
"202","0:45.0","","","54-63","","Defensive rebound by L. Doncic"
"203","0:45.0","","","54-63","","Personal foul by M. Bridges (drawn by L. Doncic)"
"204","0:45.0","","","54-64","+1","L. Doncic makes free throw 1 of 2"
"205","0:45.0","C. Johnson enters the game for M. Bridges","","54-64","",""
"206","0:45.0","C. Paul enters the game for C. Payne","","54-64","",""
"207","0:45.0","","","54-65","+1","L. Doncic makes free throw 2 of 2"
"208","0:35.0","C. Johnson misses 3-pt jump shot from 23 ft","","54-65","",""
"209","0:34.0","Offensive rebound by D. Ayton","","54-65","",""
"210","0:34.0","D. Ayton makes 2-pt layup at rim","+2","56-65","",""
"211","0:25.0","","","56-65","","Personal foul by J. Crowder (drawn by L. Doncic)"
"212","0:25.0","","","56-65","","L. Doncic misses free throw 1 of 2"
"213","0:25.0","","","56-65","","Offensive rebound by Team"
"214","0:25.0","","","56-66","+1","L. Doncic makes free throw 2 of 2"
"215","0:02.0","C. Paul misses 2-pt jump shot from 16 ft","","56-66","",""
"216","0:01.0","","","56-66","","Defensive rebound by Team"
"217","0:01.0","Loose ball foul by C. Paul (drawn by L. Doncic)","","56-66","",""
"218","0:01.0","Instant Replay (Request: Ruling Stands)","","56-66","",""
"219","0:01.0","","","56-67","+1","L. Doncic makes free throw 1 of 2"
"220","0:01.0","","","56-68","+1","L. Doncic makes free throw 2 of 2"
"221","0:00.0","Turnover by J. Crowder (bad pass; steal by L. Doncic)","","56-68","",""
"222","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"223","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"224","Time","Phoenix","","Score","","Dallas"
"225","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"226","11:45.0","","","56-68","","Shooting foul by J. Crowder (drawn by D. Powell)"
"227","11:45.0","","","56-68","","D. Powell misses free throw 1 of 2"
"228","11:45.0","","","56-68","","Offensive rebound by Team"
"229","11:45.0","","","56-68","","D. Powell misses free throw 2 of 2"
"230","11:43.0","Defensive rebound by D. Ayton","","56-68","",""
"231","11:31.0","Shooting foul by R. Bullock (drawn by D. Ayton)","","56-68","",""
"232","11:31.0","D. Ayton misses free throw 1 of 2","","56-68","",""
"233","11:31.0","Offensive rebound by Team","","56-68","",""
"234","11:31.0","D. Ayton misses free throw 2 of 2","","56-68","",""
"235","11:29.0","","","56-68","","Defensive rebound by L. Doncic"
"236","11:19.0","","","56-68","","L. Doncic misses 3-pt jump shot from 27 ft"
"237","11:16.0","Defensive rebound by J. Crowder","","56-68","",""
"238","11:07.0","D. Booker makes 2-pt layup from 1 ft","+2","58-68","",""
"239","10:49.0","","","58-68","","L. Doncic misses 3-pt jump shot from 25 ft"
"240","10:45.0","Defensive rebound by J. Crowder","","58-68","",""
"241","10:31.0","J. Crowder misses 3-pt jump shot from 22 ft","","58-68","",""
"242","10:28.0","Offensive rebound by D. Ayton","","58-68","",""
"243","10:25.0","D. Booker misses 3-pt jump shot from 25 ft","","58-68","",""
"244","10:25.0","Offensive rebound by J. Crowder","","58-68","",""
"245","10:23.0","Shooting foul by L. Doncic (drawn by J. Crowder)","","58-68","",""
"246","10:23.0","J. Crowder misses free throw 1 of 2","","58-68","",""
"247","10:23.0","Offensive rebound by Team","","58-68","",""
"248","10:23.0","","","58-68","","M. Kleber enters the game for D. Powell"
"249","10:23.0","J. Crowder makes free throw 2 of 2","+1","59-68","",""
"250","10:01.0","","","59-68","","R. Bullock misses 3-pt jump shot from 22 ft"
"251","9:57.0","Defensive rebound by D. Booker","","59-68","",""
"252","9:49.0","Shooting foul by M. Kleber (drawn by D. Booker)","","59-68","",""
"253","9:49.0","D. Booker makes free throw 1 of 2","+1","60-68","",""
"254","9:49.0","D. Booker makes free throw 2 of 2","+1","61-68","",""
"255","9:33.0","","","61-68","","Turnover by J. Brunson (bad pass; steal by C. Paul)"
"256","9:32.0","Offensive foul by C. Paul (drawn by J. Brunson)","","61-68","",""
"257","9:32.0","Turnover by C. Paul (offensive foul)","","61-68","",""
"258","9:32.0","Phoenix full timeout","","61-68","",""
"259","9:32.0","Instant Replay (Challenge: Stands)","","61-68","",""
"260","9:32.0","C. Payne enters the game for C. Paul","","61-68","",""
"261","9:12.0","","","61-68","","L. Doncic misses 2-pt layup from 5 ft (block by D. Ayton)"
"262","9:12.0","","","61-68","","Offensive rebound by Team"
"263","9:08.0","","","61-68","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"264","9:06.0","Defensive rebound by D. Ayton","","61-68","",""
"265","8:50.0","C. Payne makes 2-pt layup from 2 ft (assist by M. Bridges)","+2","63-68","",""
"266","8:34.0","","","63-68","","J. Brunson misses 2-pt jump shot from 17 ft"
"267","8:30.0","","","63-68","","Offensive rebound by D. Finney-Smith"
"268","8:26.0","","","63-68","","M. Kleber misses 3-pt jump shot from 28 ft"
"269","8:24.0","","","63-68","","Offensive rebound by Team"
"270","8:24.0","Loose ball foul by M. Bridges (drawn by J. Brunson)","","63-68","",""
"271","8:24.0","C. Johnson enters the game for M. Bridges","","63-68","",""
"272","8:13.0","","","63-68","","L. Doncic misses 2-pt layup from 6 ft (block by J. Crowder)"
"273","8:13.0","","","63-68","","Offensive rebound by Team"
"274","8:10.0","","","63-70","+2","J. Brunson makes 2-pt jump shot from 15 ft (assist by L. Doncic)"
"275","7:59.0","D. Booker misses 2-pt jump shot from 9 ft","","63-70","",""
"276","7:58.0","","","63-70","","Defensive rebound by L. Doncic"
"277","7:47.0","","","63-70","","L. Doncic misses 2-pt layup from 3 ft"
"278","7:45.0","","","63-70","","Offensive rebound by M. Kleber"
"279","7:44.0","","","63-72","+2","M. Kleber makes 2-pt layup from 2 ft"
"280","7:31.0","Turnover by D. Ayton (lost ball; steal by L. Doncic)","","63-72","",""
"281","7:25.0","","","63-72","","R. Bullock misses 3-pt jump shot from 22 ft"
"282","7:23.0","","","63-72","","Offensive rebound by D. Finney-Smith"
"283","7:20.0","","","63-75","+3","D. Finney-Smith makes 3-pt jump shot from 22 ft (assist by L. Doncic)"
"284","6:55.0","D. Booker makes 2-pt jump shot from 10 ft (assist by C. Payne)","+2","65-75","",""
"285","6:30.0","","","65-75","","L. Doncic misses 2-pt jump shot from 11 ft"
"286","6:29.0","Defensive rebound by J. Crowder","","65-75","",""
"287","6:19.0","C. Johnson misses 2-pt jump shot from 13 ft","","65-75","",""
"288","6:17.0","","","65-75","","Defensive rebound by L. Doncic"
"289","6:17.0","","","65-75","","Personal foul by C. Payne (drawn by L. Doncic)"
"290","5:59.0","","","65-75","","Shooting foul by J. Crowder (drawn by J. Brunson)"
"291","5:59.0","","","65-75","","Instant Replay (Request: Stands)"
"292","5:59.0","","","65-75","","J. Brunson misses free throw 1 of 2"
"293","5:59.0","","","65-75","","Offensive rebound by Team"
"294","5:59.0","","","65-76","+1","J. Brunson makes free throw 2 of 2"
"295","5:43.0","D. Ayton makes 2-pt jump shot from 14 ft (assist by D. Booker)","+2","67-76","",""
"296","5:22.0","","","67-78","+2","L. Doncic makes 2-pt jump shot from 5 ft"
"297","5:11.0","J. Crowder misses 2-pt jump shot from 10 ft","","67-78","",""
"298","5:09.0","Offensive rebound by D. Booker","","67-78","",""
"299","5:06.0","D. Booker makes 2-pt layup from 1 ft","+2","69-78","",""
"300","4:45.0","","","69-78","","J. Brunson misses 3-pt jump shot from 23 ft"
"301","4:41.0","Defensive rebound by D. Ayton","","69-78","",""
"302","4:33.0","C. Johnson makes 2-pt layup from 2 ft (assist by C. Payne)","+2","71-78","",""
"303","4:22.0","","","71-80","+2","J. Brunson makes 2-pt layup from 1 ft (assist by D. Finney-Smith)"
"304","4:15.0","Turnover by D. Booker (out of bounds lost ball)","","71-80","",""
"305","4:15.0","","","71-80","","S. Dinwiddie enters the game for J. Brunson"
"306","4:01.0","","","71-82","+2","L. Doncic makes 2-pt jump shot from 5 ft"
"307","3:39.0","C. Johnson makes 3-pt jump shot from 25 ft (assist by J. Crowder)","+3","74-82","",""
"308","3:16.0","","","74-82","","M. Kleber misses 2-pt jump shot from 12 ft"
"309","3:14.0","Defensive rebound by D. Ayton","","74-82","",""
"310","3:06.0","D. Ayton misses 2-pt jump shot from 7 ft","","74-82","",""
"311","3:04.0","","","74-82","","Defensive rebound by R. Bullock"
"312","3:04.0","","","74-82","","Turnover by R. Bullock (bad pass)"
"313","3:04.0","J. McGee enters the game for D. Ayton","","74-82","",""
"314","3:04.0","L. Shamet enters the game for J. Crowder","","74-82","",""
"315","3:04.0","","","74-82","","D. Bertans enters the game for M. Kleber"
"316","3:01.0","C. Johnson misses 3-pt jump shot from 24 ft","","74-82","",""
"317","2:59.0","","","74-82","","Defensive rebound by L. Doncic"
"318","2:44.0","","","74-82","","D. Finney-Smith misses 3-pt jump shot from 22 ft"
"319","2:40.0","Defensive rebound by C. Payne","","74-82","",""
"320","2:33.0","C. Payne misses 2-pt layup from 1 ft","","74-82","",""
"321","2:32.0","Offensive rebound by J. McGee","","74-82","",""
"322","2:32.0","J. McGee misses 2-pt layup at rim","","74-82","",""
"323","2:31.0","Offensive rebound by J. McGee","","74-82","",""
"324","2:29.0","J. McGee makes 2-pt layup at rim","+2","76-82","",""
"325","2:04.0","","","76-82","","L. Doncic misses 2-pt jump shot from 4 ft"
"326","2:02.0","Defensive rebound by J. McGee","","76-82","",""
"327","1:57.0","Personal foul by S. Dinwiddie (drawn by D. Booker)","","76-82","",""
"328","1:57.0","","","76-82","","Dallas full timeout"
"329","1:57.0","","","76-82","","J. Brunson enters the game for R. Bullock"
"330","1:57.0","","","76-82","","F. Ntilikina enters the game for L. Doncic"
"331","1:49.0","C. Payne misses 2-pt jump shot from 6 ft","","76-82","",""
"332","1:48.0","","","76-82","","Defensive rebound by Team"
"333","1:32.0","","","76-82","","S. Dinwiddie misses 3-pt jump shot from 27 ft"
"334","1:28.0","Defensive rebound by C. Johnson","","76-82","",""
"335","1:17.0","Shooting foul by F. Ntilikina (drawn by D. Booker)","","76-82","",""
"336","1:17.0","D. Booker makes free throw 1 of 2","+1","77-82","",""
"337","1:17.0","D. Booker makes free throw 2 of 2","+1","78-82","",""
"338","1:03.0","","","78-84","+2","J. Brunson makes 2-pt jump shot from 6 ft"
"339","0:55.0","C. Payne misses 3-pt jump shot from 25 ft","","78-84","",""
"340","0:53.0","","","78-84","","Defensive rebound by S. Dinwiddie"
"341","0:48.0","","","78-84","","Offensive foul by J. Brunson (drawn by C. Payne)"
"342","0:48.0","","","78-84","","Turnover by J. Brunson (offensive foul)"
"343","0:33.0","D. Booker misses 2-pt jump shot from 8 ft","","78-84","",""
"344","0:31.0","","","78-84","","Defensive rebound by D. Bertans"
"345","0:15.0","","","78-87","+3","F. Ntilikina makes 3-pt jump shot from 24 ft (assist by J. Brunson)"
"346","0:02.0","D. Booker misses 3-pt jump shot from 25 ft","","78-87","",""
"347","0:02.0","","","78-87","","Defensive rebound by J. Brunson"
"348","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"349","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"350","Time","Phoenix","","Score","","Dallas"
"351","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"352","11:47.0","C. Johnson misses 3-pt jump shot from 25 ft","","78-87","",""
"353","11:46.0","","","78-87","","Defensive rebound by Team"
"354","11:46.0","Loose ball foul by J. McGee (drawn by D. Bertans)","","78-87","",""
