Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:48.0,C.Paul,6,28-28,2.0,3-pt,jump,25,makes,Phoenix,2022-06-14 11:48:00
9:03.0,C.Paul,6,35-37,2.0,2-pt,jump,9,makes,Phoenix,2022-06-14 09:03:00
1:51.0,C.Paul,6,43-52,2.0,3-pt,jump,31,misses,Phoenix,2022-06-14 01:51:00
8:33.0,C.Paul,6,48-68,3.0,2-pt,jump,17,misses,Phoenix,2022-06-14 08:33:00
7:33.0,C.Paul,6,49-70,3.0,free,throw,2,makes,Phoenix,2022-06-14 07:33:00
7:33.0,C.Paul,6,50-70,3.0,free,throw,2,makes,Phoenix,2022-06-14 07:33:00
8:28.0,C.Paul,6,76-96,4.0,3-pt,jump,26,misses,Phoenix,2022-06-14 08:28:00
7:53.0,C.Paul,6,79-96,4.0,3-pt,jump,23,makes,Phoenix,2022-06-14 07:53:00
5:16.0,C.Paul,6,84-100,4.0,3-pt,jump,26,makes,Phoenix,2022-06-14 05:16:00
11:14.0,C.Paul,7,2-0,1.0,2-pt,jump,14,misses,Phoenix,2022-06-14 11:14:00
6:46.0,C.Paul,7,10-5,1.0,2-pt,layup,ft,misses,Phoenix,2022-06-14 06:46:00
10:14.0,C.Paul,7,27-20,2.0,free,throw,2,misses,Phoenix,2022-06-14 10:14:00
10:14.0,C.Paul,7,27-20,2.0,free,throw,2,makes,Phoenix,2022-06-14 10:14:00
4:47.0,C.Paul,7,41-23,2.0,3-pt,jump,24,misses,Phoenix,2022-06-14 04:47:00
0:36.0,C.Paul,7,57-27,2.0,3-pt,jump,27,misses,Phoenix,2022-06-14 00:36:00
7:26.0,C.Paul,7,72-34,3.0,2-pt,jump,12,makes,Phoenix,2022-06-14 07:26:00
10:23.0,C.Paul,7,97-57,4.0,2-pt,layup,3,makes,Phoenix,2022-06-14 10:23:00
9:22.0,C.Paul,7,101-59,4.0,2-pt,jump,8,makes,Phoenix,2022-06-14 09:22:00
7:14.0,C.Paul,7,107-65,4.0,3-pt,jump,26,makes,Phoenix,2022-06-14 07:14:00
