"","Time","Boston","","Score","","Milwaukee"
"2","12:00.0","Jump ball: A. Horford vs. B. Lopez (G. Williams gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Williams gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Williams gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Williams gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Williams gains possession)"
"3","11:41.0","J. Brown makes 3-pt jump shot from 27 ft","+3","3-0","",""
"4","11:22.0","","","3-0","","G. Allen misses 3-pt jump shot from 27 ft"
"5","11:19.0","Defensive rebound by A. Horford","","3-0","",""
"6","11:11.0","A. Horford misses 3-pt jump shot from 27 ft","","3-0","",""
"7","11:08.0","","","3-0","","Defensive rebound by G. Antetokounmpo"
"8","11:05.0","","","3-0","","Shooting foul by A. Horford (drawn by G. Antetokounmpo)"
"9","11:05.0","","","3-1","+1","G. Antetokounmpo makes free throw 1 of 2"
"10","11:05.0","","","3-2","+1","G. Antetokounmpo makes free throw 2 of 2"
"11","10:55.0","M. Smart makes 3-pt jump shot from 27 ft (assist by G. Williams)","+3","6-2","",""
"12","10:41.0","","","6-2","","G. Allen misses 3-pt jump shot from 28 ft"
"13","10:38.0","Defensive rebound by G. Williams","","6-2","",""
"14","10:28.0","Turnover by J. Tatum (bad pass; steal by J. Holiday)","","6-2","",""
"15","10:25.0","","","6-2","","Shooting foul by G. Williams (drawn by G. Antetokounmpo)"
"16","10:25.0","","","6-3","+1","G. Antetokounmpo makes free throw 1 of 2"
"17","10:25.0","","","6-4","+1","G. Antetokounmpo makes free throw 2 of 2"
"18","10:07.0","J. Brown misses 3-pt jump shot from 27 ft","","6-4","",""
"19","10:02.0","","","6-4","","Defensive rebound by W. Matthews"
"20","9:57.0","","","6-4","","G. Allen misses 2-pt layup from 4 ft (block by A. Horford)"
"21","9:57.0","","","6-4","","Offensive rebound by Team"
"22","9:53.0","","","6-4","","Offensive foul by G. Antetokounmpo (drawn by G. Williams)"
"23","9:53.0","","","6-4","","Turnover by G. Antetokounmpo (offensive foul)"
"24","9:40.0","A. Horford misses 3-pt jump shot from 26 ft","","6-4","",""
"25","9:37.0","","","6-4","","Defensive rebound by B. Lopez"
"26","9:28.0","","","6-4","","J. Holiday misses 3-pt jump shot from 28 ft"
"27","9:26.0","Defensive rebound by J. Tatum","","6-4","",""
"28","9:12.0","J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart)","+3","9-4","",""
"29","8:53.0","","","9-4","","Shooting foul by J. Brown (drawn by G. Antetokounmpo)"
"30","8:53.0","","","9-5","+1","G. Antetokounmpo makes free throw 1 of 2"
"31","8:53.0","","","9-6","+1","G. Antetokounmpo makes free throw 2 of 2"
"32","8:36.0","M. Smart makes 3-pt jump shot from 27 ft (assist by J. Brown)","+3","12-6","",""
"33","8:13.0","","","12-6","","J. Holiday misses 2-pt hook shot from 2 ft"
"34","8:09.0","Defensive rebound by A. Horford","","12-6","",""
"35","8:06.0","J. Tatum makes 3-pt jump shot from 28 ft (assist by J. Brown)","+3","15-6","",""
"36","7:51.0","","","15-8","+2","G. Antetokounmpo makes 2-pt jump shot from 18 ft"
"37","7:45.0","Offensive foul by G. Williams (drawn by W. Matthews)","","15-8","",""
"38","7:45.0","Turnover by G. Williams (offensive foul)","","15-8","",""
"39","7:45.0","D. White enters the game for G. Williams","","15-8","",""
"40","7:45.0","","","15-8","","P. Connaughton enters the game for G. Allen"
"41","7:26.0","","","15-10","+2","B. Lopez makes 2-pt hook shot from 1 ft (assist by G. Antetokounmpo)"
"42","7:11.0","J. Tatum misses 2-pt jump shot from 22 ft","","15-10","",""
"43","7:08.0","Offensive rebound by M. Smart","","15-10","",""
"44","7:03.0","D. White misses 3-pt jump shot from 26 ft","","15-10","",""
"45","6:59.0","","","15-10","","Defensive rebound by W. Matthews"
"46","6:50.0","","","15-12","+2","P. Connaughton makes 2-pt layup from 4 ft (assist by J. Holiday)"
"47","6:35.0","Turnover by J. Brown (lost ball; steal by B. Lopez)","","15-12","",""
"48","6:24.0","","","15-14","+2","G. Antetokounmpo makes 2-pt layup from 3 ft"
"49","6:24.0","Boston full timeout","","15-14","",""
"50","6:24.0","","","15-14","","B. Portis enters the game for B. Lopez"
"51","6:06.0","D. White makes 2-pt layup from 9 ft","+2","17-14","",""
"52","5:57.0","","","17-17","+3","G. Antetokounmpo makes 3-pt jump shot from 27 ft"
"53","5:47.0","J. Tatum misses 2-pt jump shot from 12 ft (block by J. Holiday)","","17-17","",""
"54","5:47.0","","","17-17","","Defensive rebound by B. Portis"
"55","5:42.0","","","17-20","+3","J. Holiday makes 3-pt jump shot from 26 ft"
"56","5:24.0","J. Tatum misses 2-pt jump shot from 21 ft","","17-20","",""
"57","5:21.0","","","17-20","","Defensive rebound by P. Connaughton"
"58","5:12.0","","","17-22","+2","G. Antetokounmpo makes 2-pt hook shot from 10 ft"
"59","4:53.0","M. Smart makes 3-pt jump shot from 26 ft (assist by A. Horford)","+3","20-22","",""
"60","4:39.0","","","20-22","","G. Antetokounmpo misses 2-pt jump shot from 16 ft"
"61","4:37.0","Defensive rebound by J. Brown","","20-22","",""
"62","4:31.0","J. Brown misses 2-pt jump shot from 7 ft","","20-22","",""
"63","4:28.0","","","20-22","","Defensive rebound by P. Connaughton"
"64","4:15.0","","","20-22","","B. Portis misses 3-pt jump shot from 27 ft"
"65","4:15.0","Defensive rebound by Team","","20-22","",""
"66","4:15.0","D. Theis enters the game for J. Tatum","","20-22","",""
"67","4:15.0","","","20-22","","G. Hill enters the game for G. Antetokounmpo"
"68","4:15.0","","","20-22","","B. Lopez enters the game for W. Matthews"
"69","4:01.0","M. Smart misses 3-pt jump shot from 26 ft","","20-22","",""
"70","3:58.0","","","20-22","","Defensive rebound by B. Lopez"
"71","3:42.0","","","20-22","","Turnover by J. Holiday (bad pass; steal by D. White)"
"72","3:36.0","Personal foul by G. Hill (drawn by J. Brown)","","20-22","",""
"73","3:36.0","P. Pritchard enters the game for A. Horford","","20-22","",""
"74","3:25.0","Turnover by J. Brown (lost ball; steal by J. Holiday)","","20-22","",""
"75","3:08.0","","","20-24","+2","B. Lopez makes 2-pt jump shot from 7 ft"
"76","2:45.0","Personal foul by J. Holiday (drawn by M. Smart)","","20-24","",""
"77","2:45.0","","","20-24","","Milwaukee full timeout"
"78","2:45.0","A. Horford enters the game for J. Brown","","20-24","",""
"79","2:45.0","J. Tatum enters the game for D. Theis","","20-24","",""
"80","2:45.0","","","20-24","","G. Allen enters the game for J. Holiday"
"81","2:45.0","","","20-24","","G. Antetokounmpo enters the game for B. Lopez"
"82","2:31.0","M. Smart makes 3-pt jump shot from 23 ft (assist by A. Horford)","+3","23-24","",""
"83","2:10.0","","","23-24","","G. Antetokounmpo misses 2-pt jump shot from 10 ft"
"84","2:06.0","Defensive rebound by J. Tatum","","23-24","",""
"85","2:03.0","M. Smart makes 2-pt layup from 2 ft (assist by J. Tatum)","+2","25-24","",""
"86","1:45.0","","","25-24","","B. Portis misses 2-pt hook shot from 3 ft"
"87","1:42.0","Defensive rebound by J. Tatum","","25-24","",""
"88","1:26.0","P. Pritchard misses 3-pt jump shot from 27 ft","","25-24","",""
"89","1:23.0","","","25-24","","Defensive rebound by G. Antetokounmpo"
"90","1:09.0","","","25-24","","Personal foul by D. White (drawn by G. Hill)"
"91","0:59.0","","","25-24","","G. Antetokounmpo misses 2-pt jump shot from 9 ft"
"92","0:58.0","","","25-24","","Offensive rebound by G. Antetokounmpo"
"93","0:58.0","","","25-26","+2","G. Antetokounmpo makes 2-pt dunk at rim"
"94","0:45.0","J. Tatum makes 3-pt jump shot from 26 ft","+3","28-26","",""
"95","0:33.0","","","28-26","","B. Portis misses 3-pt jump shot from 28 ft"
"96","0:30.0","Defensive rebound by M. Smart","","28-26","",""
"97","0:10.0","M. Smart misses 3-pt jump shot from 27 ft","","28-26","",""
"98","0:07.0","","","28-26","","Defensive rebound by P. Connaughton"
"99","0:00.0","","","28-26","","G. Hill misses 2-pt layup from 5 ft (block by P. Pritchard)"
"100","0:00.0","Defensive rebound by A. Horford","","28-26","",""
"101","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"102","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"103","Time","Boston","","Score","","Milwaukee"
"104","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"105","11:38.0","","","28-26","","P. Connaughton misses 3-pt jump shot from 26 ft"
"106","11:38.0","Defensive rebound by Team","","28-26","",""
"107","11:38.0","","","28-26","","Violation by Team (delay of game)"
"108","11:22.0","J. Tatum makes 2-pt layup from 3 ft (assist by J. Brown)","+2","30-26","",""
"109","11:13.0","","","30-28","+2","B. Lopez makes 2-pt dunk from 3 ft (assist by G. Allen)"
"110","10:52.0","D. Theis makes 2-pt jump shot from 7 ft (assist by J. Tatum)","+2","32-28","",""
"111","10:45.0","","","32-28","","Offensive foul by B. Lopez (drawn by G. Williams)"
"112","10:45.0","","","32-28","","Turnover by B. Lopez (offensive foul)"
"113","10:45.0","","","32-28","","W. Matthews enters the game for P. Connaughton"
"114","10:32.0","J. Brown misses 2-pt layup from 3 ft","","32-28","",""
"115","10:30.0","","","32-28","","Defensive rebound by B. Lopez"
"116","10:16.0","","","32-30","+2","J. Holiday makes 2-pt jump shot from 18 ft"
"117","10:04.0","J. Tatum makes 3-pt jump shot from 27 ft","+3","35-30","",""
"118","9:50.0","","","35-30","","G. Antetokounmpo misses 2-pt layup from 5 ft"
"119","9:46.0","","","35-30","","Offensive rebound by G. Antetokounmpo"
"120","9:46.0","","","35-30","","G. Antetokounmpo misses 2-pt layup at rim"
"121","9:45.0","Defensive rebound by D. White","","35-30","",""
"122","9:34.0","J. Brown makes 3-pt jump shot from 24 ft (assist by J. Tatum)","+3","38-30","",""
"123","9:26.0","","","38-30","","Milwaukee full timeout"
"124","9:10.0","","","38-30","","J. Holiday misses 2-pt jump shot from 15 ft"
"125","9:07.0","Defensive rebound by G. Williams","","38-30","",""
"126","8:53.0","D. Theis misses 3-pt jump shot from 25 ft","","38-30","",""
"127","8:50.0","","","38-30","","Defensive rebound by G. Antetokounmpo"
"128","8:41.0","","","38-30","","G. Antetokounmpo misses 2-pt jump shot from 16 ft"
"129","8:39.0","Defensive rebound by D. Theis","","38-30","",""
"130","8:32.0","J. Tatum makes 2-pt hook shot from 7 ft","+2","40-30","",""
"131","8:17.0","","","40-30","","B. Lopez misses 3-pt jump shot from 27 ft"
"132","8:15.0","Defensive rebound by J. Tatum","","40-30","",""
"133","8:03.0","J. Tatum misses 3-pt jump shot from 27 ft","","40-30","",""
"134","8:01.0","","","40-30","","Defensive rebound by G. Antetokounmpo"
"135","8:01.0","","","40-30","","Personal take foul by D. Theis (drawn by G. Antetokounmpo)"
"136","7:59.0","","","40-30","","Turnover by G. Allen (bad pass; steal by G. Williams)"
"137","7:59.0","Personal take foul by G. Antetokounmpo (drawn by G. Williams)","","40-30","",""
"138","7:59.0","Instant Replay (Request: Ruling Stands)","","40-30","",""
"139","7:59.0","M. Smart enters the game for D. White","","40-30","",""
"140","7:59.0","","","40-30","","P. Connaughton enters the game for G. Allen"
"141","7:59.0","","","40-30","","B. Portis enters the game for B. Lopez"
"142","7:44.0","J. Tatum misses 3-pt jump shot from 27 ft","","40-30","",""
"143","7:42.0","","","40-30","","Defensive rebound by B. Portis"
"144","7:31.0","","","40-30","","W. Matthews misses 2-pt layup from 6 ft (block by J. Brown)"
"145","7:26.0","","","40-30","","Offensive rebound by B. Portis"
"146","7:25.0","","","40-33","+3","J. Holiday makes 3-pt jump shot from 27 ft (assist by P. Connaughton)"
"147","7:06.0","J. Tatum misses 2-pt layup from 7 ft","","40-33","",""
"148","7:03.0","","","40-33","","Defensive rebound by W. Matthews"
"149","7:02.0","","","40-35","+2","G. Antetokounmpo makes 2-pt layup from 2 ft"
"150","7:02.0","","","40-35","","Shooting foul by M. Smart (drawn by G. Antetokounmpo)"
"151","7:02.0","Boston full timeout","","40-35","",""
"152","7:02.0","Instant Replay (Challenge: Stands)","","40-35","",""
"153","7:02.0","A. Horford enters the game for D. Theis","","40-35","",""
"154","7:02.0","","","40-35","","G. Antetokounmpo misses free throw 1 of 1"
"155","6:59.0","Defensive rebound by A. Horford","","40-35","",""
"156","6:45.0","Personal foul by W. Matthews (drawn by J. Brown)","","40-35","",""
"157","6:37.0","J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart)","+2","42-35","",""
"158","6:37.0","Shooting foul by W. Matthews (drawn by J. Tatum)","","42-35","",""
"159","6:37.0","J. Tatum misses free throw 1 of 1","","42-35","",""
"160","6:32.0","","","42-35","","Defensive rebound by B. Portis"
"161","6:24.0","","","42-35","","J. Holiday misses 3-pt jump shot from 23 ft"
"162","6:20.0","Defensive rebound by M. Smart","","42-35","",""
"163","6:16.0","M. Smart misses 3-pt jump shot from 26 ft","","42-35","",""
"164","6:13.0","","","42-35","","Defensive rebound by J. Holiday"
"165","6:07.0","","","42-37","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by W. Matthews)"
"166","5:50.0","J. Tatum misses 2-pt jump shot from 12 ft","","42-37","",""
"167","5:47.0","","","42-37","","Defensive rebound by G. Antetokounmpo"
"168","5:41.0","","","42-37","","W. Matthews misses 3-pt jump shot from 24 ft"
"169","5:37.0","Defensive rebound by G. Williams","","42-37","",""
"170","5:25.0","J. Brown misses 2-pt jump shot from 17 ft","","42-37","",""
"171","5:23.0","","","42-37","","Defensive rebound by B. Portis"
"172","5:15.0","","","42-39","+2","J. Holiday makes 2-pt layup from 1 ft (assist by G. Antetokounmpo)"
"173","4:49.0","G. Williams misses 3-pt jump shot from 23 ft","","42-39","",""
"174","4:46.0","","","42-39","","Defensive rebound by G. Antetokounmpo"
"175","4:35.0","","","42-39","","G. Antetokounmpo misses 2-pt jump shot from 20 ft"
"176","4:32.0","Defensive rebound by J. Tatum","","42-39","",""
"177","4:31.0","Turnover by J. Tatum (lost ball; steal by G. Antetokounmpo)","","42-39","",""
"178","4:31.0","","","42-39","","G. Allen enters the game for W. Matthews"
"179","4:31.0","Jump ball: G. Antetokounmpo vs. J. Tatum (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (P. Connaughton gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (P. Connaughton gains possession)"
"180","4:12.0","","","42-39","","G. Allen misses 3-pt jump shot from 25 ft"
"181","4:12.0","","","42-39","","Offensive rebound by Team"
"182","4:12.0","D. White enters the game for G. Williams","","42-39","",""
"183","4:06.0","","","42-39","","J. Holiday misses 3-pt jump shot from 26 ft"
"184","4:05.0","","","42-39","","Offensive rebound by G. Allen"
"185","3:59.0","","","42-39","","G. Antetokounmpo misses 2-pt layup from 8 ft (block by A. Horford)"
"186","3:55.0","","","42-39","","Offensive rebound by Team"
"187","3:55.0","Jump ball: G. Antetokounmpo vs. A. Horford (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. A. Horford (G. Allen gains possession)"
"188","3:49.0","","","42-39","","G. Antetokounmpo misses 2-pt hook shot from 6 ft"
"189","3:49.0","","","42-39","","Offensive rebound by Team"
"190","3:49.0","","","42-39","","Turnover by Team (shot clock)"
"191","3:49.0","","","42-39","","B. Lopez enters the game for G. Antetokounmpo"
"192","3:25.0","J. Tatum misses 2-pt layup from 3 ft","","42-39","",""
"193","3:23.0","","","42-39","","Defensive rebound by J. Holiday"
"194","3:12.0","","","42-39","","J. Holiday misses 3-pt jump shot from 26 ft"
"195","3:12.0","Defensive rebound by Team","","42-39","",""
"196","2:58.0","D. White makes 3-pt jump shot from 29 ft (assist by A. Horford)","+3","45-39","",""
"197","2:31.0","","","45-41","+2","J. Holiday makes 2-pt jump shot from 15 ft"
"198","2:21.0","A. Horford misses 2-pt jump shot from 13 ft","","45-41","",""
"199","2:17.0","","","45-41","","Defensive rebound by B. Portis"
"200","1:59.0","","","45-41","","B. Lopez misses 3-pt jump shot from 26 ft"
"201","1:59.0","Defensive rebound by Team","","45-41","",""
"202","1:59.0","","","45-41","","Loose ball foul by B. Portis (drawn by M. Smart)"
"203","1:46.0","Shooting foul by G. Allen (drawn by J. Brown)","","45-41","",""
"204","1:46.0","J. Brown makes free throw 1 of 2","+1","46-41","",""
"205","1:46.0","","","46-41","","G. Antetokounmpo enters the game for J. Holiday"
"206","1:46.0","","","46-41","","G. Hill enters the game for B. Lopez"
"207","1:46.0","J. Brown makes free throw 2 of 2","+1","47-41","",""
"208","1:31.0","","","47-41","","G. Allen misses 2-pt jump shot from 2 ft"
"209","1:28.0","Defensive rebound by J. Brown","","47-41","",""
"210","1:19.0","J. Tatum misses 3-pt jump shot from 27 ft","","47-41","",""
"211","1:16.0","Offensive rebound by Team","","47-41","",""
"212","1:16.0","","","47-41","","W. Matthews enters the game for G. Allen"
"213","1:08.0","D. White makes 2-pt jump shot from 14 ft","+2","49-41","",""
"214","1:00.0","","","49-41","","Turnover by G. Antetokounmpo (bad pass)"
"215","1:00.0","","","49-41","","J. Holiday enters the game for B. Portis"
"216","0:45.0","J. Brown misses 3-pt jump shot from 28 ft","","49-41","",""
"217","0:43.0","Offensive rebound by D. White","","49-41","",""
"218","0:40.0","Turnover by A. Horford (traveling)","","49-41","",""
"219","0:34.0","","","49-43","+2","W. Matthews makes 2-pt layup from 1 ft (assist by G. Antetokounmpo)"
"220","0:27.0","M. Smart makes 2-pt layup from 2 ft","+2","51-43","",""
"221","0:22.0","","","51-43","","Offensive foul by G. Antetokounmpo (drawn by D. White)"
"222","0:22.0","","","51-43","","Turnover by G. Antetokounmpo (offensive foul)"
"223","0:22.0","","","51-43","","B. Lopez enters the game for G. Antetokounmpo"
"224","0:05.0","Shooting foul by P. Connaughton (drawn by D. White)","","51-43","",""
"225","0:05.0","D. White makes free throw 1 of 2","+1","52-43","",""
"226","0:05.0","","","52-43","","G. Allen enters the game for G. Hill"
"227","0:05.0","","","52-43","","B. Portis enters the game for B. Lopez"
"228","0:05.0","D. White makes free throw 2 of 2","+1","53-43","",""
"229","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"230","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"231","Time","Boston","","Score","","Milwaukee"
"232","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"233","11:43.0","","","53-45","+2","J. Holiday makes 2-pt jump shot from 8 ft"
"234","11:21.0","A. Horford misses 3-pt jump shot from 27 ft","","53-45","",""
"235","11:18.0","","","53-45","","Defensive rebound by G. Allen"
"236","11:07.0","","","53-45","","J. Holiday misses 2-pt jump shot from 15 ft"
"237","11:05.0","Defensive rebound by J. Tatum","","53-45","",""
"238","10:56.0","Shooting foul by G. Allen (drawn by G. Williams)","","53-45","",""
"239","10:56.0","G. Williams makes free throw 1 of 2","+1","54-45","",""
"240","10:56.0","G. Williams misses free throw 2 of 2","","54-45","",""
"241","10:53.0","","","54-45","","Defensive rebound by G. Antetokounmpo"
"242","10:36.0","","","54-45","","G. Antetokounmpo misses 2-pt layup from 5 ft"
"243","10:33.0","Defensive rebound by G. Williams","","54-45","",""
"244","10:21.0","M. Smart misses 2-pt layup from 5 ft (block by G. Antetokounmpo)","","54-45","",""
"245","10:17.0","Offensive rebound by J. Brown","","54-45","",""
"246","10:15.0","J. Brown misses 2-pt hook shot from 5 ft","","54-45","",""
"247","10:12.0","","","54-45","","Defensive rebound by G. Allen"
"248","10:08.0","","","54-45","","G. Antetokounmpo misses 2-pt layup from 8 ft"
"249","10:06.0","Defensive rebound by A. Horford","","54-45","",""
"250","9:57.0","G. Williams misses 2-pt layup from 3 ft","","54-45","",""
"251","9:50.0","Offensive rebound by A. Horford","","54-45","",""
"252","9:50.0","A. Horford makes 2-pt layup at rim","+2","56-45","",""
"253","9:42.0","","","56-45","","J. Holiday misses 3-pt jump shot from 28 ft"
"254","9:40.0","Defensive rebound by J. Tatum","","56-45","",""
"255","9:35.0","J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Brown)","+3","59-45","",""
"256","9:20.0","","","59-47","+2","G. Allen makes 2-pt layup from 2 ft"
"257","9:20.0","","","59-47","","Shooting foul by G. Williams (drawn by G. Allen)"
"258","9:20.0","","","59-48","+1","G. Allen makes free throw 1 of 1"
"259","8:56.0","J. Tatum misses 3-pt jump shot from 26 ft","","59-48","",""
"260","8:55.0","Offensive rebound by M. Smart","","59-48","",""
"261","8:55.0","M. Smart misses 2-pt dunk at rim","","59-48","",""
"262","8:54.0","Offensive rebound by J. Brown","","59-48","",""
"263","8:38.0","J. Tatum makes 2-pt jump shot at rim","+2","61-48","",""
"264","8:22.0","Jump ball: A. Horford vs. W. Matthews (J. Tatum gains possession)","Jump ball: A. Horford vs. W. Matthews (J. Tatum gains possession)","Jump ball: A. Horford vs. W. Matthews (J. Tatum gains possession)","Jump ball: A. Horford vs. W. Matthews (J. Tatum gains possession)","Jump ball: A. Horford vs. W. Matthews (J. Tatum gains possession)"
"265","8:22.0","","","61-48","","Turnover by W. Matthews (lost ball; steal by A. Horford)"
"266","8:16.0","J. Brown makes 2-pt jump shot from 19 ft (assist by J. Tatum)","+2","63-48","",""
"267","8:08.0","","","63-48","","Milwaukee full timeout"
"268","8:08.0","","","63-48","","B. Portis enters the game for B. Lopez"
"269","7:56.0","","","63-48","","B. Portis misses 2-pt hook shot from 7 ft (block by J. Tatum)"
"270","7:54.0","Defensive rebound by J. Brown","","63-48","",""
"271","7:54.0","J. Brown makes 2-pt layup from 2 ft","+2","65-48","",""
"272","7:54.0","Shooting foul by G. Antetokounmpo (drawn by J. Brown)","","65-48","",""
"273","7:54.0","J. Brown misses free throw 1 of 1","","65-48","",""
"274","7:51.0","","","65-48","","Defensive rebound by W. Matthews"
"275","7:41.0","","","65-48","","G. Antetokounmpo misses 2-pt layup from 3 ft"
"276","7:35.0","","","65-48","","Offensive rebound by B. Portis"
