"","Time","Utah","","Score","","Dallas"
"78","2:12.0","Offensive rebound by D. House","","16-21","",""
"79","2:10.0","D. House makes 2-pt layup from 4 ft","+2","18-21","",""
"80","1:52.0","","","18-21","","J. Brunson misses 2-pt jump shot from 10 ft"
"81","1:50.0","","","18-21","","Offensive rebound by J. Brunson"
"82","1:39.0","","","18-21","","J. Green misses 3-pt jump shot from 25 ft"
"83","1:34.0","Defensive rebound by R. Gobert","","18-21","",""
"84","1:27.0","M. Conley misses 2-pt jump shot from 9 ft","","18-21","",""
"85","1:24.0","","","18-21","","Defensive rebound by R. Bullock"
"86","1:04.0","","","18-21","","J. Brunson misses 2-pt jump shot from 7 ft"
"87","1:02.0","","","18-21","","Offensive rebound by J. Brunson"
"88","1:01.0","","","18-21","","M. Kleber misses 3-pt jump shot from 26 ft"
"89","0:58.0","Defensive rebound by J. Hernangómez","","18-21","",""
"90","0:50.0","Personal foul by R. Bullock (drawn by J. Clarkson)","","18-21","",""
"91","0:50.0","J. Clarkson makes free throw 1 of 2","+1","19-21","",""
"92","0:50.0","","","19-21","","D. Bertans enters the game for J. Brunson"
"93","0:50.0","","","19-21","","S. Dinwiddie enters the game for D. Finney-Smith"
"94","0:50.0","J. Clarkson makes free throw 2 of 2","+1","20-21","",""
"95","0:27.0","","","20-21","","S. Dinwiddie misses 2-pt jump shot from 11 ft"
"96","0:24.0","Defensive rebound by R. Gobert","","20-21","",""
"97","0:06.0","Turnover by M. Conley (lost ball; steal by R. Bullock)","","20-21","",""
"98","0:01.0","","","20-21","","Shooting foul by J. Clarkson (drawn by S. Dinwiddie)"
"99","0:01.0","","","20-21","","Instant Replay (Request: Ruling Stands)"
"100","0:01.0","","","20-22","+1","S. Dinwiddie makes free throw 1 of 2"
"101","0:01.0","","","20-23","+1","S. Dinwiddie makes free throw 2 of 2"
"102","0:00.0","D. House misses 3-pt jump shot from 55 ft","","20-23","",""
"103","0:00.0","Offensive rebound by Team","","20-23","",""
"104","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"105","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"106","Time","Utah","","Score","","Dallas"
"107","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"108","11:41.0","","","20-25","+2","S. Dinwiddie makes 2-pt layup from 6 ft"
"109","11:27.0","Shooting foul by D. Bertans (drawn by R. Gobert)","","20-25","",""
"110","11:27.0","R. Gobert makes free throw 1 of 2","+1","21-25","",""
"111","11:27.0","R. Gobert makes free throw 2 of 2","+1","22-25","",""
"112","11:05.0","","","22-27","+2","S. Dinwiddie makes 2-pt jump shot from 12 ft"
"113","11:05.0","","","22-27","","Shooting foul by R. O'Neale (drawn by S. Dinwiddie)"
"114","11:05.0","","","22-27","","S. Dinwiddie misses free throw 1 of 1"
"115","11:02.0","Defensive rebound by R. Gobert","","22-27","",""
"116","10:48.0","J. Clarkson misses 3-pt jump shot from 29 ft","","22-27","",""
"117","10:46.0","Offensive rebound by J. Hernangómez","","22-27","",""
"118","10:40.0","R. O'Neale misses 3-pt jump shot from 24 ft","","22-27","",""
"119","10:38.0","Offensive rebound by Team","","22-27","",""
"120","10:38.0","","","22-27","","Loose ball foul by J. Green (drawn by R. Gobert)"
"121","10:26.0","J. Hernangómez misses 2-pt layup from 2 ft","","22-27","",""
"122","10:24.0","","","22-27","","Defensive rebound by D. Bertans"
"123","10:08.0","","","22-30","+3","M. Kleber makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"124","9:57.0","Personal foul by J. Green (drawn by R. Gobert)","","22-30","",""
"125","9:57.0","","","22-30","","R. Bullock enters the game for J. Green"
"126","9:57.0","","","22-30","","D. Finney-Smith enters the game for D. Powell"
"127","9:51.0","Offensive foul by J. Clarkson (drawn by D. Finney-Smith)","","22-30","",""
"128","9:51.0","Turnover by J. Clarkson (offensive foul)","","22-30","",""
"129","9:36.0","","","22-30","","M. Kleber misses 2-pt layup from 4 ft (block by R. Gobert)"
"130","9:33.0","Defensive rebound by J. Hernangómez","","22-30","",""
"131","9:29.0","M. Conley misses 2-pt layup from 2 ft","","22-30","",""
"132","9:29.0","Offensive rebound by Team","","22-30","",""
"133","9:29.0","","","22-30","","Loose ball foul by D. Bertans (drawn by R. Gobert)"
"134","9:29.0","B. Bogdanovic enters the game for M. Conley","","22-30","",""
"135","9:29.0","D. House enters the game for J. Hernangómez","","22-30","",""
