"","Time","Utah","","Score","","Dallas"
"350","10:46.0","","","73-66","","Personal foul by M. Conley (drawn by J. Brunson)"
"351","10:37.0","","","73-66","","Turnover by J. Brunson (bad pass)"
"352","10:35.0","Technical foul by","","73-66","",""
"353","10:35.0","","","73-66","","J. Brunson misses technical free throw"
"354","10:35.0","","","73-66","","Offensive rebound by Team"
"355","10:35.0","D. Mitchell enters the game for J. Clarkson","","73-66","",""
"356","10:35.0","","","73-66","","R. Bullock enters the game for D. Finney-Smith"
"357","10:35.0","","","73-66","","S. Dinwiddie enters the game for J. Green"
"358","10:23.0","","","73-68","+2","J. Brunson makes 2-pt jump shot from 11 ft"
"359","10:01.0","B. Bogdanovic makes 2-pt jump shot from 8 ft","+2","75-68","",""
"360","9:42.0","","","75-68","","J. Brunson misses 2-pt jump shot from 14 ft"
"361","9:39.0","Defensive rebound by B. Bogdanovic","","75-68","",""
"362","9:34.0","B. Bogdanovic misses 2-pt layup from 3 ft","","75-68","",""
"363","9:33.0","","","75-68","","Defensive rebound by Team"
"364","9:33.0","","","75-68","","Dallas full timeout"
"365","9:33.0","","","75-68","","Instant Replay (Challenge: Ruling Stands)"
"366","9:33.0","R. O'Neale enters the game for D. House","","75-68","",""
"367","9:33.0","","","75-68","","D. Finney-Smith enters the game for D. Powell"
"368","9:28.0","Jump ball: R. Gobert vs. D. Finney-Smith (M. Conley gains possession)","Jump ball: R. Gobert vs. D. Finney-Smith (M. Conley gains possession)","Jump ball: R. Gobert vs. D. Finney-Smith (M. Conley gains possession)","Jump ball: R. Gobert vs. D. Finney-Smith (M. Conley gains possession)","Jump ball: R. Gobert vs. D. Finney-Smith (M. Conley gains possession)"
"369","9:15.0","M. Conley misses 3-pt jump shot from 26 ft","","75-68","",""
"370","9:10.0","","","75-68","","Defensive rebound by R. Bullock"
"371","9:01.0","","","75-71","+3","J. Brunson makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"372","8:42.0","D. Mitchell misses 2-pt jump shot from 20 ft","","75-71","",""
"373","8:40.0","Offensive rebound by R. Gobert","","75-71","",""
"374","8:37.0","B. Bogdanovic misses 3-pt jump shot from 24 ft","","75-71","",""
"375","8:37.0","","","75-71","","Defensive rebound by R. Bullock"
"376","8:25.0","","","75-71","","S. Dinwiddie misses 2-pt layup from 1 ft (block by R. Gobert)"
"377","8:23.0","Defensive rebound by D. Mitchell","","75-71","",""
"378","8:21.0","Personal foul by D. Finney-Smith (drawn by M. Conley)","","75-71","",""
"379","8:04.0","D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. O'Neale)","+3","78-71","",""
"380","7:39.0","","","78-71","","S. Dinwiddie misses 2-pt layup from 3 ft"
"381","7:37.0","Defensive rebound by D. Mitchell","","78-71","",""
"382","7:30.0","D. Mitchell makes 2-pt layup from 2 ft","+2","80-71","",""
"383","7:25.0","","","80-73","+2","R. Bullock makes 2-pt layup from 2 ft (assist by S. Dinwiddie)"
"384","7:25.0","","","80-73","","Shooting foul by M. Conley (drawn by R. Bullock)"
"385","7:25.0","","","80-73","","D. Powell enters the game for D. Bertans"
"386","7:25.0","","","80-74","+1","R. Bullock makes free throw 1 of 1"
"387","7:04.0","D. Mitchell misses 2-pt jump shot from 11 ft","","80-74","",""
"388","7:03.0","Offensive rebound by D. Mitchell","","80-74","",""
"389","7:03.0","Shooting foul by S. Dinwiddie (drawn by D. Mitchell)","","80-74","",""
"390","7:03.0","D. Mitchell makes free throw 1 of 2","+1","81-74","",""
"391","7:03.0","H. Whiteside enters the game for R. Gobert","","81-74","",""
"392","7:03.0","","","81-74","","D. Bertans enters the game for D. Powell"
"393","7:03.0","D. Mitchell makes free throw 2 of 2","+1","82-74","",""
"394","6:43.0","","","82-74","","J. Brunson misses 2-pt jump shot from 8 ft"
"395","6:41.0","Defensive rebound by D. Mitchell","","82-74","",""
"396","6:23.0","B. Bogdanovic misses 2-pt jump shot from 11 ft","","82-74","",""
"397","6:20.0","Offensive rebound by H. Whiteside","","82-74","",""
"398","6:19.0","H. Whiteside makes 2-pt layup from 1 ft","+2","84-74","",""
"399","6:11.0","","","84-74","","Shooting foul by H. Whiteside (drawn by S. Dinwiddie)"
"400","6:11.0","","","84-74","","S. Dinwiddie misses free throw 1 of 2"
"401","6:11.0","","","84-74","","Offensive rebound by Team"
"402","6:11.0","J. Clarkson enters the game for M. Conley","","84-74","",""
"403","6:11.0","R. Gobert enters the game for H. Whiteside","","84-74","",""
"404","6:11.0","","","84-74","","M. Kleber enters the game for D. Bertans"
"405","6:11.0","","","84-75","+1","S. Dinwiddie makes free throw 2 of 2"
"406","5:58.0","B. Bogdanovic makes 2-pt jump shot from 12 ft (assist by D. Mitchell)","+2","86-75","",""
"407","5:34.0","","","86-75","","Shooting foul by B. Bogdanovic (drawn by S. Dinwiddie)"
"408","5:34.0","Utah full timeout","","86-75","",""
"409","5:34.0","Instant Replay (Challenge: Stands)","","86-75","",""
"410","5:34.0","","","86-75","","S. Dinwiddie misses free throw 1 of 3"
"411","5:34.0","","","86-75","","Offensive rebound by Team"
"412","5:34.0","","","86-76","+1","S. Dinwiddie makes free throw 2 of 3"
"413","5:34.0","","","86-77","+1","S. Dinwiddie makes free throw 3 of 3"
"414","5:21.0","D. Mitchell misses 2-pt jump shot from 19 ft","","86-77","",""
"415","5:19.0","","","86-77","","Defensive rebound by S. Dinwiddie"
"416","5:19.0","","","86-77","","Personal foul by R. O'Neale (drawn by S. Dinwiddie)"
"417","5:19.0","","","86-78","+1","S. Dinwiddie makes free throw 1 of 2"
"418","5:19.0","M. Conley enters the game for J. Clarkson","","86-78","",""
"419","5:19.0","","","86-79","+1","S. Dinwiddie makes free throw 2 of 2"
"420","5:06.0","B. Bogdanovic misses 2-pt jump shot from 11 ft","","86-79","",""
"421","5:02.0","","","86-79","","Defensive rebound by D. Finney-Smith"
"422","4:58.0","","","86-79","","D. Finney-Smith misses 3-pt jump shot from 24 ft"
"423","4:58.0","","","86-79","","Offensive rebound by Team"
"424","4:58.0","Loose ball foul by D. Mitchell (drawn by M. Kleber)","","86-79","",""
"425","4:58.0","","","86-80","+1","M. Kleber makes free throw 1 of 2"
"426","4:58.0","","","86-81","+1","M. Kleber makes free throw 2 of 2"
"427","4:37.0","B. Bogdanovic makes 2-pt jump shot from 15 ft (assist by M. Conley)","+2","88-81","",""
"428","4:17.0","","","88-81","","Personal foul by B. Bogdanovic (drawn by M. Kleber)"
"429","4:17.0","","","88-82","+1","M. Kleber makes free throw 1 of 2"
"430","4:17.0","","","88-83","+1","M. Kleber makes free throw 2 of 2"
"431","4:00.0","Turnover by D. Mitchell (traveling)","","88-83","",""
"432","3:35.0","","","88-86","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith)"
"433","3:33.0","Utah full timeout","","88-86","",""
"434","3:33.0","","","88-86","","D. Powell enters the game for J. Brunson"
"435","3:23.0","M. Conley makes 2-pt jump shot from 13 ft (assist by D. Mitchell)","+2","90-86","",""
"436","3:15.0","","","90-86","","Dallas full timeout"
"437","3:15.0","","","90-86","","J. Brunson enters the game for D. Powell"
"438","3:07.0","","","90-86","","Shooting foul by R. Gobert (drawn by D. Finney-Smith)"
"439","3:07.0","","","90-87","+1","D. Finney-Smith makes free throw 1 of 2"
"440","3:07.0","","","90-88","+1","D. Finney-Smith makes free throw 2 of 2"
"441","2:54.0","D. Mitchell misses 2-pt jump shot from 9 ft","","90-88","",""
"442","2:51.0","","","90-88","","Defensive rebound by S. Dinwiddie"
"443","2:39.0","","","90-88","","Turnover by S. Dinwiddie (lost ball; steal by D. Mitchell)"
"444","2:27.0","M. Conley makes 2-pt jump shot from 21 ft","+2","92-88","",""
"445","2:12.0","","","92-91","+3","M. Kleber makes 3-pt jump shot from 23 ft (assist by J. Brunson)"
"446","1:45.0","D. Mitchell misses 2-pt jump shot from 7 ft","","92-91","",""
"447","1:42.0","","","92-91","","Defensive rebound by J. Brunson"
"448","1:35.0","","","92-91","","M. Kleber misses 3-pt jump shot from 24 ft"
"449","1:32.0","Defensive rebound by M. Conley","","92-91","",""
"450","1:09.0","R. O'Neale misses 2-pt layup from 1 ft","","92-91","",""
"451","1:07.0","Offensive rebound by R. O'Neale","","92-91","",""
"452","0:57.0","R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell)","+3","95-91","",""
"453","0:56.0","","","95-91","","Dallas full timeout"
"454","0:47.0","","","95-91","","J. Brunson misses 2-pt jump shot from 8 ft"
"455","0:45.0","Defensive rebound by R. Gobert","","95-91","",""
"456","0:23.0","B. Bogdanovic misses 2-pt jump shot from 6 ft (block by D. Finney-Smith)","","95-91","",""
"457","0:23.0","","","95-91","","Defensive rebound by D. Finney-Smith"
"458","0:17.0","","","95-91","","R. Bullock misses 3-pt jump shot from 26 ft"
"459","0:17.0","Defensive rebound by R. Gobert","","95-91","",""
"460","0:17.0","Personal take foul by S. Dinwiddie (drawn by R. Gobert)","","95-91","",""
"461","0:16.0","Personal take foul by J. Brunson (drawn by D. Mitchell)","","95-91","",""
"462","0:16.0","D. Mitchell makes free throw 1 of 2","+1","96-91","",""
"463","0:16.0","","","96-91","","D. Powell enters the game for J. Brunson"
"464","0:16.0","D. Mitchell makes free throw 2 of 2","+1","97-91","",""
"465","0:16.0","","","97-91","","Dallas full timeout"
"466","0:16.0","","","97-91","","D. Bertans enters the game for R. Bullock"
"467","0:16.0","","","97-91","","J. Brunson enters the game for D. Powell"
"468","0:13.0","","","97-93","+2","D. Finney-Smith makes 2-pt layup from 2 ft (assist by S. Dinwiddie)"
"469","0:10.0","Personal take foul by J. Brunson (drawn by D. Mitchell)","","97-93","",""
"470","0:10.0","D. Mitchell makes free throw 1 of 2","+1","98-93","",""
"471","0:10.0","D. Mitchell makes free throw 2 of 2","+1","99-93","",""
"472","0:06.0","","","99-93","","S. Dinwiddie misses 3-pt jump shot from 33 ft"
"473","0:02.0","Defensive rebound by R. Gobert","","99-93","",""
"474","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
