"","Time","Dallas","","Score","","Golden State"
"355","9:54.0","","","69-92","","Defensive rebound by D. Green"
"356","9:48.0","","","69-94","+2","D. Green makes 2-pt layup from 3 ft"
"357","9:26.0","F. Ntilikina misses 3-pt jump shot from 26 ft","","69-94","",""
"358","9:24.0","","","69-94","","Defensive rebound by A. Wiggins"
"359","9:07.0","","","69-96","+2","J. Poole makes 2-pt layup from 6 ft"
"360","9:07.0","Dallas full timeout","","69-96","",""
"361","8:52.0","L. Doncic misses 2-pt layup from 5 ft","","69-96","",""
"362","8:50.0","","","69-96","","Defensive rebound by O. Porter"
"363","8:28.0","","","69-98","+2","K. Thompson makes 2-pt jump shot from 16 ft"
"364","8:08.0","Personal foul by J. Poole (drawn by S. Dinwiddie)","","69-98","",""
"365","8:08.0","D. Finney-Smith enters the game for M. Kleber","","69-98","",""
"366","8:08.0","J. Green enters the game for F. Ntilikina","","69-98","",""
"367","8:05.0","Turnover by L. Doncic (bad pass; steal by O. Porter)","","69-98","",""
"368","8:00.0","","","69-98","","Personal foul by R. Bullock (drawn by J. Poole)"
"369","7:53.0","","","69-98","","Turnover by K. Thompson (bad pass)"
"370","7:41.0","R. Bullock makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie)","+3","72-98","",""
"371","7:21.0","","","72-98","","A. Wiggins misses 3-pt jump shot from 26 ft"
"372","7:18.0","Defensive rebound by S. Dinwiddie","","72-98","",""
"373","7:15.0","Personal foul by A. Wiggins (drawn by L. Doncic)","","72-98","",""
"374","7:10.0","Turnover by L. Doncic (out of bounds lost ball)","","72-98","",""
"375","7:10.0","","","72-98","","Technical foul by J. Poole"
"376","7:10.0","","","72-98","","Golden State full timeout"
"377","7:10.0","","","72-98","","Instant Replay (Challenge: Ruling Stands)"
"378","7:10.0","","","72-98","","D. Lee enters the game for K. Thompson"
"379","7:10.0","L. Doncic misses technical free throw","","72-98","",""
"380","7:10.0","","","72-98","","Defensive rebound by Team"
"381","6:57.0","","","72-98","","J. Poole misses 3-pt jump shot from 26 ft"
"382","6:55.0","Defensive rebound by D. Finney-Smith","","72-98","",""
"383","6:48.0","J. Green makes 2-pt layup from 5 ft (assist by S. Dinwiddie)","+2","74-98","",""
"384","6:38.0","","","74-98","","Personal foul by R. Bullock (drawn by J. Poole)"
"385","6:26.0","","","74-100","+2","O. Porter makes 2-pt jump shot from 18 ft"
"386","6:09.0","J. Green misses 3-pt jump shot from 24 ft","","74-100","",""
"387","6:07.0","","","74-100","","Defensive rebound by O. Porter"
"388","5:58.0","","","74-100","","O. Porter misses 2-pt jump shot from 10 ft"
"389","5:56.0","Defensive rebound by J. Green","","74-100","",""
"390","5:39.0","J. Green misses 2-pt jump shot from 10 ft","","74-100","",""
"391","5:36.0","Offensive rebound by D. Finney-Smith","","74-100","",""
"392","5:36.0","D. Finney-Smith makes 2-pt dunk at rim","+2","76-100","",""
"393","5:27.0","","","76-100","","Shooting foul by D. Finney-Smith (drawn by J. Poole)"
"394","5:27.0","","","76-101","+1","J. Poole makes free throw 1 of 2"
"395","5:27.0","","","76-102","+1","J. Poole makes free throw 2 of 2"
"396","5:14.0","S. Dinwiddie misses 2-pt jump shot from 9 ft","","76-102","",""
"397","5:11.0","","","76-102","","Defensive rebound by O. Porter"
"398","5:04.0","","","76-104","+2","D. Green makes 2-pt dunk from 3 ft (assist by A. Wiggins)"
"399","5:03.0","Dallas full timeout","","76-104","",""
"400","5:03.0","D. Bertans enters the game for R. Bullock","","76-104","",""
"401","5:03.0","S. Brown enters the game for S. Dinwiddie","","76-104","",""
"402","5:03.0","T. Burke enters the game for L. Doncic","","76-104","",""
"403","5:03.0","M. Chriss enters the game for D. Finney-Smith","","76-104","",""
"404","5:03.0","","","76-104","","N. Bjelica enters the game for D. Green"
"405","5:03.0","","","76-104","","J. Kuminga enters the game for J. Poole"
"406","5:03.0","","","76-104","","M. Moody enters the game for O. Porter"
"407","5:03.0","","","76-104","","J. Toscano-Anderson enters the game for A. Wiggins"
"408","4:48.0","D. Bertans misses 3-pt jump shot from 25 ft","","76-104","",""
"409","4:45.0","","","76-104","","Defensive rebound by J. Kuminga"
"410","4:29.0","","","76-104","","Turnover by J. Toscano-Anderson (lost ball; steal by S. Brown)"
"411","4:07.0","Turnover by S. Brown (lost ball; steal by J. Kuminga)","","76-104","",""
"412","4:05.0","","","76-104","","Shooting foul by M. Chriss (drawn by J. Kuminga)"
"413","4:05.0","","","76-105","+1","J. Kuminga makes free throw 1 of 2"
"414","4:05.0","","","76-106","+1","J. Kuminga makes free throw 2 of 2"
"415","3:56.0","T. Burke makes 2-pt layup from 6 ft","+2","78-106","",""
"416","3:35.0","","","78-106","","J. Kuminga misses 2-pt jump shot from 14 ft (block by S. Brown)"
"417","3:33.0","Defensive rebound by S. Brown","","78-106","",""
"418","3:32.0","Turnover by S. Brown (lost ball; steal by J. Toscano-Anderson)","","78-106","",""
"419","3:25.0","","","78-106","","J. Kuminga misses 2-pt jump shot from 10 ft"
"420","3:23.0","Defensive rebound by S. Brown","","78-106","",""
"421","3:16.0","T. Burke makes 2-pt jump shot from 19 ft","+2","80-106","",""
"422","3:16.0","Shooting foul by N. Bjelica (drawn by T. Burke)","","80-106","",""
"423","3:16.0","T. Burke makes free throw 1 of 1","+1","81-106","",""
"424","3:00.0","","","81-106","","Turnover by N. Bjelica (bad pass; steal by D. Bertans)"
"425","2:47.0","S. Brown misses 2-pt layup from 5 ft","","81-106","",""
"426","2:45.0","","","81-106","","Defensive rebound by D. Lee"
"427","2:34.0","","","81-106","","Turnover by D. Lee (lost ball; steal by D. Bertans)"
"428","2:28.0","S. Brown makes 2-pt layup from 6 ft (assist by T. Burke)","+2","83-106","",""
"429","2:10.0","","","83-106","","Offensive foul by J. Toscano-Anderson (drawn by S. Brown)"
"430","2:10.0","","","83-106","","Turnover by J. Toscano-Anderson (offensive foul)"
"431","2:05.0","D. Bertans misses 3-pt jump shot from 28 ft","","83-106","",""
"432","2:02.0","","","83-106","","Defensive rebound by D. Lee"
"433","1:53.0","","","83-106","","J. Kuminga misses 2-pt jump shot from 16 ft"
"434","1:50.0","Defensive rebound by M. Chriss","","83-106","",""
"435","1:41.0","S. Brown makes 2-pt layup from 3 ft (assist by T. Burke)","+2","85-106","",""
"436","1:21.0","","","85-106","","J. Kuminga misses 2-pt jump shot from 19 ft"
"437","1:18.0","Defensive rebound by S. Brown","","85-106","",""
"438","1:10.0","T. Burke makes 2-pt layup from 4 ft","+2","87-106","",""
"439","0:48.0","","","87-109","+3","M. Moody makes 3-pt jump shot from 26 ft (assist by N. Bjelica)"
"440","0:44.0","S. Brown misses 3-pt jump shot from 27 ft","","87-109","",""
"441","0:42.0","","","87-109","","Defensive rebound by N. Bjelica"
"442","0:35.0","","","87-112","+3","D. Lee makes 3-pt jump shot from 24 ft (assist by J. Kuminga)"
"443","0:22.0","T. Burke misses 3-pt jump shot from 23 ft","","87-112","",""
"444","0:19.0","","","87-112","","Defensive rebound by D. Lee"
"445","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
