"","Time","Miami","","Score","","Boston"
"66","2:54.0","M. Strus misses 3-pt jump shot from 26 ft","","22-22","",""
"67","2:50.0","","","22-22","","Defensive rebound by A. Horford"
"68","2:46.0","","","22-22","","Turnover by D. White (bad pass; steal by M. Strus)"
"69","2:36.0","Shooting foul by M. Smart (drawn by D. Dedmon)","","22-22","",""
"70","2:36.0","Miami full timeout","","22-22","",""
"71","2:36.0","G. Vincent enters the game for M. Strus","","22-22","",""
"72","2:36.0","","","22-22","","J. Tatum enters the game for J. Brown"
"73","2:36.0","","","22-22","","G. Williams enters the game for A. Horford"
"74","2:36.0","D. Dedmon misses free throw 1 of 2","","22-22","",""
"75","2:36.0","Offensive rebound by Team","","22-22","",""
"76","2:36.0","D. Dedmon misses free throw 2 of 2","","22-22","",""
"77","2:36.0","","","22-22","","Defensive rebound by J. Tatum"
"78","2:21.0","","","22-22","","M. Smart misses 3-pt jump shot from 27 ft"
"79","2:18.0","Defensive rebound by P. Tucker","","22-22","",""
"80","2:02.0","G. Vincent misses 2-pt jump shot from 18 ft","","22-22","",""
"81","1:59.0","","","22-22","","Defensive rebound by D. White"
"82","1:54.0","","","22-22","","D. White misses 2-pt jump shot from 15 ft"
"83","1:52.0","","","22-22","","Offensive rebound by G. Williams"
"84","1:49.0","","","22-22","","Boston full timeout"
"85","1:49.0","J. Butler enters the game for K. Lowry","","22-22","",""
"86","1:49.0","D. Robinson enters the game for P. Tucker","","22-22","",""
"87","1:41.0","","","22-22","","G. Williams misses 3-pt jump shot from 27 ft"
"88","1:38.0","Defensive rebound by G. Vincent","","22-22","",""
"89","1:25.0","Personal foul by D. White (drawn by J. Butler)","","22-22","",""
"90","1:20.0","Offensive foul by D. Dedmon (drawn by M. Smart)","","22-22","",""
"91","1:20.0","Turnover by D. Dedmon (offensive foul)","","22-22","",""
"92","1:07.0","","","22-24","+2","J. Tatum makes 2-pt layup from 3 ft (assist by D. White)"
"93","0:56.0","Turnover by G. Vincent (bad pass; steal by D. White)","","22-24","",""
"94","0:47.0","","","22-24","","Offensive foul by J. Tatum (drawn by D. Robinson)"
"95","0:47.0","","","22-24","","Turnover by J. Tatum (offensive foul)"
"96","0:38.0","Turnover by T. Herro (bad pass; steal by M. Smart)","","22-24","",""
"97","0:35.0","","","22-26","+2","J. Tatum makes 2-pt layup from 2 ft (assist by M. Smart)"
"98","0:35.0","","","22-26","","Shooting foul by D. Robinson (drawn by J. Tatum)"
"99","0:35.0","","","22-27","+1","J. Tatum makes free throw 1 of 1"
"100","0:28.0","T. Herro misses 3-pt jump shot from 25 ft","","22-27","",""
"101","0:26.0","","","22-27","","Defensive rebound by Team"
"102","0:06.0","","","22-29","+2","G. Williams makes 2-pt layup from 4 ft (assist by J. Tatum)"
"103","0:06.0","","","22-29","","Shooting foul by G. Vincent (drawn by G. Williams)"
"104","0:06.0","","","22-29","","J. Brown enters the game for D. White"
"105","0:06.0","","","22-29","","G. Williams misses free throw 1 of 1"
"106","0:06.0","Defensive rebound by T. Herro","","22-29","",""
"107","0:00.0","T. Herro makes 3-pt jump shot from 27 ft","+3","25-29","",""
"108","0:00.0","Instant Replay (Request: Ruling Stands)","","25-29","",""
"109","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"110","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"111","Time","Miami","","Score","","Boston"
"112","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"113","11:52.0","Offensive foul by D. Robinson (drawn by G. Williams)","","25-29","",""
"114","11:52.0","Turnover by D. Robinson (offensive foul)","","25-29","",""
"115","11:39.0","","","25-29","","Shooting foul by D. Dedmon (drawn by D. Theis)"
"116","11:39.0","","","25-30","+1","D. Theis makes free throw 1 of 2"
"117","11:39.0","","","25-30","","D. Theis misses free throw 2 of 2"
"118","11:39.0","Defensive rebound by T. Herro","","25-30","",""
"119","11:16.0","T. Herro misses 2-pt jump shot from 19 ft","","25-30","",""
"120","11:14.0","","","25-30","","Defensive rebound by G. Williams"
"121","11:04.0","","","25-30","","Personal foul by D. Dedmon (drawn by D. Theis)"
"122","11:04.0","B. Adebayo enters the game for D. Dedmon","","25-30","",""
"123","10:53.0","","","25-30","","J. Tatum misses 2-pt layup from 4 ft"
"124","10:51.0","Defensive rebound by Team","","25-30","",""
"125","10:41.0","J. Butler misses 2-pt jump shot from 9 ft","","25-30","",""
"126","10:39.0","Offensive rebound by B. Adebayo","","25-30","",""
"127","10:33.0","J. Butler misses 2-pt layup from 2 ft","","25-30","",""
"128","10:31.0","","","25-30","","Defensive rebound by P. Pritchard"
"129","10:18.0","","","25-30","","J. Tatum misses 3-pt jump shot from 26 ft"
"130","10:16.0","Defensive rebound by T. Herro","","25-30","",""
"131","10:05.0","T. Herro misses 2-pt jump shot from 6 ft","","25-30","",""
"132","10:03.0","","","25-30","","Defensive rebound by D. Theis"
"133","9:49.0","","","25-30","","Turnover by D. White (step out of bounds)"
"134","9:35.0","J. Butler makes 2-pt jump shot from 10 ft","+2","27-30","",""
"135","9:18.0","","","27-30","","Personal foul by G. Vincent (drawn by J. Tatum)"
"136","9:12.0","","","27-30","","G. Williams misses 2-pt jump shot from 7 ft"
"137","9:10.0","Defensive rebound by B. Adebayo","","27-30","",""
"138","9:08.0","D. Robinson misses 3-pt jump shot from 26 ft","","27-30","",""
"139","9:06.0","","","27-30","","Defensive rebound by P. Pritchard"
"140","8:53.0","","","27-32","+2","D. Theis makes 2-pt jump shot from 8 ft (assist by J. Tatum)"
"141","8:33.0","D. Robinson makes 2-pt layup from 3 ft (assist by B. Adebayo)","+2","29-32","",""
"142","8:18.0","","","29-32","","J. Tatum misses 3-pt jump shot from 27 ft"
"143","8:15.0","Defensive rebound by G. Vincent","","29-32","",""
"144","7:53.0","T. Herro makes 2-pt jump shot from 12 ft (assist by J. Butler)","+2","31-32","",""
"145","7:53.0","","","31-32","","J. Brown enters the game for J. Tatum"
"146","7:53.0","","","31-32","","A. Horford enters the game for D. Theis"
"147","7:34.0","","","31-35","+3","P. Pritchard makes 3-pt jump shot from 31 ft (assist by J. Brown)"
"148","7:19.0","D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo)","+3","34-35","",""
"149","7:03.0","","","34-35","","P. Pritchard misses 3-pt jump shot from 27 ft"
"150","7:00.0","","","34-35","","Offensive rebound by A. Horford"
"151","6:58.0","","","34-37","+2","A. Horford makes 2-pt layup from 2 ft"
"152","6:58.0","","","34-37","","Shooting foul by T. Herro (drawn by A. Horford)"
"153","6:58.0","","","34-37","","Boston full timeout"
"154","6:58.0","","","34-38","+1","A. Horford makes free throw 1 of 1"
"155","6:46.0","Turnover by G. Vincent (bad pass; steal by A. Horford)","","34-38","",""
"156","6:37.0","","","34-38","","D. White misses 3-pt jump shot from 26 ft"
"157","6:34.0","Defensive rebound by T. Herro","","34-38","",""
"158","6:30.0","D. Robinson misses 3-pt jump shot from 24 ft","","34-38","",""
"159","6:27.0","","","34-38","","Defensive rebound by A. Horford"
"160","6:16.0","","","34-40","+2","G. Williams makes 2-pt layup from 2 ft (assist by A. Horford)"
"161","6:05.0","T. Herro makes 2-pt jump shot from 20 ft (assist by B. Adebayo)","+2","36-40","",""
"162","5:52.0","","","36-40","","J. Brown misses 2-pt layup from 3 ft (block by D. Robinson)"
"163","5:50.0","","","36-40","","Offensive rebound by Team"
"164","5:50.0","K. Lowry enters the game for J. Butler","","36-40","",""
"165","5:50.0","M. Strus enters the game for D. Robinson","","36-40","",""
"166","5:50.0","P. Tucker enters the game for G. Vincent","","36-40","",""
"167","5:42.0","","","36-43","+3","J. Brown makes 3-pt jump shot from 27 ft"
"168","5:20.0","T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo)","+3","39-43","",""
"169","5:09.0","","","39-43","","Offensive foul by G. Williams (drawn by K. Lowry)"
"170","5:09.0","","","39-43","","Turnover by G. Williams (offensive foul)"
"171","5:09.0","","","39-43","","J. Tatum enters the game for G. Williams"
"172","4:45.0","K. Lowry makes 3-pt jump shot from 22 ft (assist by T. Herro)","+3","42-43","",""
"173","4:27.0","","","42-43","","Shooting foul by T. Herro (drawn by J. Brown)"
"174","4:27.0","","","42-44","+1","J. Brown makes free throw 1 of 2"
"175","4:27.0","","","42-44","","M. Smart enters the game for D. White"
"176","4:27.0","","","42-45","+1","J. Brown makes free throw 2 of 2"
"177","4:15.0","M. Strus misses 3-pt jump shot from 30 ft","","42-45","",""
"178","4:11.0","","","42-45","","Defensive rebound by M. Smart"
"179","4:03.0","","","42-45","","Turnover by M. Smart (lost ball; steal by M. Strus)"
"180","3:58.0","Turnover by M. Strus (bad pass; steal by P. Pritchard)","","42-45","",""
"181","3:52.0","","","42-47","+2","J. Tatum makes 2-pt layup from 3 ft (assist by M. Smart)"
"182","3:39.0","B. Adebayo misses 2-pt jump shot from 15 ft","","42-47","",""
"183","3:36.0","","","42-47","","Defensive rebound by P. Pritchard"
"184","3:26.0","","","42-47","","Turnover by J. Tatum (bad pass; steal by B. Adebayo)"
"185","3:22.0","T. Herro misses 3-pt jump shot from 23 ft","","42-47","",""
"186","3:19.0","","","42-47","","Defensive rebound by J. Tatum"
"187","3:05.0","","","42-47","","M. Smart misses 3-pt jump shot from 27 ft"
"188","3:02.0","Defensive rebound by M. Strus","","42-47","",""
"189","3:00.0","Turnover by P. Tucker (bad pass; steal by M. Smart)","","42-47","",""
"190","2:58.0","","","42-49","+2","J. Tatum makes 2-pt layup from 4 ft (assist by M. Smart)"
"191","2:56.0","Miami full timeout","","42-49","",""
"192","2:56.0","J. Butler enters the game for T. Herro","","42-49","",""
"193","2:39.0","K. Lowry makes 2-pt jump shot from 19 ft","+2","44-49","",""
"194","2:23.0","","","44-49","","Turnover by M. Smart (lost ball; steal by J. Butler)"
"195","2:03.0","M. Strus misses 3-pt jump shot from 23 ft","","44-49","",""
"196","2:00.0","Offensive rebound by B. Adebayo","","44-49","",""
"197","1:59.0","B. Adebayo misses 2-pt layup from 2 ft (block by A. Horford)","","44-49","",""
"198","1:57.0","","","44-49","","Defensive rebound by M. Smart"
"199","1:56.0","","","44-49","","Turnover by M. Smart (step out of bounds)"
"200","1:55.0","M. Strus makes 3-pt jump shot from 27 ft (assist by K. Lowry)","+3","47-49","",""
"201","1:38.0","","","47-51","+2","J. Tatum makes 2-pt layup from 3 ft (assist by M. Smart)"
"202","1:21.0","K. Lowry misses 3-pt jump shot from 28 ft","","47-51","",""
"203","1:19.0","","","47-51","","Defensive rebound by Team"
"204","1:19.0","Loose ball foul by B. Adebayo (drawn by M. Smart)","","47-51","",""
"205","1:19.0","","","47-51","","M. Smart misses free throw 1 of 2"
"206","1:19.0","","","47-51","","Offensive rebound by Team"
"207","1:19.0","","","47-52","+1","M. Smart makes free throw 2 of 2"
"208","1:07.0","Shooting foul by A. Horford (drawn by J. Butler)","","47-52","",""
"209","1:07.0","J. Butler makes free throw 1 of 2","+1","48-52","",""
"210","1:07.0","D. Dedmon enters the game for B. Adebayo","","48-52","",""
"211","1:07.0","J. Butler makes free throw 2 of 2","+1","49-52","",""
"212","0:52.0","","","49-52","","Turnover by J. Tatum (bad pass; steal by D. Dedmon)"
"213","0:35.0","Personal foul by J. Tatum (drawn by J. Butler)","","49-52","",""
"214","0:35.0","J. Butler makes free throw 1 of 2","+1","50-52","",""
"215","0:35.0","","","50-52","","Technical foul by J. Tatum"
"216","0:35.0","J. Butler makes technical free throw","+1","51-52","",""
"217","0:35.0","J. Butler makes free throw 2 of 2","+1","52-52","",""
"218","0:30.0","","","52-52","","J. Brown misses 2-pt layup from 3 ft (block by D. Dedmon)"
"219","0:28.0","Defensive rebound by Team","","52-52","",""
"220","0:09.0","J. Butler misses 2-pt jump shot from 12 ft","","52-52","",""
"221","0:07.0","Offensive rebound by Team","","52-52","",""
"222","0:07.0","","","52-52","","Loose ball foul by A. Horford (drawn by D. Dedmon)"
"223","0:07.0","D. Dedmon makes free throw 1 of 2","+1","53-52","",""
"224","0:07.0","D. Dedmon misses free throw 2 of 2","","53-52","",""
"225","0:07.0","","","53-52","","Defensive rebound by J. Brown"
"226","0:01.0","","","53-52","","M. Smart misses 2-pt jump shot from 20 ft"
"227","0:01.0","","","53-52","","Offensive rebound by Team"
"228","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"229","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"230","Time","Miami","","Score","","Boston"
"231","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"232","11:48.0","J. Butler makes 2-pt layup from 3 ft (assist by P. Tucker)","+2","55-52","",""
"233","11:30.0","","","55-54","+2","J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford)"
"234","11:10.0","P. Tucker misses 2-pt jump shot from 5 ft","","55-54","",""
"235","11:08.0","","","55-54","","Defensive rebound by A. Horford"
"236","11:03.0","","","55-54","","J. Tatum misses 3-pt jump shot from 25 ft"
"237","11:00.0","","","55-54","","Offensive rebound by J. Tatum"
"238","10:58.0","","","55-56","+2","J. Brown makes 2-pt layup from 2 ft (assist by J. Tatum)"
"239","10:43.0","K. Lowry makes 3-pt jump shot from 27 ft (assist by B. Adebayo)","+3","58-56","",""
"240","10:22.0","","","58-56","","M. Smart misses 3-pt jump shot from 25 ft"
"241","10:18.0","Defensive rebound by B. Adebayo","","58-56","",""
"242","10:06.0","B. Adebayo makes 2-pt jump shot from 7 ft","+2","60-56","",""
"243","9:39.0","","","60-56","","Turnover by M. Smart (step out of bounds)"
"244","9:33.0","K. Lowry makes 3-pt jump shot from 28 ft","+3","63-56","",""
"245","9:32.0","","","63-56","","Boston full timeout"
"246","9:32.0","","","63-56","","D. White enters the game for G. Williams"
"247","9:20.0","","","63-56","","M. Smart misses 3-pt jump shot from 25 ft"
"248","9:17.0","Defensive rebound by B. Adebayo","","63-56","",""
"249","9:10.0","B. Adebayo makes 2-pt jump shot from 5 ft (assist by K. Lowry)","+2","65-56","",""
"250","8:45.0","","","65-56","","M. Smart misses 2-pt jump shot from 9 ft"
"251","8:43.0","Defensive rebound by B. Adebayo","","65-56","",""
"252","8:36.0","Turnover by B. Adebayo (bad pass; steal by J. Tatum)","","65-56","",""
"253","8:33.0","","","65-58","+2","J. Tatum makes 2-pt dunk from 1 ft"
"254","8:21.0","Turnover by  (8 sec)","","65-58","",""
"255","8:19.0","","","65-58","","Turnover by J. Brown (bad pass; steal by M. Strus)"
"256","8:16.0","M. Strus makes 2-pt layup from 3 ft","+2","67-58","",""
"257","8:02.0","","","67-58","","J. Brown misses 2-pt jump shot from 8 ft"
"258","8:00.0","Defensive rebound by B. Adebayo","","67-58","",""
"259","7:51.0","J. Butler makes 2-pt layup from 3 ft (assist by K. Lowry)","+2","69-58","",""
"260","7:36.0","","","69-58","","M. Smart misses 2-pt jump shot from 8 ft"
"261","7:33.0","Defensive rebound by J. Butler","","69-58","",""
"262","7:30.0","Personal foul by J. Brown (drawn by K. Lowry)","","69-58","",""
"263","7:25.0","K. Lowry misses 3-pt jump shot from 29 ft","","69-58","",""
"264","7:21.0","","","69-58","","Defensive rebound by A. Horford"
"265","7:04.0","","","69-61","+3","J. Brown makes 3-pt jump shot from 26 ft (assist by D. White)"
"266","6:45.0","Turnover by M. Strus (lost ball; steal by J. Tatum)","","69-61","",""
"267","6:43.0","","","69-61","","Shooting foul by B. Adebayo (drawn by J. Tatum)"
"268","6:43.0","","","69-62","+1","J. Tatum makes free throw 1 of 2"
"269","6:43.0","","","69-63","+1","J. Tatum makes free throw 2 of 2"
"270","6:26.0","Personal foul by D. White (drawn by P. Tucker)","","69-63","",""
"271","6:22.0","B. Adebayo misses 2-pt layup from 4 ft","","69-63","",""
"272","6:20.0","","","69-63","","Defensive rebound by A. Horford"
"273","6:14.0","","","69-66","+3","M. Smart makes 3-pt jump shot from 23 ft (assist by J. Tatum)"
"274","6:14.0","Miami full timeout","","69-66","",""
"275","5:50.0","B. Adebayo misses 2-pt jump shot from 19 ft","","69-66","",""
"276","5:49.0","Offensive rebound by Team","","69-66","",""
"277","5:49.0","Turnover by Team (shot clock)","","69-66","",""
"278","5:34.0","","","69-68","+2","D. White makes 2-pt jump shot from 5 ft (assist by J. Brown)"
"279","5:34.0","","","69-68","","Shooting foul by P. Tucker (drawn by D. White)"
"280","5:34.0","Technical foul by M. Strus","","69-68","",""
"281","5:34.0","","","69-69","+1","J. Tatum makes technical free throw"
"282","5:34.0","","","69-70","+1","D. White makes free throw 1 of 1"
"283","5:34.0","T. Herro enters the game for J. Butler","","69-70","",""
"284","5:22.0","M. Strus misses 3-pt jump shot from 23 ft","","69-70","",""
"285","5:19.0","","","69-70","","Defensive rebound by J. Brown"
"286","5:07.0","","","69-70","","A. Horford misses 2-pt hook shot from 6 ft"
"287","5:04.0","Defensive rebound by B. Adebayo","","69-70","",""
"288","5:00.0","Personal foul by M. Smart (drawn by P. Tucker)","","69-70","",""
"289","4:53.0","T. Herro misses 2-pt jump shot from 21 ft","","69-70","",""
"290","4:51.0","","","69-70","","Defensive rebound by Team"
"291","4:51.0","","","69-70","","G. Williams enters the game for J. Brown"
"292","4:40.0","","","69-70","","Shooting foul by K. Lowry (drawn by D. White)"
"293","4:40.0","","","69-70","","D. White misses free throw 1 of 2"
"294","4:40.0","","","69-70","","Offensive rebound by Team"
"295","4:40.0","","","69-71","+1","D. White makes free throw 2 of 2"
"296","4:31.0","T. Herro misses 2-pt jump shot from 19 ft","","69-71","",""
"297","4:28.0","","","69-71","","Defensive rebound by A. Horford"
"298","4:20.0","","","69-73","+2","A. Horford makes 2-pt dunk from 2 ft (assist by M. Smart)"
"299","4:20.0","","","69-73","","Shooting foul by K. Lowry (drawn by A. Horford)"
"300","4:20.0","D. Dedmon enters the game for B. Adebayo","","69-73","",""
"301","4:20.0","","","69-74","+1","A. Horford makes free throw 1 of 1"
"302","4:12.0","K. Lowry makes 3-pt jump shot from 28 ft (assist by T. Herro)","+3","72-74","",""
"303","3:49.0","","","72-74","","D. White misses 3-pt jump shot from 22 ft"
"304","3:46.0","","","72-74","","Offensive rebound by A. Horford"
"305","3:41.0","","","72-74","","G. Williams misses 2-pt layup from 2 ft"
"306","3:37.0","Defensive rebound by M. Strus","","72-74","",""
"307","3:23.0","T. Herro makes 2-pt jump shot from 20 ft","+2","74-74","",""
"308","3:06.0","","","74-74","","M. Smart misses 3-pt jump shot from 25 ft"
"309","3:03.0","Defensive rebound by D. Dedmon","","74-74","",""
"310","2:58.0","Personal foul by M. Smart (drawn by K. Lowry)","","74-74","",""
"311","2:58.0","D. Robinson enters the game for M. Strus","","74-74","",""
"312","2:58.0","","","74-74","","D. Theis enters the game for A. Horford"
"313","2:52.0","D. Dedmon makes 2-pt jump shot from 8 ft (assist by K. Lowry)","+2","76-74","",""
"314","2:34.0","","","76-74","","Shooting foul by D. Dedmon (drawn by J. Tatum)"
"315","2:34.0","","","76-75","+1","J. Tatum makes free throw 1 of 2"
"316","2:34.0","","","76-75","","J. Tatum misses free throw 2 of 2"
"317","2:31.0","","","76-75","","Offensive rebound by G. Williams"
"318","2:23.0","","","76-75","","D. White misses 2-pt layup from 5 ft"
"319","2:20.0","Defensive rebound by D. Dedmon","","76-75","",""
"320","2:12.0","Turnover by K. Lowry (bad pass; steal by M. Smart)","","76-75","",""
"321","2:09.0","","","76-77","+2","J. Tatum makes 2-pt dunk from 2 ft (assist by M. Smart)"
"322","1:52.0","T. Herro misses 3-pt jump shot from 27 ft","","76-77","",""
"323","1:49.0","","","76-77","","Defensive rebound by M. Smart"
"324","1:44.0","","","76-79","+2","D. Theis makes 2-pt dunk from 1 ft (assist by M. Smart)"
"325","1:23.0","D. Dedmon makes 2-pt layup from 5 ft (assist by K. Lowry)","+2","78-79","",""
"326","1:07.0","","","78-79","","J. Tatum misses 3-pt jump shot from 25 ft"
"327","1:04.0","Defensive rebound by D. Dedmon","","78-79","",""
"328","0:53.0","Personal foul by J. Tatum (drawn by K. Lowry)","","78-79","",""
"329","0:53.0","K. Lowry makes free throw 1 of 2","+1","79-79","",""
"330","0:53.0","J. Butler enters the game for P. Tucker","","79-79","",""
"331","0:53.0","","","79-79","","J. Brown enters the game for M. Smart"
"332","0:53.0","","","79-79","","P. Pritchard enters the game for J. Tatum"
"333","0:53.0","K. Lowry misses free throw 2 of 2","","79-79","",""
"334","0:53.0","","","79-79","","Defensive rebound by J. Brown"
"335","0:33.0","","","79-81","+2","J. Brown makes 2-pt jump shot from 7 ft"
"336","0:26.0","Turnover by J. Butler (traveling)","","79-81","",""
"337","0:12.0","","","79-83","+2","D. Theis makes 2-pt dunk from 1 ft (assist by J. Brown)"
"338","0:00.0","K. Lowry misses 3-pt jump shot from 30 ft","","79-83","",""
"339","0:00.0","Offensive rebound by Team","","79-83","",""
"340","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"341","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"342","Time","Miami","","Score","","Boston"
"343","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"344","11:44.0","","","79-83","","G. Williams misses 3-pt jump shot from 23 ft"
"345","11:41.0","Defensive rebound by T. Herro","","79-83","",""
"346","11:28.0","J. Butler misses 2-pt jump shot from 16 ft","","79-83","",""
"347","11:26.0","","","79-83","","Defensive rebound by J. Brown"
"348","11:19.0","","","79-83","","Personal foul by J. Butler (drawn by J. Brown)"
"349","11:10.0","","","79-83","","D. White misses 2-pt jump shot from 9 ft"
"350","11:08.0","Defensive rebound by T. Herro","","79-83","",""
"351","10:58.0","Shooting foul by G. Williams (drawn by D. Dedmon)","","79-83","",""
"352","10:58.0","D. Dedmon makes free throw 1 of 2","+1","80-83","",""
"353","10:58.0","D. Dedmon makes free throw 2 of 2","+1","81-83","",""
"354","10:37.0","","","81-83","","J. Brown misses 2-pt layup from 3 ft (block by D. Dedmon)"
"355","10:35.0","","","81-83","","Offensive rebound by J. Brown"
"356","10:34.0","","","81-83","","Turnover by Team (shot clock)"
"357","10:22.0","D. Dedmon makes 2-pt layup from 6 ft (assist by J. Butler)","+2","83-83","",""
