"","Time","Miami","","Score","","Boston"
"2","12:00.0","Jump ball: B. Adebayo vs. A. Horford (G. Williams gains possession)","Jump ball: B. Adebayo vs. A. Horford (G. Williams gains possession)","Jump ball: B. Adebayo vs. A. Horford (G. Williams gains possession)","Jump ball: B. Adebayo vs. A. Horford (G. Williams gains possession)","Jump ball: B. Adebayo vs. A. Horford (G. Williams gains possession)"
"3","11:44.0","","","0-0","","J. Tatum misses 3-pt jump shot from 27 ft"
"4","11:41.0","","","0-0","","Offensive rebound by A. Horford"
"5","11:36.0","","","0-0","","J. Brown misses 3-pt jump shot from 27 ft"
"6","11:33.0","Defensive rebound by P. Tucker","","0-0","",""
"7","11:17.0","B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry)","+2","2-0","",""
"8","11:05.0","","","2-3","+3","J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford)"
"9","10:56.0","M. Strus makes 3-pt jump shot from 23 ft (assist by B. Adebayo)","+3","5-3","",""
"10","10:52.0","","","5-3","","Boston full timeout"
"11","10:26.0","","","5-3","","M. Smart misses 3-pt jump shot from 24 ft"
"12","10:24.0","Defensive rebound by P. Tucker","","5-3","",""
"13","10:20.0","K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Tucker)","+3","8-3","",""
"14","10:10.0","","","8-3","","Offensive foul by J. Brown (drawn by M. Strus)"
"15","10:10.0","","","8-3","","Turnover by J. Brown (offensive foul)"
"16","9:50.0","K. Lowry misses 2-pt jump shot from 11 ft","","8-3","",""
"17","9:48.0","","","8-3","","Defensive rebound by A. Horford"
"18","9:33.0","","","8-3","","Shooting foul by B. Adebayo (drawn by J. Brown)"
"19","9:33.0","","","8-4","+1","J. Brown makes free throw 1 of 2"
"20","9:33.0","","","8-5","+1","J. Brown makes free throw 2 of 2"
"21","9:19.0","B. Adebayo misses 2-pt layup from 4 ft","","8-5","",""
"22","9:17.0","","","8-5","","Defensive rebound by M. Smart"
"23","9:01.0","","","8-5","","A. Horford misses 3-pt jump shot from 26 ft"
"24","8:59.0","Defensive rebound by B. Adebayo","","8-5","",""
"25","8:52.0","J. Butler makes 2-pt layup from 5 ft (assist by K. Lowry)","+2","10-5","",""
"26","8:44.0","","","10-5","","J. Brown misses 2-pt jump shot from 4 ft (block by P. Tucker)"
"27","8:43.0","Defensive rebound by P. Tucker","","10-5","",""
"28","8:27.0","Turnover by J. Butler (bad pass; steal by A. Horford)","","10-5","",""
"29","8:25.0","","","10-5","","Personal foul by M. Strus (drawn by M. Smart)"
"30","8:13.0","","","10-8","+3","J. Brown makes 3-pt jump shot from 24 ft (assist by M. Smart)"
"31","7:46.0","J. Butler misses 3-pt jump shot from 25 ft","","10-8","",""
"32","7:43.0","","","10-8","","Defensive rebound by J. Brown"
"33","7:36.0","","","10-11","+3","J. Brown makes 3-pt jump shot from 29 ft"
"34","7:12.0","M. Strus makes 3-pt jump shot from 25 ft (assist by P. Tucker)","+3","13-11","",""
"35","6:57.0","","","13-14","+3","M. Smart makes 3-pt jump shot from 27 ft (assist by J. Brown)"
"36","6:38.0","M. Strus misses 3-pt jump shot from 26 ft","","13-14","",""
"37","6:36.0","","","13-14","","Defensive rebound by J. Brown"
"38","6:24.0","","","13-14","","Turnover by J. Brown (bad pass; steal by P. Tucker)"
"39","6:17.0","J. Butler misses 3-pt jump shot from 25 ft","","13-14","",""
"40","6:14.0","","","13-14","","Defensive rebound by J. Brown"
"41","6:06.0","","","13-14","","G. Williams misses 3-pt jump shot from 24 ft"
"42","6:03.0","Defensive rebound by M. Strus","","13-14","",""
"43","5:59.0","P. Tucker misses 2-pt hook shot from 2 ft","","13-14","",""
"44","5:57.0","Offensive rebound by J. Butler","","13-14","",""
"45","5:56.0","J. Butler makes 2-pt layup at rim","+2","15-14","",""
"46","5:28.0","","","15-14","","M. Smart misses 2-pt layup from 3 ft"
"47","5:26.0","Defensive rebound by Team","","15-14","",""
"48","5:26.0","T. Herro enters the game for J. Butler","","15-14","",""
"49","5:26.0","","","15-14","","D. Theis enters the game for J. Tatum"
"50","5:26.0","","","15-14","","D. White enters the game for G. Williams"
"51","5:07.0","B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro)","+2","17-14","",""
"52","4:46.0","","","17-17","+3","M. Smart makes 3-pt jump shot from 27 ft"
"53","4:38.0","Turnover by T. Herro (out of bounds lost ball)","","17-17","",""
"54","4:22.0","","","17-17","","M. Smart misses 3-pt jump shot from 27 ft"
"55","4:19.0","","","17-17","","Offensive rebound by A. Horford"
"56","4:09.0","","","17-17","","A. Horford misses 2-pt hook shot from 4 ft"
"57","4:06.0","Defensive rebound by M. Strus","","17-17","",""
"58","4:03.0","B. Adebayo makes 2-pt layup from 5 ft","+2","19-17","",""
"59","4:03.0","Shooting foul by D. White (drawn by B. Adebayo)","","19-17","",""
"60","4:03.0","B. Adebayo makes free throw 1 of 1","+1","20-17","",""
"61","3:55.0","","","20-17","","Personal foul by K. Lowry (drawn by D. White)"
"62","3:55.0","D. Dedmon enters the game for B. Adebayo","","20-17","",""
"63","3:46.0","","","20-19","+2","D. White makes 2-pt jump shot from 4 ft (assist by J. Brown)"
"64","3:24.0","P. Tucker makes 2-pt hook shot from 5 ft (assist by T. Herro)","+2","22-19","",""
"65","3:06.0","","","22-22","+3","D. Theis makes 3-pt jump shot from 24 ft (assist by A. Horford)"
