"","Time","Chicago","","Score","","Milwaukee"
"340","0:52.0","J. Green makes free throw 1 of 2","+1","68-91","",""
"341","0:52.0","J. Green misses free throw 2 of 2","","68-91","",""
"342","0:49.0","","","68-91","","Defensive rebound by G. Antetokounmpo"
"343","0:37.0","","","68-91","","P. Connaughton misses 3-pt jump shot from 24 ft"
"344","0:33.0","Defensive rebound by N. Vucevic","","68-91","",""
"345","0:25.0","C. White misses 3-pt jump shot from 26 ft","","68-91","",""
"346","0:21.0","","","68-91","","Defensive rebound by S. Ibaka"
"347","0:03.0","","","68-91","","G. Antetokounmpo misses 2-pt jump shot from 16 ft"
"348","0:01.0","Defensive rebound by N. Vucevic","","68-91","",""
"349","0:00.0","T. Brown misses 3-pt jump shot from 37 ft","","68-91","",""
"350","0:00.0","Offensive rebound by Team","","68-91","",""
"351","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"352","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"353","Time","Chicago","","Score","","Milwaukee"
"354","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"355","11:44.0","","","68-93","+2","P. Connaughton makes 2-pt layup from 2 ft (assist by G. Antetokounmpo)"
"356","11:24.0","T. Brown misses 3-pt jump shot from 23 ft","","68-93","",""
"357","11:21.0","","","68-93","","Defensive rebound by S. Ibaka"
"358","11:12.0","","","68-93","","Turnover by S. Ibaka (bad pass; steal by J. Green)"
"359","11:04.0","J. Green misses 3-pt jump shot from 27 ft","","68-93","",""
"360","11:01.0","","","68-93","","Defensive rebound by G. Allen"
"361","10:56.0","","","68-93","","Turnover by G. Allen (bad pass)"
"362","10:56.0","D. DeRozan enters the game for C. White","","68-93","",""
"363","10:50.0","D. DeRozan makes 2-pt jump shot from 17 ft","+2","70-93","",""
"364","10:32.0","","","70-93","","Personal foul by J. Green (drawn by P. Connaughton)"
"365","10:32.0","","","70-93","","W. Matthews enters the game for G. Allen"
"366","10:21.0","","","70-93","","S. Ibaka misses 2-pt hook shot from 6 ft"
"367","10:19.0","Defensive rebound by N. Vucevic","","70-93","",""
"368","10:10.0","A. Dosunmu misses 3-pt jump shot from 23 ft","","70-93","",""
"369","10:06.0","","","70-93","","Defensive rebound by J. Carter"
"370","10:04.0","","","70-93","","Turnover by G. Antetokounmpo (lost ball; steal by J. Green)"
"371","9:58.0","T. Brown makes 2-pt layup from 2 ft","+2","72-93","",""
"372","9:34.0","","","72-93","","G. Antetokounmpo misses 2-pt layup from 6 ft (block by N. Vucevic)"
"373","9:31.0","Defensive rebound by D. DeRozan","","72-93","",""
"374","9:29.0","N. Vucevic makes 2-pt dunk from 2 ft (assist by D. DeRozan)","+2","74-93","",""
"375","9:18.0","","","74-93","","Milwaukee full timeout"
"376","9:18.0","","","74-93","","B. Portis enters the game for S. Ibaka"
"377","9:08.0","","","74-93","","Turnover by P. Connaughton (bad pass; steal by J. Green)"
"378","9:02.0","A. Dosunmu misses 2-pt layup from 2 ft","","74-93","",""
"379","9:01.0","Offensive rebound by A. Dosunmu","","74-93","",""
"380","8:55.0","A. Dosunmu misses 2-pt layup from 3 ft","","74-93","",""
"381","8:55.0","","","74-93","","Defensive rebound by B. Portis"
"382","8:55.0","","","74-93","","Shooting foul by T. Brown (drawn by G. Antetokounmpo)"
"383","8:55.0","","","74-93","","G. Antetokounmpo misses free throw 1 of 2"
"384","8:55.0","","","74-93","","Offensive rebound by Team"
"385","8:55.0","","","74-93","","B. Lopez enters the game for P. Connaughton"
"386","8:55.0","","","74-94","+1","G. Antetokounmpo makes free throw 2 of 2"
"387","8:37.0","D. DeRozan makes 2-pt jump shot from 16 ft","+2","76-94","",""
"388","8:16.0","","","76-94","","W. Matthews misses 3-pt jump shot from 24 ft"
"389","8:09.0","","","76-94","","Offensive rebound by B. Portis"
"390","8:09.0","","","76-94","","B. Portis misses 2-pt layup at rim"
"391","8:09.0","","","76-94","","Offensive rebound by B. Portis"
"392","8:06.0","","","76-94","","Shooting foul by N. Vucevic (drawn by B. Lopez)"
"393","8:06.0","","","76-95","+1","B. Lopez makes free throw 1 of 2"
"394","8:06.0","","","76-95","","J. Holiday enters the game for G. Antetokounmpo"
"395","8:06.0","","","76-96","+1","B. Lopez makes free throw 2 of 2"
"396","7:41.0","A. Dosunmu makes 2-pt jump shot from 15 ft (assist by T. Brown)","+2","78-96","",""
"397","7:25.0","","","78-96","","Personal foul by N. Vucevic (drawn by B. Lopez)"
"398","7:25.0","P. Williams enters the game for T. Brown","","78-96","",""
"399","7:13.0","","","78-96","","Shooting foul by J. Green (drawn by J. Holiday)"
"400","7:13.0","","","78-96","","J. Holiday misses free throw 1 of 2"
"401","7:13.0","","","78-96","","Offensive rebound by Team"
"402","7:13.0","","","78-97","+1","J. Holiday makes free throw 2 of 2"
"403","6:56.0","N. Vucevic makes 3-pt jump shot from 26 ft (assist by D. DeRozan)","+3","81-97","",""
"404","6:37.0","","","81-97","","B. Portis misses 3-pt jump shot from 26 ft"
"405","6:32.0","","","81-97","","Offensive rebound by J. Carter"
"406","6:21.0","","","81-99","+2","J. Holiday makes 2-pt layup from 3 ft (assist by J. Carter)"
"407","6:11.0","Turnover by N. Vucevic (bad pass; steal by J. Carter)","","81-99","",""
"408","6:11.0","C. White enters the game for A. Dosunmu","","81-99","",""
"409","6:11.0","","","81-99","","G. Allen enters the game for J. Carter"
"410","6:02.0","","","81-99","","W. Matthews misses 3-pt jump shot from 27 ft"
"411","5:58.0","Defensive rebound by C. White","","81-99","",""
"412","5:51.0","P. Williams makes 2-pt jump shot from 19 ft (assist by D. DeRozan)","+2","83-99","",""
"413","5:34.0","","","83-102","+3","G. Allen makes 3-pt jump shot from 24 ft (assist by W. Matthews)"
"414","5:18.0","P. Williams makes 3-pt jump shot from 25 ft (assist by N. Vucevic)","+3","86-102","",""
"415","5:01.0","","","86-104","+2","B. Portis makes 2-pt jump shot from 11 ft"
"416","4:45.0","C. White makes 3-pt jump shot from 26 ft (assist by N. Vucevic)","+3","89-104","",""
"417","4:29.0","","","89-106","+2","B. Portis makes 2-pt layup from 3 ft (assist by W. Matthews)"
"418","4:07.0","P. Williams misses 3-pt jump shot from 23 ft","","89-106","",""
"419","4:04.0","","","89-106","","Defensive rebound by B. Portis"
"420","4:00.0","","","89-106","","Shooting foul by N. Vucevic (drawn by B. Lopez)"
"421","4:00.0","","","89-107","+1","B. Lopez makes free throw 1 of 2"
"422","4:00.0","Chicago full timeout","","89-107","",""
"423","4:00.0","D. Jones enters the game for J. Green","","89-107","",""
"424","4:00.0","","","89-107","","J. Carter enters the game for J. Holiday"
"425","4:00.0","","","89-107","","P. Connaughton enters the game for W. Matthews"
"426","4:00.0","","","89-108","+1","B. Lopez makes free throw 2 of 2"
"427","3:38.0","Turnover by N. Vucevic (bad pass; steal by J. Carter)","","89-108","",""
"428","3:36.0","","","89-110","+2","J. Carter makes 2-pt layup from 1 ft"
"429","3:36.0","Violation by Team (def goaltending)","","89-110","",""
"430","3:23.0","N. Vucevic makes 3-pt jump shot from 28 ft (assist by C. White)","+3","92-110","",""
"431","3:01.0","","","92-110","","Turnover by G. Allen (lost ball; steal by D. DeRozan)"
"432","2:56.0","C. White misses 3-pt jump shot from 26 ft","","92-110","",""
"433","2:54.0","","","92-110","","Defensive rebound by G. Allen"
"434","2:47.0","","","92-110","","G. Allen misses 2-pt layup from 3 ft"
"435","2:45.0","Defensive rebound by N. Vucevic","","92-110","",""
"436","2:41.0","D. Jones makes 2-pt layup from 1 ft (assist by N. Vucevic)","+2","94-110","",""
"437","2:41.0","Shooting foul by J. Carter (drawn by D. Jones)","","94-110","",""
"438","2:41.0","D. Jones makes free throw 1 of 1","+1","95-110","",""
"439","2:35.0","","","95-110","","Milwaukee full timeout"
"440","2:35.0","","","95-110","","J. Holiday enters the game for G. Allen"
"441","2:35.0","","","95-110","","W. Matthews enters the game for B. Portis"
"442","2:26.0","","","95-113","+3","P. Connaughton makes 3-pt jump shot from 27 ft (assist by W. Matthews)"
"443","2:10.0","Turnover by N. Vucevic (bad pass; steal by J. Carter)","","95-113","",""
"444","1:54.0","","","95-116","+3","P. Connaughton makes 3-pt jump shot from 27 ft (assist by J. Carter)"
"445","1:40.0","Personal foul by B. Lopez (drawn by P. Williams)","","95-116","",""
"446","1:40.0","Chicago full timeout","","95-116","",""
"447","1:40.0","T. Bradley enters the game for D. DeRozan","","95-116","",""
"448","1:40.0","T. Brown enters the game for N. Vucevic","","95-116","",""
"449","1:40.0","","","95-116","","T. Antetokounmpo enters the game for J. Carter"
"450","1:40.0","","","95-116","","S. Ibaka enters the game for P. Connaughton"
"451","1:40.0","","","95-116","","J. Nwora enters the game for J. Holiday"
"452","1:40.0","","","95-116","","R. Tucker enters the game for B. Lopez"
"453","1:40.0","","","95-116","","L. Vildoza enters the game for W. Matthews"
"454","1:37.0","T. Brown makes 2-pt jump shot from 11 ft (assist by T. Bradley)","+2","97-116","",""
"455","1:20.0","","","97-116","","S. Ibaka misses 2-pt jump shot from 15 ft"
"456","1:17.0","Defensive rebound by T. Brown","","97-116","",""
"457","1:15.0","Personal foul by L. Vildoza (drawn by P. Williams)","","97-116","",""
"458","1:15.0","P. Williams makes free throw 1 of 2","+1","98-116","",""
"459","1:15.0","P. Williams misses free throw 2 of 2","","98-116","",""
"460","1:12.0","","","98-116","","Defensive rebound by T. Antetokounmpo"
"461","1:01.0","","","98-116","","S. Ibaka misses 2-pt jump shot from 8 ft"
"462","0:58.0","Defensive rebound by T. Bradley","","98-116","",""
"463","0:50.0","C. White misses 3-pt jump shot from 27 ft","","98-116","",""
"464","0:47.0","Offensive rebound by P. Williams","","98-116","",""
"465","0:46.0","P. Williams makes 2-pt dunk from 2 ft","+2","100-116","",""
"466","0:33.0","","","100-116","","S. Ibaka misses 3-pt jump shot from 23 ft"
"467","0:30.0","Defensive rebound by Team","","100-116","",""
"468","0:30.0","Jump ball: T. Bradley vs. S. Ibaka (D. Jones gains possession)","Jump ball: T. Bradley vs. S. Ibaka (D. Jones gains possession)","Jump ball: T. Bradley vs. S. Ibaka (D. Jones gains possession)","Jump ball: T. Bradley vs. S. Ibaka (D. Jones gains possession)","Jump ball: T. Bradley vs. S. Ibaka (D. Jones gains possession)"
"469","0:22.0","C. White misses 2-pt jump shot from 17 ft","","100-116","",""
"470","0:19.0","","","100-116","","Defensive rebound by T. Antetokounmpo"
"471","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
