"","Time","Boston","","Score","","Milwaukee"
"344","2:08.0","","","89-86","","G. Antetokounmpo enters the game for D. DiVincenzo"
"345","2:07.0","Jump ball: P. Connaughton vs. P. Pritchard (G. Hill gains possession)","Jump ball: P. Connaughton vs. P. Pritchard (G. Hill gains possession)","Jump ball: P. Connaughton vs. P. Pritchard (G. Hill gains possession)","Jump ball: P. Connaughton vs. P. Pritchard (G. Hill gains possession)","Jump ball: P. Connaughton vs. P. Pritchard (G. Hill gains possession)"
"346","2:07.0","Turnover by M. Smart (lost ball; steal by P. Connaughton)","","89-86","",""
"347","1:59.0","","","89-86","","Shooting foul by J. Parker (drawn by G. Antetokounmpo)"
"348","1:59.0","","","89-86","","G. Antetokounmpo misses free throw 1 of 2"
"349","1:59.0","","","89-86","","Offensive rebound by Team"
"350","1:59.0","","","89-86","","W. Matthews enters the game for K. Middleton"
"351","1:59.0","","","89-86","","G. Antetokounmpo misses free throw 2 of 2"
"352","1:55.0","","","89-86","","Offensive rebound by W. Matthews"
"353","1:46.0","","","89-86","","B. Portis misses 2-pt jump shot from 21 ft"
"354","1:43.0","Defensive rebound by J. Hernangómez","","89-86","",""
"355","1:28.0","J. Hernangómez misses 3-pt jump shot from 28 ft","","89-86","",""
"356","1:25.0","","","89-86","","Defensive rebound by G. Antetokounmpo"
"357","1:20.0","","","89-86","","Shooting foul by P. Pritchard (drawn by G. Antetokounmpo)"
"358","1:20.0","","","89-87","+1","G. Antetokounmpo makes free throw 1 of 2"
"359","1:20.0","","","89-88","+1","G. Antetokounmpo makes free throw 2 of 2"
"360","1:06.0","Personal foul by P. Connaughton (drawn by M. Smart)","","89-88","",""
"361","1:06.0","M. Smart makes free throw 1 of 2","+1","90-88","",""
"362","1:06.0","M. Smart makes free throw 2 of 2","+1","91-88","",""
"363","0:46.0","","","91-88","","W. Matthews misses 2-pt layup from 6 ft (block by J. Tatum)"
"364","0:43.0","Defensive rebound by J. Hernangómez","","91-88","",""
"365","0:29.0","J. Parker makes 3-pt jump shot from 28 ft (assist by P. Pritchard)","+3","94-88","",""
"366","0:10.0","","","94-90","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft"
"367","0:10.0","J. Brown enters the game for J. Parker","","94-90","",""
"368","0:10.0","","","94-90","","G. Allen enters the game for G. Antetokounmpo"
"369","0:00.0","J. Tatum misses 2-pt jump shot from 11 ft","","94-90","",""
"370","0:00.0","Offensive rebound by Team","","94-90","",""
"371","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"372","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"373","Time","Boston","","Score","","Milwaukee"
"374","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"375","11:48.0","Personal foul by G. Hill (drawn by P. Pritchard)","","94-90","",""
"376","11:35.0","J. Tatum makes 2-pt layup from 1 ft","+2","96-90","",""
"377","11:21.0","","","96-90","","G. Antetokounmpo misses 2-pt layup from 4 ft"
"378","11:20.0","Defensive rebound by J. Tatum","","96-90","",""
"379","11:20.0","Personal foul by G. Antetokounmpo (drawn by J. Tatum)","","96-90","",""
"380","11:08.0","J. Parker makes 3-pt jump shot from 24 ft (assist by J. Tatum)","+3","99-90","",""
"381","10:51.0","","","99-90","","G. Antetokounmpo misses 2-pt layup from 5 ft (block by R. Williams)"
"382","10:48.0","Defensive rebound by J. Parker","","99-90","",""
"383","10:30.0","J. Parker misses 3-pt jump shot from 23 ft","","99-90","",""
"384","10:26.0","","","99-90","","Defensive rebound by G. Antetokounmpo"
"385","10:21.0","","","99-90","","Turnover by G. Antetokounmpo (bad pass; steal by J. Parker)"
"386","10:17.0","P. Pritchard misses 2-pt layup from 3 ft","","99-90","",""
"387","10:15.0","Offensive rebound by J. Parker","","99-90","",""
"388","10:15.0","J. Parker makes 2-pt layup from 1 ft","+2","101-90","",""
"389","10:15.0","Shooting foul by G. Hill (drawn by J. Parker)","","101-90","",""
"390","10:15.0","","","101-90","","Milwaukee full timeout"
"391","10:15.0","","","101-90","","J. Holiday enters the game for P. Connaughton"
"392","10:15.0","J. Parker makes free throw 1 of 1","+1","102-90","",""
"393","9:59.0","","","102-90","","G. Antetokounmpo misses 2-pt jump shot from 14 ft"
"394","9:56.0","Defensive rebound by J. Tatum","","102-90","",""
"395","9:37.0","R. Langford misses 3-pt jump shot from 27 ft","","102-90","",""
"396","9:34.0","","","102-90","","Defensive rebound by G. Antetokounmpo"
"397","9:26.0","","","102-90","","G. Allen misses 3-pt jump shot from 25 ft"
"398","9:23.0","Defensive rebound by R. Langford","","102-90","",""
"399","9:12.0","P. Pritchard misses 2-pt layup from 3 ft (block by G. Hill)","","102-90","",""
"400","9:10.0","Offensive rebound by R. Williams","","102-90","",""
"401","9:06.0","Turnover by J. Parker (bad pass; steal by J. Holiday)","","102-90","",""
"402","9:06.0","","","102-90","","Personal take foul by J. Tatum (drawn by J. Holiday)"
"403","9:06.0","","","102-90","","K. Middleton enters the game for G. Antetokounmpo"
"404","9:06.0","","","102-90","","B. Portis enters the game for W. Matthews"
"405","8:55.0","","","102-90","","Turnover by J. Holiday (traveling)"
"406","8:55.0","J. Brown enters the game for J. Parker","","102-90","",""
"407","8:39.0","P. Pritchard misses 3-pt jump shot from 27 ft","","102-90","",""
"408","8:36.0","","","102-90","","Defensive rebound by B. Portis"
"409","8:28.0","","","102-90","","Personal foul by P. Pritchard (drawn by K. Middleton)"
"410","8:11.0","","","102-90","","G. Hill misses 3-pt jump shot from 23 ft"
"411","8:04.0","","","102-90","","Offensive rebound by B. Portis"
"412","8:04.0","","","102-92","+2","B. Portis makes 2-pt layup at rim"
"413","8:04.0","","","102-92","","D. DiVincenzo enters the game for G. Hill"
"414","7:54.0","","","102-92","","Violation by Team (kicked ball)"
"415","7:42.0","P. Pritchard makes 2-pt jump shot from 13 ft","+2","104-92","",""
"416","7:27.0","","","104-94","+2","B. Portis makes 2-pt layup from 3 ft (assist by J. Holiday)"
"417","7:13.0","J. Tatum misses 2-pt layup from 2 ft","","104-94","",""
"418","7:11.0","","","104-94","","Defensive rebound by B. Portis"
"419","6:57.0","","","104-96","+2","J. Holiday makes 2-pt jump shot from 13 ft"
"420","6:36.0","Turnover by R. Williams (bad pass; steal by G. Allen)","","104-96","",""
"421","6:30.0","","","104-96","","J. Holiday misses 3-pt jump shot from 27 ft"
"422","6:27.0","Defensive rebound by R. Williams","","104-96","",""
"423","6:12.0","J. Tatum makes 3-pt jump shot from 28 ft","+3","107-96","",""
"424","5:52.0","","","107-96","","Turnover by B. Portis (lost ball; steal by P. Pritchard)"
"425","5:38.0","R. Langford misses 2-pt jump shot from 9 ft","","107-96","",""
"426","5:34.0","Offensive rebound by Team","","107-96","",""
"427","5:34.0","","","107-96","","G. Antetokounmpo enters the game for G. Allen"
"428","5:28.0","Shooting foul by J. Holiday (drawn by J. Tatum)","","107-96","",""
"429","5:28.0","J. Tatum makes free throw 1 of 2","+1","108-96","",""
"430","5:28.0","J. Parker enters the game for P. Pritchard","","108-96","",""
"431","5:28.0","M. Smart enters the game for R. Williams","","108-96","",""
"432","5:28.0","","","108-96","","W. Matthews enters the game for B. Portis"
"433","5:28.0","J. Tatum makes free throw 2 of 2","+1","109-96","",""
"434","5:15.0","","","109-96","","K. Middleton misses 3-pt jump shot from 27 ft"
"435","5:13.0","","","109-96","","Offensive rebound by G. Antetokounmpo"
"436","5:12.0","","","109-98","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft"
"437","4:50.0","J. Brown misses 2-pt jump shot from 15 ft (block by J. Holiday)","","109-98","",""
"438","4:45.0","","","109-98","","Defensive rebound by G. Antetokounmpo"
"439","4:42.0","","","109-100","+2","G. Antetokounmpo makes 2-pt dunk from 1 ft"
"440","4:20.0","Turnover by J. Tatum (lost ball; steal by J. Holiday)","","109-100","",""
"441","4:14.0","","","109-103","+3","W. Matthews makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo)"
"442","4:14.0","Boston full timeout","","109-103","",""
"443","4:14.0","R. Williams enters the game for J. Parker","","109-103","",""
"444","4:14.0","","","109-103","","G. Hill enters the game for D. DiVincenzo"
"445","3:56.0","M. Smart misses 3-pt jump shot from 24 ft","","109-103","",""
"446","3:53.0","","","109-103","","Defensive rebound by K. Middleton"
"447","3:45.0","","","109-105","+2","G. Antetokounmpo makes 2-pt jump shot from 14 ft"
"448","3:21.0","J. Brown makes 2-pt jump shot from 13 ft","+2","111-105","",""
"449","3:16.0","","","111-105","","Milwaukee full timeout"
"450","3:10.0","","","111-105","","G. Hill misses 3-pt jump shot from 26 ft"
"451","3:09.0","Defensive rebound by R. Williams","","111-105","",""
"452","2:50.0","J. Brown misses 2-pt jump shot from 16 ft","","111-105","",""
"453","2:47.0","","","111-105","","Defensive rebound by J. Holiday"
"454","2:36.0","","","111-105","","Personal foul by J. Tatum (drawn by G. Antetokounmpo)"
"455","2:31.0","","","111-105","","G. Antetokounmpo misses 2-pt layup from 4 ft"
"456","2:31.0","","","111-105","","Offensive rebound by G. Antetokounmpo"
"457","2:31.0","","","111-105","","Shooting foul by J. Tatum (drawn by G. Antetokounmpo)"
"458","2:31.0","","","111-106","+1","G. Antetokounmpo makes free throw 1 of 2"
"459","2:31.0","P. Pritchard enters the game for R. Langford","","111-106","",""
"460","2:31.0","","","111-107","+1","G. Antetokounmpo makes free throw 2 of 2"
"461","2:11.0","J. Tatum misses 3-pt jump shot from 27 ft","","111-107","",""
"462","2:08.0","","","111-107","","Defensive rebound by J. Holiday"
"463","2:00.0","","","111-107","","J. Holiday misses 3-pt jump shot from 28 ft"
"464","1:58.0","","","111-107","","Offensive rebound by K. Middleton"
"465","1:58.0","","","111-109","+2","G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton)"
"466","1:43.0","J. Tatum misses 3-pt jump shot from 24 ft","","111-109","",""
"467","1:40.0","","","111-109","","Defensive rebound by G. Hill"
"468","1:29.0","","","111-111","+2","G. Antetokounmpo makes 2-pt layup from 2 ft (assist by J. Holiday)"
"469","1:29.0","","","111-111","","Shooting foul by R. Williams (drawn by G. Antetokounmpo)"
"470","1:29.0","","","111-111","","G. Antetokounmpo misses free throw 1 of 1"
"471","1:26.0","Defensive rebound by J. Tatum","","111-111","",""
"472","1:17.0","Personal foul by J. Holiday (drawn by J. Brown)","","111-111","",""
"473","1:17.0","J. Brown makes free throw 1 of 2","+1","112-111","",""
"474","1:17.0","R. Langford enters the game for P. Pritchard","","112-111","",""
"475","1:17.0","J. Brown makes free throw 2 of 2","+1","113-111","",""
"476","0:58.0","","","113-111","","K. Middleton misses 3-pt jump shot from 27 ft"
"477","0:55.0","Defensive rebound by R. Williams","","113-111","",""
"478","0:37.0","Turnover by J. Tatum (lost ball; steal by J. Holiday)","","113-111","",""
"479","0:32.0","","","113-111","","J. Holiday misses 2-pt layup from 5 ft (block by R. Williams)"
"480","0:30.0","","","113-111","","Offensive rebound by G. Hill"
"481","0:30.0","","","113-114","+3","W. Matthews makes 3-pt jump shot from 26 ft (assist by G. Hill)"
"482","0:30.0","Boston full timeout","","113-114","",""
"483","0:30.0","P. Pritchard enters the game for R. Langford","","113-114","",""
"484","0:22.0","J. Brown misses 2-pt jump shot from 14 ft","","113-114","",""
"485","0:18.0","","","113-114","","Defensive rebound by J. Holiday"
"486","0:17.0","","","113-114","","Personal take foul by J. Brown (drawn by K. Middleton)"
"487","0:17.0","","","113-115","+1","K. Middleton makes free throw 1 of 2"
"488","0:17.0","","","113-116","+1","K. Middleton makes free throw 2 of 2"
"489","0:08.0","R. Williams misses 2-pt dunk from 1 ft (block by G. Antetokounmpo)","","113-116","",""
"490","0:08.0","","","113-116","","Defensive rebound by Team"
"491","0:07.0","","","113-116","","Milwaukee full timeout"
"492","0:07.0","","","113-116","","Instant Replay (Challenge: Ruling Stands)"
"493","0:07.0","R. Langford enters the game for P. Pritchard","","113-116","",""
"494","0:05.0","","","113-116","","Personal take foul by R. Williams (drawn by K. Middleton)"
"495","0:05.0","","","113-116","","K. Middleton misses free throw 1 of 2"
"496","0:05.0","","","113-116","","Offensive rebound by Team"
"497","0:05.0","","","113-117","+1","K. Middleton makes free throw 2 of 2"
"498","0:05.0","Boston full timeout","","113-117","",""
"499","0:00.0","J. Brown misses 3-pt jump shot from 27 ft","","113-117","",""
"500","0:00.0","","","113-117","","Defensive rebound by G. Antetokounmpo"
"501","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
