"","Time","Boston","","Score","","Milwaukee"
"76","3:34.0","J. Brown makes 2-pt jump shot from 15 ft (assist by P. Pritchard)","+2","29-15","",""
"77","3:19.0","","","29-15","","J. Holiday misses 3-pt jump shot from 28 ft"
"78","3:15.0","Defensive rebound by P. Pritchard","","29-15","",""
"79","3:10.0","M. Smart makes 2-pt layup from 5 ft","+2","31-15","",""
"80","3:00.0","","","31-15","","G. Antetokounmpo misses 2-pt layup from 3 ft (block by J. Hernangómez)"
"81","3:00.0","","","31-15","","Offensive rebound by Team"
"82","3:00.0","Jump ball: G. Antetokounmpo vs. J. Hernangómez (M. Smart gains possession)","Jump ball: G. Antetokounmpo vs. J. Hernangómez (M. Smart gains possession)","Jump ball: G. Antetokounmpo vs. J. Hernangómez (M. Smart gains possession)","Jump ball: G. Antetokounmpo vs. J. Hernangómez (M. Smart gains possession)","Jump ball: G. Antetokounmpo vs. J. Hernangómez (M. Smart gains possession)"
"83","3:00.0","Loose ball foul by J. Hernangómez (drawn by G. Antetokounmpo)","","31-15","",""
"84","3:00.0","","","31-15","","G. Antetokounmpo misses free throw 1 of 2"
"85","3:00.0","","","31-15","","Offensive rebound by Team"
"86","3:00.0","","","31-16","+1","G. Antetokounmpo makes free throw 2 of 2"
"87","2:46.0","Turnover by M. Smart (bad pass)","","31-16","",""
"88","2:46.0","Boston full timeout","","31-16","",""
"89","2:46.0","J. Tatum enters the game for M. Smart","","31-16","",""
"90","2:46.0","","","31-16","","W. Matthews enters the game for J. Holiday"
"91","2:22.0","","","31-18","+2","G. Hill makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo)"
"92","2:03.0","P. Pritchard makes 2-pt jump shot from 22 ft","+2","33-18","",""
"93","1:48.0","","","33-18","","B. Portis misses 2-pt jump shot from 18 ft"
"94","1:45.0","Defensive rebound by J. Hernangómez","","33-18","",""
"95","1:38.0","J. Parker misses 3-pt jump shot from 26 ft","","33-18","",""
"96","1:36.0","","","33-18","","Defensive rebound by G. Antetokounmpo"
"97","1:33.0","","","33-18","","Offensive foul by B. Portis (drawn by J. Brown)"
"98","1:33.0","","","33-18","","Turnover by B. Portis (offensive foul)"
"99","1:33.0","M. Smart enters the game for J. Brown","","33-18","",""
"100","1:33.0","","","33-18","","G. Allen enters the game for B. Portis"
"101","1:24.0","J. Tatum makes 2-pt jump shot from 18 ft (assist by P. Pritchard)","+2","35-18","",""
"102","1:06.0","","","35-18","","G. Allen misses 3-pt jump shot from 23 ft"
"103","1:03.0","Defensive rebound by J. Parker","","35-18","",""
"104","1:03.0","Personal foul by G. Antetokounmpo (drawn by M. Smart)","","35-18","",""
"105","0:52.0","J. Tatum misses 2-pt jump shot from 18 ft","","35-18","",""
"106","0:50.0","","","35-18","","Defensive rebound by G. Allen"
"107","0:44.0","","","35-20","+2","G. Antetokounmpo makes 2-pt layup from 10 ft (assist by G. Allen)"
"108","0:33.0","P. Pritchard misses 2-pt jump shot from 7 ft","","35-20","",""
"109","0:28.0","","","35-20","","Defensive rebound by P. Connaughton"
"110","0:27.0","","","35-22","+2","G. Antetokounmpo makes 2-pt layup from 3 ft"
"111","0:04.0","J. Parker misses 2-pt layup from 4 ft","","35-22","",""
"112","0:01.0","","","35-22","","Defensive rebound by P. Connaughton"
"113","0:00.0","","","35-22","","G. Antetokounmpo misses 3-pt jump shot from 36 ft"
"114","0:00.0","","","35-22","","Offensive rebound by Team"
"115","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
