"","Time","Dallas","","Score","","Utah"
"2","12:00.0","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)"
"3","11:45.0","","","0-0","","B. Bogdanovic misses 2-pt jump shot from 7 ft"
"4","11:43.0","Defensive rebound by L. Doncic","","0-0","",""
"5","11:26.0","D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic)","+2","2-0","",""
"6","11:13.0","","","2-0","","Shooting foul by L. Doncic (drawn by B. Bogdanovic)"
"7","11:13.0","","","2-0","","B. Bogdanovic misses free throw 1 of 2"
"8","11:13.0","","","2-0","","Offensive rebound by Team"
"9","11:13.0","","","2-1","+1","B. Bogdanovic makes free throw 2 of 2"
"10","10:51.0","L. Doncic makes 2-pt jump shot from 10 ft","+2","4-1","",""
"11","10:33.0","","","4-1","","B. Bogdanovic misses 3-pt jump shot from 24 ft"
"12","10:29.0","Defensive rebound by R. Bullock","","4-1","",""
"13","10:26.0","J. Brunson misses 3-pt jump shot from 25 ft","","4-1","",""
"14","10:22.0","","","4-1","","Defensive rebound by M. Conley"
"15","10:18.0","","","4-1","","D. Mitchell misses 3-pt jump shot from 27 ft"
"16","10:16.0","Defensive rebound by J. Brunson","","4-1","",""
"17","10:05.0","J. Brunson misses 2-pt jump shot from 7 ft","","4-1","",""
"18","10:03.0","","","4-1","","Defensive rebound by D. Mitchell"
"19","9:52.0","","","4-1","","R. O'Neale misses 3-pt jump shot from 27 ft"
"20","9:49.0","Defensive rebound by J. Brunson","","4-1","",""
"21","9:37.0","L. Doncic makes 2-pt layup from 5 ft","+2","6-1","",""
"22","9:15.0","","","6-1","","D. Mitchell misses 3-pt jump shot from 26 ft"
"23","9:13.0","Defensive rebound by D. Finney-Smith","","6-1","",""
"24","8:56.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","6-1","",""
"25","8:53.0","","","6-1","","Defensive rebound by D. Mitchell"
"26","8:44.0","","","6-1","","M. Conley misses 2-pt jump shot from 9 ft"
"27","8:42.0","Defensive rebound by D. Powell","","6-1","",""
"28","8:29.0","Shooting foul by M. Conley (drawn by J. Brunson)","","6-1","",""
"29","8:29.0","J. Brunson makes free throw 1 of 2","+1","7-1","",""
"30","8:29.0","J. Brunson makes free throw 2 of 2","+1","8-1","",""
"31","8:16.0","","","8-3","+2","D. Mitchell makes 2-pt layup from 2 ft (assist by M. Conley)"
"32","8:00.0","L. Doncic misses 2-pt layup from 6 ft","","8-3","",""
"33","7:58.0","","","8-3","","Defensive rebound by B. Bogdanovic"
"34","7:52.0","","","8-3","","M. Conley misses 2-pt jump shot from 9 ft"
"35","7:50.0","Defensive rebound by R. Bullock","","8-3","",""
"36","7:37.0","J. Brunson misses 3-pt jump shot from 25 ft","","8-3","",""
"37","7:35.0","","","8-3","","Defensive rebound by B. Bogdanovic"
"38","7:29.0","","","8-3","","Personal foul by J. Brunson (drawn by D. Mitchell)"
"39","7:29.0","","","8-3","","J. Clarkson enters the game for M. Conley"
"40","7:29.0","","","8-3","","H. Whiteside enters the game for R. Gobert"
"41","7:22.0","","","8-5","+2","D. Mitchell makes 2-pt jump shot from 10 ft"
"42","6:56.0","L. Doncic misses 3-pt jump shot from 29 ft","","8-5","",""
"43","6:53.0","","","8-5","","Defensive rebound by J. Clarkson"
"44","6:45.0","","","8-5","","D. Mitchell misses 2-pt jump shot from 10 ft"
"45","6:44.0","Defensive rebound by L. Doncic","","8-5","",""
"46","6:22.0","R. Bullock makes 3-pt jump shot from 25 ft (assist by J. Brunson)","+3","11-5","",""
"47","6:11.0","","","11-5","","Turnover by J. Clarkson (bad pass; steal by L. Doncic)"
"48","5:56.0","Shooting foul by J. Clarkson (drawn by J. Brunson)","","11-5","",""
"49","5:56.0","","","11-5","","Utah full timeout"
"50","5:56.0","S. Dinwiddie enters the game for L. Doncic","","11-5","",""
"51","5:56.0","M. Kleber enters the game for D. Powell","","11-5","",""
"52","5:56.0","J. Brunson makes free throw 1 of 2","+1","12-5","",""
"53","5:56.0","J. Brunson makes free throw 2 of 2","+1","13-5","",""
"54","5:39.0","","","13-5","","J. Clarkson misses 2-pt jump shot from 7 ft"
"55","5:38.0","","","13-5","","Offensive rebound by Team"
"56","5:33.0","","","13-7","+2","B. Bogdanovic makes 2-pt layup from 3 ft (assist by R. O'Neale)"
"57","5:11.0","J. Brunson misses 2-pt layup from 6 ft (block by H. Whiteside)","","13-7","",""
"58","5:08.0","","","13-7","","Defensive rebound by R. O'Neale"
"59","5:02.0","","","13-7","","Shooting foul by M. Kleber (drawn by J. Clarkson)"
"60","5:02.0","","","13-8","+1","J. Clarkson makes free throw 1 of 2"
"61","5:02.0","","","13-8","","J. Clarkson misses free throw 2 of 2"
"62","5:01.0","Defensive rebound by R. Bullock","","13-8","",""
"63","4:42.0","Offensive foul by M. Kleber (drawn by R. O'Neale)","","13-8","",""
"64","4:42.0","Turnover by M. Kleber (offensive foul)","","13-8","",""
"65","4:25.0","","","13-11","+3","D. Mitchell makes 3-pt jump shot from 28 ft (assist by R. O'Neale)"
"66","4:01.0","M. Kleber misses 3-pt jump shot from 23 ft","","13-11","",""
"67","3:58.0","","","13-11","","Defensive rebound by R. O'Neale"
"68","3:52.0","","","13-11","","B. Bogdanovic misses 3-pt jump shot from 23 ft"
"69","3:49.0","","","13-11","","Offensive rebound by H. Whiteside"
"70","3:47.0","","","13-13","+2","H. Whiteside makes 2-pt layup from 2 ft"
"71","3:20.0","M. Kleber makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)","+3","16-13","",""
"72","3:08.0","","","16-13","","Shooting foul by R. Bullock (drawn by H. Whiteside)"
"73","3:08.0","","","16-13","","H. Whiteside misses free throw 1 of 2"
"74","3:08.0","","","16-13","","Offensive rebound by Team"
"75","3:08.0","","","16-13","","D. House enters the game for R. O'Neale"
"76","3:08.0","","","16-13","","H. Whiteside misses free throw 2 of 2"
"77","3:06.0","Defensive rebound by M. Kleber","","16-13","",""
"78","2:55.0","R. Bullock misses 3-pt jump shot from 22 ft","","16-13","",""
"79","2:52.0","","","16-13","","Defensive rebound by J. Clarkson"
"80","2:39.0","","","16-13","","Personal foul by M. Kleber (drawn by D. Mitchell)"
"81","2:39.0","Dallas full timeout","","16-13","",""
"82","2:39.0","L. Doncic enters the game for J. Brunson","","16-13","",""
"83","2:39.0","J. Green enters the game for R. Bullock","","16-13","",""
"84","2:39.0","D. Powell enters the game for M. Kleber","","16-13","",""
"85","2:39.0","","","16-13","","R. Gobert enters the game for H. Whiteside"
"86","2:39.0","","","16-14","+1","D. Mitchell makes free throw 1 of 2"
"87","2:39.0","","","16-15","+1","D. Mitchell makes free throw 2 of 2"
"88","2:20.0","J. Green misses 3-pt jump shot from 23 ft","","16-15","",""
"89","2:16.0","Offensive rebound by D. Powell","","16-15","",""
"90","2:12.0","L. Doncic makes 3-pt jump shot from 26 ft (assist by D. Powell)","+3","19-15","",""
"91","1:58.0","","","19-18","+3","D. Mitchell makes 3-pt jump shot from 25 ft"
"92","1:47.0","Personal foul by B. Bogdanovic (drawn by L. Doncic)","","19-18","",""
"93","1:47.0","D. Bertans enters the game for D. Finney-Smith","","19-18","",""
"94","1:47.0","","","19-18","","M. Conley enters the game for B. Bogdanovic"
"95","1:47.0","","","19-18","","J. Hernangómez enters the game for D. Mitchell"
"96","1:41.0","L. Doncic misses 3-pt jump shot from 25 ft","","19-18","",""
"97","1:37.0","","","19-18","","Defensive rebound by M. Conley"
"98","1:29.0","","","19-18","","D. House misses 2-pt jump shot from 17 ft"
"99","1:28.0","Defensive rebound by Team","","19-18","",""
"100","1:28.0","","","19-18","","Loose ball foul by R. Gobert (drawn by D. Powell)"
"101","1:28.0","D. Powell makes free throw 1 of 2","+1","20-18","",""
"102","1:28.0","D. Powell misses free throw 2 of 2","","20-18","",""
"103","1:26.0","","","20-18","","Defensive rebound by R. Gobert"
"104","1:05.0","","","20-18","","Shooting foul by D. Bertans (drawn by M. Conley)"
"105","1:05.0","","","20-19","+1","M. Conley makes free throw 1 of 2"
