"","Time","Milwaukee","","Score","","Chicago"
"347","0:43.0","","","85-72","+1","Z. LaVine makes free throw 1 of 1"
"348","0:34.0","J. Holiday makes 2-pt jump shot from 11 ft","+2","87-72","",""
"349","0:17.0","","","87-72","","Shooting foul by J. Holiday (drawn by D. DeRozan)"
"350","0:17.0","","","87-73","+1","D. DeRozan makes free throw 1 of 2"
"351","0:17.0","G. Antetokounmpo enters the game for J. Holiday","","87-73","",""
"352","0:17.0","","","87-73","","D. Jones enters the game for N. Vucevic"
"353","0:17.0","","","87-74","+1","D. DeRozan makes free throw 2 of 2"
"354","0:01.0","G. Allen makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo)","+3","90-74","",""
"355","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"356","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"357","Time","Milwaukee","","Score","","Chicago"
"358","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"359","11:43.0","G. Allen makes 2-pt jump shot from 13 ft (assist by G. Antetokounmpo)","+2","92-74","",""
"360","11:30.0","","","92-76","+2","C. White makes 2-pt layup from 2 ft"
"361","11:18.0","G. Antetokounmpo misses 2-pt layup from 3 ft","","92-76","",""
"362","11:18.0","Offensive rebound by G. Antetokounmpo","","92-76","",""
"363","11:18.0","Shooting foul by N. Vucevic (drawn by G. Antetokounmpo)","","92-76","",""
"364","11:18.0","G. Antetokounmpo makes free throw 1 of 2","+1","93-76","",""
"365","11:18.0","","","93-76","","A. Dosunmu enters the game for D. DeRozan"
"366","11:18.0","G. Antetokounmpo makes free throw 2 of 2","+1","94-76","",""
"367","11:01.0","","","94-78","+2","P. Williams makes 2-pt jump shot from 9 ft (assist by Z. LaVine)"
"368","10:50.0","G. Antetokounmpo makes 3-pt jump shot from 27 ft","+3","97-78","",""
"369","10:26.0","","","97-78","","C. White misses 3-pt jump shot from 25 ft"
"370","10:23.0","Defensive rebound by J. Carter","","97-78","",""
"371","9:58.0","J. Carter misses 2-pt jump shot from 10 ft","","97-78","",""
"372","9:57.0","","","97-78","","Defensive rebound by C. White"
"373","9:46.0","","","97-78","","A. Dosunmu misses 3-pt jump shot from 26 ft"
"374","9:43.0","Defensive rebound by G. Antetokounmpo","","97-78","",""
"375","9:31.0","G. Antetokounmpo misses 2-pt jump shot from 14 ft","","97-78","",""
"376","9:29.0","","","97-78","","Defensive rebound by C. White"
"377","9:22.0","","","97-78","","A. Dosunmu misses 3-pt jump shot from 23 ft"
"378","9:20.0","Defensive rebound by G. Antetokounmpo","","97-78","",""
"379","9:15.0","Milwaukee full timeout","","97-78","",""
"380","9:15.0","J. Holiday enters the game for G. Allen","","97-78","",""
"381","9:15.0","B. Portis enters the game for J. Carter","","97-78","",""
"382","9:15.0","","","97-78","","D. DeRozan enters the game for Z. LaVine"
"383","9:05.0","J. Holiday misses 2-pt layup from 2 ft","","97-78","",""
"384","9:03.0","","","97-78","","Defensive rebound by N. Vucevic"
"385","8:51.0","","","97-78","","D. DeRozan misses 3-pt jump shot from 24 ft"
"386","8:46.0","Defensive rebound by G. Antetokounmpo","","97-78","",""
"387","8:34.0","B. Portis misses 3-pt jump shot from 26 ft","","97-78","",""
"388","8:31.0","","","97-78","","Defensive rebound by N. Vucevic"
"389","8:16.0","","","97-78","","P. Williams misses 3-pt jump shot from 23 ft"
"390","8:10.0","Defensive rebound by W. Matthews","","97-78","",""
"391","7:55.0","J. Holiday makes 2-pt jump shot from 6 ft","+2","99-78","",""
"392","7:55.0","Shooting foul by C. White (drawn by J. Holiday)","","99-78","",""
"393","7:55.0","","","99-78","","Z. LaVine enters the game for C. White"
"394","7:55.0","J. Holiday makes free throw 1 of 1","+1","100-78","",""
"395","7:41.0","","","100-80","+2","D. DeRozan makes 2-pt jump shot from 17 ft (assist by A. Dosunmu)"
"396","7:28.0","G. Antetokounmpo misses 2-pt layup from 4 ft","","100-80","",""
"397","7:25.0","","","100-80","","Defensive rebound by D. DeRozan"
"398","7:22.0","","","100-82","+2","A. Dosunmu makes 2-pt layup from 2 ft (assist by D. DeRozan)"
"399","6:58.0","W. Matthews makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo)","+3","103-82","",""
"400","6:42.0","","","103-84","+2","D. DeRozan makes 2-pt jump shot from 9 ft (assist by Z. LaVine)"
"401","6:29.0","W. Matthews makes 3-pt jump shot from 26 ft (assist by P. Connaughton)","+3","106-84","",""
"402","6:14.0","","","106-84","","Z. LaVine misses 3-pt jump shot from 26 ft"
"403","6:11.0","Defensive rebound by G. Antetokounmpo","","106-84","",""
"404","6:01.0","P. Connaughton misses 3-pt jump shot from 24 ft","","106-84","",""
"405","5:58.0","","","106-84","","Defensive rebound by P. Williams"
"406","5:50.0","","","106-84","","Shooting foul by P. Connaughton (drawn by D. DeRozan)"
"407","5:50.0","","","106-85","+1","D. DeRozan makes free throw 1 of 2"
"408","5:50.0","G. Allen enters the game for G. Antetokounmpo","","106-85","",""
"409","5:50.0","B. Lopez enters the game for P. Connaughton","","106-85","",""
"410","5:50.0","","","106-86","+1","D. DeRozan makes free throw 2 of 2"
"411","5:35.0","B. Lopez makes 2-pt dunk at rim (assist by J. Holiday)","+2","108-86","",""
"412","5:20.0","","","108-86","","D. DeRozan misses 2-pt jump shot from 20 ft"
"413","5:18.0","Defensive rebound by B. Portis","","108-86","",""
"414","5:06.0","J. Holiday misses 2-pt jump shot from 19 ft","","108-86","",""
"415","5:03.0","","","108-86","","Defensive rebound by P. Williams"
"416","4:56.0","","","108-86","","P. Williams misses 3-pt jump shot from 22 ft"
"417","4:52.0","Defensive rebound by G. Allen","","108-86","",""
"418","4:38.0","J. Holiday makes 2-pt jump shot from 18 ft (assist by B. Lopez)","+2","110-86","",""
"419","4:36.0","","","110-86","","Chicago full timeout"
"420","4:36.0","T. Antetokounmpo enters the game for G. Allen","","110-86","",""
"421","4:36.0","J. Carter enters the game for J. Holiday","","110-86","",""
"422","4:36.0","P. Connaughton enters the game for B. Lopez","","110-86","",""
"423","4:36.0","S. Ibaka enters the game for W. Matthews","","110-86","",""
"424","4:36.0","J. Nwora enters the game for B. Portis","","110-86","",""
"425","4:22.0","","","110-86","","D. DeRozan misses 2-pt layup from 4 ft"
"426","4:22.0","","","110-86","","Offensive rebound by P. Williams"
"427","4:22.0","","","110-88","+2","P. Williams makes 2-pt layup at rim"
"428","4:22.0","","","110-88","","Shooting foul by S. Ibaka (drawn by P. Williams)"
"429","4:22.0","","","110-89","+1","P. Williams makes free throw 1 of 1"
"430","4:09.0","Turnover by P. Connaughton (bad pass; steal by A. Dosunmu)","","110-89","",""
"431","4:05.0","","","110-91","+2","Z. LaVine makes 2-pt dunk at rim (assist by A. Dosunmu)"
"432","4:05.0","Milwaukee full timeout","","110-91","",""
"433","4:05.0","G. Allen enters the game for T. Antetokounmpo","","110-91","",""
"434","4:05.0","G. Antetokounmpo enters the game for J. Carter","","110-91","",""
"435","4:05.0","J. Holiday enters the game for S. Ibaka","","110-91","",""
"436","4:05.0","B. Portis enters the game for J. Nwora","","110-91","",""
"437","3:46.0","J. Holiday misses 2-pt jump shot from 22 ft","","110-91","",""
"438","3:44.0","","","110-91","","Defensive rebound by P. Williams"
"439","3:38.0","","","110-93","+2","D. DeRozan makes 2-pt layup from 1 ft (assist by Z. LaVine)"
"440","3:20.0","B. Portis misses 3-pt jump shot from 24 ft","","110-93","",""
"441","3:17.0","","","110-93","","Defensive rebound by Z. LaVine"
"442","3:13.0","","","110-93","","Turnover by Z. LaVine (lost ball; steal by J. Holiday)"
"443","3:08.0","G. Antetokounmpo misses 2-pt layup from 2 ft","","110-93","",""
"444","3:06.0","","","110-93","","Defensive rebound by P. Williams"
"445","3:04.0","","","110-93","","Personal foul by G. Antetokounmpo (drawn by P. Williams)"
"446","2:55.0","","","110-93","","D. DeRozan misses 3-pt jump shot from 23 ft"
"447","2:53.0","Defensive rebound by G. Antetokounmpo","","110-93","",""
"448","2:31.0","J. Holiday misses 2-pt jump shot from 20 ft","","110-93","",""
"449","2:26.0","Offensive rebound by G. Antetokounmpo","","110-93","",""
"450","2:26.0","G. Antetokounmpo makes 2-pt dunk at rim","+2","112-93","",""
"451","2:16.0","","","112-93","","Shooting foul by B. Portis (drawn by Z. LaVine)"
"452","2:16.0","Technical foul by B. Portis","","112-93","",""
"453","2:16.0","","","112-93","","Technical foul by Z. LaVine"
"454","2:16.0","","","112-93","","Instant Replay (Request: Ruling Stands)"
"455","2:16.0","T. Antetokounmpo enters the game for G. Antetokounmpo","","112-93","",""
"456","2:16.0","S. Ibaka enters the game for B. Portis","","112-93","",""
"457","2:16.0","","","112-94","+1","Z. LaVine makes free throw 1 of 2"
"458","2:16.0","","","112-95","+1","Z. LaVine makes free throw 2 of 2"
"459","1:53.0","J. Holiday makes 3-pt jump shot from 29 ft","+3","115-95","",""
"460","1:53.0","","","115-95","","Chicago full timeout"
"461","1:53.0","J. Carter enters the game for G. Allen","","115-95","",""
"462","1:53.0","J. Nwora enters the game for P. Connaughton","","115-95","",""
"463","1:53.0","R. Tucker enters the game for J. Holiday","","115-95","",""
"464","1:53.0","","","115-95","","T. Brown enters the game for D. DeRozan"
"465","1:53.0","","","115-95","","J. Green enters the game for Z. LaVine"
"466","1:53.0","","","115-95","","D. Jones enters the game for N. Vucevic"
"467","1:53.0","","","115-95","","C. White enters the game for P. Williams"
"468","1:36.0","","","115-95","","A. Dosunmu misses 2-pt jump shot from 19 ft"
"469","1:33.0","","","115-95","","Offensive rebound by J. Green"
"470","1:33.0","","","115-95","","J. Green misses 2-pt layup at rim"
"471","1:32.0","Defensive rebound by J. Carter","","115-95","",""
"472","1:29.0","S. Ibaka makes 2-pt jump shot from 6 ft (assist by J. Carter)","+2","117-95","",""
"473","1:14.0","","","117-95","","T. Brown misses 2-pt jump shot from 22 ft"
"474","1:12.0","Defensive rebound by S. Ibaka","","117-95","",""
"475","1:00.0","Personal foul by J. Green (drawn by S. Ibaka)","","117-95","",""
"476","0:49.0","S. Ibaka makes 2-pt dunk from 1 ft (assist by J. Nwora)","+2","119-95","",""
"477","0:36.0","","","119-95","","T. Brown misses 3-pt jump shot from 26 ft"
"478","0:33.0","Defensive rebound by S. Ibaka","","119-95","",""
"479","0:12.0","Turnover by Team (shot clock)","","119-95","",""
"480","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
