Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy,oponent_team
7:06.0,M.Kleber,2,79-64,3.0,3-pt,jump,23,makes,Dallas,2022-07-03 07:06:00,GSW
4:41.0,M.Kleber,3,21-14,1.0,3-pt,jump,25,misses,Dallas,2022-07-03 04:41:00,GSW
2:53.0,M.Kleber,3,23-14,1.0,3-pt,jump,25,misses,Dallas,2022-07-03 02:53:00,GSW
8:48.0,M.Kleber,3,58-51,3.0,3-pt,jump,22,misses,Dallas,2022-07-03 08:48:00,GSW
7:26.0,M.Kleber,3,59-53,3.0,3-pt,jump,23,misses,Dallas,2022-07-03 07:26:00,GSW
7:59.0,M.Kleber,3,89-81,4.0,3-pt,jump,25,misses,Dallas,2022-07-03 07:59:00,GSW
6:32.0,M.Kleber,4,12-13,1.0,3-pt,jump,23,makes,Dallas,2022-07-03 06:32:00,GSW
5:18.0,M.Kleber,4,16-16,1.0,3-pt,jump,25,makes,Dallas,2022-07-03 05:18:00,GSW
3:36.0,M.Kleber,4,18-19,1.0,3-pt,jump,23,misses,Dallas,2022-07-03 03:36:00,GSW
4:15.0,M.Kleber,4,65-88,3.0,2-pt,layup,3,makes,Dallas,2022-07-03 04:15:00,GSW
4:15.0,M.Kleber,4,65-89,3.0,free,throw,1,makes,Dallas,2022-07-03 04:15:00,GSW
1:42.0,M.Kleber,4,70-97,3.0,2-pt,jump,16,makes,Dallas,2022-07-03 01:42:00,GSW
6:21.0,M.Kleber,4,87-105,4.0,2-pt,dunk,(assist,makes,Dallas,2022-07-03 06:21:00,GSW
4:00.0,M.Kleber,5,15-19,1.0,3-pt,jump,23,makes,Dallas,2022-07-03 04:00:00,GSW
1:39.0,M.Kleber,5,17-21,1.0,2-pt,jump,9,misses,Dallas,2022-07-03 01:39:00,GSW
0:31.0,M.Kleber,5,17-26,1.0,3-pt,jump,25,misses,Dallas,2022-07-03 00:31:00,GSW
7:07.0,M.Kleber,5,32-45,2.0,2-pt,hook,5,misses,Dallas,2022-07-03 07:07:00,GSW
7:03.0,M.Kleber,5,34-45,2.0,2-pt,layup,,makes,Dallas,2022-07-03 07:03:00,GSW
4:19.0,M.Kleber,5,69-89,3.0,2-pt,dunk,5,makes,Dallas,2022-07-03 04:19:00,GSW
