"","Time","Phoenix","","Score","","New Orleans"
"118","11:44.0","Defensive rebound by Team","","28-29","",""
"119","11:29.0","Turnover by M. Bridges (lost ball; steal by C. McCollum)","","28-29","",""
"120","11:24.0","","","28-32","+3","D. Graham makes 3-pt jump shot from 25 ft (assist by N. Marshall)"
"121","11:00.0","C. Johnson misses 2-pt jump shot from 8 ft (block by L. Nance)","","28-32","",""
"122","10:56.0","","","28-32","","Defensive rebound by D. Graham"
"123","10:53.0","","","28-32","","T. Murphy misses 3-pt jump shot from 22 ft"
"124","10:51.0","","","28-32","","Offensive rebound by L. Nance"
"125","10:48.0","","","28-35","+3","D. Graham makes 3-pt jump shot from 26 ft (assist by N. Marshall)"
"126","10:30.0","J. McGee makes 2-pt dunk from 3 ft (assist by C. Paul)","+2","30-35","",""
"127","10:13.0","","","30-35","","Personal foul by C. Paul (drawn by D. Graham)"
"128","10:11.0","","","30-35","","Offensive foul by C. McCollum (drawn by M. Bridges)"
"129","10:11.0","","","30-35","","Turnover by C. McCollum (offensive foul)"
"130","9:57.0","L. Shamet makes 2-pt dunk from 4 ft (assist by C. Paul)","+2","32-35","",""
"131","9:49.0","","","32-35","","C. McCollum misses 3-pt jump shot from 26 ft"
"132","9:49.0","Defensive rebound by L. Shamet","","32-35","",""
"133","9:35.0","J. McGee makes 2-pt dunk from 2 ft (assist by L. Shamet)","+2","34-35","",""
"134","9:28.0","","","34-35","","Shooting foul by C. Johnson (drawn by C. McCollum)"
"135","9:28.0","","","34-36","+1","C. McCollum makes free throw 1 of 2"
"136","9:28.0","D. Ayton enters the game for C. Johnson","","34-36","",""
"137","9:28.0","J. Crowder enters the game for J. McGee","","34-36","",""
"138","9:28.0","","","34-36","","H. Jones enters the game for N. Marshall"
"139","9:28.0","","","34-36","","J. Valanciunas enters the game for T. Murphy"
"140","9:28.0","","","34-37","+1","C. McCollum makes free throw 2 of 2"
"141","9:13.0","D. Ayton misses 2-pt jump shot from 8 ft","","34-37","",""
"142","9:11.0","","","34-37","","Defensive rebound by D. Graham"
"143","9:01.0","","","34-37","","D. Graham misses 3-pt jump shot from 26 ft"
"144","8:58.0","Defensive rebound by C. Paul","","34-37","",""
"145","8:58.0","","","34-37","","J. Alvarado enters the game for D. Graham"
"146","8:50.0","Jump ball: M. Bridges vs. L. Nance (C. Paul gains possession)","Jump ball: M. Bridges vs. L. Nance (C. Paul gains possession)","Jump ball: M. Bridges vs. L. Nance (C. Paul gains possession)","Jump ball: M. Bridges vs. L. Nance (C. Paul gains possession)","Jump ball: M. Bridges vs. L. Nance (C. Paul gains possession)"
"147","8:33.0","C. Paul misses 3-pt jump shot from 26 ft","","34-37","",""
"148","8:30.0","","","34-37","","Defensive rebound by J. Valanciunas"
"149","8:21.0","","","34-37","","L. Nance misses 2-pt jump shot from 5 ft"
"150","8:19.0","","","34-37","","Offensive rebound by J. Valanciunas"
"151","8:19.0","","","34-37","","J. Valanciunas misses 2-pt layup from 3 ft"
"152","8:19.0","","","34-37","","Offensive rebound by J. Valanciunas"
"153","8:19.0","","","34-37","","J. Valanciunas misses 2-pt layup at rim"
"154","8:19.0","","","34-37","","Offensive rebound by Team"
"155","8:18.0","","","34-37","","Personal foul by J. Crowder (drawn by J. Valanciunas)"
"156","8:08.0","","","34-37","","Offensive foul by J. Valanciunas (drawn by J. Crowder)"
"157","8:08.0","","","34-37","","Turnover by J. Valanciunas (offensive foul)"
"158","8:00.0","Personal foul by J. Alvarado (drawn by C. Paul)","","34-37","",""
"159","8:00.0","","","34-37","","J. Hayes enters the game for L. Nance"
"160","7:54.0","L. Shamet misses 3-pt jump shot from 23 ft","","34-37","",""
"161","7:49.0","","","34-37","","Defensive rebound by J. Hayes"
"162","7:42.0","","","34-39","+2","J. Valanciunas makes 2-pt jump shot from 10 ft (assist by C. McCollum)"
"163","7:27.0","M. Bridges makes 2-pt jump shot from 12 ft","+2","36-39","",""
"164","7:04.0","","","36-39","","Turnover by J. Alvarado (bad pass; steal by D. Ayton)"
"165","6:48.0","C. Paul misses 3-pt jump shot from 27 ft","","36-39","",""
"166","6:41.0","Offensive rebound by L. Shamet","","36-39","",""
"167","6:36.0","D. Ayton makes 2-pt hook shot from 10 ft (assist by L. Shamet)","+2","38-39","",""
"168","6:12.0","","","38-39","","Turnover by C. McCollum (bad pass; steal by C. Paul)"
"169","6:10.0","L. Shamet makes 2-pt dunk from 2 ft (assist by C. Paul)","+2","40-39","",""
"170","6:10.0","Shooting foul by J. Hayes (drawn by L. Shamet)","","40-39","",""
"171","6:10.0","Instant Replay","","40-39","",""
"172","6:10.0","","","40-39","","New Orleans full timeout"
"173","6:10.0","","","40-39","","B. Ingram enters the game for J. Alvarado"
"174","6:10.0","L. Shamet makes free throw 1 of 1","+1","41-39","",""
"175","5:55.0","","","41-39","","Shooting foul by D. Ayton (drawn by J. Hayes)"
"176","5:55.0","","","41-40","+1","J. Hayes makes free throw 1 of 2"
"177","5:55.0","","","41-41","+1","J. Hayes makes free throw 2 of 2"
"178","5:33.0","D. Ayton misses 2-pt jump shot from 8 ft","","41-41","",""
"179","5:31.0","Offensive rebound by J. Crowder","","41-41","",""
"180","5:28.0","J. Crowder makes 2-pt layup from 3 ft","+2","43-41","",""
"181","5:15.0","","","43-43","+2","C. McCollum makes 2-pt jump shot from 16 ft"
"182","5:13.0","Flagrant foul type 2 by J. Hayes (drawn by J. Crowder)","","43-43","",""
"183","5:13.0","","","43-43","","J. Hayes ejected from game"
"184","5:13.0","","","43-43","","Instant Replay"
"185","5:13.0","Technical foul by J. Crowder","","43-43","",""
"186","5:13.0","","","43-44","+1","B. Ingram makes technical free throw"
"187","5:13.0","J. Crowder makes flagrant free throw 1 of 2","+1","44-44","",""
"188","5:13.0","J. Crowder makes flagrant free throw 2 of 2","+1","45-44","",""
"189","5:13.0","","","45-44","","J. Alvarado enters the game for J. Hayes"
"190","5:05.0","L. Shamet misses 3-pt jump shot from 28 ft","","45-44","",""
"191","5:02.0","Offensive rebound by D. Ayton","","45-44","",""
"192","5:00.0","J. Crowder misses 3-pt jump shot from 26 ft","","45-44","",""
"193","4:57.0","","","45-44","","Defensive rebound by J. Valanciunas"
"194","4:48.0","","","45-44","","J. Alvarado misses 3-pt jump shot from 24 ft"
"195","4:44.0","","","45-44","","Offensive rebound by J. Valanciunas"
"196","4:44.0","","","45-44","","Personal foul by C. Paul (drawn by B. Ingram)"
"197","4:44.0","C. Payne enters the game for L. Shamet","","45-44","",""
"198","4:44.0","","","45-44","","B. Ingram misses free throw 1 of 2"
"199","4:44.0","","","45-44","","Offensive rebound by Team"
"200","4:44.0","","","45-45","+1","B. Ingram makes free throw 2 of 2"
"201","4:35.0","Personal foul by J. Alvarado (drawn by C. Paul)","","45-45","",""
"202","4:32.0","Personal foul by H. Jones (drawn by C. Paul)","","45-45","",""
"203","4:32.0","C. Paul makes free throw 1 of 2","+1","46-45","",""
"204","4:32.0","C. Paul makes free throw 2 of 2","+1","47-45","",""
"205","4:18.0","","","47-45","","Turnover by B. Ingram (lost ball; steal by C. Payne)"
"206","4:10.0","D. Ayton makes 2-pt dunk from 2 ft (assist by J. Crowder)","+2","49-45","",""
"207","3:45.0","","","49-45","","B. Ingram misses 3-pt jump shot from 25 ft"
"208","3:39.0","","","49-45","","Offensive rebound by J. Valanciunas"
"209","3:39.0","","","49-45","","J. Valanciunas misses 2-pt layup at rim"
"210","3:39.0","","","49-45","","Offensive rebound by H. Jones"
"211","3:30.0","","","49-45","","B. Ingram misses 3-pt jump shot from 26 ft"
"212","3:25.0","Defensive rebound by M. Bridges","","49-45","",""
"213","3:16.0","D. Ayton misses 2-pt jump shot from 11 ft","","49-45","",""
"214","3:14.0","","","49-45","","Defensive rebound by B. Ingram"
"215","3:10.0","","","49-45","","Offensive foul by J. Alvarado (drawn by J. Crowder)"
"216","3:10.0","","","49-45","","Turnover by J. Alvarado (offensive foul)"
"217","2:53.0","J. Crowder makes 2-pt layup from 4 ft (assist by D. Ayton)","+2","51-45","",""
"218","2:41.0","","","51-45","","C. McCollum misses 3-pt jump shot from 28 ft"
"219","2:37.0","Defensive rebound by D. Ayton","","51-45","",""
"220","2:33.0","M. Bridges misses 2-pt layup from 3 ft","","51-45","",""
"221","2:30.0","","","51-45","","Defensive rebound by B. Ingram"
"222","2:28.0","","","51-45","","Personal foul by C. Payne (drawn by C. McCollum)"
"223","2:28.0","Phoenix full timeout","","51-45","",""
"224","2:28.0","","","51-45","","D. Graham enters the game for J. Alvarado"
"225","2:28.0","","","51-45","","L. Nance enters the game for J. Valanciunas"
"226","2:28.0","","","51-46","+1","C. McCollum makes free throw 1 of 2"
"227","2:28.0","","","51-46","","C. McCollum misses free throw 2 of 2"
"228","2:25.0","Defensive rebound by D. Ayton","","51-46","",""
"229","2:15.0","C. Payne makes 2-pt layup from 3 ft","+2","53-46","",""
"230","1:50.0","","","53-48","+2","B. Ingram makes 2-pt jump shot from 14 ft"
"231","1:26.0","D. Ayton makes 2-pt jump shot from 10 ft","+2","55-48","",""
"232","1:05.0","","","55-48","","D. Graham misses 3-pt jump shot from 23 ft"
"233","0:58.0","Defensive rebound by M. Bridges","","55-48","",""
"234","0:50.0","Personal foul by D. Graham (drawn by M. Bridges)","","55-48","",""
"235","0:50.0","M. Bridges makes free throw 1 of 2","+1","56-48","",""
"236","0:50.0","B. Biyombo enters the game for D. Ayton","","56-48","",""
"237","0:50.0","M. Bridges makes free throw 2 of 2","+1","57-48","",""
"238","0:30.0","","","57-48","","Turnover by L. Nance (traveling)"
"239","0:30.0","D. Ayton enters the game for B. Biyombo","","57-48","",""
"240","0:10.0","D. Ayton makes 2-pt jump shot from 11 ft","+2","59-48","",""
"241","0:02.0","","","59-48","","C. McCollum misses 3-pt jump shot from 23 ft"
"242","0:02.0","","","59-48","","Offensive rebound by D. Graham"
"243","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"244","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"245","Time","Phoenix","","Score","","New Orleans"
"246","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"247","11:38.0","","","59-48","","B. Ingram misses 2-pt jump shot from 16 ft"
"248","11:35.0","","","59-48","","Offensive rebound by J. Valanciunas"
"249","11:32.0","","","59-48","","Turnover by J. Valanciunas (lost ball; steal by M. Bridges)"
"250","11:26.0","J. Crowder misses 3-pt jump shot from 27 ft","","59-48","",""
"251","11:22.0","","","59-48","","Defensive rebound by C. McCollum"
"252","11:20.0","","","59-51","+3","C. McCollum makes 3-pt jump shot from 26 ft"
"253","11:04.0","D. Ayton misses 2-pt jump shot from 12 ft","","59-51","",""
"254","11:01.0","","","59-51","","Defensive rebound by B. Ingram"
"255","10:48.0","","","59-53","+2","H. Jones makes 2-pt layup from 4 ft"
"256","10:29.0","D. Ayton makes 2-pt jump shot from 10 ft (assist by C. Paul)","+2","61-53","",""
"257","10:16.0","","","61-53","","Turnover by B. Ingram (bad pass; steal by D. Ayton)"
"258","10:08.0","M. Bridges makes 2-pt jump shot from 9 ft (assist by L. Shamet)","+2","63-53","",""
"259","9:58.0","","","63-53","","Shooting foul by M. Bridges (drawn by C. McCollum)"
"260","9:58.0","","","63-53","","C. McCollum misses free throw 1 of 2"
"261","9:58.0","","","63-53","","Offensive rebound by Team"
"262","9:58.0","","","63-53","","C. McCollum misses free throw 2 of 2"
"263","9:55.0","Defensive rebound by D. Ayton","","63-53","",""
"264","9:44.0","D. Ayton makes 2-pt jump shot from 11 ft (assist by C. Paul)","+2","65-53","",""
"265","9:44.0","Shooting foul by J. Valanciunas (drawn by D. Ayton)","","65-53","",""
"266","9:44.0","D. Ayton makes free throw 1 of 1","+1","66-53","",""
"267","9:26.0","","","66-53","","H. Jones misses 2-pt layup from 5 ft"
"268","9:23.0","Defensive rebound by D. Ayton","","66-53","",""
"269","9:16.0","M. Bridges misses 2-pt jump shot from 14 ft","","66-53","",""
"270","9:14.0","","","66-53","","Defensive rebound by J. Valanciunas"
"271","9:01.0","","","66-56","+3","C. McCollum makes 3-pt jump shot from 26 ft (assist by B. Ingram)"
"272","8:40.0","M. Bridges misses 2-pt jump shot from 14 ft","","66-56","",""
"273","8:37.0","","","66-56","","Defensive rebound by C. McCollum"
"274","8:31.0","","","66-58","+2","C. McCollum makes 2-pt layup from 5 ft"
"275","8:07.0","C. Paul misses 2-pt jump shot from 17 ft","","66-58","",""
"276","8:05.0","","","66-58","","Defensive rebound by J. Valanciunas"
"277","7:59.0","","","66-60","+2","H. Jones makes 2-pt jump shot from 8 ft (assist by B. Ingram)"
"278","7:59.0","","","66-60","","Shooting foul by L. Shamet (drawn by H. Jones)"
"279","7:59.0","","","66-61","+1","H. Jones makes free throw 1 of 1"
"280","7:46.0","L. Shamet misses 3-pt jump shot from 27 ft","","66-61","",""
"281","7:42.0","","","66-61","","Defensive rebound by J. Valanciunas"
"282","7:32.0","","","66-61","","Shooting foul by M. Bridges (drawn by B. Ingram)"
"283","7:32.0","","","66-62","+1","B. Ingram makes free throw 1 of 2"
"284","7:32.0","","","66-63","+1","B. Ingram makes free throw 2 of 2"
"285","7:12.0","Turnover by D. Ayton (lost ball; steal by J. Valanciunas)","","66-63","",""
"286","7:01.0","","","66-63","","Shooting foul by J. Crowder (drawn by J. Valanciunas)"
"287","7:01.0","","","66-64","+1","J. Valanciunas makes free throw 1 of 2"
"288","7:01.0","","","66-65","+1","J. Valanciunas makes free throw 2 of 2"
"289","6:50.0","M. Bridges makes 2-pt layup from 5 ft (assist by C. Paul)","+2","68-65","",""
"290","6:50.0","Shooting foul by B. Ingram (drawn by M. Bridges)","","68-65","",""
"291","6:50.0","","","68-65","","New Orleans full timeout"
"292","6:50.0","M. Bridges makes free throw 1 of 1","+1","69-65","",""
"293","6:36.0","","","69-67","+2","B. Ingram makes 2-pt jump shot from 11 ft"
"294","6:14.0","D. Ayton makes 2-pt dunk from 4 ft (assist by C. Paul)","+2","71-67","",""
"295","5:54.0","","","71-67","","T. Murphy misses 3-pt jump shot from 28 ft"
"296","5:51.0","Defensive rebound by J. Crowder","","71-67","",""
"297","5:43.0","C. Paul makes 2-pt layup from 5 ft","+2","73-67","",""
"298","5:34.0","","","73-67","","Shooting foul by M. Bridges (drawn by C. McCollum)"
"299","5:34.0","","","73-68","+1","C. McCollum makes free throw 1 of 2"
"300","5:34.0","","","73-68","","C. McCollum misses free throw 2 of 2"
"301","5:31.0","Defensive rebound by D. Ayton","","73-68","",""
"302","5:20.0","L. Shamet misses 3-pt jump shot from 27 ft","","73-68","",""
"303","5:17.0","","","73-68","","Defensive rebound by J. Valanciunas"
"304","5:09.0","","","73-70","+2","B. Ingram makes 2-pt jump shot from 11 ft"
"305","4:52.0","Turnover by L. Shamet (lost ball; steal by H. Jones)","","73-70","",""
"306","4:49.0","","","73-72","+2","H. Jones makes 2-pt dunk from 3 ft"
"307","4:31.0","L. Shamet misses 3-pt jump shot from 26 ft","","73-72","",""
"308","4:27.0","","","73-72","","Defensive rebound by T. Murphy"
"309","4:08.0","","","73-72","","C. McCollum misses 2-pt jump shot from 17 ft"
"310","4:05.0","Defensive rebound by D. Ayton","","73-72","",""
"311","3:59.0","C. Paul misses 3-pt jump shot from 25 ft","","73-72","",""
"312","3:56.0","","","73-72","","Defensive rebound by B. Ingram"
"313","3:41.0","","","73-72","","New Orleans full timeout"
"314","3:41.0","T. Craig enters the game for D. Ayton","","73-72","",""
"315","3:41.0","C. Johnson enters the game for J. Crowder","","73-72","",""
"316","3:41.0","J. McGee enters the game for C. Paul","","73-72","",""
"317","3:41.0","C. Payne enters the game for L. Shamet","","73-72","",""
"318","3:41.0","","","73-72","","D. Graham enters the game for H. Jones"
"319","3:41.0","","","73-72","","N. Marshall enters the game for C. McCollum"
"320","3:33.0","","","73-74","+2","B. Ingram makes 2-pt jump shot from 15 ft"
"321","3:16.0","Personal foul by N. Marshall (drawn by M. Bridges)","","73-74","",""
"322","3:16.0","","","73-74","","L. Nance enters the game for J. Valanciunas"
"323","3:06.0","C. Johnson makes 3-pt jump shot from 27 ft (assist by T. Craig)","+3","76-74","",""
"324","2:40.0","","","76-74","","L. Nance misses 2-pt hook shot from 6 ft"
"325","2:38.0","Defensive rebound by J. McGee","","76-74","",""
"326","2:36.0","T. Craig misses 2-pt layup from 8 ft (block by B. Ingram)","","76-74","",""
"327","2:36.0","","","76-74","","Defensive rebound by Team"
"328","2:33.0","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)"
"329","2:33.0","","","76-74","","Personal foul by C. Payne (drawn by D. Graham)"
"330","2:33.0","","","76-74","","D. Graham misses free throw 1 of 2"
"331","2:33.0","","","76-74","","Offensive rebound by Team"
"332","2:33.0","L. Shamet enters the game for M. Bridges","","76-74","",""
"333","2:33.0","","","76-75","+1","D. Graham makes free throw 2 of 2"
"334","2:19.0","J. McGee misses 2-pt hook shot from 8 ft","","76-75","",""
"335","2:15.0","","","76-75","","Defensive rebound by L. Nance"
"336","2:10.0","","","76-75","","Turnover by D. Graham (lost ball; steal by J. McGee)"
"337","2:06.0","Phoenix full timeout","","76-75","",""
"338","2:02.0","J. McGee makes 2-pt layup from 6 ft (assist by C. Payne)","+2","78-75","",""
"339","1:43.0","","","78-77","+2","N. Marshall makes 2-pt jump shot from 12 ft"
"340","1:24.0","Shooting foul by L. Nance (drawn by C. Payne)","","78-77","",""
"341","1:24.0","C. Payne makes free throw 1 of 2","+1","79-77","",""
"342","1:24.0","C. Payne misses free throw 2 of 2","","79-77","",""
"343","1:22.0","","","79-77","","Defensive rebound by T. Murphy"
"344","1:04.0","","","79-79","+2","B. Ingram makes 2-pt jump shot from 17 ft"
"345","0:47.0","J. McGee makes 2-pt jump shot from 7 ft (assist by C. Payne)","+2","81-79","",""
"346","0:30.0","","","81-79","","D. Graham misses 3-pt jump shot from 28 ft"
"347","0:27.0","Defensive rebound by Team","","81-79","",""
