"","Time","Boston","","Score","","Miami"
"361","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"362","11:35.0","","","75-57","","T. Herro misses 3-pt jump shot from 25 ft"
"363","11:32.0","Defensive rebound by A. Nesmith","","75-57","",""
"364","11:19.0","Shooting foul by J. Butler (drawn by J. Tatum)","","75-57","",""
"365","11:19.0","J. Tatum misses free throw 1 of 2","","75-57","",""
"366","11:19.0","Offensive rebound by Team","","75-57","",""
"367","11:19.0","J. Tatum makes free throw 2 of 2","+1","76-57","",""
"368","11:07.0","","","76-60","+3","D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo)"
"369","10:46.0","J. Tatum misses 2-pt jump shot from 21 ft","","76-60","",""
"370","10:43.0","","","76-60","","Defensive rebound by B. Adebayo"
"371","10:37.0","","","76-60","","D. Robinson misses 3-pt jump shot from 29 ft"
"372","10:32.0","Defensive rebound by J. Tatum","","76-60","",""
"373","10:21.0","A. Nesmith makes 3-pt jump shot from 23 ft (assist by R. Langford)","+3","79-60","",""
"374","10:03.0","","","79-60","","T. Herro misses 2-pt jump shot from 18 ft"
"375","9:59.0","Defensive rebound by A. Nesmith","","79-60","",""
"376","9:58.0","R. Langford misses 2-pt layup from 2 ft","","79-60","",""
"377","9:58.0","Offensive rebound by A. Nesmith","","79-60","",""
"378","9:53.0","A. Nesmith makes 2-pt layup from 2 ft","+2","81-60","",""
"379","9:53.0","","","81-60","","Violation by Team (def goaltending)"
"380","9:33.0","","","81-60","","J. Butler misses 2-pt jump shot from 3 ft"
"381","9:23.0","","","81-60","","Offensive rebound by J. Butler"
"382","9:23.0","","","81-62","+2","J. Butler makes 2-pt layup at rim"
"383","9:17.0","A. Horford misses 3-pt jump shot from 26 ft","","81-62","",""
"384","9:17.0","","","81-62","","Defensive rebound by T. Herro"
"385","9:09.0","","","81-62","","J. Butler misses 2-pt jump shot from 7 ft"
"386","9:06.0","","","81-62","","Offensive rebound by M. Morris"
"387","9:01.0","","","81-62","","D. Robinson misses 3-pt jump shot from 26 ft"
"388","8:57.0","Defensive rebound by R. Langford","","81-62","",""
"389","8:35.0","J. Tatum makes 3-pt jump shot from 25 ft (assist by D. Schröder)","+3","84-62","",""
"390","8:31.0","","","84-62","","Miami full timeout"
"391","8:31.0","M. Smart enters the game for A. Nesmith","","84-62","",""
"392","8:31.0","","","84-62","","P. Tucker enters the game for B. Adebayo"
"393","8:08.0","","","84-62","","M. Morris misses 2-pt jump shot from 10 ft"
"394","8:08.0","","","84-62","","Offensive rebound by Team"
"395","8:08.0","Loose ball foul by A. Horford (drawn by J. Butler)","","84-62","",""
"396","7:54.0","","","84-62","","M. Morris misses 2-pt jump shot from 13 ft"
"397","7:51.0","Defensive rebound by A. Horford","","84-62","",""
"398","7:32.0","J. Tatum misses 2-pt jump shot from 9 ft","","84-62","",""
"399","7:28.0","","","84-62","","Defensive rebound by T. Herro"
"400","7:19.0","","","84-64","+2","T. Herro makes 2-pt layup from 2 ft"
"401","7:00.0","","","84-64","","Violation by Team (kicked ball)"
"402","7:00.0","","","84-64","","Technical foul by M. Morris"
"403","7:00.0","J. Tatum makes technical free throw","+1","85-64","",""
"404","6:45.0","R. Langford misses 3-pt jump shot from 22 ft","","85-64","",""
"405","6:43.0","","","85-64","","Defensive rebound by Team"
"406","6:33.0","","","85-66","+2","M. Morris makes 2-pt dunk from 1 ft (assist by T. Herro)"
"407","6:10.0","J. Tatum makes 2-pt layup from 2 ft","+2","87-66","",""
"408","5:47.0","","","87-66","","T. Herro misses 2-pt jump shot from 18 ft"
"409","5:43.0","Defensive rebound by M. Smart","","87-66","",""
"410","5:35.0","J. Tatum makes 3-pt jump shot from 25 ft","+3","90-66","",""
"411","5:27.0","","","90-66","","Miami full timeout"
"412","5:27.0","Boston full timeout","","90-66","",""
"413","5:27.0","","","90-66","","B. Adebayo enters the game for M. Morris"
"414","5:13.0","","","90-66","","D. Robinson misses 3-pt jump shot from 26 ft"
"415","5:10.0","Defensive rebound by D. Schröder","","90-66","",""
"416","4:59.0","D. Schröder misses 3-pt jump shot from 26 ft","","90-66","",""
"417","4:55.0","Offensive rebound by D. Schröder","","90-66","",""
"418","4:49.0","R. Langford makes 2-pt layup from 1 ft (assist by D. Schröder)","+2","92-66","",""
"419","4:23.0","","","92-66","","J. Butler misses 2-pt jump shot from 8 ft"
"420","4:21.0","","","92-66","","Offensive rebound by B. Adebayo"
"421","4:17.0","","","92-68","+2","B. Adebayo makes 2-pt hook shot from 10 ft"
"422","4:00.0","J. Tatum misses 3-pt jump shot from 26 ft","","92-68","",""
"423","3:54.0","","","92-68","","Defensive rebound by T. Herro"
"424","3:44.0","","","92-70","+2","J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo)"
"425","3:44.0","Boston full timeout","","92-70","",""
"426","3:44.0","","","92-70","","C. Martin enters the game for B. Adebayo"
"427","3:44.0","","","92-70","","M. Morris enters the game for J. Butler"
"428","3:44.0","","","92-70","","G. Vincent enters the game for T. Herro"
"429","3:44.0","","","92-70","","O. Yurtseven enters the game for P. Tucker"
"430","3:27.0","A. Horford misses 3-pt jump shot from 25 ft","","92-70","",""
"431","3:24.0","","","92-70","","Defensive rebound by C. Martin"
"432","3:08.0","","","92-70","","O. Yurtseven misses 2-pt jump shot from 3 ft"
"433","3:04.0","Defensive rebound by J. Tatum","","92-70","",""
"434","2:51.0","R. Langford misses 3-pt jump shot from 24 ft","","92-70","",""
"435","2:49.0","","","92-70","","Defensive rebound by G. Vincent"
"436","2:40.0","","","92-72","+2","O. Yurtseven makes 2-pt layup from 2 ft (assist by G. Vincent)"
"437","2:31.0","Boston full timeout","","92-72","",""
"438","2:31.0","B. Fernando enters the game for A. Horford","","92-72","",""
"439","2:31.0","J. Hernangómez enters the game for R. Langford","","92-72","",""
"440","2:31.0","A. Nesmith enters the game for D. Schröder","","92-72","",""
"441","2:31.0","P. Pritchard enters the game for M. Smart","","92-72","",""
"442","2:31.0","G. Williams enters the game for J. Tatum","","92-72","",""
"443","2:20.0","P. Pritchard makes 3-pt jump shot from 28 ft","+3","95-72","",""
"444","1:53.0","","","95-72","","C. Martin misses 3-pt jump shot from 26 ft"
"445","1:50.0","","","95-72","","Offensive rebound by C. Martin"
"446","1:48.0","","","95-72","","C. Martin misses 2-pt layup from 3 ft (block by B. Fernando)"
"447","1:44.0","","","95-72","","Offensive rebound by G. Vincent"
"448","1:42.0","","","95-72","","D. Robinson misses 3-pt jump shot from 26 ft"
"449","1:35.0","Defensive rebound by G. Williams","","95-72","",""
"450","1:30.0","Turnover by B. Fernando (step out of bounds)","","95-72","",""
"451","1:15.0","","","95-75","+3","D. Robinson makes 3-pt jump shot from 23 ft (assist by G. Vincent)"
"452","0:57.0","G. Williams misses 3-pt jump shot from 25 ft","","95-75","",""
"453","0:55.0","Offensive rebound by Team","","95-75","",""
"454","0:47.0","Personal foul by D. Robinson (drawn by G. Williams)","","95-75","",""
"455","0:42.0","P. Pritchard misses 3-pt jump shot from 25 ft","","95-75","",""
"456","0:40.0","Offensive rebound by Team","","95-75","",""
"457","0:31.0","Turnover by P. Pritchard (traveling)","","95-75","",""
"458","0:23.0","","","95-78","+3","M. Morris makes 3-pt jump shot from 24 ft (assist by G. Vincent)"
"459","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
