"","Time","Boston","","Score","","Miami"
"81","2:35.0","","","14-18","","Offensive rebound by J. Butler"
"82","2:27.0","","","14-18","","J. Butler misses 3-pt jump shot from 23 ft"
"83","2:23.0","Defensive rebound by R. Williams","","14-18","",""
"84","2:23.0","A. Horford enters the game for J. Brown","","14-18","",""
"85","2:23.0","A. Nesmith enters the game for R. Williams","","14-18","",""
"86","2:23.0","","","14-18","","M. Morris enters the game for P. Tucker"
"87","2:12.0","G. Williams misses 3-pt jump shot from 26 ft","","14-18","",""
"88","2:09.0","","","14-18","","Defensive rebound by D. Robinson"
"89","1:57.0","","","14-20","+2","J. Butler makes 2-pt jump shot from 10 ft"
"90","1:44.0","D. Schröder misses 2-pt jump shot from 16 ft","","14-20","",""
"91","1:39.0","","","14-20","","Defensive rebound by D. Dedmon"
"92","1:32.0","","","14-20","","D. Robinson misses 3-pt jump shot from 29 ft"
"93","1:26.0","Defensive rebound by A. Horford","","14-20","",""
"94","1:18.0","A. Nesmith makes 2-pt layup from 3 ft (assist by D. Schröder)","+2","16-20","",""
"95","0:59.0","","","16-20","","Shooting foul by A. Horford (drawn by M. Morris)"
"96","0:59.0","","","16-21","+1","M. Morris makes free throw 1 of 2"
"97","0:59.0","J. Parker enters the game for A. Horford","","16-21","",""
"98","0:59.0","","","16-21","","K. Lowry enters the game for J. Butler"
"99","0:59.0","","","16-21","","C. Martin enters the game for D. Robinson"
"100","0:59.0","","","16-22","+1","M. Morris makes free throw 2 of 2"
"101","0:49.0","D. Schröder makes 2-pt layup from 2 ft","+2","18-22","",""
"102","0:33.0","","","18-22","","T. Herro misses 2-pt jump shot from 16 ft"
"103","0:28.0","","","18-22","","Offensive rebound by M. Morris"
"104","0:25.0","","","18-24","+2","D. Dedmon makes 2-pt hook shot from 6 ft"
"105","0:03.0","A. Nesmith misses 3-pt jump shot from 26 ft","","18-24","",""
"106","0:03.0","","","18-24","","Defensive rebound by T. Herro"
"107","0:00.0","","","18-24","","M. Morris misses 3-pt jump shot from 36 ft"
"108","0:00.0","","","18-24","","Offensive rebound by Team"
"109","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"110","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"111","Time","Boston","","Score","","Miami"
"112","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"113","11:46.0","A. Nesmith makes 3-pt jump shot from 25 ft (assist by D. Schröder)","+3","21-24","",""
"114","11:27.0","","","21-26","+2","M. Morris makes 2-pt jump shot from 11 ft"
"115","11:09.0","D. Schröder misses 2-pt layup from 3 ft","","21-26","",""
"116","11:05.0","","","21-26","","Defensive rebound by M. Morris"
"117","10:50.0","","","21-28","+2","T. Herro makes 2-pt layup from 2 ft"
"118","10:38.0","Turnover by J. Parker (lost ball; steal by T. Herro)","","21-28","",""
"119","10:38.0","R. Williams enters the game for J. Parker","","21-28","",""
"120","10:38.0","","","21-28","","B. Adebayo enters the game for D. Dedmon"
"121","10:31.0","","","21-28","","Turnover by K. Lowry (bad pass)"
"122","10:31.0","J. Tatum enters the game for G. Williams","","21-28","",""
"123","10:06.0","Turnover by D. Schröder (bad pass; steal by K. Lowry)","","21-28","",""
"124","10:01.0","","","21-28","","T. Herro misses 3-pt jump shot from 26 ft"
"125","9:57.0","Defensive rebound by J. Tatum","","21-28","",""
"126","9:56.0","Personal foul by K. Lowry (drawn by D. Schröder)","","21-28","",""
"127","9:48.0","R. Williams makes 2-pt dunk from 1 ft (assist by J. Tatum)","+2","23-28","",""
"128","9:41.0","","","23-28","","Personal foul by R. Langford (drawn by K. Lowry)"
"129","9:29.0","","","23-28","","Turnover by M. Morris (bad pass; steal by R. Williams)"
"130","9:21.0","D. Schröder misses 2-pt layup from 1 ft","","23-28","",""
"131","9:17.0","","","23-28","","Defensive rebound by B. Adebayo"
"132","9:16.0","","","23-28","","Turnover by B. Adebayo (bad pass)"
"133","9:06.0","R. Langford makes 3-pt jump shot from 24 ft (assist by D. Schröder)","+3","26-28","",""
"134","8:44.0","","","26-28","","Turnover by M. Morris (bad pass)"
"135","8:32.0","J. Tatum misses 2-pt jump shot from 6 ft","","26-28","",""
"136","8:29.0","","","26-28","","Defensive rebound by M. Morris"
"137","8:29.0","","","26-28","","Shooting foul by R. Langford (drawn by C. Martin)"
"138","8:29.0","","","26-28","","C. Martin misses free throw 1 of 2"
"139","8:29.0","","","26-28","","Offensive rebound by Team"
"140","8:29.0","","","26-29","+1","C. Martin makes free throw 2 of 2"
"141","8:19.0","Personal foul by C. Martin (drawn by J. Tatum)","","26-29","",""
"142","8:06.0","J. Tatum misses 2-pt jump shot from 5 ft","","26-29","",""
"143","8:04.0","Offensive rebound by R. Langford","","26-29","",""
"144","8:02.0","R. Langford makes 2-pt dunk from 1 ft","+2","28-29","",""
"145","7:58.0","","","28-29","","Personal foul by J. Tatum (drawn by K. Lowry)"
"146","7:55.0","","","28-29","","Turnover by B. Adebayo (bad pass)"
"147","7:41.0","A. Nesmith makes 3-pt jump shot from 26 ft (assist by D. Schröder)","+3","31-29","",""
"148","7:40.0","","","31-29","","Miami full timeout"
"149","7:40.0","J. Brown enters the game for R. Langford","","31-29","",""
"150","7:40.0","A. Horford enters the game for D. Schröder","","31-29","",""
"151","7:40.0","M. Smart enters the game for R. Williams","","31-29","",""
"152","7:40.0","","","31-29","","J. Butler enters the game for K. Lowry"
"153","7:40.0","","","31-29","","D. Robinson enters the game for C. Martin"
"154","7:20.0","","","31-31","+2","T. Herro makes 2-pt jump shot from 9 ft"
"155","7:01.0","A. Nesmith misses 3-pt jump shot from 26 ft","","31-31","",""
"156","6:58.0","","","31-31","","Defensive rebound by T. Herro"
"157","6:57.0","","","31-31","","Turnover by T. Herro (bad pass)"
"158","6:43.0","Turnover by M. Smart (bad pass; steal by B. Adebayo)","","31-31","",""
"159","6:21.0","","","31-31","","M. Morris misses 3-pt jump shot from 24 ft"
"160","6:18.0","Defensive rebound by J. Tatum","","31-31","",""
"161","6:01.0","Shooting foul by M. Morris (drawn by A. Horford)","","31-31","",""
"162","6:01.0","A. Horford makes free throw 1 of 2","+1","32-31","",""
"163","6:01.0","R. Langford enters the game for A. Nesmith","","32-31","",""
"164","6:01.0","D. Schröder enters the game for J. Tatum","","32-31","",""
"165","6:01.0","","","32-31","","P. Tucker enters the game for M. Morris"
"166","6:01.0","A. Horford makes free throw 2 of 2","+1","33-31","",""
"167","5:48.0","","","33-31","","T. Herro misses 2-pt jump shot from 10 ft (block by A. Horford)"
"168","5:48.0","","","33-31","","Offensive rebound by Team"
"169","5:43.0","","","33-31","","D. Robinson misses 3-pt jump shot from 24 ft"
"170","5:39.0","Defensive rebound by J. Brown","","33-31","",""
"171","5:33.0","J. Brown misses 2-pt dunk from 1 ft","","33-31","",""
"172","5:31.0","Offensive rebound by A. Horford","","33-31","",""
"173","5:24.0","Shooting foul by D. Robinson (drawn by J. Brown)","","33-31","",""
"174","5:24.0","J. Brown makes free throw 1 of 2","+1","34-31","",""
"175","5:24.0","J. Brown makes free throw 2 of 2","+1","35-31","",""
"176","5:03.0","","","35-31","","Turnover by J. Butler (out of bounds lost ball)"
"177","4:47.0","D. Schröder makes 3-pt jump shot from 26 ft","+3","38-31","",""
"178","4:38.0","","","38-31","","D. Robinson misses 3-pt jump shot from 23 ft"
"179","4:34.0","Defensive rebound by A. Horford","","38-31","",""
"180","4:33.0","Offensive foul by J. Brown (drawn by D. Robinson)","","38-31","",""
"181","4:33.0","Turnover by J. Brown (offensive foul)","","38-31","",""
"182","4:33.0","","","38-31","","D. Dedmon enters the game for B. Adebayo"
"183","4:33.0","","","38-31","","K. Lowry enters the game for D. Robinson"
"184","4:10.0","","","38-31","","J. Butler misses 2-pt jump shot from 12 ft"
"185","4:10.0","Defensive rebound by Team","","38-31","",""
"186","4:10.0","","","38-31","","Loose ball foul by D. Dedmon (drawn by M. Smart)"
"187","4:10.0","M. Smart makes free throw 1 of 2","+1","39-31","",""
"188","4:10.0","M. Smart makes free throw 2 of 2","+1","40-31","",""
"189","3:53.0","","","40-31","","K. Lowry misses 2-pt jump shot from 19 ft"
"190","3:46.0","Defensive rebound by M. Smart","","40-31","",""
"191","3:37.0","Personal foul by D. Dedmon (drawn by M. Smart)","","40-31","",""
"192","3:37.0","M. Smart makes free throw 1 of 2","+1","41-31","",""
"193","3:37.0","M. Smart makes free throw 2 of 2","+1","42-31","",""
"194","3:23.0","","","42-31","","Shooting foul by A. Horford (drawn by J. Butler)"
"195","3:23.0","","","42-31","","J. Butler misses free throw 1 of 2"
"196","3:23.0","","","42-31","","Offensive rebound by Team"
"197","3:23.0","R. Williams enters the game for A. Horford","","42-31","",""
"198","3:23.0","","","42-31","","J. Butler misses free throw 2 of 2"
"199","3:18.0","Defensive rebound by R. Williams","","42-31","",""
"200","3:08.0","D. Schröder makes 2-pt jump shot from 17 ft","+2","44-31","",""
"201","3:08.0","","","44-31","","Miami full timeout"
"202","3:08.0","","","44-31","","B. Adebayo enters the game for D. Dedmon"
"203","2:49.0","","","44-31","","K. Lowry misses 2-pt jump shot from 10 ft"
"204","2:46.0","","","44-31","","Offensive rebound by P. Tucker"
"205","2:43.0","","","44-31","","Turnover by K. Lowry (bad pass; steal by M. Smart)"
"206","2:35.0","Shooting foul by T. Herro (drawn by D. Schröder)","","44-31","",""
"207","2:35.0","D. Schröder makes free throw 1 of 2","+1","45-31","",""
"208","2:35.0","D. Schröder makes free throw 2 of 2","+1","46-31","",""
"209","2:20.0","","","46-31","","P. Tucker misses 3-pt jump shot from 23 ft"
"210","2:13.0","Defensive rebound by M. Smart","","46-31","",""
"211","1:56.0","D. Schröder misses 3-pt jump shot from 26 ft","","46-31","",""
"212","1:52.0","","","46-31","","Defensive rebound by B. Adebayo"
"213","1:42.0","","","46-31","","Shooting foul by R. Langford (drawn by J. Butler)"
"214","1:42.0","","","46-32","+1","J. Butler makes free throw 1 of 2"
"215","1:42.0","J. Tatum enters the game for R. Langford","","46-32","",""
"216","1:42.0","","","46-33","+1","J. Butler makes free throw 2 of 2"
"217","1:23.0","M. Smart makes 2-pt jump shot from 8 ft (assist by J. Brown)","+2","48-33","",""
"218","1:10.0","","","48-33","","Turnover by J. Butler (lost ball; steal by J. Brown)"
"219","1:05.0","J. Brown misses 2-pt layup from 1 ft","","48-33","",""
"220","1:02.0","","","48-33","","Defensive rebound by T. Herro"
"221","0:57.0","","","48-33","","Offensive foul by B. Adebayo (drawn by M. Smart)"
"222","0:57.0","","","48-33","","Turnover by B. Adebayo (offensive foul)"
"223","0:57.0","","","48-33","","D. Dedmon enters the game for B. Adebayo"
"224","0:38.0","Turnover by D. Schröder (back court)","","48-33","",""
"225","0:33.0","","","48-33","","P. Tucker misses 3-pt jump shot from 23 ft"
"226","0:31.0","Defensive rebound by Team","","48-33","",""
"227","0:12.0","D. Schröder misses 3-pt jump shot from 26 ft","","48-33","",""
"228","0:07.0","Offensive rebound by R. Williams","","48-33","",""
"229","0:04.0","J. Brown makes 3-pt jump shot from 25 ft (assist by M. Smart)","+3","51-33","",""
"230","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"231","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"232","Time","Boston","","Score","","Miami"
"233","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"234","11:48.0","M. Smart misses 3-pt jump shot from 26 ft","","51-33","",""
"235","11:45.0","Offensive rebound by R. Williams","","51-33","",""
"236","11:45.0","Turnover by R. Williams (back court)","","51-33","",""
"237","11:35.0","","","51-33","","K. Lowry misses 3-pt jump shot from 26 ft"
"238","11:32.0","Defensive rebound by R. Williams","","51-33","",""
"239","11:28.0","Turnover by J. Brown (bad pass; steal by P. Tucker)","","51-33","",""
