"","Time","Dallas","","Score","","Phoenix"
"140","8:22.0","S. Dinwiddie makes free throw 1 of 2","+1","37-38","",""
"141","8:22.0","S. Dinwiddie makes free throw 2 of 2","+1","38-38","",""
"142","8:05.0","","","38-38","","D. Booker misses 2-pt jump shot from 15 ft"
"143","8:03.0","Defensive rebound by J. Brunson","","38-38","",""
"144","7:58.0","J. Brunson misses 2-pt layup from 3 ft (block by D. Booker)","","38-38","",""
"145","7:58.0","Offensive rebound by Team","","38-38","",""
"146","7:58.0","","","38-38","","I. Wainright enters the game for L. Shamet"
"147","7:56.0","D. Bertans makes 3-pt jump shot from 23 ft (assist by J. Brunson)","+3","41-38","",""
"148","7:38.0","","","41-38","","Offensive foul by D. Ayton (drawn by R. Bullock)"
"149","7:38.0","","","41-38","","Turnover by D. Ayton (offensive foul)"
"150","7:28.0","S. Dinwiddie makes 2-pt jump shot from 11 ft","+2","43-38","",""
"151","7:21.0","","","43-38","","Offensive foul by I. Wainright (drawn by S. Dinwiddie)"
"152","7:21.0","","","43-38","","Turnover by I. Wainright (offensive foul)"
"153","7:10.0","D. Bertans misses 3-pt jump shot from 29 ft","","43-38","",""
"154","7:08.0","","","43-38","","Defensive rebound by C. Paul"
"155","7:05.0","","","43-38","","Offensive foul by C. Paul (drawn by R. Bullock)"
"156","7:05.0","","","43-38","","Turnover by C. Paul (offensive foul)"
"157","6:51.0","Offensive foul by J. Brunson (drawn by J. Crowder)","","43-38","",""
"158","6:51.0","Turnover by J. Brunson (offensive foul)","","43-38","",""
"159","6:51.0","","","43-38","","Phoenix full timeout"
"160","6:51.0","Violation by Team (delay of game)","","43-38","",""
"161","6:51.0","L. Doncic enters the game for J. Brunson","","43-38","",""
"162","6:51.0","D. Powell enters the game for M. Kleber","","43-38","",""
"163","6:51.0","","","43-38","","M. Bridges enters the game for I. Wainright"
"164","6:27.0","","","43-41","+3","J. Crowder makes 3-pt jump shot from 25 ft (assist by M. Bridges)"
"165","5:59.0","","","43-41","","Violation by Team (kicked ball)"
"166","5:56.0","Offensive foul by D. Powell (drawn by D. Booker)","","43-41","",""
"167","5:56.0","Turnover by D. Powell (offensive foul)","","43-41","",""
"168","5:48.0","","","43-43","+2","C. Paul makes 2-pt jump shot from 18 ft"
"169","5:32.0","D. Powell makes 2-pt dunk from 2 ft (assist by L. Doncic)","+2","45-43","",""
"170","5:20.0","","","45-43","","D. Booker misses 3-pt jump shot from 27 ft"
"171","5:18.0","Defensive rebound by D. Bertans","","45-43","",""
"172","5:09.0","D. Bertans makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","48-43","",""
"173","4:52.0","","","48-43","","C. Paul misses 2-pt jump shot from 12 ft"
"174","4:51.0","Defensive rebound by R. Bullock","","48-43","",""
"175","4:43.0","Turnover by L. Doncic (bad pass)","","48-43","",""
"176","4:39.0","","","48-43","","Personal foul by L. Doncic (drawn by J. Crowder)"
"177","4:39.0","","","48-44","+1","J. Crowder makes free throw 1 of 2"
"178","4:39.0","","","48-45","+1","J. Crowder makes free throw 2 of 2"
"179","4:27.0","Shooting foul by D. Ayton (drawn by L. Doncic)","","48-45","",""
"180","4:27.0","L. Doncic misses free throw 1 of 2","","48-45","",""
"181","4:27.0","Offensive rebound by Team","","48-45","",""
"182","4:27.0","","","48-45","","B. Biyombo enters the game for D. Ayton"
"183","4:27.0","L. Doncic makes free throw 2 of 2","+1","49-45","",""
"184","4:09.0","","","49-47","+2","B. Biyombo makes 2-pt dunk from 1 ft (assist by M. Bridges)"
"185","3:47.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","49-47","",""
"186","3:43.0","","","49-47","","Defensive rebound by M. Bridges"
"187","3:36.0","","","49-47","","J. Crowder misses 3-pt jump shot from 24 ft"
"188","3:35.0","","","49-47","","Offensive rebound by Team"
"189","3:35.0","J. Green enters the game for D. Bertans","","49-47","",""
"190","3:35.0","M. Kleber enters the game for D. Powell","","49-47","",""
"191","3:32.0","","","49-47","","D. Booker misses 2-pt jump shot from 10 ft"
"192","3:30.0","Defensive rebound by L. Doncic","","49-47","",""
"193","3:15.0","Shooting foul by D. Booker (drawn by M. Kleber)","","49-47","",""
"194","3:15.0","M. Kleber makes free throw 1 of 2","+1","50-47","",""
"195","3:15.0","M. Kleber makes free throw 2 of 2","+1","51-47","",""
"196","2:57.0","","","51-49","+2","D. Booker makes 2-pt layup from 2 ft"
"197","2:56.0","","","51-49","","Technical foul by J. Crowder"
"198","2:56.0","Dallas full timeout","","51-49","",""
"199","2:56.0","Instant Replay (Request: Ruling Stands)","","51-49","",""
"200","2:56.0","R. Bullock misses technical free throw","","51-49","",""
"201","2:56.0","Offensive rebound by Team","","51-49","",""
"202","2:38.0","L. Doncic makes 3-pt jump shot from 27 ft","+3","54-49","",""
"203","2:20.0","","","54-51","+2","B. Biyombo makes 2-pt dunk from 2 ft (assist by M. Bridges)"
"204","1:59.0","R. Bullock misses 3-pt jump shot from 25 ft","","54-51","",""
"205","1:57.0","","","54-51","","Defensive rebound by B. Biyombo"
"206","1:49.0","","","54-54","+3","J. Crowder makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"207","1:36.0","L. Doncic makes 3-pt jump shot from 24 ft","+3","57-54","",""
"208","1:13.0","","","57-54","","C. Paul misses 3-pt jump shot from 25 ft"
"209","1:11.0","Defensive rebound by J. Green","","57-54","",""
"210","1:00.0","L. Doncic misses 2-pt jump shot from 10 ft","","57-54","",""
"211","0:58.0","","","57-54","","Defensive rebound by C. Paul"
"212","0:56.0","","","57-54","","Personal take foul by R. Bullock (drawn by C. Paul)"
"213","0:56.0","","","57-55","+1","C. Paul makes free throw 1 of 2"
"214","0:56.0","D. Bertans enters the game for J. Green","","57-55","",""
"215","0:56.0","","","57-55","","I. Wainright enters the game for B. Biyombo"
"216","0:56.0","","","57-56","+1","C. Paul makes free throw 2 of 2"
"217","0:33.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","60-56","",""
"218","0:27.0","","","60-58","+2","C. Paul makes 2-pt jump shot from 5 ft"
"219","0:03.0","Turnover by Team (shot clock)","","60-58","",""
"220","0:03.0","","","60-58","","C. Payne enters the game for I. Wainright"
"221","0:00.0","","","60-58","","Turnover by C. Paul (bad pass; steal by R. Bullock)"
"222","0:00.0","D. Bertans misses 3-pt jump shot from 36 ft","","60-58","",""
"223","0:00.0","Offensive rebound by Team","","60-58","",""
"224","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"225","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"226","Time","Dallas","","Score","","Phoenix"
"227","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"228","11:48.0","Offensive foul by D. Powell (drawn by M. Bridges)","","60-58","",""
"229","11:48.0","Turnover by D. Powell (offensive foul)","","60-58","",""
"230","11:33.0","","","60-61","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"231","11:17.0","J. Brunson misses 3-pt jump shot from 24 ft","","60-61","",""
"232","11:15.0","","","60-61","","Defensive rebound by M. Bridges"
"233","11:11.0","","","60-64","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by M. Bridges)"
"234","10:58.0","L. Doncic makes 2-pt jump shot from 13 ft","+2","62-64","",""
"235","10:47.0","","","62-64","","Personal foul by D. Powell (drawn by D. Ayton)"
"236","10:38.0","","","62-64","","D. Ayton misses 2-pt layup from 3 ft (block by D. Finney-Smith)"
"237","10:38.0","","","62-64","","Offensive rebound by Team"
"238","10:36.0","","","62-66","+2","D. Booker makes 2-pt jump shot from 16 ft (assist by C. Paul)"
"239","10:21.0","J. Brunson makes 2-pt jump shot from 12 ft","+2","64-66","",""
"240","10:01.0","","","64-66","","D. Booker misses 3-pt jump shot from 26 ft"
"241","10:00.0","Defensive rebound by R. Bullock","","64-66","",""
"242","9:42.0","J. Brunson misses 2-pt jump shot from 10 ft (block by J. Crowder)","","64-66","",""
"243","9:40.0","","","64-66","","Defensive rebound by D. Booker"
"244","9:35.0","","","64-66","","D. Booker misses 3-pt jump shot from 25 ft"
"245","9:32.0","","","64-66","","Offensive rebound by M. Bridges"
"246","9:27.0","","","64-68","+2","C. Paul makes 2-pt jump shot from 8 ft"
"247","9:13.0","Turnover by L. Doncic (bad pass; steal by M. Bridges)","","64-68","",""
"248","9:12.0","Flagrant foul type 1 by D. Ayton (drawn by D. Powell)","","64-68","",""
"249","9:12.0","","","64-68","","Turnover by D. Ayton (turnover)"
"250","9:12.0","","","64-68","","Instant Replay (Request: Ruling Stands)"
"251","9:12.0","D. Powell makes flagrant free throw 1 of 2","+1","65-68","",""
"252","9:12.0","","","65-68","","J. McGee enters the game for D. Ayton"
"253","9:12.0","D. Powell makes flagrant free throw 2 of 2","+1","66-68","",""
"254","9:04.0","Personal foul by J. McGee (drawn by D. Powell)","","66-68","",""
"255","8:51.0","Turnover by L. Doncic (bad pass; steal by M. Bridges)","","66-68","",""
"256","8:44.0","","","66-68","","Personal foul by D. Finney-Smith (drawn by C. Paul)"
"257","8:30.0","","","66-68","","Shooting foul by D. Powell (drawn by D. Booker)"
"258","8:30.0","","","66-69","+1","D. Booker makes free throw 1 of 2"
"259","8:30.0","S. Dinwiddie enters the game for D. Finney-Smith","","66-69","",""
"260","8:30.0","M. Kleber enters the game for D. Powell","","66-69","",""
"261","8:30.0","","","66-70","+1","D. Booker makes free throw 2 of 2"
"262","8:12.0","L. Doncic misses 3-pt jump shot from 28 ft","","66-70","",""
"263","8:10.0","","","66-70","","Defensive rebound by J. Crowder"
"264","7:58.0","","","66-70","","J. Crowder misses 3-pt jump shot from 25 ft"
"265","7:56.0","Defensive rebound by Team","","66-70","",""
"266","7:47.0","R. Bullock misses 3-pt jump shot from 23 ft","","66-70","",""
"267","7:44.0","Offensive rebound by J. Brunson","","66-70","",""
"268","7:44.0","Personal foul by J. Crowder (drawn by J. Brunson)","","66-70","",""
"269","7:39.0","Personal foul by D. Booker (drawn by J. Brunson)","","66-70","",""
"270","7:29.0","M. Kleber misses 3-pt jump shot from 23 ft (block by J. McGee)","","66-70","",""
"271","7:27.0","","","66-70","","Defensive rebound by C. Paul"
"272","7:18.0","","","66-70","","D. Booker misses 2-pt layup from 3 ft"
"273","7:16.0","","","66-70","","Offensive rebound by J. Crowder"
"274","7:14.0","","","66-70","","M. Bridges misses 3-pt jump shot from 23 ft"
"275","7:09.0","Defensive rebound by M. Kleber","","66-70","",""
"276","6:55.0","L. Doncic misses 2-pt jump shot from 16 ft","","66-70","",""
"277","6:52.0","","","66-70","","Defensive rebound by J. McGee"
"278","6:39.0","","","66-72","+2","J. McGee makes 2-pt dunk from 1 ft (assist by J. Crowder)"
"279","6:38.0","Dallas full timeout","","66-72","",""
"280","6:23.0","S. Dinwiddie misses 3-pt jump shot from 23 ft","","66-72","",""
"281","6:21.0","","","66-72","","Defensive rebound by J. McGee"
"282","6:07.0","","","66-74","+2","J. McGee makes 2-pt layup from 3 ft (assist by J. Crowder)"
"283","6:00.0","S. Dinwiddie misses 2-pt layup from 4 ft (block by J. McGee)","","66-74","",""
"284","5:58.0","Offensive rebound by Team","","66-74","",""
"285","5:49.0","Turnover by L. Doncic (lost ball; steal by J. Crowder)","","66-74","",""
"286","5:45.0","","","66-74","","Turnover by J. Crowder (bad pass; steal by M. Kleber)"
"287","5:41.0","Shooting foul by D. Booker (drawn by J. Brunson)","","66-74","",""
"288","5:41.0","J. Brunson makes free throw 1 of 2","+1","67-74","",""
"289","5:41.0","J. Brunson makes free throw 2 of 2","+1","68-74","",""
"290","5:22.0","","","68-76","+2","M. Bridges makes 2-pt layup from 1 ft (assist by J. McGee)"
"291","4:58.0","R. Bullock makes 3-pt jump shot from 23 ft (assist by M. Kleber)","+3","71-76","",""
"292","4:58.0","Away from play foul by J. McGee (drawn by M. Kleber)","","71-76","",""
"293","4:58.0","Instant Replay (Request: Ruling Stands)","","71-76","",""
"294","4:58.0","M. Kleber makes free throw 1 of 1","+1","72-76","",""
"295","4:58.0","D. Bertans enters the game for J. Brunson","","72-76","",""
"296","4:58.0","","","72-76","","B. Biyombo enters the game for J. Crowder"
"297","4:58.0","","","72-76","","C. Johnson enters the game for J. McGee"
"298","4:47.0","","","72-76","","Personal foul by R. Bullock (drawn by B. Biyombo)"
"299","4:41.0","","","72-76","","Turnover by D. Booker (bad pass)"
"300","4:18.0","M. Kleber misses 3-pt jump shot from 26 ft","","72-76","",""
"301","4:14.0","Offensive rebound by R. Bullock","","72-76","",""
"302","4:11.0","R. Bullock makes 3-pt jump shot from 28 ft","+3","75-76","",""
"303","3:56.0","","","75-78","+2","C. Paul makes 2-pt jump shot from 9 ft"
"304","3:45.0","R. Bullock makes 3-pt jump shot from 27 ft (assist by L. Doncic)","+3","78-78","",""
"305","3:26.0","","","78-80","+2","C. Johnson makes 2-pt jump shot from 6 ft (assist by D. Booker)"
"306","3:04.0","D. Bertans misses 3-pt jump shot from 23 ft","","78-80","",""
"307","3:02.0","","","78-80","","Defensive rebound by B. Biyombo"
"308","2:46.0","","","78-82","+2","C. Paul makes 2-pt jump shot from 19 ft"
"309","2:18.0","M. Kleber makes 2-pt jump shot from 16 ft (assist by S. Dinwiddie)","+2","80-82","",""
"310","2:00.0","","","80-84","+2","C. Johnson makes 2-pt jump shot from 10 ft (assist by C. Paul)"
"311","1:47.0","Turnover by S. Dinwiddie (traveling)","","80-84","",""
"312","1:47.0","","","80-84","","Phoenix full timeout"
"313","1:47.0","J. Brunson enters the game for L. Doncic","","80-84","",""
"314","1:47.0","","","80-84","","C. Payne enters the game for C. Paul"
"315","1:32.0","","","80-84","","D. Booker misses 2-pt jump shot from 17 ft"
"316","1:27.0","Defensive rebound by J. Brunson","","80-84","",""
"317","1:26.0","Personal foul by C. Payne (drawn by R. Bullock)","","80-84","",""
"318","1:26.0","R. Bullock makes free throw 1 of 2","+1","81-84","",""
"319","1:26.0","","","81-84","","L. Shamet enters the game for M. Bridges"
"320","1:26.0","R. Bullock makes free throw 2 of 2","+1","82-84","",""
"321","1:11.0","","","82-84","","C. Johnson misses 3-pt jump shot from 26 ft"
"322","1:07.0","","","82-84","","Offensive rebound by D. Booker"
"323","1:06.0","","","82-86","+2","D. Booker makes 2-pt jump shot from 8 ft"
"324","0:45.0","S. Dinwiddie misses 2-pt jump shot from 9 ft","","82-86","",""
"325","0:43.0","","","82-86","","Defensive rebound by C. Johnson"
"326","0:33.0","","","82-89","+3","L. Shamet makes 3-pt jump shot from 23 ft (assist by D. Booker)"
"327","0:23.0","S. Dinwiddie misses 2-pt jump shot from 2 ft","","82-89","",""
"328","0:22.0","Offensive rebound by S. Dinwiddie","","82-89","",""
"329","0:22.0","Shooting foul by D. Booker (drawn by S. Dinwiddie)","","82-89","",""
"330","0:22.0","S. Dinwiddie makes free throw 1 of 2","+1","83-89","",""
"331","0:22.0","","","83-89","","J. Crowder enters the game for B. Biyombo"
"332","0:22.0","S. Dinwiddie misses free throw 2 of 2","","83-89","",""
"333","0:21.0","","","83-89","","Defensive rebound by C. Payne"
"334","0:04.0","","","83-89","","L. Shamet misses 2-pt jump shot from 14 ft"
"335","0:00.0","Defensive rebound by J. Brunson","","83-89","",""
"336","0:00.0","J. Brunson misses 3-pt jump shot from 51 ft","","83-89","",""
"337","0:00.0","Offensive rebound by Team","","83-89","",""
"338","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"339","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"340","Time","Dallas","","Score","","Phoenix"
"341","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"342","11:47.0","","","83-89","","C. Johnson misses 3-pt jump shot from 27 ft"
"343","11:45.0","Defensive rebound by D. Bertans","","83-89","",""
"344","11:23.0","J. Brunson makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith)","+3","86-89","",""
"345","10:58.0","","","86-92","+3","C. Paul makes 3-pt jump shot from 26 ft (assist by C. Johnson)"
"346","10:38.0","L. Doncic makes 2-pt jump shot from 10 ft","+2","88-92","",""
"347","10:26.0","","","88-95","+3","C. Johnson makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"348","10:26.0","R. Bullock enters the game for D. Bertans","","88-95","",""
"349","10:01.0","L. Doncic misses 3-pt jump shot from 29 ft","","88-95","",""
"350","10:01.0","Offensive rebound by Team","","88-95","",""
