"","Time","Phoenix","","Score","","Dallas"
"2","12:00.0","Jump ball: D. Ayton vs. D. Powell (M. Bridges gains possession)","Jump ball: D. Ayton vs. D. Powell (M. Bridges gains possession)","Jump ball: D. Ayton vs. D. Powell (M. Bridges gains possession)","Jump ball: D. Ayton vs. D. Powell (M. Bridges gains possession)","Jump ball: D. Ayton vs. D. Powell (M. Bridges gains possession)"
"3","11:42.0","D. Booker makes 3-pt jump shot from 26 ft","+3","3-0","",""
"4","11:30.0","","","3-0","","Personal foul by D. Booker (drawn by J. Brunson)"
"5","11:19.0","","","3-3","+3","R. Bullock makes 3-pt jump shot from 26 ft (assist by L. Doncic)"
"6","11:08.0","J. Crowder misses 2-pt jump shot from 11 ft","","3-3","",""
"7","11:06.0","","","3-3","","Defensive rebound by L. Doncic"
"8","10:57.0","","","3-3","","J. Brunson misses 2-pt jump shot from 19 ft"
"9","10:54.0","Defensive rebound by C. Paul","","3-3","",""
"10","10:37.0","D. Booker makes 3-pt jump shot from 23 ft (assist by C. Paul)","+3","6-3","",""
"11","10:21.0","","","6-3","","J. Brunson misses 2-pt jump shot from 16 ft"
"12","10:17.0","","","6-3","","Offensive rebound by L. Doncic"
"13","10:14.0","","","6-3","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"14","10:11.0","Defensive rebound by D. Ayton","","6-3","",""
"15","10:08.0","Personal foul by L. Doncic (drawn by D. Booker)","","6-3","",""
"16","10:01.0","C. Paul misses 3-pt jump shot from 25 ft","","6-3","",""
"17","9:58.0","","","6-3","","Defensive rebound by L. Doncic"
"18","9:52.0","","","6-3","","L. Doncic misses 2-pt layup from 1 ft"
"19","9:50.0","","","6-3","","Offensive rebound by R. Bullock"
"20","9:44.0","","","6-3","","L. Doncic misses 2-pt jump shot from 8 ft"
"21","9:42.0","Defensive rebound by D. Booker","","6-3","",""
"22","9:35.0","J. Crowder makes 3-pt jump shot from 25 ft (assist by C. Paul)","+3","9-3","",""
"23","9:17.0","","","9-3","","J. Brunson misses 2-pt layup from 2 ft"
"24","9:17.0","","","9-3","","Offensive rebound by Team"
"25","9:15.0","","","9-3","","R. Bullock misses 3-pt jump shot from 23 ft"
"26","9:12.0","Defensive rebound by D. Ayton","","9-3","",""
"27","8:59.0","D. Ayton misses 2-pt jump shot from 13 ft","","9-3","",""
"28","8:57.0","","","9-3","","Defensive rebound by L. Doncic"
"29","8:46.0","","","9-3","","L. Doncic misses 3-pt jump shot from 25 ft"
"30","8:46.0","Defensive rebound by Team","","9-3","",""
"31","8:22.0","Turnover by C. Paul (bad pass; steal by D. Powell)","","9-3","",""
"32","8:02.0","","","9-3","","L. Doncic misses 2-pt jump shot from 11 ft"
"33","7:59.0","","","9-3","","Offensive rebound by L. Doncic"
"34","7:57.0","","","9-5","+2","D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Doncic)"
"35","7:46.0","D. Booker misses 2-pt jump shot from 18 ft","","9-5","",""
"36","7:44.0","","","9-5","","Defensive rebound by J. Brunson"
"37","7:31.0","","","9-5","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"38","7:28.0","Defensive rebound by M. Bridges","","9-5","",""
"39","7:23.0","J. Crowder makes 2-pt layup from 1 ft (assist by M. Bridges)","+2","11-5","",""
"40","7:06.0","","","11-5","","D. Powell misses 2-pt jump shot from 20 ft"
"41","7:04.0","","","11-5","","Offensive rebound by D. Finney-Smith"
"42","6:59.0","","","11-7","+2","J. Brunson makes 2-pt layup from 1 ft"
"43","6:35.0","D. Ayton makes 2-pt hook shot at rim (assist by J. Crowder)","+2","13-7","",""
"44","6:16.0","","","13-9","+2","J. Brunson makes 2-pt jump shot from 18 ft (assist by R. Bullock)"
"45","6:03.0","Turnover by C. Paul (bad pass; steal by R. Bullock)","","13-9","",""
"46","6:00.0","","","13-11","+2","J. Brunson makes 2-pt jump shot from 7 ft"
"47","6:00.0","","","13-11","","Shooting foul by C. Paul (drawn by J. Brunson)"
"48","6:00.0","","","13-11","","Dallas full timeout"
"49","6:00.0","","","13-11","","M. Kleber enters the game for D. Powell"
"50","6:00.0","","","13-12","+1","J. Brunson makes free throw 1 of 1"
"51","5:50.0","Turnover by D. Booker (traveling)","","13-12","",""
"52","5:40.0","","","13-15","+3","M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Doncic)"
"53","5:23.0","M. Bridges misses 2-pt jump shot from 7 ft","","13-15","",""
"54","5:19.0","","","13-15","","Defensive rebound by R. Bullock"
"55","5:12.0","","","13-18","+3","J. Brunson makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"56","4:56.0","Turnover by C. Paul (bad pass; steal by D. Finney-Smith)","","13-18","",""
"57","4:46.0","","","13-18","","L. Doncic misses 3-pt jump shot from 26 ft"
"58","4:43.0","Defensive rebound by D. Booker","","13-18","",""
"59","4:22.0","M. Bridges misses 2-pt jump shot from 12 ft","","13-18","",""
"60","4:21.0","","","13-18","","Defensive rebound by L. Doncic"
"61","4:10.0","","","13-20","+2","L. Doncic makes 2-pt layup from 2 ft"
"62","3:51.0","C. Paul makes 2-pt jump shot from 16 ft","+2","15-20","",""
"63","3:42.0","","","15-20","","D. Finney-Smith misses 2-pt layup from 6 ft (block by M. Bridges)"
"64","3:40.0","","","15-20","","Offensive rebound by Team"
"65","3:40.0","C. Johnson enters the game for D. Ayton","","15-20","",""
"66","3:40.0","J. McGee enters the game for J. Crowder","","15-20","",""
"67","3:40.0","C. Payne enters the game for C. Paul","","15-20","",""
"68","3:40.0","","","15-20","","S. Dinwiddie enters the game for J. Brunson"
"69","3:28.0","","","15-22","+2","M. Kleber makes 2-pt dunk from 1 ft (assist by S. Dinwiddie)"
"70","3:06.0","Shooting foul by S. Dinwiddie (drawn by D. Booker)","","15-22","",""
"71","3:06.0","D. Booker misses free throw 1 of 2","","15-22","",""
"72","3:06.0","Offensive rebound by Team","","15-22","",""
"73","3:06.0","","","15-22","","D. Bertans enters the game for D. Finney-Smith"
"74","3:06.0","D. Booker makes free throw 2 of 2","+1","16-22","",""
"75","2:53.0","","","16-24","+2","R. Bullock makes 2-pt layup from 1 ft (assist by L. Doncic)"
"76","2:38.0","C. Johnson misses 3-pt jump shot from 26 ft","","16-24","",""
"77","2:35.0","","","16-24","","Defensive rebound by S. Dinwiddie"
"78","2:23.0","","","16-24","","L. Doncic misses 3-pt jump shot from 24 ft"
"79","2:22.0","","","16-24","","Offensive rebound by Team"
"80","2:22.0","Loose ball foul by C. Payne (drawn by S. Dinwiddie)","","16-24","",""
"81","2:22.0","Phoenix full timeout","","16-24","",""
"82","2:09.0","","","16-24","","S. Dinwiddie misses 3-pt jump shot from 28 ft"
"83","2:06.0","Defensive rebound by M. Bridges","","16-24","",""
"84","2:01.0","D. Booker misses 3-pt jump shot from 25 ft","","16-24","",""
"85","1:58.0","Offensive rebound by M. Bridges","","16-24","",""
"86","1:56.0","M. Bridges misses 2-pt jump shot from 11 ft","","16-24","",""
"87","1:56.0","","","16-24","","Defensive rebound by L. Doncic"
"88","1:56.0","","","16-24","","Personal foul by J. McGee (drawn by D. Bertans)"
"89","1:56.0","","","16-24","","F. Ntilikina enters the game for R. Bullock"
"90","1:44.0","","","16-26","+2","L. Doncic makes 2-pt layup from 1 ft"
"91","1:25.0","M. Bridges makes 2-pt jump shot from 7 ft (assist by C. Payne)","+2","18-26","",""
"92","0:56.0","","","18-26","","L. Doncic misses 3-pt jump shot from 25 ft"
"93","0:54.0","Defensive rebound by C. Johnson","","18-26","",""
"94","0:40.0","Personal foul by D. Bertans (drawn by J. McGee)","","18-26","",""
"95","0:31.0","M. Bridges makes 2-pt dunk from 1 ft (assist by C. Johnson)","+2","20-26","",""
"96","0:12.0","","","20-29","+3","L. Doncic makes 3-pt jump shot from 25 ft"
"97","0:02.0","D. Booker misses 3-pt jump shot from 25 ft","","20-29","",""
"98","0:02.0","","","20-29","","Defensive rebound by S. Dinwiddie"
"99","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"100","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"101","Time","Phoenix","","Score","","Dallas"
"102","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"103","11:44.0","","","20-29","","S. Dinwiddie misses 2-pt jump shot from 7 ft"
"104","11:42.0","Defensive rebound by J. McGee","","20-29","",""
"105","11:25.0","C. Payne misses 2-pt layup from 2 ft","","20-29","",""
"106","11:22.0","","","20-29","","Defensive rebound by J. Brunson"
"107","11:20.0","","","20-29","","J. Brunson misses 3-pt jump shot from 25 ft"
"108","11:20.0","Defensive rebound by L. Shamet","","20-29","",""
"109","11:06.0","Personal foul by R. Bullock (drawn by J. McGee)","","20-29","",""
"110","10:57.0","C. Payne misses 2-pt jump shot from 7 ft","","20-29","",""
"111","10:55.0","","","20-29","","Defensive rebound by R. Bullock"
"112","10:48.0","","","20-29","","D. Finney-Smith misses 2-pt layup from 2 ft"
"113","10:46.0","Defensive rebound by C. Johnson","","20-29","",""
"114","10:40.0","Personal foul by D. Bertans (drawn by C. Payne)","","20-29","",""
"115","10:37.0","Personal foul by R. Bullock (drawn by C. Paul)","","20-29","",""
"116","10:25.0","Turnover by C. Paul (bad pass; steal by R. Bullock)","","20-29","",""
"117","10:21.0","","","20-29","","R. Bullock misses 3-pt jump shot from 25 ft"
"118","10:18.0","Defensive rebound by J. McGee","","20-29","",""
"119","10:10.0","Turnover by C. Paul (out of bounds lost ball)","","20-29","",""
"120","9:56.0","","","20-29","","J. Brunson misses 2-pt layup from 5 ft"
"121","9:54.0","Defensive rebound by J. McGee","","20-29","",""
"122","9:36.0","J. McGee misses 2-pt jump shot from 16 ft","","20-29","",""
"123","9:33.0","","","20-29","","Defensive rebound by J. Brunson"
"124","9:20.0","","","20-31","+2","S. Dinwiddie makes 2-pt layup from 1 ft"
"125","9:04.0","C. Payne misses 3-pt jump shot from 26 ft","","20-31","",""
"126","9:02.0","","","20-31","","Defensive rebound by S. Dinwiddie"
"127","8:55.0","","","20-31","","S. Dinwiddie misses 2-pt jump shot from 7 ft"
"128","8:55.0","","","20-31","","Offensive rebound by Team"
"129","8:55.0","J. Crowder enters the game for C. Payne","","20-31","",""
"130","8:42.0","","","20-31","","J. Brunson misses 3-pt jump shot from 25 ft"
"131","8:38.0","Defensive rebound by C. Paul","","20-31","",""
"132","8:26.0","J. McGee makes 2-pt jump shot from 7 ft (assist by J. Crowder)","+2","22-31","",""
"133","8:14.0","","","22-31","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"134","8:12.0","Defensive rebound by C. Paul","","22-31","",""
"135","7:55.0","Turnover by C. Paul (bad pass; steal by S. Dinwiddie)","","22-31","",""
"136","7:50.0","","","22-33","+2","S. Dinwiddie makes 2-pt layup from 2 ft"
"137","7:50.0","Phoenix full timeout","","22-33","",""
"138","7:50.0","D. Ayton enters the game for J. McGee","","22-33","",""
"139","7:50.0","","","22-33","","M. Kleber enters the game for D. Bertans"
"140","7:50.0","","","22-33","","F. Ntilikina enters the game for R. Bullock"
"141","7:37.0","C. Johnson misses 2-pt dunk from 6 ft (block by S. Dinwiddie)","","22-33","",""
"142","7:37.0","Offensive rebound by Team","","22-33","",""
"143","7:33.0","Shooting foul by F. Ntilikina (drawn by C. Johnson)","","22-33","",""
"144","7:33.0","C. Johnson makes free throw 1 of 3","+1","23-33","",""
"145","7:33.0","C. Johnson makes free throw 2 of 3","+1","24-33","",""
"146","7:33.0","C. Johnson makes free throw 3 of 3","+1","25-33","",""
"147","7:14.0","","","25-35","+2","J. Brunson makes 2-pt jump shot from 6 ft (assist by M. Kleber)"
"148","7:02.0","Personal foul by D. Finney-Smith (drawn by D. Ayton)","","25-35","",""
"149","7:02.0","D. Ayton makes free throw 1 of 2","+1","26-35","",""
"150","7:02.0","D. Booker enters the game for C. Johnson","","26-35","",""
"151","7:02.0","M. Bridges enters the game for L. Shamet","","26-35","",""
"152","7:02.0","","","26-35","","R. Bullock enters the game for S. Dinwiddie"
"153","7:02.0","","","26-35","","L. Doncic enters the game for D. Finney-Smith"
"154","7:02.0","D. Ayton makes free throw 2 of 2","+1","27-35","",""
"155","6:35.0","","","27-37","+2","J. Brunson makes 2-pt layup from 3 ft (assist by M. Kleber)"
"156","6:21.0","D. Ayton misses 2-pt hook shot from 7 ft","","27-37","",""
"157","6:19.0","Offensive rebound by M. Bridges","","27-37","",""
"158","6:19.0","M. Bridges misses 2-pt layup from 2 ft","","27-37","",""
"159","6:19.0","","","27-37","","Defensive rebound by L. Doncic"
"160","5:58.0","","","27-37","","J. Brunson misses 3-pt jump shot from 23 ft"
"161","5:56.0","Defensive rebound by J. Crowder","","27-37","",""
"162","5:48.0","C. Paul misses 3-pt jump shot from 25 ft","","27-37","",""
"163","5:47.0","","","27-37","","Defensive rebound by M. Kleber"
"164","5:36.0","","","27-39","+2","L. Doncic makes 2-pt hook shot from 3 ft"
"165","5:36.0","","","27-39","","Shooting foul by M. Bridges (drawn by L. Doncic)"
"166","5:36.0","","","27-39","","S. Dinwiddie enters the game for J. Brunson"
"167","5:36.0","","","27-39","","D. Finney-Smith enters the game for F. Ntilikina"
"168","5:36.0","","","27-39","","L. Doncic misses free throw 1 of 1"
"169","5:34.0","Defensive rebound by D. Ayton","","27-39","",""
"170","5:26.0","D. Booker makes 2-pt jump shot from 14 ft (assist by J. Crowder)","+2","29-39","",""
"171","5:00.0","","","29-41","+2","L. Doncic makes 2-pt hook shot from 3 ft"
"172","4:47.0","J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Booker)","+3","32-41","",""
"173","4:28.0","","","32-43","+2","M. Kleber makes 2-pt layup from 1 ft (assist by L. Doncic)"
"174","4:15.0","D. Ayton makes 2-pt layup at rim (assist by M. Bridges)","+2","34-43","",""
"175","3:52.0","Violation by Team (kicked ball)","","34-43","",""
"176","3:43.0","","","34-45","+2","L. Doncic makes 2-pt layup from 2 ft"
"177","3:25.0","Offensive foul by C. Paul (drawn by D. Finney-Smith)","","34-45","",""
"178","3:25.0","Turnover by C. Paul (offensive foul)","","34-45","",""
"179","3:10.0","","","34-45","","L. Doncic misses 2-pt jump shot from 10 ft"
"180","3:08.0","Defensive rebound by D. Ayton","","34-45","",""
"181","3:01.0","D. Booker misses 2-pt jump shot from 5 ft (block by M. Kleber)","","34-45","",""
"182","3:00.0","","","34-45","","Defensive rebound by Team"
"183","2:50.0","","","34-48","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)"
"184","2:33.0","C. Paul makes 2-pt jump shot from 11 ft","+2","36-48","",""
"185","2:15.0","","","36-48","","S. Dinwiddie misses 2-pt layup from 5 ft"
"186","2:13.0","Defensive rebound by J. Crowder","","36-48","",""
"187","1:54.0","D. Ayton makes 2-pt hook shot from 6 ft (assist by J. Crowder)","+2","38-48","",""
"188","1:39.0","","","38-48","","L. Doncic misses 3-pt jump shot from 25 ft"
"189","1:36.0","Defensive rebound by M. Bridges","","38-48","",""
"190","1:27.0","C. Paul makes 3-pt jump shot from 25 ft (assist by D. Booker)","+3","41-48","",""
"191","1:27.0","","","41-48","","Dallas full timeout"
"192","1:27.0","Technical foul by M. Bridges","","41-48","",""
"193","1:27.0","","","41-48","","J. Brunson enters the game for R. Bullock"
"194","1:27.0","","","41-49","+1","L. Doncic makes technical free throw"
"195","1:07.0","","","41-49","","L. Doncic misses 2-pt jump shot from 14 ft"
"196","1:06.0","","","41-49","","Offensive rebound by L. Doncic"
"197","1:06.0","","","41-51","+2","L. Doncic makes 2-pt layup from 1 ft"
"198","1:06.0","","","41-51","","Shooting foul by C. Paul (drawn by L. Doncic)"
"199","1:06.0","","","41-51","","L. Doncic misses free throw 1 of 1"
"200","1:04.0","Defensive rebound by D. Ayton","","41-51","",""
"201","0:42.0","J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Booker)","+3","44-51","",""
"202","0:28.0","","","44-51","","Offensive foul by L. Doncic (drawn by C. Paul)"
"203","0:28.0","","","44-51","","Turnover by L. Doncic (offensive foul)"
"204","0:05.0","D. Booker misses 2-pt jump shot from 10 ft (block by M. Kleber)","","44-51","",""
"205","0:05.0","Offensive rebound by Team","","44-51","",""
"206","0:03.0","M. Bridges misses 2-pt jump shot from 20 ft","","44-51","",""
"207","0:01.0","Offensive rebound by C. Paul","","44-51","",""
"208","0:00.0","M. Bridges misses 3-pt jump shot from 23 ft","","44-51","",""
"209","0:00.0","Offensive rebound by Team","","44-51","",""
"210","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"211","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"212","Time","Phoenix","","Score","","Dallas"
"213","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"214","11:34.0","","","44-51","","Turnover by L. Doncic (bad pass; steal by J. Crowder)"
"215","11:27.0","M. Bridges makes 2-pt jump shot from 9 ft (assist by D. Booker)","+2","46-51","",""
"216","11:13.0","","","46-51","","L. Doncic misses 2-pt jump shot from 9 ft"
"217","11:13.0","Defensive rebound by M. Bridges","","46-51","",""
"218","11:06.0","J. Crowder misses 3-pt jump shot from 25 ft","","46-51","",""
"219","11:04.0","","","46-51","","Defensive rebound by D. Powell"
"220","10:45.0","","","46-51","","J. Brunson misses 2-pt jump shot from 6 ft"
"221","10:44.0","","","46-51","","Offensive rebound by D. Powell"
"222","10:42.0","","","46-54","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Powell)"
"223","10:31.0","M. Bridges misses 2-pt layup from 4 ft","","46-54","",""
"224","10:31.0","Offensive rebound by D. Ayton","","46-54","",""
"225","10:29.0","Personal take foul by D. Powell (drawn by D. Ayton)","","46-54","",""
"226","10:23.0","Turnover by D. Booker (out of bounds lost ball)","","46-54","",""
"227","10:20.0","","","46-57","+3","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by J. Brunson)"
"228","9:57.0","D. Ayton misses 2-pt layup from 4 ft","","46-57","",""
"229","9:55.0","","","46-57","","Defensive rebound by D. Finney-Smith"
"230","9:46.0","","","46-59","+2","D. Powell makes 2-pt layup from 1 ft (assist by L. Doncic)"
"231","9:45.0","Phoenix full timeout","","46-59","",""
"232","9:45.0","Technical foul by C. Paul","","46-59","",""
"233","9:45.0","","","46-60","+1","R. Bullock makes technical free throw"
"234","9:25.0","Turnover by D. Booker (bad pass; steal by L. Doncic)","","46-60","",""
"235","9:20.0","","","46-60","","R. Bullock misses 3-pt jump shot from 26 ft"
"236","9:17.0","","","46-60","","Offensive rebound by D. Powell"
"237","9:12.0","","","46-62","+2","L. Doncic makes 2-pt jump shot from 14 ft (assist by J. Brunson)"
"238","8:54.0","Shooting foul by D. Powell (drawn by D. Ayton)","","46-62","",""
"239","8:54.0","D. Ayton makes free throw 1 of 2","+1","47-62","",""
"240","8:54.0","D. Ayton makes free throw 2 of 2","+1","48-62","",""
"241","8:35.0","","","48-64","+2","L. Doncic makes 2-pt layup from 1 ft"
"242","8:16.0","D. Ayton misses 2-pt jump shot from 7 ft","","48-64","",""
"243","8:14.0","","","48-64","","Defensive rebound by D. Powell"
"244","8:04.0","","","48-64","","Turnover by L. Doncic (bad pass)"
"245","8:04.0","","","48-64","","M. Kleber enters the game for D. Powell"
"246","7:54.0","J. Crowder makes 3-pt jump shot from 25 ft","+3","51-64","",""
"247","7:36.0","","","51-66","+2","J. Brunson makes 2-pt layup from 2 ft (assist by M. Kleber)"
"248","7:28.0","Personal foul by L. Doncic (drawn by J. Crowder)","","51-66","",""
"249","7:18.0","C. Paul misses 2-pt jump shot from 5 ft","","51-66","",""
"250","7:16.0","","","51-66","","Defensive rebound by Team"
"251","7:01.0","","","51-69","+3","L. Doncic makes 3-pt jump shot from 26 ft"
"252","6:46.0","D. Booker misses 2-pt layup from 6 ft","","51-69","",""
"253","6:44.0","","","51-69","","Defensive rebound by L. Doncic"
"254","6:40.0","","","51-69","","D. Finney-Smith misses 3-pt jump shot from 26 ft"
"255","6:37.0","Defensive rebound by J. Crowder","","51-69","",""
"256","6:23.0","J. Crowder misses 2-pt jump shot from 5 ft","","51-69","",""
"257","6:19.0","Offensive rebound by D. Ayton","","51-69","",""
"258","6:19.0","D. Ayton makes 2-pt layup at rim","+2","53-69","",""
"259","6:00.0","","","53-71","+2","M. Kleber makes 2-pt jump shot from 18 ft (assist by J. Brunson)"
"260","5:47.0","D. Booker makes 2-pt jump shot from 14 ft","+2","55-71","",""
"261","5:23.0","","","55-71","","M. Kleber misses 2-pt jump shot from 10 ft"
"262","5:23.0","Defensive rebound by D. Ayton","","55-71","",""
"263","5:14.0","Personal foul by L. Doncic (drawn by D. Booker)","","55-71","",""
"264","5:14.0","C. Payne enters the game for C. Paul","","55-71","",""
"265","5:14.0","","","55-71","","S. Dinwiddie enters the game for L. Doncic"
"266","4:58.0","J. Crowder makes 3-pt jump shot from 27 ft (assist by D. Booker)","+3","58-71","",""
"267","4:30.0","","","58-71","","S. Dinwiddie misses 3-pt jump shot from 25 ft"
"268","4:29.0","","","58-71","","Offensive rebound by D. Finney-Smith"
"269","4:24.0","","","58-71","","R. Bullock misses 3-pt jump shot from 23 ft"
"270","4:24.0","Defensive rebound by J. Crowder","","58-71","",""
"271","4:03.0","Turnover by D. Booker (bad pass; steal by D. Finney-Smith)","","58-71","",""
"272","3:57.0","","","58-71","","M. Kleber misses 3-pt jump shot from 25 ft"
