"","Time","New Orleans","","Score","","Phoenix"
"2","12:00.0","Jump ball: J. Valanciunas vs. D. Ayton (C. Paul gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Paul gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Paul gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Paul gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Paul gains possession)"
"3","11:46.0","","","0-3","+3","D. Booker makes 3-pt jump shot from 28 ft (assist by C. Paul)"
"4","11:21.0","B. Ingram misses 2-pt layup from 4 ft (block by C. Paul)","","0-3","",""
"5","11:21.0","Offensive rebound by J. Valanciunas","","0-3","",""
"6","11:20.0","J. Valanciunas makes 2-pt jump shot from 11 ft","+2","2-3","",""
"7","11:01.0","","","2-5","+2","D. Ayton makes 2-pt jump shot from 12 ft (assist by D. Booker)"
"8","10:46.0","B. Ingram misses 2-pt jump shot from 9 ft","","2-5","",""
"9","10:42.0","","","2-5","","Defensive rebound by C. Paul"
"10","10:37.0","","","2-5","","D. Booker misses 3-pt jump shot from 27 ft"
"11","10:34.0","Defensive rebound by J. Hayes","","2-5","",""
"12","10:26.0","Turnover by C. McCollum (bad pass; steal by C. Paul)","","2-5","",""
"13","10:23.0","","","2-7","+2","D. Booker makes 2-pt layup from 1 ft (assist by C. Paul)"
"14","10:23.0","","","2-7","","Shooting foul by J. Hayes (drawn by D. Booker)"
"15","10:23.0","","","2-7","","D. Booker misses free throw 1 of 1"
"16","10:21.0","Defensive rebound by J. Valanciunas","","2-7","",""
"17","10:09.0","C. McCollum misses 2-pt jump shot from 10 ft","","2-7","",""
"18","10:08.0","Offensive rebound by J. Valanciunas","","2-7","",""
"19","10:05.0","H. Jones misses 2-pt jump shot from 4 ft","","2-7","",""
"20","10:01.0","Offensive rebound by H. Jones","","2-7","",""
"21","9:54.0","C. McCollum misses 2-pt layup from 2 ft (block by D. Ayton)","","2-7","",""
"22","9:48.0","Offensive rebound by J. Valanciunas","","2-7","",""
"23","9:47.0","J. Valanciunas makes 2-pt layup at rim","+2","4-7","",""
"24","9:35.0","","","4-7","","Shooting foul by J. Valanciunas (drawn by J. Crowder)"
"25","9:35.0","","","4-7","","J. Crowder misses free throw 1 of 2"
"26","9:35.0","","","4-7","","Offensive rebound by Team"
"27","9:35.0","","","4-8","+1","J. Crowder makes free throw 2 of 2"
"28","9:23.0","B. Ingram misses 2-pt jump shot from 18 ft","","4-8","",""
"29","9:21.0","","","4-8","","Defensive rebound by D. Ayton"
"30","9:18.0","","","4-8","","Personal foul by H. Jones (drawn by C. Paul)"
"31","9:03.0","","","4-8","","J. Crowder misses 3-pt jump shot from 26 ft"
"32","9:00.0","Defensive rebound by C. McCollum","","4-8","",""
"33","8:50.0","J. Valanciunas misses 2-pt layup from 3 ft (block by M. Bridges)","","4-8","",""
"34","8:46.0","","","4-8","","Defensive rebound by C. Paul"
"35","8:43.0","","","4-11","+3","D. Booker makes 3-pt jump shot from 25 ft (assist by C. Paul)"
