"","Time","Phoenix","","Score","","Dallas"
"354","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"355","Time","Phoenix","","Score","","Dallas"
"356","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"357","11:42.0","","","74-82","","K. Porzingis misses 2-pt jump shot from 14 ft"
"358","11:39.0","Defensive rebound by C. Johnson","","74-82","",""
"359","11:33.0","C. Paul makes 3-pt jump shot from 26 ft","+3","77-82","",""
"360","11:06.0","","","77-84","+2","J. Brunson makes 2-pt jump shot from 9 ft"
"361","10:59.0","M. Bridges misses 2-pt jump shot from 14 ft","","77-84","",""
"362","10:59.0","","","77-84","","Defensive rebound by R. Bullock"
"363","10:43.0","","","77-86","+2","J. Brunson makes 2-pt jump shot from 16 ft"
"364","10:17.0","M. Bridges misses 3-pt jump shot from 24 ft","","77-86","",""
"365","10:15.0","","","77-86","","Defensive rebound by K. Porzingis"
"366","9:53.0","","","77-86","","Turnover by J. Brunson (lost ball; steal by C. Johnson)"
"367","9:48.0","C. Johnson misses 3-pt jump shot from 25 ft","","77-86","",""
"368","9:43.0","","","77-86","","Defensive rebound by R. Bullock"
"369","9:35.0","","","77-86","","K. Porzingis misses 3-pt jump shot from 27 ft"
"370","9:32.0","Defensive rebound by C. Johnson","","77-86","",""
"371","9:12.0","C. Payne makes 2-pt layup from 7 ft","+2","79-86","",""
"372","9:12.0","Shooting foul by J. Green (drawn by C. Payne)","","79-86","",""
"373","9:12.0","Technical foul by C. Payne","","79-86","",""
"374","9:12.0","","","79-87","+1","K. Porzingis makes technical free throw"
"375","9:12.0","","","79-87","","T. Hardaway enters the game for J. Green"
"376","9:12.0","C. Payne makes free throw 1 of 1","+1","80-87","",""
"377","8:59.0","","","80-89","+2","J. Brunson makes 2-pt jump shot from 5 ft"
"378","8:51.0","C. Paul makes 2-pt layup from 5 ft","+2","82-89","",""
"379","8:37.0","","","82-89","","Turnover by J. Brunson (bad pass; steal by M. Bridges)"
"380","8:33.0","C. Payne makes 3-pt jump shot from 26 ft","+3","85-89","",""
"381","8:08.0","","","85-89","","R. Bullock misses 3-pt jump shot from 25 ft"
"382","8:08.0","","","85-89","","Offensive rebound by K. Porzingis"
"383","8:01.0","","","85-92","+3","R. Bullock makes 3-pt jump shot from 26 ft"
"384","7:40.0","C. Paul makes 2-pt jump shot from 17 ft","+2","87-92","",""
"385","7:26.0","","","87-92","","J. Brunson misses 2-pt layup from 4 ft"
"386","7:25.0","Defensive rebound by Team","","87-92","",""
"387","7:25.0","","","87-92","","Loose ball foul by K. Porzingis (drawn by C. Johnson)"
"388","7:25.0","D. Booker enters the game for C. Johnson","","87-92","",""
"389","7:25.0","J. Crowder enters the game for C. Payne","","87-92","",""
"390","7:25.0","","","87-92","","L. Doncic enters the game for R. Bullock"
"391","7:11.0","C. Paul misses 3-pt jump shot from 25 ft","","87-92","",""
"392","7:08.0","","","87-92","","Defensive rebound by M. Kleber"
"393","7:01.0","","","87-95","+3","T. Hardaway makes 3-pt jump shot from 26 ft (assist by M. Kleber)"
"394","6:41.0","J. Crowder makes 3-pt jump shot from 22 ft (assist by M. Bridges)","+3","90-95","",""
"395","6:21.0","","","90-95","","Turnover by M. Kleber (lost ball; steal by B. Biyombo)"
"396","6:12.0","M. Bridges misses 2-pt jump shot from 10 ft","","90-95","",""
"397","6:11.0","Offensive rebound by M. Bridges","","90-95","",""
"398","6:09.0","M. Bridges makes 2-pt layup from 7 ft","+2","92-95","",""
"399","5:46.0","","","92-95","","J. Brunson misses 3-pt jump shot from 26 ft"
"400","5:43.0","Defensive rebound by B. Biyombo","","92-95","",""
"401","5:33.0","D. Booker misses 2-pt jump shot from 20 ft","","92-95","",""
"402","5:31.0","","","92-95","","Defensive rebound by L. Doncic"
"403","5:20.0","","","92-95","","K. Porzingis misses 2-pt jump shot from 9 ft"
"404","5:17.0","Defensive rebound by C. Paul","","92-95","",""
"405","5:14.0","D. Booker misses 2-pt layup from 3 ft (block by M. Kleber)","","92-95","",""
"406","5:11.0","Offensive rebound by B. Biyombo","","92-95","",""
"407","5:10.0","Shooting foul by M. Kleber (drawn by D. Booker)","","92-95","",""
"408","5:10.0","","","92-95","","Dallas full timeout"
"409","5:10.0","","","92-95","","D. Finney-Smith enters the game for M. Kleber"
"410","5:10.0","","","92-95","","D. Powell enters the game for K. Porzingis"
"411","5:10.0","D. Booker makes free throw 1 of 2","+1","93-95","",""
"412","5:10.0","D. Booker makes free throw 2 of 2","+1","94-95","",""
"413","4:58.0","","","94-95","","Turnover by D. Powell (lost ball; steal by M. Bridges)"
"414","4:53.0","D. Booker makes 2-pt layup from 4 ft","+2","96-95","",""
"415","4:36.0","","","96-97","+2","L. Doncic makes 2-pt jump shot from 6 ft"
"416","4:11.0","C. Paul misses 3-pt jump shot from 25 ft","","96-97","",""
"417","4:08.0","","","96-97","","Defensive rebound by T. Hardaway"
"418","3:50.0","","","96-97","","J. Brunson misses 2-pt jump shot from 15 ft"
"419","3:47.0","","","96-97","","Offensive rebound by Team"
"420","3:47.0","","","96-97","","Turnover by J. Brunson (traveling)"
"421","3:47.0","Phoenix full timeout","","96-97","",""
"422","3:47.0","","","96-97","","M. Kleber enters the game for D. Powell"
"423","3:38.0","B. Biyombo makes 2-pt layup from 3 ft (assist by C. Paul)","+2","98-97","",""
"424","3:38.0","Shooting foul by D. Finney-Smith (drawn by B. Biyombo)","","98-97","",""
"425","3:38.0","B. Biyombo makes free throw 1 of 1","+1","99-97","",""
"426","3:18.0","","","99-97","","Personal foul by J. Crowder (drawn by J. Brunson)"
"427","3:10.0","","","99-99","+2","L. Doncic makes 2-pt jump shot from 14 ft (assist by M. Kleber)"
"428","3:10.0","","","99-99","","Shooting foul by B. Biyombo (drawn by L. Doncic)"
"429","3:10.0","Phoenix full timeout","","99-99","",""
"430","3:10.0","","","99-99","","L. Doncic misses free throw 1 of 1"
"431","3:07.0","Defensive rebound by M. Bridges","","99-99","",""
"432","2:56.0","M. Bridges makes 2-pt jump shot from 7 ft (assist by D. Booker)","+2","101-99","",""
"433","2:34.0","","","101-99","","L. Doncic misses 2-pt jump shot from 6 ft"
"434","2:30.0","Defensive rebound by M. Bridges","","101-99","",""
"435","2:25.0","D. Booker misses 3-pt jump shot from 26 ft","","101-99","",""
"436","2:25.0","Offensive rebound by Team","","101-99","",""
"437","2:25.0","","","101-99","","Loose ball foul by T. Hardaway (drawn by B. Biyombo)"
"438","2:25.0","B. Biyombo misses free throw 1 of 2","","101-99","",""
"439","2:25.0","Offensive rebound by Team","","101-99","",""
"440","2:25.0","","","101-99","","K. Porzingis enters the game for M. Kleber"
"441","2:25.0","B. Biyombo makes free throw 2 of 2","+1","102-99","",""
"442","2:09.0","","","102-99","","T. Hardaway misses 3-pt jump shot from 25 ft"
"443","2:05.0","Defensive rebound by M. Bridges","","102-99","",""
"444","1:54.0","J. Crowder misses 3-pt jump shot from 25 ft","","102-99","",""
"445","1:53.0","Offensive rebound by M. Bridges","","102-99","",""
"446","1:49.0","B. Biyombo makes 2-pt dunk at rim (assist by M. Bridges)","+2","104-99","",""
"447","1:49.0","","","104-99","","Dallas full timeout"
"448","1:31.0","","","104-99","","Personal foul by C. Paul (drawn by K. Porzingis)"
"449","1:19.0","","","104-99","","T. Hardaway misses 3-pt jump shot from 23 ft"
"450","1:15.0","Defensive rebound by C. Paul","","104-99","",""
"451","1:05.0","Offensive foul by B. Biyombo (drawn by T. Hardaway)","","104-99","",""
"452","1:05.0","Turnover by B. Biyombo (offensive foul)","","104-99","",""
"453","1:05.0","C. Johnson enters the game for B. Biyombo","","104-99","",""
"454","0:48.0","","","104-99","","Offensive foul by D. Finney-Smith (drawn by D. Booker)"
"455","0:48.0","","","104-99","","Turnover by D. Finney-Smith (offensive foul)"
"456","0:48.0","Phoenix full timeout","","104-99","",""
"457","0:48.0","Instant Replay (Challenge: Ruling Stands)","","104-99","",""
"458","0:48.0","B. Biyombo enters the game for C. Johnson","","104-99","",""
"459","0:26.0","C. Paul makes 3-pt jump shot from 26 ft (assist by D. Booker)","+3","107-99","",""
"460","0:19.0","","","107-101","+2","K. Porzingis makes 2-pt dunk from 2 ft (assist by J. Brunson)"
"461","0:09.0","Personal take foul by K. Porzingis (drawn by D. Booker)","","107-101","",""
"462","0:09.0","D. Booker makes free throw 1 of 2","+1","108-101","",""
"463","0:09.0","C. Johnson enters the game for B. Biyombo","","108-101","",""
"464","0:09.0","D. Booker makes free throw 2 of 2","+1","109-101","",""
"465","0:01.0","","","109-101","","K. Porzingis misses 3-pt jump shot from 28 ft"
"466","0:01.0","Defensive rebound by M. Bridges","","109-101","",""
"467","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
