"","Time","Phoenix","","Score","","Dallas"
"79","3:31.0","","","18-17","","T. Hardaway misses 3-pt jump shot from 25 ft"
"80","3:28.0","Defensive rebound by C. Payne","","18-17","",""
"81","3:21.0","Shooting foul by D. Powell (drawn by C. Payne)","","18-17","",""
"82","3:21.0","C. Payne makes free throw 1 of 2","+1","19-17","",""
"83","3:21.0","L. Shamet enters the game for M. Bridges","","19-17","",""
"84","3:21.0","C. Payne makes free throw 2 of 2","+1","20-17","",""
"85","2:56.0","","","20-19","+2","D. Finney-Smith makes 2-pt jump shot from 11 ft"
"86","2:33.0","D. Booker misses 3-pt jump shot from 26 ft","","20-19","",""
"87","2:30.0","Offensive rebound by B. Biyombo","","20-19","",""
"88","2:25.0","D. Booker misses 3-pt jump shot from 23 ft","","20-19","",""
"89","2:22.0","","","20-19","","Defensive rebound by D. Finney-Smith"
"90","2:18.0","","","20-19","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"91","2:17.0","Defensive rebound by Team","","20-19","",""
"92","2:17.0","Phoenix full timeout","","20-19","",""
"93","2:17.0","","","20-19","","L. Doncic enters the game for J. Brunson"
"94","2:17.0","","","20-19","","J. Green enters the game for D. Finney-Smith"
"95","2:17.0","","","20-19","","K. Porzingis enters the game for D. Powell"
"96","2:03.0","C. Johnson misses 3-pt jump shot from 27 ft","","20-19","",""
"97","2:00.0","","","20-19","","Defensive rebound by L. Doncic"
"98","1:41.0","","","20-21","+2","T. Hardaway makes 2-pt jump shot from 15 ft"
"99","1:22.0","L. Shamet misses 3-pt jump shot from 25 ft","","20-21","",""
"100","1:17.0","","","20-21","","Defensive rebound by R. Bullock"
"101","1:13.0","","","20-21","","Shooting foul by C. Johnson (drawn by L. Doncic)"
"102","1:13.0","","","20-22","+1","L. Doncic makes free throw 1 of 2"
"103","1:13.0","","","20-23","+1","L. Doncic makes free throw 2 of 2"
"104","1:03.0","C. Johnson misses 3-pt jump shot from 25 ft","","20-23","",""
"105","1:00.0","","","20-23","","Defensive rebound by K. Porzingis"
"106","0:56.0","","","20-26","+3","L. Doncic makes 3-pt jump shot from 25 ft (assist by J. Green)"
"107","0:42.0","D. Booker makes 2-pt jump shot from 10 ft","+2","22-26","",""
"108","0:28.0","","","22-26","","L. Doncic misses 2-pt jump shot from 10 ft"
"109","0:28.0","Defensive rebound by D. Booker","","22-26","",""
"110","0:07.0","Turnover by D. Booker (bad pass)","","22-26","",""
"111","0:00.0","","","22-26","","Turnover by L. Doncic (bad pass; steal by L. Shamet)"
"112","0:00.0","L. Shamet misses 3-pt jump shot from 48 ft","","22-26","",""
"113","0:00.0","Offensive rebound by Team","","22-26","",""
"114","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"115","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"116","Time","Phoenix","","Score","","Dallas"
"117","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"118","11:44.0","Shooting foul by T. Hardaway (drawn by B. Biyombo)","","22-26","",""
"119","11:44.0","B. Biyombo makes free throw 1 of 2","+1","23-26","",""
"120","11:44.0","B. Biyombo makes free throw 2 of 2","+1","24-26","",""
"121","11:30.0","","","24-26","","J. Green misses 2-pt jump shot from 4 ft"
"122","11:27.0","","","24-26","","Offensive rebound by K. Porzingis"
"123","11:27.0","","","24-26","","K. Porzingis misses 2-pt dunk at rim"
"124","11:27.0","Defensive rebound by C. Johnson","","24-26","",""
"125","11:18.0","C. Paul makes 2-pt jump shot from 20 ft","+2","26-26","",""
