"","Time","Miami","","Score","","Boston"
"81","2:39.0","","","12-25","","G. Williams misses 3-pt jump shot from 27 ft"
"82","2:33.0","Defensive rebound by D. Dedmon","","12-25","",""
"83","2:12.0","D. Dedmon misses 2-pt jump shot from 6 ft","","12-25","",""
"84","2:11.0","","","12-25","","Defensive rebound by J. Richardson"
"85","2:04.0","","","12-25","","J. Richardson misses 2-pt hook shot from 10 ft"
"86","2:01.0","Defensive rebound by D. Dedmon","","12-25","",""
"87","1:51.0","G. Vincent misses 3-pt jump shot from 23 ft","","12-25","",""
"88","1:48.0","","","12-25","","Defensive rebound by D. Schröder"
"89","1:39.0","","","12-27","+2","J. Richardson makes 2-pt jump shot from 15 ft"
"90","1:24.0","B. Adebayo makes 2-pt jump shot from 8 ft","+2","14-27","",""
"91","1:00.0","","","14-27","","G. Williams misses 3-pt jump shot from 27 ft"
"92","0:57.0","Defensive rebound by B. Adebayo","","14-27","",""
"93","0:50.0","D. Robinson misses 3-pt jump shot from 23 ft","","14-27","",""
"94","0:47.0","","","14-27","","Defensive rebound by A. Horford"
"95","0:39.0","","","14-27","","J. Tatum misses 3-pt jump shot from 27 ft"
"96","0:36.0","Defensive rebound by D. Robinson","","14-27","",""
"97","0:27.0","D. Robinson misses 3-pt jump shot from 24 ft","","14-27","",""
"98","0:24.0","","","14-27","","Defensive rebound by Team"
"99","0:24.0","K. Guy enters the game for G. Vincent","","14-27","",""
"100","0:00.0","","","14-27","","J. Tatum misses 2-pt jump shot from 21 ft"
"101","0:00.0","","","14-27","","Offensive rebound by Team"
"102","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"103","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"104","Time","Miami","","Score","","Boston"
"105","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"106","11:40.0","Loose ball foul by D. Robinson (drawn by A. Horford)","","14-27","",""
"107","11:40.0","Turnover by D. Robinson (turnover)","","14-27","",""
"108","11:40.0","M. Strus enters the game for D. Robinson","","14-27","",""
"109","11:24.0","","","14-29","+2","J. Richardson makes 2-pt layup from 3 ft (assist by A. Horford)"
"110","11:02.0","T. Herro makes 2-pt jump shot from 12 ft (assist by C. Silva)","+2","16-29","",""
