"","Time","Miami","","Score","","Boston"
"358","9:20.0","Defensive rebound by G. Vincent","","74-100","",""
"359","9:13.0","Personal foul by G. Williams (drawn by B. Adebayo)","","74-100","",""
"360","9:07.0","M. Strus misses 2-pt layup from 2 ft","","74-100","",""
"361","9:04.0","","","74-100","","Defensive rebound by G. Williams"
"362","9:01.0","","","74-100","","A. Horford misses 3-pt jump shot from 26 ft"
"363","8:58.0","Defensive rebound by C. Silva","","74-100","",""
"364","8:49.0","B. Adebayo misses 2-pt hook shot from 9 ft","","74-100","",""
"365","8:47.0","Offensive rebound by C. Silva","","74-100","",""
"366","8:46.0","C. Silva misses 2-pt layup from 2 ft (block by D. Schröder)","","74-100","",""
"367","8:45.0","Offensive rebound by Team","","74-100","",""
"368","8:39.0","T. Herro misses 3-pt jump shot from 27 ft","","74-100","",""
"369","8:37.0","Offensive rebound by B. Adebayo","","74-100","",""
"370","8:36.0","M. Strus misses 3-pt jump shot from 27 ft","","74-100","",""
"371","8:32.0","","","74-100","","Defensive rebound by Team"
"372","8:12.0","","","74-100","","A. Horford misses 2-pt hook shot from 6 ft"
"373","8:10.0","Defensive rebound by B. Adebayo","","74-100","",""
"374","8:06.0","T. Herro misses 3-pt jump shot from 25 ft","","74-100","",""
"375","8:03.0","","","74-100","","Defensive rebound by D. Schröder"
"376","7:54.0","","","74-100","","J. Brown misses 3-pt jump shot from 25 ft"
"377","7:51.0","","","74-100","","Offensive rebound by A. Horford"
"378","7:46.0","","","74-102","+2","J. Brown makes 2-pt jump shot from 14 ft"
"379","7:44.0","Miami full timeout","","74-102","",""
"380","7:44.0","","","74-102","","A. Nesmith enters the game for J. Brown"
"381","7:27.0","G. Vincent makes 3-pt jump shot from 26 ft (assist by T. Herro)","+3","77-102","",""
"382","6:58.0","","","77-104","+2","J. Richardson makes 2-pt jump shot from 13 ft"
"383","6:42.0","B. Adebayo misses 2-pt hook shot from 7 ft","","77-104","",""
"384","6:40.0","","","77-104","","Defensive rebound by J. Richardson"
"385","6:22.0","","","77-106","+2","G. Williams makes 2-pt jump shot from 4 ft"
"386","6:00.0","G. Vincent makes 3-pt jump shot from 27 ft (assist by B. Adebayo)","+3","80-106","",""
"387","5:43.0","","","80-106","","A. Nesmith misses 2-pt layup from 8 ft"
"388","5:40.0","Defensive rebound by C. Silva","","80-106","",""
"389","5:34.0","M. Strus makes 3-pt jump shot from 27 ft (assist by G. Vincent)","+3","83-106","",""
"390","5:13.0","","","83-106","","J. Richardson misses 3-pt jump shot from 27 ft"
"391","5:09.0","","","83-106","","Offensive rebound by G. Williams"
"392","5:03.0","","","83-106","","Shooting foul by C. Silva (drawn by A. Horford)"
"393","5:03.0","","","83-107","+1","A. Horford makes free throw 1 of 2"
"394","5:03.0","K. Guy enters the game for B. Adebayo","","83-107","",""
"395","5:03.0","U. Haslem enters the game for T. Herro","","83-107","",""
"396","5:03.0","D. Robinson enters the game for G. Vincent","","83-107","",""
"397","5:03.0","","","83-107","","E. Freedom enters the game for J. Richardson"
"398","5:03.0","","","83-107","","R. Langford enters the game for D. Schröder"
"399","5:03.0","","","83-107","","P. Pritchard enters the game for G. Williams"
"400","5:03.0","","","83-108","+1","A. Horford makes free throw 2 of 2"
"401","4:48.0","K. Guy misses 2-pt layup from 3 ft (block by A. Horford)","","83-108","",""
"402","4:45.0","","","83-108","","Defensive rebound by A. Horford"
"403","4:40.0","","","83-110","+2","A. Horford makes 2-pt layup from 2 ft"
"404","4:40.0","Violation by Team (def goaltending)","","83-110","",""
"405","4:38.0","Personal take foul by P. Pritchard (drawn by K. Guy)","","83-110","",""
"406","4:38.0","","","83-110","","S. Hauser enters the game for A. Horford"
"407","4:22.0","Turnover by C. Silva (bad pass)","","83-110","",""
"408","4:05.0","","","83-110","","R. Langford misses 3-pt jump shot from 25 ft"
"409","4:03.0","Defensive rebound by M. Strus","","83-110","",""
"410","3:57.0","K. Guy misses 3-pt jump shot from 26 ft","","83-110","",""
"411","3:55.0","Offensive rebound by Team","","83-110","",""
"412","3:54.0","Turnover by K. Guy (bad pass)","","83-110","",""
"413","3:41.0","","","83-113","+3","S. Hauser makes 3-pt jump shot from 23 ft (assist by P. Pritchard)"
"414","3:28.0","Personal foul by S. Hauser (drawn by K. Guy)","","83-113","",""
"415","3:18.0","D. Robinson makes 3-pt jump shot from 26 ft (assist by U. Haslem)","+3","86-113","",""
"416","3:04.0","","","86-113","","Shooting foul by C. Silva (drawn by E. Freedom)"
"417","3:04.0","","","86-114","+1","E. Freedom makes free throw 1 of 2"
"418","3:04.0","","","86-115","+1","E. Freedom makes free throw 2 of 2"
"419","2:50.0","U. Haslem misses 2-pt jump shot from 10 ft","","86-115","",""
"420","2:47.0","","","86-115","","Defensive rebound by E. Freedom"
"421","2:33.0","","","86-115","","Turnover by P. Pritchard (traveling)"
"422","2:33.0","","","86-115","","Boston full timeout"
"423","2:33.0","","","86-115","","B. Fernando enters the game for E. Freedom"
"424","2:23.0","D. Robinson misses 3-pt jump shot from 27 ft","","86-115","",""
"425","2:19.0","","","86-115","","Defensive rebound by P. Pritchard"
"426","2:04.0","","","86-117","+2","A. Nesmith makes 2-pt jump shot from 18 ft (assist by B. Fernando)"
"427","1:49.0","Turnover by U. Haslem (out of bounds lost ball)","","86-117","",""
"428","1:34.0","","","86-117","","A. Nesmith misses 3-pt jump shot from 23 ft"
"429","1:31.0","Defensive rebound by U. Haslem","","86-117","",""
"430","1:25.0","Shooting foul by S. Hauser (drawn by K. Guy)","","86-117","",""
"431","1:25.0","K. Guy misses free throw 1 of 2","","86-117","",""
"432","1:25.0","Offensive rebound by Team","","86-117","",""
"433","1:25.0","K. Guy makes free throw 2 of 2","+1","87-117","",""
"434","1:15.0","","","87-117","","R. Langford misses 2-pt jump shot from 3 ft"
"435","1:13.0","Defensive rebound by D. Robinson","","87-117","",""
"436","1:04.0","Turnover by K. Guy (bad pass; steal by A. Nesmith)","","87-117","",""
"437","0:58.0","","","87-117","","R. Langford misses 3-pt jump shot from 26 ft"
"438","0:56.0","","","87-117","","Offensive rebound by B. Fernando"
"439","0:55.0","","","87-117","","B. Fernando misses 2-pt layup from 2 ft (block by C. Silva)"
"440","0:53.0","Defensive rebound by Team","","87-117","",""
"441","0:53.0","Jump ball: C. Silva vs. B. Fernando (D. Robinson gains possession)","Jump ball: C. Silva vs. B. Fernando (D. Robinson gains possession)","Jump ball: C. Silva vs. B. Fernando (D. Robinson gains possession)","Jump ball: C. Silva vs. B. Fernando (D. Robinson gains possession)","Jump ball: C. Silva vs. B. Fernando (D. Robinson gains possession)"
"442","0:43.0","M. Strus makes 3-pt jump shot from 25 ft (assist by C. Silva)","+3","90-117","",""
"443","0:35.0","","","90-120","+3","B. Fernando makes 3-pt jump shot from 26 ft (assist by P. Pritchard)"
"444","0:28.0","Turnover by K. Guy (bad pass; steal by A. Nesmith)","","90-120","",""
"445","0:26.0","","","90-120","","Shooting foul by M. Strus (drawn by A. Nesmith)"
"446","0:26.0","","","90-121","+1","A. Nesmith makes free throw 1 of 2"
"447","0:26.0","","","90-122","+1","A. Nesmith makes free throw 2 of 2"
"448","0:15.0","U. Haslem makes 2-pt layup from 2 ft (assist by C. Silva)","+2","92-122","",""
"449","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
