"","Time","Milwaukee","","Score","","Boston"
"2","12:00.0","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)"
"3","11:49.0","J. Holiday misses 2-pt jump shot from 16 ft","","0-0","",""
"4","11:47.0","","","0-0","","Defensive rebound by Team"
"5","11:39.0","","","0-3","+3","G. Williams makes 3-pt jump shot from 25 ft (assist by M. Smart)"
"6","11:17.0","G. Antetokounmpo misses 2-pt jump shot from 20 ft","","0-3","",""
"7","11:14.0","","","0-3","","Defensive rebound by A. Horford"
"8","11:07.0","","","0-3","","J. Tatum misses 2-pt jump shot from 17 ft"
"9","11:04.0","Defensive rebound by G. Antetokounmpo","","0-3","",""
"10","10:56.0","W. Matthews makes 2-pt layup from 2 ft (assist by G. Antetokounmpo)","+2","2-3","",""
"11","10:37.0","","","2-3","","Offensive foul by G. Williams (drawn by B. Lopez)"
"12","10:37.0","","","2-3","","Turnover by G. Williams (offensive foul)"
"13","10:23.0","J. Holiday makes 2-pt layup from 3 ft (assist by G. Antetokounmpo)","+2","4-3","",""
"14","10:08.0","","","4-3","","G. Williams misses 3-pt jump shot from 23 ft"
"15","10:06.0","Defensive rebound by G. Antetokounmpo","","4-3","",""
"16","9:56.0","G. Antetokounmpo makes 2-pt layup from 6 ft","+2","6-3","",""
"17","9:34.0","","","6-3","","M. Smart misses 3-pt jump shot from 27 ft"
"18","9:31.0","Defensive rebound by B. Lopez","","6-3","",""
"19","9:25.0","B. Lopez misses 3-pt jump shot from 23 ft","","6-3","",""
"20","9:22.0","","","6-3","","Defensive rebound by J. Brown"
"21","9:15.0","","","6-3","","J. Brown misses 2-pt layup from 5 ft"
"22","9:14.0","Defensive rebound by G. Antetokounmpo","","6-3","",""
"23","9:10.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","6-3","",""
"24","9:10.0","G. Antetokounmpo misses free throw 1 of 2","","6-3","",""
"25","9:10.0","Offensive rebound by Team","","6-3","",""
"26","9:10.0","G. Antetokounmpo makes free throw 2 of 2","+1","7-3","",""
"27","8:55.0","","","7-3","","G. Williams misses 3-pt jump shot from 24 ft"
"28","8:53.0","","","7-3","","Offensive rebound by J. Brown"
"29","8:41.0","","","7-3","","A. Horford misses 2-pt layup from 5 ft (block by B. Lopez)"
"30","8:40.0","","","7-3","","Offensive rebound by Team"
"31","8:40.0","","","7-3","","Turnover by Team (shot clock)"
"32","8:29.0","G. Antetokounmpo makes 3-pt jump shot from 29 ft (assist by J. Holiday)","+3","10-3","",""
"33","8:10.0","","","10-3","","J. Brown misses 2-pt jump shot from 19 ft"
"34","8:08.0","Defensive rebound by G. Antetokounmpo","","10-3","",""
"35","7:46.0","G. Allen misses 3-pt jump shot from 26 ft","","10-3","",""
"36","7:44.0","","","10-3","","Defensive rebound by M. Smart"
"37","7:37.0","","","10-6","+3","J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart)"
"38","7:21.0","B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo)","+3","13-6","",""
"39","7:19.0","","","13-6","","Boston full timeout"
"40","7:19.0","P. Connaughton enters the game for G. Allen","","13-6","",""
"41","7:19.0","","","13-6","","D. White enters the game for G. Williams"
"42","7:03.0","","","13-9","+3","J. Brown makes 3-pt jump shot from 25 ft (assist by J. Tatum)"
"43","6:53.0","P. Connaughton misses 3-pt jump shot from 26 ft","","13-9","",""
"44","6:51.0","","","13-9","","Defensive rebound by J. Tatum"
"45","6:44.0","","","13-11","+2","J. Brown makes 2-pt layup from 2 ft (assist by M. Smart)"
"46","6:29.0","Turnover by W. Matthews (lost ball; steal by J. Brown)","","13-11","",""
"47","6:20.0","","","13-11","","D. White misses 3-pt jump shot from 26 ft"
"48","6:17.0","Defensive rebound by B. Lopez","","13-11","",""
"49","6:03.0","B. Lopez makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo)","+2","15-11","",""
"50","5:47.0","","","15-11","","D. White misses 3-pt jump shot from 26 ft"
"51","5:44.0","Defensive rebound by P. Connaughton","","15-11","",""
"52","5:39.0","B. Lopez misses 3-pt jump shot from 30 ft","","15-11","",""
"53","5:36.0","","","15-11","","Defensive rebound by J. Tatum"
"54","5:20.0","","","15-11","","Turnover by J. Brown (bad pass; steal by J. Holiday)"
"55","5:16.0","J. Holiday makes 2-pt layup from 2 ft (assist by G. Antetokounmpo)","+2","17-11","",""
"56","4:57.0","","","17-14","+3","J. Tatum makes 3-pt jump shot from 26 ft"
"57","4:49.0","Milwaukee full timeout","","17-14","",""
"58","4:49.0","G. Allen enters the game for B. Lopez","","17-14","",""
"59","4:49.0","B. Portis enters the game for W. Matthews","","17-14","",""
"60","4:39.0","J. Holiday misses 3-pt jump shot from 27 ft","","17-14","",""
"61","4:36.0","","","17-14","","Defensive rebound by A. Horford"
"62","4:14.0","","","17-14","","A. Horford misses 2-pt hook shot from 5 ft"
"63","4:11.0","Defensive rebound by G. Antetokounmpo","","17-14","",""
