Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
5:23.0,J.Tatum,3,35-36,2.0,free,throw,2,makes,Boston,2022-06-05 05:23:00
3:54.0,J.Tatum,3,39-40,2.0,2-pt,jump,8,misses,Boston,2022-06-05 03:54:00
2:16.0,J.Tatum,3,41-44,2.0,3-pt,jump,27,misses,Boston,2022-06-05 02:16:00
11:24.0,J.Tatum,3,50-48,3.0,2-pt,jump,15,misses,Boston,2022-06-05 11:24:00
9:02.0,J.Tatum,3,54-54,3.0,2-pt,hook,6,misses,Boston,2022-06-05 09:02:00
7:52.0,J.Tatum,3,54-58,3.0,3-pt,jump,27,misses,Boston,2022-06-05 07:52:00
4:39.0,J.Tatum,3,61-68,3.0,3-pt,jump,27,misses,Boston,2022-06-05 04:39:00
3:45.0,J.Tatum,3,63-73,3.0,2-pt,jump,16,misses,Boston,2022-06-05 03:45:00
1:48.0,J.Tatum,3,64-75,3.0,3-pt,jump,27,misses,Boston,2022-06-05 01:48:00
1:13.0,J.Tatum,3,66-77,3.0,2-pt,layup,11,makes,Boston,2022-06-05 01:13:00
0:49.0,J.Tatum,3,66-77,3.0,2-pt,layup,ft,misses,Boston,2022-06-05 00:49:00
7:58.0,J.Tatum,3,83-90,4.0,2-pt,layup,4,makes,Boston,2022-06-05 07:58:00
3:03.0,J.Tatum,3,96-97,4.0,2-pt,jump,13,misses,Boston,2022-06-05 03:03:00
11:03.0,J.Tatum,4,0-2,1.0,3-pt,jump,26,misses,Boston,2022-06-05 11:03:00
7:48.0,J.Tatum,4,4-8,1.0,2-pt,dunk,2,makes,Boston,2022-06-05 07:48:00
3:02.0,J.Tatum,4,13-21,1.0,2-pt,jump,14,makes,Boston,2022-06-05 03:02:00
7:58.0,J.Tatum,4,31-31,2.0,3-pt,jump,25,makes,Boston,2022-06-05 07:58:00
7:05.0,J.Tatum,4,31-33,2.0,3-pt,jump,27,misses,Boston,2022-06-05 07:05:00
3:58.0,J.Tatum,4,38-38,2.0,3-pt,jump,25,misses,Boston,2022-06-05 03:58:00
3:00.0,J.Tatum,4,42-40,2.0,free,throw,2,makes,Boston,2022-06-05 03:00:00
3:00.0,J.Tatum,4,43-40,2.0,free,throw,2,makes,Boston,2022-06-05 03:00:00
2:20.0,J.Tatum,4,43-40,2.0,3-pt,jump,27,misses,Boston,2022-06-05 02:20:00
2:00.0,J.Tatum,4,43-40,2.0,3-pt,jump,27,misses,Boston,2022-06-05 02:00:00
11:28.0,J.Tatum,4,48-50,3.0,free,throw,2,misses,Boston,2022-06-05 11:28:00
11:28.0,J.Tatum,4,48-50,3.0,free,throw,2,makes,Boston,2022-06-05 11:28:00
10:56.0,J.Tatum,4,49-54,3.0,technical,free,,makes,Boston,2022-06-05 10:56:00
9:22.0,J.Tatum,4,53-57,3.0,2-pt,layup,1,makes,Boston,2022-06-05 09:22:00
7:41.0,J.Tatum,4,56-63,3.0,2-pt,layup,,misses,Boston,2022-06-05 07:41:00
7:39.0,J.Tatum,4,58-63,3.0,2-pt,layup,3,makes,Boston,2022-06-05 07:39:00
7:07.0,J.Tatum,4,61-63,3.0,3-pt,jump,27,makes,Boston,2022-06-05 07:07:00
6:32.0,J.Tatum,4,61-63,3.0,2-pt,layup,ft,misses,Boston,2022-06-05 06:32:00
6:17.0,J.Tatum,4,61-65,3.0,2-pt,jump,15,misses,Boston,2022-06-05 06:17:00
5:21.0,J.Tatum,4,63-67,3.0,2-pt,layup,ft,misses,Boston,2022-06-05 05:21:00
4:06.0,J.Tatum,4,65-71,3.0,2-pt,jump,6,misses,Boston,2022-06-05 04:06:00
1:16.0,J.Tatum,4,70-80,3.0,3-pt,jump,26,misses,Boston,2022-06-05 01:16:00
0:32.0,J.Tatum,4,73-80,3.0,3-pt,jump,28,misses,Boston,2022-06-05 00:32:00
6:09.0,J.Tatum,4,92-92,4.0,2-pt,layup,2,makes,Boston,2022-06-05 06:09:00
4:29.0,J.Tatum,4,100-96,4.0,2-pt,layup,1,makes,Boston,2022-06-05 04:29:00
4:06.0,J.Tatum,4,102-96,4.0,2-pt,jump,6,makes,Boston,2022-06-05 04:06:00
4:06.0,J.Tatum,4,103-96,4.0,free,throw,1,makes,Boston,2022-06-05 04:06:00
3:33.0,J.Tatum,4,106-96,4.0,3-pt,jump,27,makes,Boston,2022-06-05 03:33:00
2:50.0,J.Tatum,4,108-99,4.0,2-pt,layup,5,makes,Boston,2022-06-05 02:50:00
2:18.0,J.Tatum,4,108-102,4.0,2-pt,jump,13,misses,Boston,2022-06-05 02:18:00
10:54.0,J.Tatum,5,6-2,1.0,3-pt,jump,25,misses,Boston,2022-06-05 10:54:00
9:57.0,J.Tatum,5,9-5,1.0,3-pt,jump,26,makes,Boston,2022-06-05 09:57:00
8:18.0,J.Tatum,5,11-8,1.0,3-pt,jump,26,misses,Boston,2022-06-05 08:18:00
7:57.0,J.Tatum,5,11-8,1.0,3-pt,jump,25,misses,Boston,2022-06-05 07:57:00
5:41.0,J.Tatum,5,13-14,1.0,2-pt,jump,19,makes,Boston,2022-06-05 05:41:00
0:23.0,J.Tatum,5,28-26,1.0,2-pt,jump,18,misses,Boston,2022-06-05 00:23:00
11:42.0,J.Tatum,5,28-26,2.0,2-pt,jump,7,misses,Boston,2022-06-05 11:42:00
11:11.0,J.Tatum,5,30-27,2.0,free,throw,2,makes,Boston,2022-06-05 11:11:00
11:11.0,J.Tatum,5,30-28,2.0,free,throw,2,makes,Boston,2022-06-05 11:11:00
10:51.0,J.Tatum,5,30-30,2.0,2-pt,layup,2,makes,Boston,2022-06-05 10:51:00
10:24.0,J.Tatum,5,32-33,2.0,3-pt,jump,25,makes,Boston,2022-06-05 10:24:00
10:03.0,J.Tatum,5,32-33,2.0,2-pt,jump,21,misses,Boston,2022-06-05 10:03:00
9:33.0,J.Tatum,5,32-33,2.0,3-pt,jump,25,misses,Boston,2022-06-05 09:33:00
6:08.0,J.Tatum,5,38-41,2.0,free,throw,2,makes,Boston,2022-06-05 06:08:00
6:08.0,J.Tatum,5,38-42,2.0,free,throw,2,makes,Boston,2022-06-05 06:08:00
5:49.0,J.Tatum,5,38-42,2.0,3-pt,jump,26,misses,Boston,2022-06-05 05:49:00
3:47.0,J.Tatum,5,38-51,2.0,2-pt,dunk,2,makes,Boston,2022-06-05 03:47:00
2:41.0,J.Tatum,5,40-51,2.0,3-pt,jump,26,misses,Boston,2022-06-05 02:41:00
