Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
2:29.0,G.Antetokounmpo,2,81-69,3.0,free,throw,2,makes,Milwaukee,2022-09-17 02:29:00
2:21.0,G.Antetokounmpo,2,81-71,3.0,2-pt,dunk,,makes,Milwaukee,2022-09-17 02:21:00
1:59.0,G.Antetokounmpo,2,81-72,3.0,free,throw,2,makes,Milwaukee,2022-09-17 01:59:00
1:59.0,G.Antetokounmpo,2,81-73,3.0,free,throw,2,makes,Milwaukee,2022-09-17 01:59:00
1:11.0,G.Antetokounmpo,2,81-77,3.0,free,throw,2,misses,Milwaukee,2022-09-17 01:11:00
1:11.0,G.Antetokounmpo,2,81-78,3.0,free,throw,2,makes,Milwaukee,2022-09-17 01:11:00
0:42.0,G.Antetokounmpo,2,83-80,3.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 00:42:00
0:00.0,G.Antetokounmpo,2,87-80,3.0,3-pt,jump,32,misses,Milwaukee,2022-09-17 00:00:00
11:58.0,G.Antetokounmpo,2,87-80,4.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 11:58:00
7:00.0,G.Antetokounmpo,2,102-89,4.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 07:00:00
6:01.0,G.Antetokounmpo,2,102-94,4.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 06:01:00
4:44.0,G.Antetokounmpo,2,105-96,4.0,2-pt,layup,2,makes,Milwaukee,2022-09-17 04:44:00
4:20.0,G.Antetokounmpo,2,105-97,4.0,free,throw,2,misses,Milwaukee,2022-09-17 04:20:00
4:20.0,G.Antetokounmpo,2,105-97,4.0,free,throw,2,makes,Milwaukee,2022-09-17 04:20:00
2:16.0,G.Antetokounmpo,2,110-104,4.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 02:16:00
8:32.0,G.Antetokounmpo,3,12-6,1.0,free,throw,1,misses,Milwaukee,2022-09-17 08:32:00
8:32.0,G.Antetokounmpo,3,12-6,1.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 08:32:00
1:57.0,G.Antetokounmpo,3,28-15,1.0,3-pt,jump,25,misses,Milwaukee,2022-09-17 01:57:00
0:28.0,G.Antetokounmpo,3,33-17,1.0,2-pt,jump,19,misses,Milwaukee,2022-09-17 00:28:00
10:08.0,G.Antetokounmpo,3,35-22,2.0,2-pt,jump,19,makes,Milwaukee,2022-09-17 10:08:00
9:42.0,G.Antetokounmpo,3,37-22,2.0,2-pt,dunk,,makes,Milwaukee,2022-09-17 09:42:00
8:39.0,G.Antetokounmpo,3,41-22,2.0,free,throw,2,makes,Milwaukee,2022-09-17 08:39:00
8:39.0,G.Antetokounmpo,3,42-22,2.0,free,throw,2,makes,Milwaukee,2022-09-17 08:39:00
2:27.0,G.Antetokounmpo,3,55-35,2.0,2-pt,dunk,(assist,makes,Milwaukee,2022-09-17 02:27:00
11:31.0,G.Antetokounmpo,3,60-41,3.0,2-pt,jump,13,misses,Milwaukee,2022-09-17 11:31:00
10:58.0,G.Antetokounmpo,3,62-44,3.0,2-pt,jump,19,makes,Milwaukee,2022-09-17 10:58:00
10:39.0,G.Antetokounmpo,3,64-44,3.0,2-pt,dunk,1,makes,Milwaukee,2022-09-17 10:39:00
10:13.0,G.Antetokounmpo,3,65-44,3.0,free,throw,2,makes,Milwaukee,2022-09-17 10:13:00
10:13.0,G.Antetokounmpo,3,66-44,3.0,free,throw,2,makes,Milwaukee,2022-09-17 10:13:00
8:36.0,G.Antetokounmpo,3,68-44,3.0,3-pt,jump,26,misses,Milwaukee,2022-09-17 08:36:00
8:02.0,G.Antetokounmpo,3,70-44,3.0,2-pt,dunk,1,makes,Milwaukee,2022-09-17 08:02:00
0:30.0,G.Antetokounmpo,3,87-57,3.0,3-pt,jump,28,misses,Milwaukee,2022-09-17 00:30:00
10:33.0,G.Antetokounmpo,4,2-2,1.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 10:33:00
