"","Time","Chicago","","Score","","Milwaukee"
"342","11:04.0","","","92-80","","P. Connaughton misses 3-pt jump shot from 24 ft"
"343","11:01.0","Defensive rebound by N. Vucevic","","92-80","",""
"344","10:53.0","D. DeRozan makes 2-pt jump shot from 20 ft","+2","94-80","",""
"345","10:41.0","","","94-80","","J. Holiday misses 2-pt layup from 8 ft"
"346","10:39.0","Defensive rebound by D. DeRozan","","94-80","",""
"347","10:36.0","Turnover by Z. LaVine (bad pass; steal by P. Connaughton)","","94-80","",""
"348","10:34.0","","","94-80","","Turnover by P. Connaughton (bad pass)"
"349","10:21.0","N. Vucevic misses 3-pt jump shot from 28 ft","","94-80","",""
"350","10:18.0","","","94-80","","Defensive rebound by G. Antetokounmpo"
"351","10:10.0","","","94-80","","P. Connaughton misses 3-pt jump shot from 31 ft"
"352","10:07.0","Defensive rebound by A. Caruso","","94-80","",""
"353","9:47.0","N. Vucevic makes 2-pt jump shot from 10 ft","+2","96-80","",""
"354","9:40.0","","","96-80","","Milwaukee full timeout"
"355","9:40.0","","","96-80","","B. Lopez enters the game for G. Antetokounmpo"
"356","9:40.0","","","96-80","","K. Middleton enters the game for P. Connaughton"
"357","9:30.0","","","96-82","+2","B. Lopez makes 2-pt dunk from 1 ft (assist by K. Middleton)"
"358","9:09.0","N. Vucevic misses 2-pt jump shot from 16 ft","","96-82","",""
"359","9:06.0","","","96-82","","Defensive rebound by K. Middleton"
"360","8:55.0","","","96-84","+2","W. Matthews makes 2-pt layup from 1 ft (assist by K. Middleton)"
"361","8:35.0","D. DeRozan makes 2-pt jump shot from 16 ft","+2","98-84","",""
"362","8:23.0","","","98-84","","K. Middleton misses 3-pt jump shot from 27 ft"
"363","8:20.0","Defensive rebound by J. Green","","98-84","",""
"364","8:13.0","Offensive foul by N. Vucevic (drawn by W. Matthews)","","98-84","",""
"365","8:13.0","Turnover by N. Vucevic (offensive foul)","","98-84","",""
"366","8:13.0","P. Williams enters the game for J. Green","","98-84","",""
"367","8:02.0","","","98-86","+2","K. Middleton makes 2-pt layup from 2 ft"
"368","7:38.0","A. Caruso makes 3-pt jump shot from 23 ft (assist by P. Williams)","+3","101-86","",""
"369","7:30.0","","","101-88","+2","B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton)"
"370","7:30.0","J. Green enters the game for A. Caruso","","101-88","",""
"371","7:30.0","","","101-88","","Shooting foul by N. Vucevic (drawn by B. Lopez)"
"372","7:30.0","","","101-89","+1","B. Lopez makes free throw 1 of 1"
"373","7:15.0","Shooting foul by G. Allen (drawn by Z. LaVine)","","101-89","",""
"374","7:15.0","Z. LaVine makes free throw 1 of 2","+1","102-89","",""
"375","7:15.0","T. Thompson enters the game for N. Vucevic","","102-89","",""
"376","7:15.0","","","102-89","","G. Antetokounmpo enters the game for G. Allen"
"377","7:15.0","Z. LaVine misses free throw 2 of 2","","102-89","",""
"378","7:12.0","","","102-89","","Defensive rebound by W. Matthews"
"379","7:00.0","","","102-89","","G. Antetokounmpo misses 2-pt layup from 3 ft"
"380","6:57.0","Defensive rebound by D. DeRozan","","102-89","",""
"381","6:51.0","D. DeRozan misses 2-pt jump shot from 13 ft","","102-89","",""
"382","6:49.0","Offensive rebound by Team","","102-89","",""
"383","6:49.0","","","102-89","","Loose ball foul by B. Lopez (drawn by T. Thompson)"
"384","6:49.0","","","102-89","","P. Connaughton enters the game for K. Middleton"
"385","6:38.0","D. DeRozan misses 2-pt jump shot from 15 ft","","102-89","",""
"386","6:36.0","Offensive rebound by J. Green","","102-89","",""
"387","6:35.0","J. Green misses 2-pt layup at rim","","102-89","",""
"388","6:34.0","","","102-89","","Defensive rebound by G. Antetokounmpo"
"389","6:26.0","","","102-92","+3","J. Holiday makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)"
"390","6:26.0","Chicago full timeout","","102-92","",""
"391","6:07.0","P. Williams misses 2-pt jump shot from 10 ft","","102-92","",""
"392","6:05.0","","","102-92","","Defensive rebound by G. Antetokounmpo"
"393","6:01.0","","","102-94","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"394","5:50.0","Personal foul by W. Matthews (drawn by D. DeRozan)","","102-94","",""
"395","5:50.0","A. Caruso enters the game for J. Green","","102-94","",""
"396","5:50.0","N. Vucevic enters the game for T. Thompson","","102-94","",""
"397","5:39.0","D. DeRozan misses 2-pt jump shot from 15 ft (block by J. Holiday)","","102-94","",""
"398","5:38.0","","","102-94","","Defensive rebound by Team"
"399","5:38.0","","","102-94","","Milwaukee full timeout"
"400","5:38.0","","","102-94","","Instant Replay (Challenge: Ruling Stands)"
"401","5:38.0","Jump ball: B. Lopez vs. N. Vucevic (P. Connaughton gains possession)","Jump ball: B. Lopez vs. N. Vucevic (P. Connaughton gains possession)","Jump ball: B. Lopez vs. N. Vucevic (P. Connaughton gains possession)","Jump ball: B. Lopez vs. N. Vucevic (P. Connaughton gains possession)","Jump ball: B. Lopez vs. N. Vucevic (P. Connaughton gains possession)"
"402","5:17.0","","","102-94","","B. Lopez misses 2-pt layup from 6 ft (block by A. Caruso)"
"403","5:14.0","Defensive rebound by N. Vucevic","","102-94","",""
"404","4:56.0","Z. LaVine makes 3-pt jump shot from 23 ft (assist by A. Caruso)","+3","105-94","",""
"405","4:44.0","","","105-96","+2","G. Antetokounmpo makes 2-pt layup from 2 ft"
"406","4:27.0","D. DeRozan misses 2-pt layup from 12 ft (block by W. Matthews)","","105-96","",""
"407","4:26.0","","","105-96","","Defensive rebound by G. Antetokounmpo"
"408","4:20.0","","","105-96","","Shooting foul by P. Williams (drawn by G. Antetokounmpo)"
"409","4:20.0","","","105-97","+1","G. Antetokounmpo makes free throw 1 of 2"
"410","4:20.0","Chicago full timeout","","105-97","",""
"411","4:20.0","","","105-97","","G. Antetokounmpo misses free throw 2 of 2"
"412","4:18.0","","","105-97","","Offensive rebound by Team"
"413","4:18.0","Jump ball: G. Antetokounmpo vs. A. Caruso (W. Matthews gains possession)","Jump ball: G. Antetokounmpo vs. A. Caruso (W. Matthews gains possession)","Jump ball: G. Antetokounmpo vs. A. Caruso (W. Matthews gains possession)","Jump ball: G. Antetokounmpo vs. A. Caruso (W. Matthews gains possession)","Jump ball: G. Antetokounmpo vs. A. Caruso (W. Matthews gains possession)"
"414","4:14.0","","","105-97","","Turnover by J. Holiday (bad pass)"
"415","4:04.0","P. Williams makes 2-pt dunk from 2 ft (assist by A. Caruso)","+2","107-97","",""
"416","3:48.0","","","107-99","+2","B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo)"
"417","3:29.0","Turnover by D. DeRozan (bad pass)","","107-99","",""
"418","3:29.0","","","107-99","","Milwaukee full timeout"
"419","3:14.0","","","107-102","+3","J. Holiday makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo)"
"420","2:58.0","A. Caruso misses 3-pt jump shot from 23 ft","","107-102","",""
"421","2:54.0","","","107-102","","Defensive rebound by J. Holiday"
"422","2:46.0","","","107-102","","J. Holiday misses 2-pt layup from 2 ft"
"423","2:44.0","Defensive rebound by N. Vucevic","","107-102","",""
"424","2:30.0","N. Vucevic makes 3-pt jump shot from 27 ft (assist by D. DeRozan)","+3","110-102","",""
"425","2:16.0","","","110-104","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"426","1:58.0","D. DeRozan misses 2-pt jump shot from 16 ft (block by W. Matthews)","","110-104","",""
"427","1:58.0","Offensive rebound by Team","","110-104","",""
"428","1:53.0","N. Vucevic misses 2-pt jump shot from 15 ft","","110-104","",""
"429","1:49.0","","","110-104","","Defensive rebound by P. Connaughton"
"430","1:44.0","","","110-104","","J. Holiday misses 3-pt jump shot from 26 ft"
"431","1:41.0","Defensive rebound by D. DeRozan","","110-104","",""
"432","1:33.0","Shooting foul by W. Matthews (drawn by D. DeRozan)","","110-104","",""
"433","1:33.0","D. DeRozan makes free throw 1 of 2","+1","111-104","",""
"434","1:33.0","","","111-104","","G. Allen enters the game for W. Matthews"
"435","1:33.0","D. DeRozan makes free throw 2 of 2","+1","112-104","",""
"436","1:26.0","","","112-106","+2","B. Lopez makes 2-pt dunk from 2 ft (assist by J. Holiday)"
"437","1:13.0","A. Caruso misses 3-pt jump shot from 23 ft","","112-106","",""
"438","1:09.0","","","112-106","","Defensive rebound by P. Connaughton"
"439","0:56.0","","","112-108","+2","B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo)"
"440","0:56.0","","","112-108","","Shooting foul by P. Williams (drawn by B. Lopez)"
"441","0:56.0","","","112-108","","W. Matthews enters the game for G. Allen"
"442","0:56.0","","","112-109","+1","B. Lopez makes free throw 1 of 1"
"443","0:37.0","D. DeRozan misses 2-pt jump shot from 17 ft","","112-109","",""
"444","0:35.0","Offensive rebound by A. Caruso","","112-109","",""
"445","0:24.0","P. Williams misses 3-pt jump shot from 24 ft","","112-109","",""
"446","0:22.0","Offensive rebound by N. Vucevic","","112-109","",""
"447","0:18.0","D. DeRozan makes 2-pt layup from 2 ft","+2","114-109","",""
"448","0:18.0","","","114-109","","Milwaukee full timeout"
"449","0:18.0","","","114-109","","G. Allen enters the game for W. Matthews"
"450","0:12.0","","","114-109","","P. Connaughton misses 3-pt jump shot from 27 ft"
"451","0:10.0","","","114-109","","Offensive rebound by P. Connaughton"
"452","0:06.0","","","114-109","","J. Holiday misses 3-pt jump shot from 26 ft"
"453","0:04.0","","","114-109","","Offensive rebound by G. Antetokounmpo"
"454","0:04.0","","","114-109","","Offensive foul by G. Antetokounmpo (drawn by A. Caruso)"
"455","0:04.0","","","114-109","","Turnover by G. Antetokounmpo (offensive foul)"
"456","0:04.0","Chicago full timeout","","114-109","",""
"457","0:04.0","","","114-109","","J. Carter enters the game for G. Allen"
"458","0:04.0","","","114-109","","W. Matthews enters the game for B. Lopez"
"459","0:03.0","Turnover by A. Caruso (bad pass)","","114-109","",""
"460","0:03.0","","","114-109","","Milwaukee full timeout"
"461","0:03.0","","","114-109","","G. Allen enters the game for J. Carter"
"462","0:02.0","","","114-109","","P. Connaughton misses 3-pt jump shot from 23 ft"
"463","0:00.0","","","114-109","","Offensive rebound by G. Allen"
"464","0:00.0","","","114-109","","Shooting foul by D. DeRozan (drawn by G. Allen)"
"465","0:00.0","","","114-109","","Instant Replay (Request: Ruling Stands)"
"466","0:00.0","","","114-109","","G. Allen misses free throw 1 of 2"
"467","0:00.0","","","114-109","","Offensive rebound by Team"
"468","0:00.0","","","114-109","","B. Lopez enters the game for W. Matthews"
"469","0:00.0","","","114-110","+1","G. Allen makes free throw 2 of 2"
"470","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
