"","Time","Chicago","","Score","","Milwaukee"
"75","1:45.0","","","26-24","","Offensive rebound by B. Portis"
"76","1:45.0","","","26-24","","Shooting foul by D. DeRozan (drawn by B. Portis)"
"77","1:45.0","","","26-25","+1","B. Portis makes free throw 1 of 2"
"78","1:45.0","","","26-26","+1","B. Portis makes free throw 2 of 2"
"79","1:30.0","D. Jones makes 3-pt jump shot from 26 ft (assist by C. White)","+3","29-26","",""
"80","1:19.0","","","29-28","+2","J. Holiday makes 2-pt layup from 1 ft"
"81","0:58.0","C. White misses 2-pt jump shot from 11 ft","","29-28","",""
"82","0:56.0","","","29-28","","Defensive rebound by B. Lopez"
"83","0:50.0","","","29-28","","B. Portis misses 2-pt layup from 6 ft"
"84","0:48.0","Defensive rebound by T. Thompson","","29-28","",""
"85","0:31.0","Turnover by D. DeRozan (bad pass; steal by K. Middleton)","","29-28","",""
"86","0:12.0","","","29-28","","K. Middleton misses 3-pt jump shot from 22 ft"
"87","0:09.0","Defensive rebound by T. Thompson","","29-28","",""
"88","0:05.0","Personal foul by J. Holiday (drawn by D. DeRozan)","","29-28","",""
"89","0:05.0","Z. LaVine enters the game for A. Dosunmu","","29-28","",""
"90","0:05.0","N. Vucevic enters the game for T. Thompson","","29-28","",""
"91","0:05.0","","","29-28","","G. Antetokounmpo enters the game for J. Holiday"
"92","0:05.0","","","29-28","","W. Matthews enters the game for B. Portis"
"93","0:00.0","N. Vucevic misses 2-pt layup from 6 ft (block by B. Lopez)","","29-28","",""
"94","0:00.0","Offensive rebound by Team","","29-28","",""
"95","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"96","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"97","Time","Chicago","","Score","","Milwaukee"
"98","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"99","11:44.0","Z. LaVine makes 2-pt layup from 2 ft","+2","31-28","",""
"100","11:30.0","","","31-28","","G. Allen misses 2-pt layup from 4 ft"
"101","11:28.0","Defensive rebound by D. Jones","","31-28","",""
"102","11:18.0","Z. LaVine misses 2-pt layup from 8 ft","","31-28","",""
"103","11:15.0","","","31-28","","Defensive rebound by J. Carter"
"104","11:08.0","","","31-28","","J. Carter misses 3-pt jump shot from 27 ft"
"105","11:08.0","Defensive rebound by Team","","31-28","",""
"106","11:08.0","","","31-28","","Loose ball foul by G. Allen (drawn by J. Green)"
"107","10:55.0","C. White misses 2-pt jump shot from 17 ft","","31-28","",""
"108","10:52.0","","","31-28","","Defensive rebound by J. Carter"
"109","10:49.0","","","31-28","","Personal foul by A. Dosunmu (drawn by G. Antetokounmpo)"
"110","10:39.0","","","31-28","","G. Antetokounmpo misses 2-pt jump shot from 8 ft"
"111","10:36.0","Defensive rebound by J. Green","","31-28","",""
"112","10:36.0","Turnover by Z. LaVine (bad pass)","","31-28","",""
"113","10:24.0","","","31-30","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"114","10:11.0","Shooting foul by G. Antetokounmpo (drawn by C. White)","","31-30","",""
"115","10:11.0","C. White makes free throw 1 of 2","+1","32-30","",""
"116","10:11.0","C. White makes free throw 2 of 2","+1","33-30","",""
"117","10:02.0","","","33-30","","Shooting foul by D. Jones (drawn by G. Antetokounmpo)"
"118","10:02.0","","","33-30","","G. Antetokounmpo misses free throw 1 of 2"
"119","10:02.0","","","33-30","","Offensive rebound by Team"
"120","10:02.0","","","33-30","","G. Antetokounmpo misses free throw 2 of 2"
"121","9:58.0","Defensive rebound by A. Dosunmu","","33-30","",""
"122","9:42.0","A. Dosunmu misses 2-pt jump shot from 12 ft","","33-30","",""
"123","9:40.0","","","33-30","","Defensive rebound by K. Middleton"
"124","9:34.0","","","33-30","","Shooting foul by D. Jones (drawn by G. Antetokounmpo)"
"125","9:34.0","","","33-31","+1","G. Antetokounmpo makes free throw 1 of 2"
"126","9:34.0","A. Caruso enters the game for A. Dosunmu","","33-31","",""
"127","9:34.0","N. Vucevic enters the game for D. Jones","","33-31","",""
"128","9:34.0","","","33-31","","B. Lopez enters the game for G. Allen"
"129","9:34.0","","","33-31","","G. Antetokounmpo misses free throw 2 of 2"
"130","9:30.0","Defensive rebound by N. Vucevic","","33-31","",""
"131","9:20.0","N. Vucevic makes 2-pt jump shot from 13 ft (assist by C. White)","+2","35-31","",""
"132","9:08.0","","","35-34","+3","B. Lopez makes 3-pt jump shot from 28 ft (assist by K. Middleton)"
"133","8:52.0","Turnover by Z. LaVine (lost ball; steal by K. Middleton)","","35-34","",""
"134","8:42.0","","","35-34","","G. Antetokounmpo misses 2-pt layup from 2 ft"
"135","8:40.0","Defensive rebound by N. Vucevic","","35-34","",""
"136","8:36.0","J. Green makes 2-pt layup from 3 ft (assist by A. Caruso)","+2","37-34","",""
"137","8:22.0","","","37-34","","Turnover by K. Middleton (bad pass)"
"138","8:22.0","D. DeRozan enters the game for C. White","","37-34","",""
"139","8:00.0","D. DeRozan misses 3-pt jump shot from 28 ft","","37-34","",""
"140","7:58.0","Offensive rebound by N. Vucevic","","37-34","",""
"141","7:52.0","Z. LaVine makes 2-pt jump shot from 2 ft","+2","39-34","",""
"142","7:40.0","","","39-36","+2","G. Antetokounmpo makes 2-pt layup at rim"
"143","7:23.0","Z. LaVine makes 2-pt jump shot from 20 ft (assist by N. Vucevic)","+2","41-36","",""
"144","7:08.0","","","41-39","+3","B. Lopez makes 3-pt jump shot from 27 ft (assist by K. Middleton)"
"145","6:48.0","","","41-39","","Milwaukee full timeout"
"146","6:48.0","","","41-39","","J. Holiday enters the game for J. Carter"
"147","6:48.0","","","41-39","","W. Matthews enters the game for K. Middleton"
"148","6:41.0","N. Vucevic makes 3-pt jump shot from 27 ft (assist by Z. LaVine)","+3","44-39","",""
"149","6:25.0","","","44-39","","P. Connaughton misses 3-pt jump shot from 26 ft"
"150","6:23.0","Defensive rebound by J. Green","","44-39","",""
"151","6:16.0","D. DeRozan makes 2-pt jump shot from 16 ft (assist by A. Caruso)","+2","46-39","",""
"152","5:53.0","","","46-39","","Turnover by J. Holiday (lost ball; steal by A. Caruso)"
"153","5:42.0","Z. LaVine misses 2-pt jump shot from 14 ft","","46-39","",""
"154","5:39.0","","","46-39","","Defensive rebound by J. Holiday"
"155","5:35.0","","","46-39","","Shooting foul by N. Vucevic (drawn by B. Lopez)"
"156","5:35.0","","","46-40","+1","B. Lopez makes free throw 1 of 2"
"157","5:35.0","P. Williams enters the game for J. Green","","46-40","",""
"158","5:35.0","","","46-41","+1","B. Lopez makes free throw 2 of 2"
"159","5:18.0","P. Williams misses 2-pt jump shot from 14 ft","","46-41","",""
"160","5:15.0","","","46-41","","Defensive rebound by G. Antetokounmpo"
"161","5:12.0","","","46-41","","Shooting foul by P. Williams (drawn by G. Antetokounmpo)"
"162","5:12.0","","","46-41","","G. Antetokounmpo misses free throw 1 of 2"
"163","5:12.0","","","46-41","","Offensive rebound by Team"
"164","5:12.0","","","46-42","+1","G. Antetokounmpo makes free throw 2 of 2"
"165","4:54.0","N. Vucevic makes 2-pt hook shot from 14 ft (assist by A. Caruso)","+2","48-42","",""
"166","4:42.0","","","48-42","","Turnover by J. Holiday (bad pass; steal by N. Vucevic)"
"167","4:31.0","A. Caruso misses 2-pt jump shot from 14 ft","","48-42","",""
"168","4:28.0","","","48-42","","Defensive rebound by B. Lopez"
