"","Time","Milwaukee","","Score","","Chicago"
"77","2:28.0","G. Allen makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)","+3","28-13","",""
"78","2:05.0","","","28-15","+2","Z. LaVine makes 2-pt jump shot from 8 ft"
"79","1:57.0","G. Antetokounmpo misses 3-pt jump shot from 25 ft","","28-15","",""
"80","1:55.0","","","28-15","","Defensive rebound by C. White"
"81","1:48.0","","","28-15","","C. White misses 3-pt jump shot from 28 ft"
"82","1:43.0","Defensive rebound by P. Connaughton","","28-15","",""
"83","1:34.0","J. Holiday makes 2-pt jump shot from 10 ft","+2","30-15","",""
"84","1:09.0","","","30-15","","C. White misses 2-pt jump shot from 5 ft"
"85","1:07.0","Defensive rebound by G. Allen","","30-15","",""
"86","0:52.0","Shooting foul by C. White (drawn by P. Connaughton)","","30-15","",""
"87","0:52.0","P. Connaughton makes free throw 1 of 3","+1","31-15","",""
"88","0:52.0","P. Connaughton makes free throw 2 of 3","+1","32-15","",""
"89","0:52.0","P. Connaughton makes free throw 3 of 3","+1","33-15","",""
"90","0:36.0","","","33-17","+2","Z. LaVine makes 2-pt layup from 1 ft (assist by T. Thompson)"
"91","0:28.0","G. Antetokounmpo misses 2-pt jump shot from 19 ft","","33-17","",""
"92","0:24.0","","","33-17","","Defensive rebound by Z. LaVine"
"93","0:02.0","","","33-17","","Turnover by T. Thompson (lost ball; steal by G. Allen)"
"94","0:00.0","J. Holiday misses 3-pt jump shot from 52 ft","","33-17","",""
"95","0:00.0","Offensive rebound by Team","","33-17","",""
"96","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"97","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"98","Time","Milwaukee","","Score","","Chicago"
"99","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"100","11:49.0","","","33-17","","C. White misses 3-pt jump shot from 25 ft"
"101","11:45.0","","","33-17","","Offensive rebound by J. Green"
"102","11:38.0","","","33-19","+2","C. White makes 2-pt jump shot from 10 ft (assist by N. Vucevic)"
"103","11:25.0","B. Portis misses 2-pt jump shot from 21 ft","","33-19","",""
"104","11:22.0","","","33-19","","Defensive rebound by C. White"
"105","11:04.0","","","33-19","","J. Green misses 3-pt jump shot from 25 ft"
"106","11:00.0","Defensive rebound by J. Carter","","33-19","",""
"107","10:52.0","Personal foul by C. White (drawn by P. Connaughton)","","33-19","",""
"108","10:52.0","","","33-19","","A. Caruso enters the game for D. DeRozan"
"109","10:42.0","P. Connaughton misses 3-pt jump shot from 23 ft","","33-19","",""
"110","10:39.0","","","33-19","","Defensive rebound by A. Caruso"
"111","10:31.0","","","33-22","+3","A. Caruso makes 3-pt jump shot from 25 ft (assist by Z. LaVine)"
"112","10:08.0","G. Antetokounmpo makes 2-pt jump shot from 19 ft","+2","35-22","",""
"113","9:54.0","","","35-22","","Z. LaVine misses 2-pt jump shot from 20 ft"
"114","9:48.0","Defensive rebound by W. Matthews","","35-22","",""
"115","9:42.0","G. Antetokounmpo makes 2-pt dunk at rim","+2","37-22","",""
"116","9:21.0","","","37-22","","A. Caruso misses 2-pt jump shot from 4 ft"
"117","9:19.0","Defensive rebound by P. Connaughton","","37-22","",""
"118","9:09.0","P. Connaughton misses 3-pt jump shot from 24 ft","","37-22","",""
"119","9:04.0","Offensive rebound by W. Matthews","","37-22","",""
"120","9:03.0","P. Connaughton makes 3-pt jump shot from 25 ft (assist by J. Carter)","+3","40-22","",""
"121","9:02.0","","","40-22","","Chicago full timeout"
"122","9:02.0","G. Allen enters the game for W. Matthews","","40-22","",""
"123","8:50.0","","","40-22","","Personal foul by J. Carter (drawn by Z. LaVine)"
"124","8:41.0","","","40-22","","Turnover by Z. LaVine (bad pass; steal by J. Carter)"
"125","8:39.0","Shooting foul by A. Caruso (drawn by G. Antetokounmpo)","","40-22","",""
"126","8:39.0","G. Antetokounmpo makes free throw 1 of 2","+1","41-22","",""
"127","8:39.0","","","41-22","","P. Williams enters the game for J. Green"
"128","8:39.0","G. Antetokounmpo makes free throw 2 of 2","+1","42-22","",""
"129","8:24.0","","","42-22","","P. Williams misses 3-pt jump shot from 23 ft"
"130","8:21.0","Defensive rebound by B. Portis","","42-22","",""
"131","8:08.0","B. Portis misses 3-pt jump shot from 25 ft","","42-22","",""
"132","8:05.0","","","42-22","","Defensive rebound by C. White"
"133","7:52.0","","","42-22","","C. White misses 3-pt jump shot from 28 ft"
"134","7:49.0","Defensive rebound by B. Portis","","42-22","",""
"135","7:39.0","B. Portis makes 2-pt layup from 1 ft (assist by G. Antetokounmpo)","+2","44-22","",""
"136","7:19.0","","","44-22","","Z. LaVine misses 3-pt jump shot from 27 ft"
"137","7:16.0","Defensive rebound by G. Antetokounmpo","","44-22","",""
"138","7:08.0","G. Allen misses 3-pt jump shot from 27 ft","","44-22","",""
"139","7:06.0","Offensive rebound by B. Portis","","44-22","",""
"140","7:03.0","P. Connaughton misses 3-pt jump shot from 22 ft","","44-22","",""
"141","7:03.0","","","44-22","","Defensive rebound by Team"
"142","7:03.0","Loose ball foul by B. Portis (drawn by P. Williams)","","44-22","",""
"143","7:03.0","J. Holiday enters the game for G. Antetokounmpo","","44-22","",""
"144","7:03.0","B. Lopez enters the game for B. Portis","","44-22","",""
"145","7:03.0","","","44-22","","D. DeRozan enters the game for Z. LaVine"
"146","6:46.0","","","44-22","","D. DeRozan misses 2-pt jump shot from 22 ft"
"147","6:43.0","Defensive rebound by G. Allen","","44-22","",""
"148","6:38.0","G. Allen makes 2-pt layup from 1 ft","+2","46-22","",""
"149","6:18.0","","","46-25","+3","C. White makes 3-pt jump shot from 23 ft (assist by D. DeRozan)"
"150","6:00.0","B. Lopez misses 3-pt jump shot from 26 ft","","46-25","",""
"151","5:56.0","","","46-25","","Defensive rebound by C. White"
"152","5:47.0","","","46-28","+3","A. Caruso makes 3-pt jump shot from 25 ft (assist by C. White)"
"153","5:38.0","Milwaukee full timeout","","46-28","",""
"154","5:38.0","G. Antetokounmpo enters the game for J. Carter","","46-28","",""
"155","5:38.0","W. Matthews enters the game for P. Connaughton","","46-28","",""
"156","5:38.0","","","46-28","","A. Dosunmu enters the game for A. Caruso"
"157","5:38.0","","","46-28","","Z. LaVine enters the game for C. White"
"158","5:19.0","B. Lopez makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo)","+2","48-28","",""
"159","4:51.0","","","48-28","","Z. LaVine misses 2-pt layup from 1 ft"
"160","4:49.0","Defensive rebound by J. Holiday","","48-28","",""
