"","Time","Milwaukee","","Score","","Chicago"
"341","8:39.0","J. Nwora enters the game for B. Portis","","95-63","",""
"342","8:27.0","P. Connaughton makes 2-pt layup from 3 ft (assist by T. Antetokounmpo)","+2","97-63","",""
"343","8:02.0","","","97-63","","Shooting foul by T. Antetokounmpo (drawn by C. White)"
"344","8:02.0","","","97-64","+1","C. White makes free throw 1 of 2"
"345","8:02.0","R. Tucker enters the game for J. Carter","","97-64","",""
"346","8:02.0","L. Vildoza enters the game for P. Connaughton","","97-64","",""
"347","8:02.0","","","97-64","","C. White misses free throw 2 of 2"
"348","7:58.0","Defensive rebound by S. Ibaka","","97-64","",""
"349","7:42.0","J. Nwora misses 2-pt layup from 2 ft","","97-64","",""
"350","7:40.0","","","97-64","","Defensive rebound by T. Brown"
"351","7:28.0","","","97-64","","A. Dosunmu misses 3-pt jump shot from 24 ft"
"352","7:24.0","Defensive rebound by J. Nwora","","97-64","",""
"353","7:12.0","L. Vildoza misses 3-pt jump shot from 22 ft","","97-64","",""
"354","7:12.0","","","97-64","","Defensive rebound by Team"
"355","6:59.0","","","97-64","","C. White misses 3-pt jump shot from 25 ft"
"356","6:57.0","Defensive rebound by S. Ibaka","","97-64","",""
"357","6:50.0","S. Ibaka misses 3-pt jump shot from 26 ft","","97-64","",""
"358","6:48.0","","","97-64","","Defensive rebound by P. Williams"
"359","6:43.0","","","97-64","","P. Williams misses 2-pt jump shot from 21 ft"
"360","6:41.0","Defensive rebound by L. Vildoza","","97-64","",""
"361","6:38.0","T. Antetokounmpo makes 2-pt dunk at rim (assist by L. Vildoza)","+2","99-64","",""
"362","6:20.0","","","99-64","","T. Brown misses 2-pt jump shot from 15 ft"
"363","6:17.0","Defensive rebound by S. Ibaka","","99-64","",""
"364","6:17.0","","","99-64","","T. Bradley enters the game for T. Thompson"
"365","6:04.0","J. Nwora misses 3-pt jump shot from 25 ft","","99-64","",""
"366","6:03.0","","","99-64","","Defensive rebound by C. White"
"367","6:03.0","","","99-64","","Personal foul by L. Vildoza (drawn by C. White)"
"368","5:51.0","","","99-64","","Turnover by C. White (bad pass; steal by L. Vildoza)"
"369","5:45.0","J. Nwora makes 2-pt dunk from 1 ft (assist by L. Vildoza)","+2","101-64","",""
"370","5:33.0","","","101-66","+2","T. Bradley makes 2-pt jump shot from 20 ft"
"371","5:20.0","S. Ibaka misses 2-pt jump shot from 12 ft","","101-66","",""
"372","5:17.0","Offensive rebound by S. Ibaka","","101-66","",""
"373","5:14.0","S. Ibaka makes 2-pt jump shot from 7 ft","+2","103-66","",""
"374","5:03.0","","","103-66","","Turnover by A. Dosunmu (bad pass; steal by T. Antetokounmpo)"
"375","5:00.0","Turnover by S. Ibaka (bad pass; steal by P. Williams)","","103-66","",""
"376","4:55.0","","","103-68","+2","T. Bradley makes 2-pt dunk at rim (assist by A. Dosunmu)"
"377","4:33.0","J. Nwora misses 2-pt jump shot from 21 ft","","103-68","",""
"378","4:31.0","Offensive rebound by R. Tucker","","103-68","",""
"379","4:25.0","S. Ibaka misses 2-pt jump shot from 16 ft","","103-68","",""
"380","4:24.0","","","103-68","","Defensive rebound by P. Williams"
"381","4:19.0","","","103-68","","Shooting foul by T. Antetokounmpo (drawn by P. Williams)"
"382","4:19.0","","","103-68","","P. Williams misses free throw 1 of 2"
"383","4:19.0","","","103-68","","Offensive rebound by Team"
"384","4:19.0","","","103-68","","J. Green enters the game for C. White"
"385","4:19.0","","","103-69","+1","P. Williams makes free throw 2 of 2"
"386","3:59.0","L. Vildoza misses 3-pt jump shot from 27 ft","","103-69","",""
"387","3:55.0","","","103-69","","Defensive rebound by T. Bradley"
"388","3:52.0","","","103-69","","Personal foul by T. Antetokounmpo (drawn by P. Williams)"
"389","3:46.0","","","103-69","","A. Dosunmu misses 3-pt jump shot from 26 ft"
"390","3:43.0","Defensive rebound by S. Ibaka","","103-69","",""
"391","3:33.0","S. Ibaka misses 2-pt layup from 2 ft","","103-69","",""
"392","3:31.0","","","103-69","","Defensive rebound by T. Bradley"
"393","3:21.0","","","103-71","+2","T. Bradley makes 2-pt dunk from 1 ft (assist by A. Dosunmu)"
"394","3:08.0","J. Nwora misses 2-pt jump shot from 19 ft","","103-71","",""
"395","3:05.0","","","103-71","","Defensive rebound by T. Bradley"
"396","2:56.0","","","103-73","+2","T. Bradley makes 2-pt jump shot from 4 ft (assist by A. Dosunmu)"
"397","2:39.0","S. Ibaka misses 2-pt layup from 6 ft","","103-73","",""
"398","2:35.0","","","103-73","","Defensive rebound by J. Green"
"399","2:31.0","","","103-73","","Turnover by A. Dosunmu (bad pass; steal by L. Vildoza)"
"400","2:28.0","T. Antetokounmpo makes 2-pt dunk from 1 ft (assist by L. Vildoza)","+2","105-73","",""
"401","2:28.0","Shooting foul by P. Williams (drawn by T. Antetokounmpo)","","105-73","",""
"402","2:28.0","T. Antetokounmpo misses free throw 1 of 1","","105-73","",""
"403","2:28.0","","","105-73","","Defensive rebound by T. Brown"
"404","2:28.0","","","105-73","","Chicago full timeout"
"405","2:28.0","","","105-73","","D. Jones enters the game for P. Williams"
"406","2:14.0","","","105-73","","T. Brown misses 3-pt jump shot from 26 ft"
"407","2:13.0","","","105-73","","Offensive rebound by D. Jones"
"408","2:10.0","","","105-75","+2","D. Jones makes 2-pt layup at rim"
"409","1:49.0","L. Vildoza makes 3-pt jump shot from 29 ft (assist by J. Nwora)","+3","108-75","",""
"410","1:34.0","","","108-75","","T. Brown misses 2-pt jump shot from 21 ft"
"411","1:34.0","Defensive rebound by R. Tucker","","108-75","",""
"412","1:18.0","T. Antetokounmpo misses 2-pt layup from 2 ft","","108-75","",""
"413","1:17.0","Offensive rebound by S. Ibaka","","108-75","",""
"414","1:17.0","S. Ibaka makes 2-pt layup from 1 ft","+2","110-75","",""
"415","1:09.0","","","110-77","+2","A. Dosunmu makes 2-pt jump shot from 14 ft"
"416","1:00.0","J. Nwora misses 3-pt jump shot from 27 ft","","110-77","",""
"417","1:00.0","","","110-77","","Defensive rebound by A. Dosunmu"
"418","0:55.0","","","110-79","+2","T. Bradley makes 2-pt layup from 1 ft (assist by A. Dosunmu)"
"419","0:44.0","Shooting foul by A. Dosunmu (drawn by S. Ibaka)","","110-79","",""
"420","0:44.0","S. Ibaka makes free throw 1 of 2","+1","111-79","",""
"421","0:44.0","S. Ibaka misses free throw 2 of 2","","111-79","",""
"422","0:42.0","","","111-79","","Defensive rebound by A. Dosunmu"
"423","0:25.0","","","111-81","+2","T. Brown makes 2-pt layup from 2 ft"
"424","0:01.0","Turnover by Team (shot clock)","","111-81","",""
"425","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
