"","Time","Dallas","","Score","","Utah"
"342","1:03.0","J. Green makes 2-pt layup from 3 ft (assist by J. Brunson)","+2","95-86","",""
"343","0:41.0","","","95-88","+2","J. Clarkson makes 2-pt dunk from 1 ft (assist by B. Bogdanovic)"
"344","0:33.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","97-88","",""
"345","0:26.0","","","97-91","+3","E. Paschall makes 3-pt jump shot from 23 ft (assist by D. House)"
"346","0:02.0","J. Brunson misses 3-pt jump shot from 25 ft","","97-91","",""
"347","0:02.0","","","97-91","","Defensive rebound by D. House"
"348","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"349","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"350","Time","Dallas","","Score","","Utah"
"351","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"352","11:45.0","","","97-91","","Shooting foul by D. Powell (drawn by D. Mitchell)"
"353","11:45.0","","","97-91","","Instant Replay (Request: Ruling Stands)"
"354","11:45.0","","","97-92","+1","D. Mitchell makes free throw 1 of 2"
"355","11:45.0","","","97-93","+1","D. Mitchell makes free throw 2 of 2"
"356","11:29.0","Shooting foul by E. Paschall (drawn by S. Dinwiddie)","","97-93","",""
"357","11:29.0","S. Dinwiddie makes free throw 1 of 2","+1","98-93","",""
"358","11:29.0","S. Dinwiddie makes free throw 2 of 2","+1","99-93","",""
"359","11:18.0","","","99-93","","Turnover by D. Mitchell (lost ball; steal by D. Finney-Smith)"
"360","11:18.0","Personal take foul by E. Paschall (drawn by J. Green)","","99-93","",""
"361","10:58.0","J. Green misses 3-pt jump shot from 26 ft","","99-93","",""
"362","10:54.0","","","99-93","","Defensive rebound by E. Paschall"
"363","10:32.0","","","99-93","","D. Mitchell misses 3-pt jump shot from 27 ft"
"364","10:28.0","Defensive rebound by R. Bullock","","99-93","",""
"365","10:07.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","99-93","",""
"366","10:04.0","","","99-93","","Defensive rebound by D. House"
"367","9:55.0","","","99-95","+2","M. Conley makes 2-pt layup from 3 ft"
"368","9:43.0","S. Dinwiddie misses 2-pt layup from 3 ft","","99-95","",""
"369","9:37.0","Offensive rebound by D. Finney-Smith","","99-95","",""
"370","9:37.0","D. Finney-Smith makes 2-pt dunk at rim","+2","101-95","",""
"371","9:35.0","","","101-97","+2","D. Mitchell makes 2-pt layup from 4 ft"
"372","9:21.0","D. Finney-Smith misses 3-pt jump shot from 23 ft","","101-97","",""
"373","9:19.0","","","101-97","","Defensive rebound by D. Mitchell"
"374","9:14.0","","","101-97","","E. Paschall misses 3-pt jump shot from 25 ft"
"375","9:10.0","Defensive rebound by J. Green","","101-97","",""
"376","9:06.0","Turnover by S. Dinwiddie (bad pass; steal by M. Conley)","","101-97","",""
"377","9:02.0","","","101-97","","M. Conley misses 3-pt jump shot from 25 ft"
"378","8:58.0","Defensive rebound by J. Green","","101-97","",""
"379","8:55.0","Dallas full timeout","","101-97","",""
"380","8:55.0","J. Brunson enters the game for J. Green","","101-97","",""
"381","8:55.0","M. Kleber enters the game for D. Powell","","101-97","",""
"382","8:55.0","","","101-97","","B. Bogdanovic enters the game for J. Clarkson"
"383","8:55.0","","","101-97","","R. Gobert enters the game for D. House"
"384","8:55.0","","","101-97","","R. O'Neale enters the game for E. Paschall"
"385","8:39.0","J. Brunson makes 2-pt jump shot from 19 ft","+2","103-97","",""
"386","8:26.0","","","103-97","","Turnover by D. Mitchell (lost ball; steal by S. Dinwiddie)"
"387","8:22.0","R. Bullock misses 3-pt jump shot from 24 ft","","103-97","",""
"388","8:18.0","","","103-97","","Defensive rebound by Team"
"389","8:02.0","","","103-99","+2","M. Conley makes 2-pt jump shot from 9 ft"
"390","7:36.0","Turnover by S. Dinwiddie (traveling)","","103-99","",""
"391","7:22.0","","","103-99","","Turnover by M. Conley (bad pass; steal by D. Finney-Smith)"
"392","7:03.0","J. Brunson misses 2-pt jump shot from 12 ft","","103-99","",""
"393","7:01.0","","","103-99","","Defensive rebound by R. Gobert"
"394","6:42.0","","","103-102","+3","M. Conley makes 3-pt jump shot from 24 ft"
"395","6:18.0","S. Dinwiddie makes 2-pt layup from 3 ft","+2","105-102","",""
"396","6:10.0","","","105-102","","B. Bogdanovic misses 3-pt jump shot from 24 ft"
"397","6:07.0","Defensive rebound by D. Finney-Smith","","105-102","",""
"398","5:55.0","S. Dinwiddie makes 2-pt layup from 2 ft","+2","107-102","",""
"399","5:54.0","","","107-102","","Utah full timeout"
"400","5:30.0","","","107-102","","B. Bogdanovic misses 3-pt jump shot from 23 ft"
"401","5:27.0","Defensive rebound by S. Dinwiddie","","107-102","",""
"402","5:09.0","S. Dinwiddie misses 2-pt jump shot from 14 ft","","107-102","",""
"403","5:06.0","","","107-102","","Defensive rebound by B. Bogdanovic"
"404","5:01.0","","","107-102","","Personal foul by S. Dinwiddie (drawn by B. Bogdanovic)"
"405","5:01.0","","","107-102","","E. Paschall enters the game for R. Gobert"
"406","4:53.0","","","107-102","","M. Conley misses 3-pt jump shot from 24 ft"
"407","4:49.0","Defensive rebound by D. Finney-Smith","","107-102","",""
"408","4:35.0","J. Brunson makes 2-pt layup from 2 ft","+2","109-102","",""
"409","4:15.0","","","109-104","+2","D. Mitchell makes 2-pt layup from 5 ft"
"410","3:52.0","J. Brunson makes 2-pt jump shot from 11 ft","+2","111-104","",""
"411","3:23.0","","","111-104","","M. Conley misses 3-pt jump shot from 25 ft"
"412","3:22.0","Defensive rebound by M. Kleber","","111-104","",""
"413","3:22.0","Dallas full timeout","","111-104","",""
"414","3:22.0","","","111-104","","R. Gobert enters the game for E. Paschall"
"415","3:09.0","Shooting foul by M. Conley (drawn by J. Brunson)","","111-104","",""
"416","3:09.0","J. Brunson makes free throw 1 of 2","+1","112-104","",""
"417","3:09.0","","","112-104","","J. Clarkson enters the game for R. O'Neale"
"418","3:09.0","J. Brunson makes free throw 2 of 2","+1","113-104","",""
"419","2:53.0","","","113-104","","D. Mitchell misses 3-pt jump shot from 26 ft"
"420","2:50.0","Defensive rebound by R. Bullock","","113-104","",""
"421","2:28.0","Turnover by J. Brunson (lost ball; steal by M. Conley)","","113-104","",""
"422","2:21.0","","","113-106","+2","R. Gobert makes 2-pt dunk from 2 ft (assist by J. Clarkson)"
"423","1:56.0","D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie)","+3","116-106","",""
"424","1:49.0","","","116-108","+2","R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell)"
"425","1:49.0","","","116-108","","Shooting foul by D. Finney-Smith (drawn by R. Gobert)"
"426","1:49.0","","","116-108","","R. O'Neale enters the game for J. Clarkson"
"427","1:49.0","","","116-109","+1","R. Gobert makes free throw 1 of 1"
"428","1:25.0","S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by D. Finney-Smith)","+3","119-109","",""
"429","1:21.0","","","119-109","","Personal foul by S. Dinwiddie (drawn by D. Mitchell)"
"430","1:21.0","","","119-110","+1","D. Mitchell makes free throw 1 of 2"
"431","1:21.0","","","119-110","","J. Clarkson enters the game for R. Gobert"
"432","1:21.0","","","119-111","+1","D. Mitchell makes free throw 2 of 2"
"433","1:13.0","M. Kleber makes 2-pt dunk from 2 ft (assist by R. Bullock)","+2","121-111","",""
"434","1:05.0","","","121-113","+2","D. Mitchell makes 2-pt layup from 2 ft"
"435","1:02.0","Personal take foul by D. Mitchell (drawn by J. Brunson)","","121-113","",""
"436","0:43.0","S. Dinwiddie misses 3-pt jump shot from 27 ft","","121-113","",""
"437","0:39.0","","","121-113","","Defensive rebound by R. O'Neale"
"438","0:35.0","","","121-113","","Turnover by B. Bogdanovic (lost ball; steal by S. Dinwiddie)"
"439","0:25.0","Personal take foul by B. Bogdanovic (drawn by S. Dinwiddie)","","121-113","",""
"440","0:25.0","S. Dinwiddie misses free throw 1 of 2","","121-113","",""
"441","0:25.0","Offensive rebound by Team","","121-113","",""
"442","0:25.0","D. Bertans enters the game for J. Brunson","","121-113","",""
"443","0:25.0","S. Brown enters the game for D. Finney-Smith","","121-113","",""
"444","0:25.0","T. Burke enters the game for M. Kleber","","121-113","",""
"445","0:25.0","S. Dinwiddie makes free throw 2 of 2","+1","122-113","",""
"446","0:19.0","","","122-116","+3","B. Bogdanovic makes 3-pt jump shot from 26 ft (assist by M. Conley)"
"447","0:17.0","Personal take foul by M. Conley (drawn by R. Bullock)","","122-116","",""
"448","0:17.0","R. Bullock makes free throw 1 of 2","+1","123-116","",""
"449","0:17.0","R. Bullock makes free throw 2 of 2","+1","124-116","",""
"450","0:12.0","","","124-116","","Personal foul by S. Dinwiddie (drawn by M. Conley)"
"451","0:12.0","D. Finney-Smith enters the game for S. Dinwiddie","","124-116","",""
"452","0:12.0","","","124-117","+1","M. Conley makes free throw 1 of 2"
"453","0:12.0","","","124-118","+1","M. Conley makes free throw 2 of 2"
"454","0:11.0","Personal take foul by M. Conley (drawn by S. Brown)","","124-118","",""
"455","0:11.0","S. Brown makes free throw 1 of 2","+1","125-118","",""
"456","0:11.0","S. Brown makes free throw 2 of 2","+1","126-118","",""
"457","0:11.0","","","126-118","","Utah full timeout"
"458","0:10.0","","","126-118","","D. Mitchell misses 3-pt jump shot from 23 ft"
"459","0:07.0","Defensive rebound by D. Finney-Smith","","126-118","",""
"460","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
