"","Time","Utah","","Score","","Dallas"
"344","8:08.0","D. Mitchell misses 3-pt jump shot from 25 ft","","90-86","",""
"345","8:07.0","Offensive rebound by D. Mitchell","","90-86","",""
"346","8:07.0","D. Mitchell makes 2-pt layup from 3 ft","+2","92-86","",""
"347","8:07.0","Shooting foul by D. Finney-Smith (drawn by D. Mitchell)","","92-86","",""
"348","8:07.0","D. Mitchell makes free throw 1 of 1","+1","93-86","",""
"349","7:55.0","","","93-89","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)"
"350","7:35.0","Offensive foul by B. Bogdanovic (drawn by J. Brunson)","","93-89","",""
"351","7:35.0","Turnover by B. Bogdanovic (offensive foul)","","93-89","",""
"352","7:23.0","","","93-91","+2","J. Brunson makes 2-pt jump shot from 2 ft"
"353","7:22.0","Utah full timeout","","93-91","",""
"354","7:04.0","D. Mitchell misses 2-pt jump shot from 17 ft","","93-91","",""
"355","7:03.0","Offensive rebound by Team","","93-91","",""
"356","7:03.0","","","93-91","","Loose ball foul by M. Kleber (drawn by R. Gobert)"
"357","6:55.0","M. Conley misses 2-pt jump shot from 11 ft","","93-91","",""
"358","6:52.0","","","93-91","","Defensive rebound by D. Finney-Smith"
"359","6:39.0","","","93-91","","J. Brunson misses 2-pt jump shot from 11 ft"
"360","6:37.0","Defensive rebound by R. Gobert","","93-91","",""
"361","6:31.0","R. Gobert misses 2-pt jump shot from 3 ft","","93-91","",""
"362","6:31.0","","","93-91","","Defensive rebound by Team"
"363","6:31.0","Loose ball foul by R. Gobert (drawn by M. Kleber)","","93-91","",""
"364","6:31.0","J. Clarkson enters the game for M. Conley","","93-91","",""
"365","6:12.0","","","93-94","+3","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by M. Kleber)"
"366","5:54.0","D. Mitchell misses 2-pt jump shot from 6 ft","","93-94","",""
"367","5:53.0","Offensive rebound by D. Mitchell","","93-94","",""
"368","5:53.0","D. Mitchell misses 2-pt layup from 1 ft","","93-94","",""
"369","5:52.0","","","93-94","","Defensive rebound by J. Brunson"
"370","5:40.0","","","93-96","+2","J. Brunson makes 2-pt jump shot from 6 ft"
"371","5:39.0","Utah full timeout","","93-96","",""
"372","5:39.0","D. House enters the game for J. Clarkson","","93-96","",""
"373","5:22.0","R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell)","+3","96-96","",""
"374","4:58.0","","","96-96","","J. Brunson misses 2-pt jump shot from 4 ft"
"375","4:57.0","Defensive rebound by R. Gobert","","96-96","",""
"376","4:44.0","D. Mitchell makes 2-pt jump shot from 4 ft","+2","98-96","",""
"377","4:30.0","","","98-96","","Personal foul by R. O'Neale (drawn by R. Bullock)"
"378","4:21.0","","","98-99","+3","M. Kleber makes 3-pt jump shot from 26 ft (assist by J. Brunson)"
"379","4:03.0","D. Mitchell misses 2-pt jump shot from 4 ft","","98-99","",""
"380","4:01.0","","","98-99","","Defensive rebound by R. Bullock"
"381","3:46.0","","","98-102","+3","M. Kleber makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie)"
"382","3:44.0","Utah full timeout","","98-102","",""
"383","3:28.0","B. Bogdanovic makes 2-pt jump shot from 12 ft","+2","100-102","",""
"384","3:03.0","","","100-104","+2","S. Dinwiddie makes 2-pt jump shot from 6 ft"
"385","2:40.0","B. Bogdanovic makes 2-pt jump shot from 6 ft","+2","102-104","",""
"386","2:24.0","","","102-107","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Brunson)"
"387","1:56.0","D. Mitchell misses 2-pt hook shot from 10 ft","","102-107","",""
"388","1:55.0","Offensive rebound by Team","","102-107","",""
"389","1:55.0","M. Conley enters the game for D. House","","102-107","",""
"390","1:45.0","B. Bogdanovic misses 3-pt jump shot from 25 ft","","102-107","",""
"391","1:42.0","","","102-107","","Defensive rebound by M. Kleber"
"392","1:25.0","","","102-107","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"393","1:22.0","Defensive rebound by R. O'Neale","","102-107","",""
"394","1:16.0","M. Conley misses 2-pt jump shot from 6 ft","","102-107","",""
"395","1:14.0","","","102-107","","Defensive rebound by M. Kleber"
"396","1:14.0","","","102-107","","Dallas full timeout"
"397","0:56.0","","","102-107","","M. Kleber misses 3-pt jump shot from 23 ft"
"398","0:52.0","Defensive rebound by B. Bogdanovic","","102-107","",""
"399","0:48.0","D. Mitchell misses 2-pt layup from 6 ft","","102-107","",""
"400","0:46.0","","","102-107","","Defensive rebound by J. Brunson"
"401","0:33.0","","","102-107","","Personal take foul by B. Bogdanovic (drawn by J. Brunson)"
"402","0:33.0","","","102-108","+1","J. Brunson makes free throw 1 of 2"
"403","0:33.0","","","102-109","+1","J. Brunson makes free throw 2 of 2"
"404","0:26.0","B. Bogdanovic makes 2-pt layup from 2 ft (assist by D. Mitchell)","+2","104-109","",""
"405","0:23.0","","","104-109","","Personal take foul by R. O'Neale (drawn by J. Brunson)"
"406","0:23.0","","","104-109","","J. Brunson misses free throw 1 of 2"
"407","0:23.0","","","104-109","","Offensive rebound by Team"
"408","0:23.0","","","104-110","+1","J. Brunson makes free throw 2 of 2"
"409","0:19.0","Personal foul by D. Finney-Smith (drawn by D. Mitchell)","","104-110","",""
"410","0:18.0","D. Mitchell misses 3-pt jump shot from 26 ft","","104-110","",""
"411","0:14.0","","","104-110","","Defensive rebound by J. Brunson"
"412","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
