Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
10:05.0,G.Antetokounmpo,2,46-67,3.0,3-pt,jump,25,makes,Milwaukee,2022-06-05 10:05:00
9:09.0,G.Antetokounmpo,2,48-72,3.0,2-pt,jump,18,makes,Milwaukee,2022-06-05 09:09:00
7:00.0,G.Antetokounmpo,2,50-72,3.0,2-pt,jump,19,misses,Milwaukee,2022-06-05 07:00:00
6:34.0,G.Antetokounmpo,2,52-72,3.0,2-pt,layup,,makes,Milwaukee,2022-06-05 06:34:00
5:25.0,G.Antetokounmpo,2,52-72,3.0,2-pt,hook,10,misses,Milwaukee,2022-06-05 05:25:00
5:11.0,G.Antetokounmpo,2,54-72,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 05:11:00
3:27.0,G.Antetokounmpo,2,58-77,3.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 03:27:00
3:00.0,G.Antetokounmpo,2,60-77,3.0,free,throw,1,misses,Milwaukee,2022-06-05 03:00:00
3:00.0,G.Antetokounmpo,2,60-77,3.0,2-pt,layup,,makes,Milwaukee,2022-06-05 03:00:00
1:57.0,G.Antetokounmpo,2,60-81,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 01:57:00
0:53.0,G.Antetokounmpo,2,64-83,3.0,2-pt,layup,4,makes,Milwaukee,2022-06-05 00:53:00
9:09.0,G.Antetokounmpo,2,70-88,4.0,2-pt,jump,6,misses,Milwaukee,2022-06-05 09:09:00
9:07.0,G.Antetokounmpo,2,70-88,4.0,free,throw,2,misses,Milwaukee,2022-06-05 09:07:00
9:07.0,G.Antetokounmpo,2,71-88,4.0,free,throw,2,makes,Milwaukee,2022-06-05 09:07:00
7:58.0,G.Antetokounmpo,2,71-88,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 07:58:00
4:58.0,G.Antetokounmpo,2,80-94,4.0,2-pt,hook,8,misses,Milwaukee,2022-06-05 04:58:00
4:30.0,G.Antetokounmpo,2,81-94,4.0,free,throw,2,makes,Milwaukee,2022-06-05 04:30:00
4:30.0,G.Antetokounmpo,2,82-94,4.0,free,throw,2,makes,Milwaukee,2022-06-05 04:30:00
3:13.0,G.Antetokounmpo,2,86-99,4.0,2-pt,layup,(assist,makes,Milwaukee,2022-06-05 03:13:00
11:22.0,G.Antetokounmpo,3,0-0,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 11:22:00
8:58.0,G.Antetokounmpo,3,6-6,1.0,2-pt,layup,4,makes,Milwaukee,2022-06-05 08:58:00
8:38.0,G.Antetokounmpo,3,6-6,1.0,3-pt,jump,27,misses,Milwaukee,2022-06-05 08:38:00
7:59.0,G.Antetokounmpo,3,6-8,1.0,2-pt,jump,10,makes,Milwaukee,2022-06-05 07:59:00
7:59.0,G.Antetokounmpo,3,6-9,1.0,free,throw,1,makes,Milwaukee,2022-06-05 07:59:00
6:46.0,G.Antetokounmpo,3,9-13,1.0,2-pt,jump,18,makes,Milwaukee,2022-06-05 06:46:00
5:33.0,G.Antetokounmpo,3,11-13,1.0,2-pt,jump,15,misses,Milwaukee,2022-06-05 05:33:00
1:27.0,G.Antetokounmpo,3,17-21,1.0,free,throw,2,misses,Milwaukee,2022-06-05 01:27:00
1:27.0,G.Antetokounmpo,3,17-22,1.0,free,throw,2,makes,Milwaukee,2022-06-05 01:27:00
9:19.0,G.Antetokounmpo,3,24-28,2.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 09:19:00
8:47.0,G.Antetokounmpo,3,27-28,2.0,3-pt,jump,28,misses,Milwaukee,2022-06-05 08:47:00
8:26.0,G.Antetokounmpo,3,27-28,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 08:26:00
5:08.0,G.Antetokounmpo,3,35-38,2.0,2-pt,jump,18,makes,Milwaukee,2022-06-05 05:08:00
4:41.0,G.Antetokounmpo,3,37-38,2.0,free,throw,2,misses,Milwaukee,2022-06-05 04:41:00
4:41.0,G.Antetokounmpo,3,37-38,2.0,free,throw,2,misses,Milwaukee,2022-06-05 04:41:00
4:22.0,G.Antetokounmpo,3,39-40,2.0,2-pt,dunk,1,makes,Milwaukee,2022-06-05 04:22:00
3:40.0,G.Antetokounmpo,3,39-42,2.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 03:40:00
3:12.0,G.Antetokounmpo,3,41-43,2.0,free,throw,2,makes,Milwaukee,2022-06-05 03:12:00
