"","Time","Memphis","","Score","","Golden State"
"2","12:00.0","Jump ball: J. Jackson vs. J. Kuminga (D. Bane gains possession)","Jump ball: J. Jackson vs. J. Kuminga (D. Bane gains possession)","Jump ball: J. Jackson vs. J. Kuminga (D. Bane gains possession)","Jump ball: J. Jackson vs. J. Kuminga (D. Bane gains possession)","Jump ball: J. Jackson vs. J. Kuminga (D. Bane gains possession)"
"3","11:34.0","Z. Williams makes 3-pt jump shot from 29 ft (assist by J. Morant)","+3","3-0","",""
"4","11:18.0","","","3-0","","Turnover by D. Green (bad pass; steal by J. Morant)"
"5","11:12.0","J. Jackson misses 3-pt jump shot from 26 ft","","3-0","",""
"6","11:09.0","","","3-0","","Defensive rebound by Team"
"7","11:01.0","","","3-0","","D. Green misses 2-pt layup from 4 ft"
"8","10:59.0","","","3-0","","Offensive rebound by J. Kuminga"
"9","10:59.0","","","3-2","+2","J. Kuminga makes 2-pt dunk at rim"
"10","10:40.0","Offensive foul by J. Jackson (drawn by D. Green)","","3-2","",""
"11","10:40.0","Turnover by J. Jackson (offensive foul)","","3-2","",""
"12","10:32.0","","","3-2","","S. Curry misses 3-pt jump shot from 26 ft (block by X. Tillman)"
"13","10:30.0","Defensive rebound by J. Morant","","3-2","",""
"14","10:22.0","J. Morant makes 3-pt jump shot from 28 ft","+3","6-2","",""
"15","10:10.0","","","6-2","","Turnover by D. Green (bad pass; steal by J. Morant)"
"16","10:08.0","Personal foul by A. Wiggins (drawn by J. Morant)","","6-2","",""
"17","9:59.0","D. Bane misses 3-pt jump shot from 27 ft","","6-2","",""
"18","9:56.0","","","6-2","","Defensive rebound by Team"
"19","9:42.0","","","6-2","","J. Kuminga misses 3-pt jump shot from 24 ft"
"20","9:39.0","Defensive rebound by X. Tillman","","6-2","",""
"21","9:33.0","J. Morant misses 2-pt layup from 9 ft","","6-2","",""
"22","9:31.0","","","6-2","","Defensive rebound by K. Thompson"
"23","9:25.0","","","6-2","","Turnover by J. Kuminga (bad pass; steal by J. Jackson)"
"24","9:21.0","D. Bane makes 3-pt jump shot from 24 ft (assist by J. Jackson)","+3","9-2","",""
"25","9:04.0","","","9-4","+2","J. Kuminga makes 2-pt dunk from 3 ft (assist by D. Green)"
"26","8:57.0","Turnover by J. Morant (bad pass; steal by S. Curry)","","9-4","",""
"27","8:43.0","","","9-4","","A. Wiggins misses 2-pt jump shot from 18 ft"
"28","8:41.0","Defensive rebound by Z. Williams","","9-4","",""
"29","8:27.0","J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Bane)","+3","12-4","",""
"30","8:11.0","","","12-6","+2","A. Wiggins makes 2-pt layup from 5 ft (assist by D. Green)"
"31","7:47.0","J. Jackson makes 3-pt jump shot from 31 ft (assist by D. Bane)","+3","15-6","",""
"32","7:30.0","","","15-8","+2","K. Thompson makes 2-pt layup from 5 ft (assist by S. Curry)"
"33","7:13.0","Personal foul by D. Green (drawn by J. Jackson)","","15-8","",""
"34","7:01.0","J. Morant makes 3-pt jump shot from 30 ft","+3","18-8","",""
"35","6:51.0","","","18-8","","K. Thompson misses 2-pt layup from 3 ft (block by D. Bane)"
"36","6:50.0","Defensive rebound by D. Bane","","18-8","",""
"37","6:40.0","Shooting foul by J. Kuminga (drawn by J. Morant)","","18-8","",""
"38","6:40.0","","","18-8","","Golden State full timeout"
"39","6:40.0","B. Clarke enters the game for D. Bane","","18-8","",""
"40","6:40.0","D. Melton enters the game for J. Jackson","","18-8","",""
"41","6:40.0","J. Morant makes free throw 1 of 2","+1","19-8","",""
"42","6:40.0","J. Morant misses free throw 2 of 2","","19-8","",""
"43","6:38.0","","","19-8","","Defensive rebound by D. Green"
"44","6:27.0","","","19-8","","Turnover by J. Kuminga (bad pass; steal by B. Clarke)"
"45","6:19.0","Z. Williams makes 2-pt dunk from 4 ft (assist by D. Melton)","+2","21-8","",""
"46","6:11.0","","","21-11","+3","A. Wiggins makes 3-pt jump shot from 22 ft (assist by K. Thompson)"
"47","5:47.0","D. Melton makes 2-pt jump shot from 9 ft (assist by J. Morant)","+2","23-11","",""
"48","5:36.0","","","23-13","+2","D. Green makes 2-pt layup from 5 ft (assist by S. Curry)"
"49","5:18.0","D. Melton misses 3-pt jump shot from 28 ft","","23-13","",""
"50","5:16.0","","","23-13","","Defensive rebound by S. Curry"
"51","5:11.0","","","23-13","","Turnover by J. Kuminga (bad pass)"
"52","5:11.0","K. Anderson enters the game for X. Tillman","","23-13","",""
"53","5:11.0","","","23-13","","J. Poole enters the game for J. Kuminga"
"54","5:11.0","","","23-13","","O. Porter enters the game for K. Thompson"
"55","5:00.0","Z. Williams misses 2-pt jump shot from 18 ft","","23-13","",""
"56","4:58.0","","","23-13","","Defensive rebound by J. Poole"
"57","4:47.0","","","23-15","+2","A. Wiggins makes 2-pt jump shot from 5 ft (assist by D. Green)"
"58","4:20.0","Turnover by Team (shot clock)","","23-15","",""
"59","3:59.0","","","23-15","","A. Wiggins misses 2-pt layup from 5 ft (block by K. Anderson)"
"60","3:57.0","Defensive rebound by J. Morant","","23-15","",""
"61","3:52.0","D. Melton misses 3-pt jump shot from 25 ft","","23-15","",""
"62","3:50.0","Offensive rebound by D. Melton","","23-15","",""
