"","Time","Memphis","","Score","","Golden State"
"63","3:48.0","Turnover by D. Melton (bad pass; steal by A. Wiggins)","","23-15","",""
"64","3:42.0","","","23-17","+2","J. Poole makes 2-pt layup from 5 ft"
"65","3:42.0","Memphis full timeout","","23-17","",""
"66","3:21.0","K. Anderson makes 2-pt jump shot from 9 ft","+2","25-17","",""
"67","3:17.0","","","25-17","","Personal foul by J. Morant (drawn by A. Wiggins)"
"68","3:07.0","","","25-17","","Turnover by S. Curry (step out of bounds)"
"69","3:07.0","D. Bane enters the game for J. Morant","","25-17","",""
"70","3:07.0","T. Jones enters the game for Z. Williams","","25-17","",""
"71","2:54.0","B. Clarke misses 2-pt jump shot from 11 ft","","25-17","",""
"72","2:53.0","","","25-17","","Defensive rebound by Team"
"73","2:53.0","Loose ball foul by B. Clarke (drawn by D. Green)","","25-17","",""
"74","2:53.0","","","25-17","","K. Looney enters the game for D. Green"
"75","2:53.0","","","25-17","","K. Thompson enters the game for A. Wiggins"
"76","2:43.0","","","25-19","+2","K. Thompson makes 2-pt jump shot from 9 ft (assist by J. Poole)"
"77","2:27.0","T. Jones misses 2-pt jump shot from 13 ft","","25-19","",""
"78","2:25.0","","","25-19","","Defensive rebound by K. Looney"
"79","2:14.0","","","25-19","","S. Curry misses 3-pt jump shot from 27 ft"
"80","2:12.0","Defensive rebound by B. Clarke","","25-19","",""
"81","2:02.0","T. Jones misses 3-pt jump shot from 23 ft","","25-19","",""
"82","1:59.0","Offensive rebound by D. Melton","","25-19","",""
"83","1:54.0","D. Bane misses 2-pt layup from 10 ft (block by O. Porter)","","25-19","",""
"84","1:52.0","","","25-19","","Defensive rebound by O. Porter"
"85","1:37.0","","","25-21","+2","K. Looney makes 2-pt layup from 5 ft (assist by K. Thompson)"
"86","1:24.0","B. Clarke misses 2-pt jump shot from 10 ft","","25-21","",""
"87","1:21.0","","","25-21","","Defensive rebound by K. Looney"
"88","1:09.0","","","25-21","","Turnover by O. Porter (traveling)"
"89","1:09.0","J. Jackson enters the game for K. Anderson","","25-21","",""
"90","1:09.0","J. Konchar enters the game for D. Melton","","25-21","",""
"91","0:57.0","Shooting foul by O. Porter (drawn by J. Jackson)","","25-21","",""
"92","0:57.0","J. Jackson misses free throw 1 of 2","","25-21","",""
"93","0:57.0","Offensive rebound by Team","","25-21","",""
"94","0:57.0","J. Jackson makes free throw 2 of 2","+1","26-21","",""
"95","0:38.0","","","26-23","+2","O. Porter makes 2-pt jump shot from 7 ft (assist by S. Curry)"
"96","0:27.0","T. Jones misses 2-pt jump shot from 8 ft","","26-23","",""
"97","0:25.0","Offensive rebound by J. Konchar","","26-23","",""
"98","0:19.0","Personal foul by J. Poole (drawn by D. Bane)","","26-23","",""
"99","0:19.0","D. Bane makes free throw 1 of 2","+1","27-23","",""
"100","0:19.0","Z. Williams enters the game for T. Jones","","27-23","",""
"101","0:19.0","D. Bane makes free throw 2 of 2","+1","28-23","",""
"102","0:01.0","","","28-26","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by K. Looney)"
"103","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"104","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"105","Time","Memphis","","Score","","Golden State"
"106","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"107","11:45.0","","","28-28","+2","K. Thompson makes 2-pt jump shot from 16 ft"
"108","11:29.0","J. Konchar misses 2-pt jump shot from 6 ft","","28-28","",""
"109","11:26.0","Offensive rebound by J. Konchar","","28-28","",""
"110","11:26.0","J. Konchar misses 2-pt dunk from 4 ft","","28-28","",""
"111","11:26.0","","","28-28","","Defensive rebound by O. Porter"
"112","11:19.0","","","28-28","","Turnover by K. Thompson (step out of bounds)"
"113","11:03.0","Shooting foul by K. Thompson (drawn by B. Clarke)","","28-28","",""
"114","11:03.0","B. Clarke makes free throw 1 of 2","+1","29-28","",""
"115","11:03.0","B. Clarke makes free throw 2 of 2","+1","30-28","",""
"116","10:49.0","","","30-30","+2","K. Thompson makes 2-pt layup from 13 ft"
"117","10:49.0","","","30-30","","Shooting foul by D. Bane (drawn by K. Thompson)"
"118","10:49.0","","","30-31","+1","K. Thompson makes free throw 1 of 1"
"119","10:37.0","J. Konchar misses 3-pt jump shot from 23 ft","","30-31","",""
"120","10:35.0","","","30-31","","Defensive rebound by K. Thompson"
"121","10:19.0","","","30-31","","Turnover by J. Poole (bad pass; steal by J. Jackson)"
"122","10:16.0","Turnover by T. Jones (bad pass; steal by O. Porter)","","30-31","",""
"123","9:58.0","","","30-34","+3","J. Poole makes 3-pt jump shot from 23 ft (assist by K. Looney)"
"124","9:36.0","Personal foul by D. Lee (drawn by J. Jackson)","","30-34","",""
"125","9:36.0","J. Morant enters the game for J. Konchar","","30-34","",""
"126","9:27.0","D. Bane misses 2-pt jump shot from 13 ft","","30-34","",""
"127","9:25.0","","","30-34","","Defensive rebound by D. Lee"
"128","9:14.0","","","30-34","","K. Thompson misses 2-pt jump shot from 20 ft"
"129","9:12.0","","","30-34","","Offensive rebound by O. Porter"
"130","9:10.0","","","30-36","+2","O. Porter makes 2-pt layup at rim"
"131","9:10.0","Memphis full timeout","","30-36","",""
"132","9:10.0","D. Melton enters the game for B. Clarke","","30-36","",""
"133","9:10.0","X. Tillman enters the game for T. Jones","","30-36","",""
"134","8:50.0","D. Melton makes 2-pt layup from 7 ft (assist by J. Morant)","+2","32-36","",""
"135","8:32.0","","","32-38","+2","J. Poole makes 2-pt jump shot from 13 ft"
"136","8:22.0","J. Jackson makes 3-pt jump shot from 24 ft (assist by X. Tillman)","+3","35-38","",""
"137","8:05.0","","","35-40","+2","J. Poole makes 2-pt jump shot from 16 ft"
"138","7:54.0","D. Melton misses 2-pt jump shot from 19 ft","","35-40","",""
"139","7:51.0","","","35-40","","Defensive rebound by K. Thompson"
"140","7:51.0","Z. Williams enters the game for D. Bane","","35-40","",""
"141","7:30.0","","","35-40","","K. Thompson misses 2-pt jump shot from 11 ft"
"142","7:27.0","Defensive rebound by J. Jackson","","35-40","",""
"143","7:18.0","J. Morant misses 3-pt jump shot from 29 ft","","35-40","",""
"144","7:15.0","","","35-40","","Defensive rebound by J. Poole"
"145","7:05.0","","","35-43","+3","O. Porter makes 3-pt jump shot from 27 ft (assist by J. Poole)"
"146","6:45.0","J. Jackson misses 2-pt layup from 8 ft","","35-43","",""
"147","6:42.0","","","35-43","","Defensive rebound by D. Lee"
"148","6:42.0","","","35-43","","Personal foul by X. Tillman (drawn by D. Lee)"
"149","6:42.0","K. Anderson enters the game for J. Jackson","","35-43","",""
"150","6:42.0","","","35-43","","S. Curry enters the game for D. Lee"
"151","6:42.0","","","35-43","","A. Wiggins enters the game for O. Porter"
"152","6:30.0","","","35-43","","Turnover by J. Poole (bad pass; steal by K. Anderson)"
"153","6:29.0","Personal take foul by S. Curry (drawn by J. Morant)","","35-43","",""
"154","6:29.0","","","35-43","","D. Lee enters the game for J. Poole"
"155","6:19.0","X. Tillman makes 3-pt jump shot from 23 ft (assist by J. Morant)","+3","38-43","",""
"156","5:56.0","","","38-43","","D. Lee misses 2-pt jump shot from 9 ft"
"157","5:54.0","Defensive rebound by K. Anderson","","38-43","",""
"158","5:51.0","Z. Williams makes 2-pt dunk from 3 ft (assist by D. Melton)","+2","40-43","",""
"159","5:51.0","","","40-43","","Golden State full timeout"
"160","5:51.0","","","40-43","","D. Green enters the game for K. Looney"
"161","5:51.0","","","40-43","","O. Porter enters the game for K. Thompson"
"162","5:34.0","","","40-46","+3","A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Lee)"
"163","5:19.0","D. Melton misses 3-pt jump shot from 25 ft","","40-46","",""
"164","5:16.0","","","40-46","","Defensive rebound by S. Curry"
"165","5:12.0","","","40-46","","Personal take foul by K. Anderson (drawn by S. Curry)"
"166","5:12.0","","","40-46","","J. Poole enters the game for D. Lee"
"167","5:08.0","","","40-48","+2","S. Curry makes 2-pt jump shot from 6 ft (assist by O. Porter)"
"168","4:44.0","X. Tillman makes 2-pt layup from 5 ft (assist by D. Melton)","+2","42-48","",""
"169","4:27.0","","","42-51","+3","O. Porter makes 3-pt jump shot from 23 ft (assist by D. Green)"
"170","4:14.0","Z. Williams misses 3-pt jump shot from 29 ft","","42-51","",""
"171","4:13.0","","","42-51","","Defensive rebound by Team"
"172","4:07.0","","","42-51","","Shooting foul by Z. Williams (drawn by S. Curry)"
"173","4:07.0","","","42-52","+1","S. Curry makes free throw 1 of 3"
"174","4:07.0","","","42-53","+1","S. Curry makes free throw 2 of 3"
"175","4:07.0","","","42-54","+1","S. Curry makes free throw 3 of 3"
"176","3:54.0","J. Morant makes 3-pt jump shot from 27 ft","+3","45-54","",""
"177","3:40.0","","","45-54","","Turnover by O. Porter (traveling)"
"178","3:40.0","D. Bane enters the game for K. Anderson","","45-54","",""
"179","3:40.0","J. Jackson enters the game for X. Tillman","","45-54","",""
"180","3:22.0","J. Morant makes 2-pt jump shot from 9 ft","+2","47-54","",""
"181","3:12.0","","","47-56","+2","A. Wiggins makes 2-pt dunk from 4 ft (assist by S. Curry)"
"182","2:48.0","D. Melton misses 2-pt jump shot from 5 ft","","47-56","",""
"183","2:45.0","","","47-56","","Defensive rebound by J. Poole"
"184","2:42.0","","","47-56","","O. Porter misses 3-pt jump shot from 27 ft"
"185","2:40.0","Defensive rebound by Z. Williams","","47-56","",""
"186","2:24.0","D. Bane makes 3-pt jump shot from 24 ft (assist by Z. Williams)","+3","50-56","",""
"187","2:24.0","Shooting foul by O. Porter (drawn by D. Bane)","","50-56","",""
"188","2:24.0","B. Clarke enters the game for D. Melton","","50-56","",""
"189","2:24.0","","","50-56","","K. Thompson enters the game for O. Porter"
"190","2:24.0","D. Bane misses free throw 1 of 1","","50-56","",""
"191","2:22.0","","","50-56","","Defensive rebound by D. Green"
"192","2:13.0","","","50-58","+2","S. Curry makes 2-pt layup from 5 ft"
"193","2:13.0","","","50-58","","Shooting foul by B. Clarke (drawn by S. Curry)"
"194","2:13.0","","","50-59","+1","S. Curry makes free throw 1 of 1"
"195","2:02.0","J. Jackson misses 3-pt jump shot from 23 ft","","50-59","",""
"196","2:00.0","","","50-59","","Defensive rebound by A. Wiggins"
"197","1:48.0","","","50-59","","Offensive foul by D. Green (drawn by J. Jackson)"
"198","1:48.0","","","50-59","","Turnover by D. Green (offensive foul)"
"199","1:34.0","B. Clarke misses 2-pt layup from 6 ft (block by D. Green)","","50-59","",""
"200","1:32.0","Offensive rebound by B. Clarke","","50-59","",""
"201","1:29.0","B. Clarke makes 2-pt layup at rim","+2","52-59","",""
"202","1:25.0","","","52-59","","J. Poole misses 2-pt layup from 4 ft"
"203","1:23.0","Defensive rebound by D. Bane","","52-59","",""
"204","1:17.0","J. Morant misses 3-pt jump shot from 27 ft","","52-59","",""
"205","1:15.0","","","52-59","","Defensive rebound by J. Poole"
"206","1:05.0","","","52-61","+2","S. Curry makes 2-pt layup from 5 ft"
"207","0:37.0","J. Jackson misses 3-pt jump shot from 25 ft","","52-61","",""
"208","0:34.0","","","52-61","","Defensive rebound by A. Wiggins"
"209","0:28.0","","","52-63","+2","A. Wiggins makes 2-pt dunk from 5 ft"
"210","0:28.0","","","52-63","","Shooting foul by J. Jackson (drawn by A. Wiggins)"
"211","0:28.0","D. Melton enters the game for B. Clarke","","52-63","",""
"212","0:28.0","","","52-63","","O. Porter enters the game for J. Poole"
"213","0:28.0","","","52-64","+1","A. Wiggins makes free throw 1 of 1"
"214","0:11.0","J. Morant makes 2-pt layup from 6 ft","+2","54-64","",""
"215","0:02.0","","","54-64","","Offensive foul by D. Green (drawn by Z. Williams)"
"216","0:02.0","","","54-64","","Turnover by D. Green (offensive foul)"
"217","0:02.0","","","54-64","","K. Looney enters the game for S. Curry"
"218","0:02.0","","","54-64","","J. Toscano-Anderson enters the game for D. Green"
"219","0:00.0","J. Morant makes 3-pt jump shot from 48 ft","+3","57-64","",""
"220","0:00.0","Instant Replay (Request: Ruling Stands)","","57-64","",""
"221","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"222","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"223","Time","Memphis","","Score","","Golden State"
"224","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"225","11:43.0","","","57-67","+3","K. Thompson makes 3-pt jump shot from 27 ft (assist by O. Porter)"
"226","11:30.0","Offensive foul by D. Bane (drawn by S. Curry)","","57-67","",""
"227","11:30.0","Turnover by D. Bane (offensive foul)","","57-67","",""
"228","11:22.0","","","57-67","","Shooting foul by X. Tillman (drawn by S. Curry)"
"229","11:22.0","","","57-68","+1","S. Curry makes free throw 1 of 2"
"230","11:22.0","","","57-69","+1","S. Curry makes free throw 2 of 2"
"231","11:09.0","J. Jackson misses 2-pt jump shot from 8 ft","","57-69","",""
"232","11:07.0","","","57-69","","Defensive rebound by Team"
"233","10:50.0","","","57-72","+3","K. Thompson makes 3-pt jump shot from 27 ft (assist by O. Porter)"
"234","10:48.0","Memphis full timeout","","57-72","",""
"235","10:31.0","D. Bane misses 3-pt jump shot from 26 ft","","57-72","",""
"236","10:29.0","","","57-72","","Defensive rebound by K. Thompson"
"237","10:15.0","","","57-72","","A. Wiggins misses 2-pt jump shot from 6 ft"
"238","10:13.0","","","57-72","","Offensive rebound by A. Wiggins"
"239","10:10.0","","","57-74","+2","A. Wiggins makes 2-pt layup at rim"
"240","10:04.0","J. Morant makes 2-pt jump shot from 16 ft","+2","59-74","",""
"241","9:46.0","","","59-76","+2","S. Curry makes 2-pt layup from 6 ft"
"242","9:34.0","J. Morant makes 2-pt jump shot from 6 ft","+2","61-76","",""
"243","9:16.0","","","61-78","+2","D. Green makes 2-pt jump shot from 11 ft (assist by K. Thompson)"
"244","9:01.0","Turnover by J. Morant (bad pass; steal by A. Wiggins)","","61-78","",""
"245","8:57.0","","","61-78","","Shooting foul by D. Bane (drawn by S. Curry)"
"246","8:57.0","","","61-79","+1","S. Curry makes free throw 1 of 2"
"247","8:57.0","","","61-80","+1","S. Curry makes free throw 2 of 2"
"248","8:47.0","J. Jackson misses 2-pt jump shot from 6 ft","","61-80","",""
"249","8:46.0","","","61-80","","Defensive rebound by D. Green"
"250","8:35.0","","","61-80","","S. Curry misses 3-pt jump shot from 31 ft"
"251","8:32.0","Defensive rebound by X. Tillman","","61-80","",""
"252","8:25.0","J. Morant misses 2-pt jump shot from 7 ft","","61-80","",""
"253","8:24.0","","","61-80","","Defensive rebound by Team"
"254","8:24.0","D. Melton enters the game for X. Tillman","","61-80","",""
"255","8:24.0","","","61-80","","J. Poole enters the game for O. Porter"
"256","8:10.0","","","61-80","","J. Poole misses 2-pt jump shot from 12 ft"
"257","8:08.0","Defensive rebound by Team","","61-80","",""
"258","7:52.0","D. Bane makes 2-pt layup from 7 ft (assist by J. Jackson)","+2","63-80","",""
"259","7:40.0","","","63-82","+2","J. Poole makes 2-pt layup from 4 ft (assist by D. Green)"
"260","7:35.0","J. Morant makes 2-pt jump shot from 7 ft","+2","65-82","",""
"261","7:35.0","Shooting foul by A. Wiggins (drawn by J. Morant)","","65-82","",""
"262","7:35.0","","","65-82","","Golden State full timeout"
"263","7:35.0","J. Morant makes free throw 1 of 1","+1","66-82","",""
"264","7:21.0","","","66-82","","S. Curry misses 3-pt jump shot from 23 ft"
"265","7:19.0","","","66-82","","Offensive rebound by Team"
"266","7:19.0","Loose ball foul by D. Melton (drawn by D. Green)","","66-82","",""
"267","7:09.0","","","66-85","+3","K. Thompson makes 3-pt jump shot from 28 ft (assist by D. Green)"
"268","6:56.0","D. Melton misses 3-pt jump shot from 25 ft","","66-85","",""
"269","6:54.0","","","66-85","","Defensive rebound by Team"
"270","6:34.0","","","66-85","","K. Thompson misses 3-pt jump shot from 24 ft"
"271","6:31.0","Defensive rebound by D. Melton","","66-85","",""
"272","6:28.0","D. Bane misses 3-pt jump shot from 30 ft","","66-85","",""
"273","6:23.0","","","66-85","","Defensive rebound by K. Thompson"
"274","6:11.0","","","66-87","+2","J. Poole makes 2-pt layup from 6 ft (assist by S. Curry)"
"275","6:11.0","Memphis full timeout","","66-87","",""
"276","5:50.0","Z. Williams misses 3-pt jump shot from 23 ft (block by A. Wiggins)","","66-87","",""
"277","5:48.0","Offensive rebound by J. Morant","","66-87","",""
"278","5:47.0","J. Morant misses 3-pt jump shot from 27 ft","","66-87","",""
"279","5:47.0","Offensive rebound by Team","","66-87","",""
"280","5:45.0","Turnover by Team (shot clock)","","66-87","",""
"281","5:35.0","","","66-87","","J. Poole misses 3-pt jump shot from 27 ft"
"282","5:33.0","Defensive rebound by D. Bane","","66-87","",""
"283","5:24.0","J. Morant makes 2-pt dunk from 4 ft","+2","68-87","",""
"284","5:09.0","","","68-87","","Shooting foul by D. Bane (drawn by D. Green)"
"285","5:09.0","","","68-87","","D. Green misses free throw 1 of 2"
"286","5:09.0","","","68-87","","Offensive rebound by Team"
"287","5:09.0","B. Clarke enters the game for D. Bane","","68-87","",""
"288","5:09.0","T. Jones enters the game for J. Jackson","","68-87","",""
"289","5:09.0","","","68-87","","J. Kuminga enters the game for K. Thompson"
"290","5:09.0","","","68-88","+1","D. Green makes free throw 2 of 2"
"291","5:02.0","Personal foul by A. Wiggins (drawn by J. Morant)","","68-88","",""
"292","4:56.0","D. Melton makes 3-pt jump shot from 23 ft (assist by J. Morant)","+3","71-88","",""
"293","4:42.0","","","71-88","","J. Poole misses 2-pt layup from 4 ft"
"294","4:39.0","Defensive rebound by D. Melton","","71-88","",""
"295","4:36.0","Turnover by D. Melton (traveling)","","71-88","",""
"296","4:16.0","","","71-91","+3","J. Poole makes 3-pt jump shot from 27 ft (assist by A. Wiggins)"
"297","3:56.0","Z. Williams misses 3-pt jump shot from 25 ft","","71-91","",""
"298","3:53.0","","","71-91","","Defensive rebound by D. Green"
"299","3:48.0","","","71-93","+2","J. Kuminga makes 2-pt layup from 4 ft (assist by D. Green)"
"300","3:29.0","J. Morant misses 2-pt jump shot from 18 ft","","71-93","",""
"301","3:29.0","Offensive rebound by Team","","71-93","",""
"302","3:29.0","","","71-93","","Loose ball foul by J. Kuminga (drawn by B. Clarke)"
"303","3:29.0","K. Anderson enters the game for Z. Williams","","71-93","",""
"304","3:29.0","","","71-93","","K. Looney enters the game for D. Green"
"305","3:29.0","","","71-93","","K. Thompson enters the game for A. Wiggins"
"306","3:17.0","K. Anderson misses 3-pt jump shot from 26 ft","","71-93","",""
"307","3:15.0","","","71-93","","Defensive rebound by K. Thompson"
"308","3:04.0","","","71-93","","Turnover by K. Thompson (bad pass; steal by J. Morant)"
"309","3:01.0","Shooting foul by S. Curry (drawn by T. Jones)","","71-93","",""
"310","3:01.0","T. Jones makes free throw 1 of 2","+1","72-93","",""
"311","3:01.0","T. Jones makes free throw 2 of 2","+1","73-93","",""
"312","2:45.0","","","73-93","","Offensive foul by J. Kuminga (drawn by B. Clarke)"
"313","2:45.0","","","73-93","","Turnover by J. Kuminga (offensive foul)"
"314","2:36.0","J. Morant misses 2-pt jump shot from 9 ft","","73-93","",""
"315","2:34.0","","","73-93","","Defensive rebound by K. Thompson"
"316","2:13.0","","","73-95","+2","S. Curry makes 2-pt layup from 5 ft"
"317","1:57.0","K. Anderson makes 3-pt jump shot from 22 ft (assist by T. Jones)","+3","76-95","",""
"318","1:35.0","","","76-95","","S. Curry misses 2-pt jump shot from 8 ft"
"319","1:33.0","","","76-95","","Offensive rebound by K. Looney"
"320","1:31.0","","","76-97","+2","K. Looney makes 2-pt layup at rim"
"321","1:26.0","T. Jones misses 2-pt jump shot from 9 ft","","76-97","",""
"322","1:25.0","","","76-97","","Defensive rebound by Team"
"323","1:09.0","","","76-99","+2","K. Looney makes 2-pt layup from 4 ft (assist by J. Kuminga)"
"324","0:46.0","J. Morant makes 2-pt dunk from 4 ft","+2","78-99","",""
"325","0:38.0","","","78-99","","S. Curry misses 3-pt jump shot from 29 ft"
"326","0:35.0","Defensive rebound by T. Jones","","78-99","",""
"327","0:31.0","T. Jones misses 3-pt jump shot from 27 ft","","78-99","",""
"328","0:28.0","","","78-99","","Defensive rebound by Team"
"329","0:28.0","Loose ball foul by B. Clarke (drawn by S. Curry)","","78-99","",""
"330","0:28.0","","","78-100","+1","S. Curry makes free throw 1 of 2"
"331","0:28.0","","","78-100","","J. Toscano-Anderson enters the game for J. Poole"
"332","0:28.0","","","78-101","+1","S. Curry makes free throw 2 of 2"
"333","0:07.0","J. Morant makes 2-pt layup from 5 ft","+2","80-101","",""
"334","0:00.0","","","80-101","","J. Toscano-Anderson misses 2-pt layup from 5 ft (block by K. Anderson)"
"335","0:00.0","","","80-101","","Offensive rebound by Team"
"336","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"337","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"338","Time","Memphis","","Score","","Golden State"
"339","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"340","11:43.0","J. Jackson makes 3-pt jump shot from 27 ft (assist by J. Morant)","+3","83-101","",""
"341","11:24.0","","","83-104","+3","J. Poole makes 3-pt jump shot from 29 ft (assist by K. Looney)"
"342","11:17.0","Personal foul by K. Looney (drawn by J. Jackson)","","83-104","",""
"343","11:14.0","Shooting foul by K. Looney (drawn by J. Jackson)","","83-104","",""
"344","11:14.0","J. Jackson makes free throw 1 of 2","+1","84-104","",""
"345","11:14.0","J. Jackson makes free throw 2 of 2","+1","85-104","",""
"346","11:03.0","","","85-106","+2","J. Poole makes 2-pt layup from 3 ft"
"347","10:52.0","K. Anderson makes 2-pt dunk from 4 ft (assist by T. Jones)","+2","87-106","",""
"348","10:45.0","","","87-106","","Shooting foul by J. Jackson (drawn by J. Poole)"
"349","10:45.0","","","87-107","+1","J. Poole makes free throw 1 of 2"
"350","10:45.0","","","87-108","+1","J. Poole makes free throw 2 of 2"
"351","10:23.0","D. Bane makes 3-pt jump shot from 22 ft (assist by J. Morant)","+3","90-108","",""
"352","10:06.0","","","90-110","+2","J. Poole makes 2-pt dunk from 5 ft"
"353","10:06.0","Memphis full timeout","","90-110","",""
"354","10:06.0","Z. Williams enters the game for T. Jones","","90-110","",""
"355","9:46.0","J. Jackson misses 3-pt jump shot from 24 ft","","90-110","",""
