"","Time","Memphis","","Score","","Golden State"
"194","4:51.0","Personal foul by K. Looney (drawn by S. Adams)","","48-44","",""
"195","4:51.0","","","48-44","","D. Lee enters the game for D. Green"
"196","4:48.0","Shooting foul by A. Wiggins (drawn by J. Jackson)","","48-44","",""
"197","4:48.0","J. Jackson makes free throw 1 of 2","+1","49-44","",""
"198","4:48.0","J. Jackson misses free throw 2 of 2","","49-44","",""
"199","4:47.0","","","49-44","","Defensive rebound by Team"
"200","4:32.0","","","49-44","","A. Wiggins misses 3-pt jump shot from 25 ft"
"201","4:29.0","Defensive rebound by D. Bane","","49-44","",""
"202","4:26.0","Shooting foul by D. Lee (drawn by D. Bane)","","49-44","",""
"203","4:26.0","","","49-44","","Golden State full timeout"
"204","4:26.0","","","49-44","","Instant Replay (Challenge: Stands)"
"205","4:26.0","","","49-44","","N. Bjelica enters the game for D. Lee"
"206","4:26.0","","","49-44","","D. Green enters the game for K. Looney"
"207","4:26.0","D. Bane makes free throw 1 of 2","+1","50-44","",""
"208","4:26.0","D. Bane makes free throw 2 of 2","+1","51-44","",""
"209","4:12.0","","","51-46","+2","D. Green makes 2-pt layup from 4 ft (assist by S. Curry)"
"210","3:52.0","D. Brooks misses 2-pt jump shot from 8 ft","","51-46","",""
"211","3:50.0","","","51-46","","Defensive rebound by K. Thompson"
"212","3:32.0","","","51-46","","Turnover by D. Green (bad pass; steal by D. Brooks)"
"213","3:24.0","D. Brooks misses 2-pt jump shot from 10 ft","","51-46","",""
"214","3:23.0","","","51-46","","Defensive rebound by Team"
"215","3:23.0","","","51-46","","Flagrant foul type 1 by D. Brooks (drawn by S. Curry)"
"216","3:23.0","Technical foul by D. Brooks","","51-46","",""
"217","3:23.0","","","51-46","","Technical foul by K. Thompson"
"218","3:23.0","","","51-46","","Instant Replay (Request: Ruling Stands)"
"219","3:23.0","","","51-47","+1","S. Curry makes flagrant free throw 1 of 2"
"220","3:23.0","","","51-47","","S. Curry misses flagrant free throw 2 of 2"
"221","3:23.0","","","51-47","","Offensive rebound by Team"
"222","3:23.0","B. Clarke enters the game for S. Adams","","51-47","",""
"223","3:09.0","","","51-47","","Turnover by S. Curry (bad pass)"
"224","2:52.0","D. Brooks misses 2-pt jump shot from 12 ft","","51-47","",""
"225","2:49.0","","","51-47","","Defensive rebound by D. Green"
"226","2:45.0","","","51-47","","S. Curry misses 3-pt jump shot from 29 ft"
"227","2:43.0","","","51-47","","Offensive rebound by N. Bjelica"
"228","2:39.0","","","51-47","","K. Thompson misses 3-pt jump shot from 27 ft"
"229","2:36.0","Defensive rebound by D. Brooks","","51-47","",""
"230","2:23.0","J. Jackson misses 2-pt hook shot from 8 ft","","51-47","",""
"231","2:20.0","","","51-47","","Defensive rebound by S. Curry"
"232","2:17.0","","","51-47","","Turnover by K. Thompson (out of bounds lost ball)"
"233","2:17.0","","","51-47","","J. Poole enters the game for N. Bjelica"
"234","2:08.0","J. Jackson misses 3-pt jump shot from 24 ft","","51-47","",""
"235","2:05.0","","","51-47","","Defensive rebound by K. Thompson"
"236","1:53.0","","","51-47","","A. Wiggins misses 2-pt layup from 5 ft (block by J. Jackson)"
"237","1:49.0","Defensive rebound by T. Jones","","51-47","",""
"238","1:46.0","B. Clarke misses 2-pt layup from 6 ft","","51-47","",""
"239","1:44.0","","","51-47","","Defensive rebound by K. Thompson"
"240","1:42.0","","","51-47","","Shooting foul by D. Bane (drawn by D. Green)"
"241","1:42.0","","","51-48","+1","D. Green makes free throw 1 of 2"
"242","1:42.0","Z. Williams enters the game for D. Brooks","","51-48","",""
"243","1:42.0","","","51-49","+1","D. Green makes free throw 2 of 2"
"244","1:30.0","Turnover by T. Jones (bad pass; steal by S. Curry)","","51-49","",""
"245","1:26.0","","","51-51","+2","S. Curry makes 2-pt layup from 5 ft"
"246","1:15.0","D. Bane misses 2-pt layup from 4 ft (block by A. Wiggins)","","51-51","",""
"247","1:13.0","","","51-51","","Defensive rebound by D. Green"
"248","1:07.0","","","51-51","","J. Poole misses 3-pt jump shot from 27 ft"
"249","1:05.0","","","51-51","","Offensive rebound by A. Wiggins"
"250","1:01.0","","","51-51","","J. Poole misses 3-pt jump shot from 27 ft"
"251","0:58.0","Defensive rebound by J. Jackson","","51-51","",""
"252","0:51.0","D. Bane misses 2-pt layup from 8 ft (block by J. Poole)","","51-51","",""
"253","0:51.0","","","51-51","","Defensive rebound by Team"
"254","0:45.0","","","51-51","","Shooting foul by J. Jackson (drawn by S. Curry)"
"255","0:45.0","","","51-52","+1","S. Curry makes free throw 1 of 2"
"256","0:45.0","D. Brooks enters the game for T. Jones","","51-52","",""
"257","0:45.0","","","51-52","","K. Looney enters the game for D. Green"
"258","0:45.0","","","51-53","+1","S. Curry makes free throw 2 of 2"
"259","0:23.0","J. Jackson misses 2-pt layup from 6 ft","","51-53","",""
"260","0:21.0","Offensive rebound by B. Clarke","","51-53","",""
"261","0:19.0","B. Clarke misses 2-pt layup at rim","","51-53","",""
"262","0:18.0","","","51-53","","Defensive rebound by K. Looney"
"263","0:01.0","","","51-53","","S. Curry misses 2-pt layup from 8 ft"
"264","0:00.0","","","51-53","","Offensive rebound by Team"
"265","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"266","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"267","Time","Memphis","","Score","","Golden State"
"268","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"269","11:40.0","","","51-53","","D. Green misses 3-pt jump shot from 27 ft"
"270","11:38.0","Defensive rebound by S. Adams","","51-53","",""
"271","11:15.0","D. Brooks misses 2-pt jump shot from 16 ft (block by S. Curry)","","51-53","",""
"272","11:14.0","Offensive rebound by D. Brooks","","51-53","",""
"273","11:14.0","D. Brooks misses 2-pt layup from 4 ft","","51-53","",""
"274","11:14.0","Offensive rebound by Team","","51-53","",""
"275","11:13.0","Turnover by Team (shot clock)","","51-53","",""
"276","10:57.0","","","51-53","","A. Wiggins misses 2-pt jump shot from 19 ft"
"277","10:54.0","","","51-53","","Offensive rebound by A. Wiggins"
"278","10:49.0","","","51-53","","K. Thompson misses 3-pt jump shot from 26 ft"
"279","10:46.0","Defensive rebound by D. Bane","","51-53","",""
"280","10:38.0","D. Brooks makes 2-pt layup from 9 ft (assist by D. Bane)","+2","53-53","",""
"281","10:22.0","","","53-53","","S. Curry misses 3-pt jump shot from 27 ft"
"282","10:19.0","Defensive rebound by J. Jackson","","53-53","",""
"283","10:15.0","J. Jackson misses 2-pt layup from 5 ft (block by K. Looney)","","53-53","",""
"284","10:14.0","Offensive rebound by Team","","53-53","",""
"285","10:07.0","J. Jackson misses 2-pt jump shot from 4 ft","","53-53","",""
"286","10:06.0","Offensive rebound by S. Adams","","53-53","",""
"287","10:06.0","Shooting foul by K. Thompson (drawn by S. Adams)","","53-53","",""
"288","10:06.0","S. Adams misses free throw 1 of 2","","53-53","",""
"289","10:06.0","Offensive rebound by Team","","53-53","",""
"290","10:06.0","S. Adams makes free throw 2 of 2","+1","54-53","",""
"291","9:52.0","","","54-53","","K. Thompson misses 3-pt jump shot from 23 ft"
"292","9:50.0","","","54-53","","Offensive rebound by A. Wiggins"
"293","9:48.0","","","54-55","+2","A. Wiggins makes 2-pt layup at rim"
"294","9:34.0","T. Jones misses 2-pt layup from 4 ft (block by A. Wiggins)","","54-55","",""
"295","9:32.0","","","54-55","","Defensive rebound by K. Looney"
"296","9:31.0","","","54-55","","K. Thompson misses 2-pt layup from 5 ft"
"297","9:30.0","Defensive rebound by Team","","54-55","",""
"298","9:18.0","Personal foul by A. Wiggins (drawn by S. Adams)","","54-55","",""
"299","9:12.0","D. Brooks misses 3-pt jump shot from 24 ft","","54-55","",""
"300","9:10.0","","","54-55","","Defensive rebound by D. Green"
"301","9:02.0","","","54-55","","Turnover by D. Green (lost ball; steal by T. Jones)"
"302","8:58.0","Shooting foul by K. Thompson (drawn by D. Bane)","","54-55","",""
"303","8:58.0","D. Bane misses free throw 1 of 2","","54-55","",""
"304","8:58.0","Offensive rebound by Team","","54-55","",""
"305","8:58.0","D. Bane makes free throw 2 of 2","+1","55-55","",""
"306","8:39.0","","","55-55","","S. Curry misses 3-pt jump shot from 26 ft"
"307","8:37.0","Defensive rebound by T. Jones","","55-55","",""
"308","8:27.0","T. Jones misses 2-pt jump shot from 9 ft","","55-55","",""
"309","8:22.0","","","55-55","","Defensive rebound by K. Looney"
"310","8:18.0","","","55-58","+3","K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green)"
"311","7:55.0","D. Brooks makes 3-pt jump shot from 27 ft (assist by S. Adams)","+3","58-58","",""
"312","7:46.0","","","58-61","+3","K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green)"
"313","7:23.0","T. Jones misses 3-pt jump shot from 28 ft","","58-61","",""
"314","7:22.0","","","58-61","","Defensive rebound by Team"
"315","7:15.0","","","58-63","+2","K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Curry)"
"316","6:55.0","J. Jackson makes 3-pt jump shot from 27 ft","+3","61-63","",""
"317","6:35.0","","","61-65","+2","K. Looney makes 2-pt dunk from 4 ft (assist by D. Green)"
"318","6:19.0","D. Bane makes 3-pt jump shot from 26 ft (assist by T. Jones)","+3","64-65","",""
"319","6:03.0","","","64-67","+2","D. Green makes 2-pt jump shot from 11 ft (assist by S. Curry)"
"320","5:42.0","D. Bane makes 2-pt layup from 4 ft (assist by T. Jones)","+2","66-67","",""
"321","5:36.0","","","66-69","+2","K. Thompson makes 2-pt layup from 5 ft (assist by D. Green)"
"322","5:32.0","Offensive foul by T. Jones (drawn by A. Wiggins)","","66-69","",""
"323","5:32.0","Turnover by T. Jones (offensive foul)","","66-69","",""
"324","5:32.0","","","66-69","","Golden State full timeout"
"325","5:32.0","B. Clarke enters the game for S. Adams","","66-69","",""
"326","5:21.0","","","66-69","","S. Curry misses 3-pt jump shot from 26 ft"
"327","5:20.0","","","66-69","","Offensive rebound by Team"
"328","5:20.0","Loose ball foul by T. Jones (drawn by A. Wiggins)","","66-69","",""
"329","5:20.0","","","66-69","","J. Poole enters the game for K. Looney"
"330","5:12.0","","","66-69","","Turnover by S. Curry (bad pass)"
"331","4:59.0","B. Clarke misses 2-pt jump shot from 8 ft","","66-69","",""
"332","4:57.0","","","66-69","","Defensive rebound by D. Green"
"333","4:53.0","","","66-69","","Turnover by D. Green (bad pass)"
"334","4:41.0","J. Jackson makes 2-pt hook shot from 7 ft (assist by D. Brooks)","+2","68-69","",""
"335","4:26.0","","","68-69","","K. Thompson misses 2-pt jump shot from 16 ft"
"336","4:23.0","Defensive rebound by T. Jones","","68-69","",""
"337","4:18.0","T. Jones misses 3-pt jump shot from 28 ft","","68-69","",""
"338","4:16.0","","","68-69","","Defensive rebound by K. Thompson"
"339","4:14.0","","","68-69","","Turnover by K. Thompson (bad pass)"
"340","4:14.0","D. Melton enters the game for D. Bane","","68-69","",""
"341","4:01.0","J. Jackson misses 2-pt hook shot from 9 ft","","68-69","",""
"342","3:59.0","","","68-69","","Defensive rebound by D. Green"
"343","3:48.0","","","68-72","+3","A. Wiggins makes 3-pt jump shot from 26 ft (assist by S. Curry)"
"344","3:32.0","B. Clarke misses 2-pt hook shot from 6 ft","","68-72","",""
"345","3:30.0","","","68-72","","Defensive rebound by J. Poole"
"346","3:24.0","","","68-72","","S. Curry misses 3-pt jump shot from 26 ft"
"347","3:21.0","Defensive rebound by J. Jackson","","68-72","",""
"348","3:16.0","D. Melton misses 2-pt layup from 6 ft (block by A. Wiggins)","","68-72","",""
"349","3:16.0","Offensive rebound by D. Melton","","68-72","",""
"350","3:16.0","Turnover by D. Melton (bad pass)","","68-72","",""
"351","3:13.0","Loose ball foul by J. Jackson (drawn by J. Poole)","","68-72","",""
"352","3:13.0","","","68-72","","D. Lee enters the game for K. Thompson"
"353","3:02.0","","","68-72","","D. Lee misses 3-pt jump shot from 27 ft"
"354","2:59.0","Defensive rebound by D. Brooks","","68-72","",""
"355","2:56.0","Memphis full timeout","","68-72","",""
"356","2:56.0","K. Anderson enters the game for J. Jackson","","68-72","",""
"357","2:46.0","T. Jones misses 2-pt jump shot from 10 ft","","68-72","",""
"358","2:45.0","","","68-72","","Defensive rebound by Team"
"359","2:34.0","","","68-74","+2","J. Poole makes 2-pt layup from 5 ft"
"360","2:14.0","Shooting foul by D. Green (drawn by B. Clarke)","","68-74","",""
"361","2:14.0","B. Clarke makes free throw 1 of 2","+1","69-74","",""
"362","2:14.0","D. Bane enters the game for T. Jones","","69-74","",""
"363","2:14.0","","","69-74","","N. Bjelica enters the game for D. Green"
"364","2:14.0","","","69-74","","K. Looney enters the game for D. Lee"
"365","2:14.0","","","69-74","","K. Thompson enters the game for A. Wiggins"
