"","Time","Golden State","","Score","","Memphis"
"95","2:56.0","","","19-22","","Memphis full timeout"
"96","2:56.0","","","19-22","","T. Jones enters the game for D. Melton"
"97","2:32.0","","","19-22","","Z. Williams misses 3-pt jump shot from 25 ft"
"98","2:27.0","Defensive rebound by K. Looney","","19-22","",""
"99","2:13.0","Turnover by D. Lee (bad pass; steal by J. Morant)","","19-22","",""
"100","2:06.0","","","19-22","","Shooting foul by O. Porter (drawn by J. Morant)"
"101","2:06.0","","","19-23","+1","J. Morant makes free throw 1 of 2"
"102","2:06.0","","","19-23","","D. Bane enters the game for Z. Williams"
"103","2:06.0","","","19-24","+1","J. Morant makes free throw 2 of 2"
"104","1:47.0","D. Lee makes 2-pt jump shot from 13 ft (assist by O. Porter)","+2","21-24","",""
"105","1:36.0","","","21-24","","Shooting foul by K. Looney (drawn by J. Jackson)"
"106","1:36.0","","","21-25","+1","J. Jackson makes free throw 1 of 2"
"107","1:36.0","J. Poole enters the game for D. Lee","","21-25","",""
"108","1:36.0","","","21-26","+1","J. Jackson makes free throw 2 of 2"
"109","1:25.0","S. Curry misses 2-pt jump shot from 13 ft","","21-26","",""
"110","1:22.0","Offensive rebound by O. Porter","","21-26","",""
"111","1:22.0","O. Porter misses 2-pt layup from 1 ft","","21-26","",""
"112","1:21.0","","","21-26","","Defensive rebound by J. Jackson"
"113","1:17.0","","","21-28","+2","J. Jackson makes 2-pt jump shot from 7 ft"
"114","1:08.0","Personal foul by K. Anderson (drawn by S. Curry)","","21-28","",""
"115","1:08.0","S. Curry makes free throw 1 of 2","+1","22-28","",""
"116","1:08.0","S. Curry makes free throw 2 of 2","+1","23-28","",""
"117","0:59.0","","","23-30","+2","J. Morant makes 2-pt layup from 1 ft"
"118","0:52.0","J. Poole misses 2-pt layup from 3 ft","","23-30","",""
"119","0:48.0","Offensive rebound by J. Poole","","23-30","",""
"120","0:45.0","S. Curry misses 3-pt jump shot from 25 ft","","23-30","",""
"121","0:43.0","","","23-30","","Defensive rebound by T. Jones"
"122","0:32.0","","","23-30","","D. Bane misses 2-pt jump shot from 13 ft"
"123","0:30.0","Defensive rebound by K. Looney","","23-30","",""
"124","0:24.0","K. Thompson makes 2-pt jump shot from 17 ft","+2","25-30","",""
"125","0:01.0","","","25-33","+3","J. Jackson makes 3-pt jump shot from 23 ft (assist by J. Morant)"
"126","0:00.0","S. Curry misses 3-pt jump shot from 50 ft","","25-33","",""
"127","0:00.0","Offensive rebound by Team","","25-33","",""
"128","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"129","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"130","Time","Golden State","","Score","","Memphis"
"131","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"132","11:47.0","K. Thompson misses 2-pt layup from 2 ft","","25-33","",""
"133","11:44.0","Offensive rebound by D. Green","","25-33","",""
"134","11:43.0","J. Poole makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","28-33","",""
"135","11:29.0","","","28-35","+2","B. Clarke makes 2-pt layup from 1 ft (assist by J. Konchar)"
"136","11:15.0","K. Thompson makes 3-pt jump shot from 23 ft (assist by O. Porter)","+3","31-35","",""
"137","10:52.0","","","31-35","","Personal foul by D. Green (drawn by J. Jackson)"
"138","10:44.0","","","31-35","","D. Bane misses 2-pt jump shot from 13 ft"
"139","10:40.0","Defensive rebound by O. Porter","","31-35","",""
"140","10:35.0","K. Thompson misses 3-pt jump shot from 27 ft","","31-35","",""
"141","10:30.0","","","31-35","","Defensive rebound by T. Jones"
"142","10:22.0","","","31-35","","T. Jones misses 3-pt jump shot from 24 ft"
"143","10:19.0","Defensive rebound by K. Thompson","","31-35","",""
"144","10:11.0","Turnover by J. Poole (lost ball; steal by T. Jones)","","31-35","",""
"145","9:57.0","","","31-35","","J. Jackson misses 2-pt layup from 1 ft (block by D. Green)"
"146","9:57.0","Defensive rebound by Team","","31-35","",""
"147","9:35.0","A. Wiggins makes 2-pt dunk from 1 ft (assist by J. Poole)","+2","33-35","",""
"148","9:15.0","","","33-37","+2","B. Clarke makes 2-pt dunk from 1 ft (assist by T. Jones)"
"149","9:00.0","D. Green misses 3-pt jump shot from 25 ft","","33-37","",""
"150","8:58.0","Offensive rebound by A. Wiggins","","33-37","",""
"151","8:46.0","J. Poole makes 2-pt layup from 1 ft","+2","35-37","",""
"152","8:46.0","Shooting foul by J. Jackson (drawn by J. Poole)","","35-37","",""
"153","8:46.0","","","35-37","","Memphis full timeout"
"154","8:46.0","J. Poole makes free throw 1 of 1","+1","36-37","",""
"155","8:32.0","","","36-37","","Shooting foul by D. Green (drawn by J. Jackson)"
"156","8:32.0","","","36-38","+1","J. Jackson makes free throw 1 of 2"
"157","8:32.0","","","36-39","+1","J. Jackson makes free throw 2 of 2"
"158","8:15.0","J. Poole misses 3-pt jump shot from 26 ft","","36-39","",""
"159","8:11.0","Offensive rebound by O. Porter","","36-39","",""
"160","8:09.0","K. Thompson misses 3-pt jump shot from 25 ft","","36-39","",""
"161","8:08.0","","","36-39","","Defensive rebound by J. Jackson"
"162","8:06.0","","","36-39","","Turnover by J. Jackson (lost ball)"
"163","8:06.0","","","36-39","","Loose ball foul by J. Jackson (drawn by O. Porter)"
"164","7:55.0","Turnover by D. Green (lost ball; steal by T. Jones)","","36-39","",""
"165","7:50.0","","","36-39","","T. Jones misses 3-pt jump shot from 25 ft"
"166","7:47.0","Defensive rebound by D. Green","","36-39","",""
"167","7:40.0","","","36-39","","Violation by Team (kicked ball)"
"168","7:40.0","","","36-39","","K. Anderson enters the game for B. Clarke"
"169","7:40.0","","","36-39","","J. Morant enters the game for J. Konchar"
"170","7:32.0","Turnover by A. Wiggins (step out of bounds)","","36-39","",""
"171","7:13.0","","","36-39","","J. Morant misses 2-pt jump shot from 17 ft"
"172","7:10.0","Defensive rebound by D. Green","","36-39","",""
"173","6:53.0","O. Porter misses 3-pt jump shot from 24 ft","","36-39","",""
"174","6:50.0","","","36-39","","Defensive rebound by J. Morant"
"175","6:38.0","","","36-39","","K. Anderson misses 3-pt jump shot from 23 ft"
"176","6:35.0","Defensive rebound by D. Green","","36-39","",""
"177","6:33.0","Offensive foul by O. Porter (drawn by D. Bane)","","36-39","",""
"178","6:33.0","Turnover by O. Porter (offensive foul)","","36-39","",""
"179","6:33.0","S. Curry enters the game for K. Thompson","","36-39","",""
"180","6:33.0","","","36-39","","D. Melton enters the game for D. Bane"
"181","6:22.0","","","36-39","","Personal foul by O. Porter (drawn by J. Jackson)"
"182","6:22.0","J. Kuminga enters the game for O. Porter","","36-39","",""
"183","6:19.0","","","36-39","","K. Anderson misses 3-pt jump shot from 25 ft"
"184","6:16.0","Defensive rebound by D. Green","","36-39","",""
"185","6:05.0","A. Wiggins misses 3-pt jump shot from 25 ft","","36-39","",""
"186","6:02.0","","","36-39","","Defensive rebound by D. Melton"
"187","5:51.0","","","36-42","+3","D. Melton makes 3-pt jump shot from 25 ft (assist by K. Anderson)"
"188","5:49.0","Golden State full timeout","","36-42","",""
"189","5:49.0","","","36-42","","B. Clarke enters the game for J. Jackson"
"190","5:49.0","","","36-42","","Z. Williams enters the game for T. Jones"
"191","5:25.0","J. Kuminga misses 2-pt jump shot from 11 ft","","36-42","",""
"192","5:22.0","Offensive rebound by A. Wiggins","","36-42","",""
"193","5:19.0","S. Curry makes 2-pt jump shot from 13 ft (assist by A. Wiggins)","+2","38-42","",""
"194","5:02.0","","","38-42","","Personal foul by J. Poole (drawn by J. Morant)"
"195","4:47.0","","","38-42","","Turnover by Team (shot clock)"
"196","4:37.0","J. Kuminga makes 2-pt dunk from 1 ft (assist by D. Green)","+2","40-42","",""
"197","4:07.0","","","40-42","","K. Anderson misses 2-pt hook shot from 10 ft"
"198","4:02.0","","","40-42","","Offensive rebound by Z. Williams"
"199","4:02.0","","","40-44","+2","Z. Williams makes 2-pt dunk at rim"
"200","3:44.0","A. Wiggins makes 2-pt layup from 3 ft (assist by D. Green)","+2","42-44","",""
"201","3:25.0","","","42-44","","D. Melton misses 2-pt jump shot from 22 ft"
"202","3:24.0","Defensive rebound by Team","","42-44","",""
"203","3:24.0","","","42-44","","Loose ball foul by B. Clarke (drawn by A. Wiggins)"
"204","3:24.0","K. Thompson enters the game for A. Wiggins","","42-44","",""
"205","3:24.0","","","42-44","","J. Jackson enters the game for B. Clarke"
"206","3:09.0","J. Poole misses 3-pt jump shot from 23 ft","","42-44","",""
"207","3:05.0","","","42-44","","Defensive rebound by J. Morant"
"208","2:59.0","","","42-46","+2","J. Morant makes 2-pt jump shot from 16 ft"
"209","2:45.0","K. Thompson makes 2-pt layup from 2 ft (assist by D. Green)","+2","44-46","",""
"210","2:22.0","","","44-46","","J. Morant misses 3-pt jump shot from 26 ft"
"211","2:18.0","Defensive rebound by S. Curry","","44-46","",""
"212","2:10.0","Turnover by J. Poole (lost ball; steal by K. Anderson)","","44-46","",""
"213","2:08.0","","","44-46","","Turnover by K. Anderson (bad pass)"
"214","2:08.0","","","44-46","","T. Jones enters the game for K. Anderson"
"215","1:54.0","K. Thompson misses 3-pt jump shot from 26 ft","","44-46","",""
"216","1:51.0","","","44-46","","Defensive rebound by Z. Williams"
"217","1:43.0","","","44-46","","J. Jackson misses 2-pt layup from 8 ft"
"218","1:38.0","","","44-46","","Offensive rebound by J. Jackson"
"219","1:38.0","","","44-46","","J. Jackson misses 2-pt layup at rim"
"220","1:37.0","Defensive rebound by J. Kuminga","","44-46","",""
"221","1:36.0","S. Curry misses 2-pt layup from 1 ft (block by D. Melton)","","44-46","",""
"222","1:30.0","Offensive rebound by J. Kuminga","","44-46","",""
"223","1:30.0","J. Kuminga misses 2-pt layup at rim","","44-46","",""
"224","1:29.0","","","44-46","","Defensive rebound by J. Morant"
"225","1:25.0","","","44-48","+2","J. Morant makes 2-pt dunk from 3 ft"
"226","1:17.0","J. Kuminga makes 2-pt layup from 2 ft","+2","46-48","",""
"227","1:17.0","Shooting foul by Z. Williams (drawn by J. Kuminga)","","46-48","",""
"228","1:17.0","","","46-48","","X. Tillman enters the game for J. Jackson"
"229","1:17.0","J. Kuminga makes free throw 1 of 1","+1","47-48","",""
"230","1:06.0","","","47-48","","Personal foul by J. Poole (drawn by J. Morant)"
"231","1:06.0","","","47-48","","J. Morant misses free throw 1 of 2"
"232","1:06.0","","","47-48","","Offensive rebound by Team"
"233","1:06.0","A. Wiggins enters the game for J. Poole","","47-48","",""
"234","1:06.0","","","47-49","+1","J. Morant makes free throw 2 of 2"
"235","0:47.0","S. Curry misses 2-pt layup from 2 ft","","47-49","",""
"236","0:44.0","","","47-49","","Defensive rebound by D. Melton"
"237","0:41.0","","","47-52","+3","Z. Williams makes 3-pt jump shot from 24 ft (assist by D. Melton)"
"238","0:32.0","S. Curry makes 2-pt layup from 1 ft","+2","49-52","",""
"239","0:11.0","","","49-54","+2","J. Morant makes 2-pt jump shot from 5 ft"
"240","0:06.0","Personal foul by Z. Williams (drawn by J. Kuminga)","","49-54","",""
"241","0:06.0","J. Kuminga makes free throw 1 of 2","+1","50-54","",""
"242","0:06.0","K. Looney enters the game for S. Curry","","50-54","",""
"243","0:06.0","J. Toscano-Anderson enters the game for D. Green","","50-54","",""
"244","0:06.0","","","50-54","","D. Bane enters the game for D. Melton"
"245","0:06.0","J. Kuminga makes free throw 2 of 2","+1","51-54","",""
"246","0:05.0","","","51-54","","Personal foul by A. Wiggins (drawn by J. Morant)"
"247","0:05.0","","","51-55","+1","J. Morant makes free throw 1 of 2"
"248","0:05.0","S. Curry enters the game for K. Looney","","51-55","",""
"249","0:05.0","D. Green enters the game for J. Toscano-Anderson","","51-55","",""
"250","0:05.0","J. Poole enters the game for A. Wiggins","","51-55","",""
"251","0:05.0","","","51-55","","K. Anderson enters the game for D. Bane"
"252","0:05.0","","","51-55","","D. Melton enters the game for T. Jones"
"253","0:05.0","","","51-56","+1","J. Morant makes free throw 2 of 2"
"254","0:00.0","J. Poole misses 3-pt jump shot from 26 ft","","51-56","",""
"255","0:00.0","Offensive rebound by Team","","51-56","",""
"256","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"257","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"258","Time","Golden State","","Score","","Memphis"
"259","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"260","11:49.0","S. Curry misses 3-pt jump shot from 25 ft","","51-56","",""
"261","11:47.0","Offensive rebound by A. Wiggins","","51-56","",""
"262","11:42.0","K. Thompson misses 3-pt jump shot from 24 ft","","51-56","",""
"263","11:36.0","Offensive rebound by S. Curry","","51-56","",""
"264","11:35.0","S. Curry misses 3-pt jump shot from 27 ft","","51-56","",""
"265","11:33.0","","","51-56","","Defensive rebound by X. Tillman"
"266","11:18.0","","","51-59","+3","J. Morant makes 3-pt jump shot from 27 ft"
"267","11:00.0","S. Curry misses 2-pt layup from 2 ft (block by J. Jackson)","","51-59","",""
"268","10:57.0","Offensive rebound by S. Curry","","51-59","",""
"269","10:55.0","A. Wiggins misses 3-pt jump shot from 23 ft","","51-59","",""
"270","10:52.0","","","51-59","","Defensive rebound by J. Jackson"
"271","10:46.0","","","51-61","+2","X. Tillman makes 2-pt layup from 4 ft (assist by J. Morant)"
"272","10:46.0","","","51-61","","Shooting foul by S. Curry (drawn by X. Tillman)"
"273","10:46.0","","","51-62","+1","X. Tillman makes free throw 1 of 1"
"274","10:33.0","D. Green makes 2-pt layup from 5 ft (assist by S. Curry)","+2","53-62","",""
"275","10:16.0","","","53-62","","J. Jackson misses 3-pt jump shot from 26 ft"
"276","10:12.0","Defensive rebound by S. Curry","","53-62","",""
"277","10:12.0","D. Green makes 2-pt layup from 1 ft (assist by S. Curry)","+2","55-62","",""
"278","10:12.0","","","55-62","","Violation by Team (def goaltending)"
"279","9:55.0","","","55-65","+3","Z. Williams makes 3-pt jump shot from 25 ft (assist by X. Tillman)"
"280","9:45.0","K. Thompson misses 3-pt jump shot from 28 ft","","55-65","",""
"281","9:44.0","Offensive rebound by Team","","55-65","",""
"282","9:44.0","","","55-65","","Loose ball foul by Z. Williams (drawn by A. Wiggins)"
"283","9:36.0","K. Thompson misses 3-pt jump shot from 24 ft","","55-65","",""
"284","9:33.0","","","55-65","","Defensive rebound by X. Tillman"
"285","9:28.0","","","55-65","","J. Jackson misses 3-pt jump shot from 26 ft"
"286","9:26.0","Defensive rebound by K. Thompson","","55-65","",""
"287","9:15.0","J. Poole makes 2-pt layup from 3 ft","+2","57-65","",""
"288","9:07.0","","","57-65","","Turnover by J. Morant (bad pass; steal by K. Thompson)"
"289","9:03.0","J. Poole makes 2-pt dunk from 1 ft (assist by K. Thompson)","+2","59-65","",""
"290","8:54.0","","","59-65","","Turnover by D. Bane (bad pass; steal by K. Thompson)"
"291","8:47.0","A. Wiggins makes 2-pt dunk from 1 ft (assist by J. Poole)","+2","61-65","",""
"292","8:47.0","","","61-65","","Memphis full timeout"
"293","8:36.0","","","61-65","","Personal foul by J. Poole (drawn by Z. Williams)"
"294","8:21.0","","","61-65","","J. Jackson misses 2-pt hook shot from 9 ft"
"295","8:17.0","","","61-65","","Offensive rebound by J. Jackson"
"296","8:17.0","","","61-65","","J. Jackson misses 2-pt layup at rim"
"297","8:17.0","","","61-65","","Offensive rebound by X. Tillman"
"298","8:14.0","","","61-65","","X. Tillman misses 2-pt layup at rim"
"299","8:13.0","","","61-65","","Offensive rebound by X. Tillman"
"300","8:10.0","","","61-65","","J. Morant misses 2-pt jump shot from 6 ft"
"301","8:10.0","","","61-65","","Offensive rebound by J. Morant"
"302","8:07.0","","","61-65","","J. Morant misses 2-pt layup at rim"
"303","8:05.0","Defensive rebound by A. Wiggins","","61-65","",""
"304","8:01.0","K. Thompson misses 2-pt jump shot from 9 ft","","61-65","",""
"305","7:58.0","","","61-65","","Defensive rebound by D. Bane"
"306","7:45.0","","","61-65","","Z. Williams misses 3-pt jump shot from 23 ft"
"307","7:42.0","","","61-65","","Offensive rebound by D. Bane"
"308","7:40.0","","","61-68","+3","D. Bane makes 3-pt jump shot from 25 ft"
"309","7:22.0","K. Thompson misses 2-pt jump shot from 10 ft","","61-68","",""
"310","7:20.0","","","61-68","","Defensive rebound by J. Jackson"
"311","7:16.0","","","61-68","","D. Bane misses 3-pt jump shot from 23 ft"
"312","7:11.0","Defensive rebound by D. Green","","61-68","",""
"313","7:03.0","Turnover by S. Curry (bad pass; steal by X. Tillman)","","61-68","",""
"314","7:00.0","","","61-70","+2","X. Tillman makes 2-pt dunk at rim"
"315","7:00.0","Golden State full timeout","","61-70","",""
"316","6:46.0","D. Green misses 2-pt jump shot from 7 ft (block by J. Jackson)","","61-70","",""
"317","6:41.0","","","61-70","","Defensive rebound by J. Morant"
"318","6:40.0","","","61-70","","J. Morant misses 2-pt layup from 2 ft (block by A. Wiggins)"
"319","6:35.0","Defensive rebound by D. Green","","61-70","",""
"320","6:24.0","Shooting foul by J. Jackson (drawn by A. Wiggins)","","61-70","",""
"321","6:24.0","A. Wiggins makes free throw 1 of 2","+1","62-70","",""
"322","6:24.0","","","62-70","","T. Jones enters the game for Z. Williams"
"323","6:24.0","A. Wiggins misses free throw 2 of 2","","62-70","",""
"324","6:21.0","","","62-70","","Defensive rebound by D. Bane"
"325","6:05.0","","","62-72","+2","D. Bane makes 2-pt jump shot from 9 ft (assist by J. Morant)"
"326","5:54.0","Personal foul by J. Morant (drawn by S. Curry)","","62-72","",""
"327","5:54.0","O. Porter enters the game for K. Thompson","","62-72","",""
"328","5:44.0","Turnover by D. Green (bad pass)","","62-72","",""
"329","5:44.0","","","62-72","","B. Clarke enters the game for X. Tillman"
"330","5:22.0","","","62-72","","J. Jackson misses 3-pt jump shot from 23 ft"
"331","5:18.0","Defensive rebound by A. Wiggins","","62-72","",""
"332","5:10.0","J. Poole makes 2-pt layup from 1 ft (assist by D. Green)","+2","64-72","",""
"333","5:00.0","","","64-74","+2","B. Clarke makes 2-pt jump shot from 12 ft (assist by T. Jones)"
"334","4:36.0","A. Wiggins misses 2-pt jump shot from 11 ft","","64-74","",""
"335","4:36.0","Offensive rebound by Team","","64-74","",""
"336","4:36.0","","","64-74","","Loose ball foul by J. Jackson (drawn by O. Porter)"
"337","4:36.0","","","64-74","","K. Anderson enters the game for J. Jackson"
"338","4:28.0","A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Poole)","+3","67-74","",""
"339","4:24.0","","","67-74","","Personal foul by J. Poole (drawn by B. Clarke)"
"340","4:24.0","K. Thompson enters the game for J. Poole","","67-74","",""
"341","4:24.0","","","67-74","","D. Melton enters the game for D. Bane"
"342","4:05.0","","","67-74","","Turnover by D. Melton (bad pass)"
"343","3:59.0","A. Wiggins misses 3-pt jump shot from 23 ft","","67-74","",""
"344","3:56.0","","","67-74","","Defensive rebound by B. Clarke"
"345","3:51.0","","","67-74","","D. Melton misses 3-pt jump shot from 25 ft"
"346","3:47.0","Defensive rebound by A. Wiggins","","67-74","",""
"347","3:39.0","S. Curry misses 3-pt jump shot from 25 ft","","67-74","",""
"348","3:37.0","Offensive rebound by A. Wiggins","","67-74","",""
"349","3:37.0","Personal foul by K. Anderson (drawn by A. Wiggins)","","67-74","",""
"350","3:37.0","A. Wiggins makes free throw 1 of 2","+1","68-74","",""
"351","3:37.0","J. Kuminga enters the game for D. Green","","68-74","",""
"352","3:37.0","A. Wiggins makes free throw 2 of 2","+1","69-74","",""
"353","3:26.0","","","69-74","","J. Morant misses 3-pt jump shot from 27 ft"
"354","3:23.0","","","69-74","","Offensive rebound by D. Melton"
"355","3:21.0","","","69-74","","Turnover by D. Melton (bad pass; steal by K. Thompson)"
"356","3:08.0","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)"
"357","3:02.0","S. Curry makes 2-pt layup from 1 ft","+2","71-74","",""
