"","Time","Denver","","Score","","Golden State"
"77","1:33.0","D. Cousins misses 2-pt layup from 7 ft","","25-24","",""
"78","1:31.0","","","25-24","","Defensive rebound by N. Bjelica"
"79","1:22.0","","","25-24","","N. Bjelica misses 3-pt jump shot from 29 ft"
"80","1:19.0","Defensive rebound by J. Green","","25-24","",""
"81","1:04.0","B. Forbes misses 3-pt jump shot from 27 ft","","25-24","",""
"82","1:03.0","Offensive rebound by Team","","25-24","",""
"83","1:03.0","","","25-24","","Loose ball foul by N. Bjelica (drawn by D. Cousins)"
"84","1:03.0","D. Cousins makes free throw 1 of 2","+1","26-24","",""
"85","1:03.0","D. Cousins makes free throw 2 of 2","+1","27-24","",""
"86","0:57.0","","","27-24","","Personal foul by B. Forbes (drawn by O. Porter)"
"87","0:46.0","","","27-26","+2","O. Porter makes 2-pt jump shot from 19 ft (assist by A. Iguodala)"
"88","0:27.0","Turnover by A. Rivers (lost ball; steal by S. Curry)","","27-26","",""
"89","0:21.0","","","27-26","","G. Payton misses 2-pt layup from 5 ft (block by D. Cousins)"
"90","0:19.0","Defensive rebound by D. Cousins","","27-26","",""
"91","0:02.0","D. Cousins misses 2-pt layup from 7 ft (block by A. Iguodala)","","27-26","",""
"92","0:00.0","","","27-26","","Defensive rebound by A. Iguodala"
"93","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"94","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"95","Time","Denver","","Score","","Golden State"
"96","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"97","11:51.0","","","27-26","","O. Porter misses 3-pt jump shot from 25 ft"
"98","11:49.0","","","27-26","","Offensive rebound by Team"
"99","11:49.0","Loose ball foul by B. Hyland (drawn by G. Payton)","","27-26","",""
"100","11:33.0","","","27-28","+2","N. Bjelica makes 2-pt layup from 6 ft"
"101","11:08.0","B. Hyland misses 2-pt layup from 8 ft (block by O. Porter)","","27-28","",""
"102","11:07.0","Offensive rebound by Team","","27-28","",""
"103","11:07.0","Turnover by Team (shot clock)","","27-28","",""
"104","10:43.0","","","27-30","+2","O. Porter makes 2-pt jump shot from 7 ft (assist by G. Payton)"
"105","10:19.0","B. Hyland makes 2-pt layup from 5 ft","+2","29-30","",""
"106","10:19.0","","","29-30","","Violation by Team (def goaltending)"
"107","10:06.0","","","29-30","","Personal foul by J. Green (drawn by N. Bjelica)"
"108","10:04.0","","","29-30","","Personal foul by J. Green (drawn by J. Poole)"
"109","10:00.0","","","29-32","+2","J. Poole makes 2-pt jump shot from 18 ft (assist by A. Iguodala)"
"110","9:58.0","Denver full timeout","","29-32","",""
"111","9:58.0","W. Barton enters the game for B. Forbes","","29-32","",""
"112","9:49.0","B. Hyland misses 3-pt jump shot from 24 ft","","29-32","",""
"113","9:47.0","","","29-32","","Defensive rebound by G. Payton"
"114","9:27.0","","","29-32","","O. Porter misses 3-pt jump shot from 24 ft"
"115","9:24.0","Defensive rebound by D. Cousins","","29-32","",""
"116","9:09.0","J. Green makes 3-pt jump shot from 26 ft (assist by B. Hyland)","+3","32-32","",""
"117","8:52.0","","","32-34","+2","J. Poole makes 2-pt layup from 6 ft"
"118","8:42.0","A. Rivers misses 3-pt jump shot from 26 ft","","32-34","",""
"119","8:39.0","","","32-34","","Defensive rebound by A. Iguodala"
"120","8:31.0","","","32-36","+2","J. Poole makes 2-pt layup from 4 ft (assist by A. Iguodala)"
"121","8:06.0","D. Cousins makes 3-pt jump shot from 26 ft (assist by A. Rivers)","+3","35-36","",""
"122","7:47.0","","","35-36","","N. Bjelica misses 2-pt jump shot from 9 ft"
"123","7:44.0","Defensive rebound by W. Barton","","35-36","",""
"124","7:38.0","Personal foul by J. Poole (drawn by J. Green)","","35-36","",""
"125","7:38.0","A. Gordon enters the game for J. Green","","35-36","",""
"126","7:38.0","","","35-36","","K. Looney enters the game for N. Bjelica"
"127","7:38.0","","","35-36","","K. Thompson enters the game for A. Iguodala"
"128","7:38.0","","","35-36","","A. Wiggins enters the game for G. Payton"
"129","7:32.0","B. Hyland misses 3-pt jump shot from 28 ft","","35-36","",""
"130","7:31.0","Offensive rebound by Team","","35-36","",""
"131","7:31.0","","","35-36","","Loose ball foul by K. Looney (drawn by D. Cousins)"
"132","7:31.0","","","35-36","","A. Iguodala enters the game for K. Looney"
"133","7:18.0","B. Hyland makes 2-pt layup from 6 ft","+2","37-36","",""
"134","7:07.0","","","37-36","","Shooting foul by A. Rivers (drawn by J. Poole)"
"135","7:07.0","","","37-37","+1","J. Poole makes free throw 1 of 3"
"136","7:07.0","","","37-37","","J. Poole misses free throw 2 of 3"
"137","7:07.0","","","37-37","","Offensive rebound by Team"
"138","7:07.0","N. Jokic enters the game for D. Cousins","","37-37","",""
"139","7:07.0","M. Morris enters the game for A. Rivers","","37-37","",""
"140","7:07.0","","","37-37","","D. Green enters the game for A. Iguodala"
"141","7:07.0","","","37-37","","K. Looney enters the game for O. Porter"
"142","7:07.0","","","37-38","+1","J. Poole makes free throw 3 of 3"
"143","6:51.0","A. Gordon misses 3-pt jump shot from 26 ft","","37-38","",""
"144","6:49.0","","","37-38","","Defensive rebound by A. Wiggins"
