"","Time","Golden State","","Score","","Memphis"
"2","12:00.0","Jump ball: D. Green vs. J. Jackson (D. Brooks gains possession)","Jump ball: D. Green vs. J. Jackson (D. Brooks gains possession)","Jump ball: D. Green vs. J. Jackson (D. Brooks gains possession)","Jump ball: D. Green vs. J. Jackson (D. Brooks gains possession)","Jump ball: D. Green vs. J. Jackson (D. Brooks gains possession)"
"3","11:39.0","","","0-3","+3","J. Morant makes 3-pt jump shot from 24 ft (assist by J. Jackson)"
"4","11:28.0","Personal foul by J. Morant (drawn by G. Payton)","","0-3","",""
"5","11:22.0","A. Wiggins misses 3-pt jump shot from 23 ft","","0-3","",""
"6","11:19.0","","","0-3","","Defensive rebound by J. Morant"
"7","11:13.0","","","0-3","","D. Brooks misses 3-pt jump shot from 25 ft"
"8","11:09.0","Defensive rebound by D. Green","","0-3","",""
"9","11:05.0","Turnover by D. Green (bad pass; steal by D. Brooks)","","0-3","",""
"10","10:52.0","","","0-6","+3","J. Morant makes 3-pt jump shot from 26 ft"
"11","10:38.0","K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry)","+3","3-6","",""
"12","10:30.0","","","3-6","","D. Brooks misses 3-pt jump shot from 26 ft"
"13","10:28.0","Defensive rebound by Team","","3-6","",""
"14","10:23.0","Personal foul by D. Brooks (drawn by D. Green)","","3-6","",""
"15","10:17.0","K. Thompson misses 3-pt jump shot from 25 ft","","3-6","",""
"16","10:12.0","","","3-6","","Defensive rebound by J. Morant"
"17","10:10.0","","","3-6","","Turnover by D. Brooks (bad pass; steal by D. Green)"
"18","9:55.0","S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","6-6","",""
"19","9:38.0","","","6-6","","D. Bane misses 3-pt jump shot from 26 ft"
"20","9:36.0","Defensive rebound by D. Green","","6-6","",""
"21","9:31.0","K. Thompson misses 3-pt jump shot from 26 ft","","6-6","",""
"22","9:28.0","","","6-6","","Defensive rebound by X. Tillman"
"23","9:22.0","","","6-6","","J. Morant misses 3-pt jump shot from 25 ft"
"24","9:19.0","","","6-6","","Offensive rebound by X. Tillman"
"25","9:16.0","","","6-8","+2","J. Morant makes 2-pt layup from 1 ft (assist by X. Tillman)"
"26","9:00.0","K. Thompson misses 3-pt jump shot from 26 ft","","6-8","",""
"27","8:57.0","Offensive rebound by A. Wiggins","","6-8","",""
"28","8:56.0","A. Wiggins makes 2-pt layup from 2 ft","+2","8-8","",""
"29","8:43.0","","","8-8","","Personal foul by G. Payton (drawn by D. Bane)"
"30","8:39.0","","","8-8","","Turnover by J. Morant (bad pass; steal by D. Green)"
"31","8:35.0","S. Curry makes 2-pt layup from 1 ft (assist by G. Payton)","+2","10-8","",""
"32","8:34.0","","","10-8","","Memphis full timeout"
"33","8:17.0","","","10-8","","Shooting foul by K. Thompson (drawn by J. Jackson)"
"34","8:17.0","","","10-8","","J. Jackson misses free throw 1 of 2"
"35","8:17.0","","","10-8","","Offensive rebound by Team"
"36","8:17.0","","","10-9","+1","J. Jackson makes free throw 2 of 2"
"37","8:10.0","D. Green misses 2-pt jump shot from 9 ft","","10-9","",""
"38","8:10.0","Offensive rebound by G. Payton","","10-9","",""
"39","8:06.0","G. Payton misses 2-pt layup from 5 ft","","10-9","",""
"40","8:06.0","","","10-9","","Defensive rebound by J. Jackson"
"41","7:59.0","Jump ball: J. Jackson vs. A. Wiggins (X. Tillman gains possession)","Jump ball: J. Jackson vs. A. Wiggins (X. Tillman gains possession)","Jump ball: J. Jackson vs. A. Wiggins (X. Tillman gains possession)","Jump ball: J. Jackson vs. A. Wiggins (X. Tillman gains possession)","Jump ball: J. Jackson vs. A. Wiggins (X. Tillman gains possession)"
"42","7:58.0","","","10-9","","Turnover by  (8 sec)"
"43","7:54.0","K. Thompson misses 2-pt layup from 2 ft","","10-9","",""
"44","7:51.0","","","10-9","","Defensive rebound by J. Jackson"
"45","7:41.0","","","10-9","","D. Bane misses 2-pt jump shot from 11 ft"
"46","7:39.0","","","10-9","","Offensive rebound by J. Jackson"
"47","7:38.0","","","10-9","","J. Jackson misses 2-pt hook shot from 2 ft"
"48","7:38.0","","","10-9","","Offensive rebound by D. Bane"
"49","7:34.0","","","10-9","","D. Bane misses 2-pt layup at rim"
"50","7:34.0","","","10-9","","Offensive rebound by J. Jackson"
"51","7:34.0","","","10-9","","Shooting foul by G. Payton (drawn by J. Jackson)"
"52","7:34.0","","","10-9","","J. Jackson misses free throw 1 of 2"
"53","7:34.0","","","10-9","","Offensive rebound by Team"
"54","7:34.0","","","10-10","+1","J. Jackson makes free throw 2 of 2"
"55","7:24.0","G. Payton makes 2-pt dunk from 2 ft (assist by S. Curry)","+2","12-10","",""
"56","7:08.0","","","12-10","","Shooting foul by S. Curry (drawn by J. Morant)"
"57","7:08.0","","","12-11","+1","J. Morant makes free throw 1 of 2"
"58","7:08.0","","","12-12","+1","J. Morant makes free throw 2 of 2"
"59","6:54.0","S. Curry misses 3-pt jump shot from 26 ft","","12-12","",""
"60","6:50.0","","","12-12","","Defensive rebound by D. Brooks"
