"","Time","New Orleans","","Score","","Phoenix"
"101","0:31.0","Violation by Team (delay of game)","","20-32","",""
"102","0:31.0","","","20-32","","C. Johnson enters the game for J. McGee"
"103","0:09.0","","","20-32","","C. Paul misses 3-pt jump shot from 26 ft"
"104","0:06.0","","","20-32","","Offensive rebound by D. Ayton"
"105","0:05.0","","","20-32","","D. Ayton misses 2-pt layup from 3 ft"
"106","0:03.0","Defensive rebound by B. Ingram","","20-32","",""
"107","0:00.0","B. Ingram misses 3-pt jump shot from 26 ft","","20-32","",""
"108","0:00.0","Offensive rebound by Team","","20-32","",""
"109","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"110","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"111","Time","New Orleans","","Score","","Phoenix"
"112","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"113","11:47.0","Personal foul by B. Biyombo (drawn by L. Nance)","","20-32","",""
"114","11:39.0","Turnover by D. Graham (out of bounds lost ball)","","20-32","",""
"115","11:23.0","","","20-34","+2","C. Paul makes 2-pt layup from 5 ft (assist by B. Biyombo)"
"116","11:04.0","C. McCollum misses 2-pt jump shot from 15 ft","","20-34","",""
"117","11:01.0","Offensive rebound by C. McCollum","","20-34","",""
"118","11:00.0","C. McCollum makes 2-pt layup from 1 ft","+2","22-34","",""
"119","10:47.0","","","22-36","+2","C. Paul makes 2-pt jump shot from 16 ft"
"120","10:30.0","N. Marshall makes 2-pt layup from 2 ft (assist by C. McCollum)","+2","24-36","",""
"121","10:15.0","","","24-36","","L. Shamet misses 2-pt jump shot from 19 ft"
"122","10:12.0","Defensive rebound by N. Marshall","","24-36","",""
"123","10:02.0","D. Graham misses 2-pt jump shot from 4 ft (block by M. Bridges)","","24-36","",""
"124","10:00.0","Offensive rebound by D. Graham","","24-36","",""
"125","9:59.0","D. Graham misses 2-pt layup from 4 ft (block by M. Bridges)","","24-36","",""
"126","9:57.0","","","24-36","","Defensive rebound by L. Shamet"
"127","9:53.0","","","24-36","","L. Shamet misses 3-pt jump shot from 25 ft"
"128","9:49.0","Defensive rebound by H. Jones","","24-36","",""
"129","9:32.0","D. Graham misses 3-pt jump shot from 26 ft","","24-36","",""
"130","9:30.0","","","24-36","","Defensive rebound by M. Bridges"
"131","9:22.0","","","24-38","+2","C. Paul makes 2-pt jump shot from 5 ft"
"132","9:01.0","C. McCollum makes 2-pt jump shot from 18 ft","+2","26-38","",""
"133","8:38.0","","","26-38","","C. Johnson misses 3-pt jump shot from 23 ft"
"134","8:35.0","Defensive rebound by H. Jones","","26-38","",""
"135","8:25.0","C. McCollum misses 3-pt jump shot from 25 ft","","26-38","",""
"136","8:24.0","","","26-38","","Defensive rebound by C. Johnson"
"137","8:14.0","","","26-38","","B. Biyombo misses 2-pt layup from 3 ft (block by H. Jones)"
"138","8:12.0","Defensive rebound by D. Graham","","26-38","",""
"139","8:10.0","N. Marshall misses 2-pt layup from 2 ft","","26-38","",""
"140","8:07.0","Offensive rebound by H. Jones","","26-38","",""
"141","8:07.0","Shooting foul by B. Biyombo (drawn by H. Jones)","","26-38","",""
"142","8:07.0","H. Jones misses free throw 1 of 2","","26-38","",""
"143","8:07.0","Offensive rebound by Team","","26-38","",""
"144","8:07.0","J. Alvarado enters the game for D. Graham","","26-38","",""
"145","8:07.0","","","26-38","","D. Ayton enters the game for B. Biyombo"
"146","8:07.0","","","26-38","","J. Crowder enters the game for C. Johnson"
"147","8:07.0","","","26-38","","A. Holiday enters the game for L. Shamet"
"148","8:07.0","H. Jones makes free throw 2 of 2","+1","27-38","",""
"149","8:03.0","","","27-38","","Personal foul by N. Marshall (drawn by C. Paul)"
"150","7:51.0","","","27-38","","Shooting foul by C. McCollum (drawn by D. Ayton)"
"151","7:51.0","","","27-38","","Phoenix full timeout"
"152","7:51.0","","","27-38","","Instant Replay (Challenge: Ruling Stands)"
"153","7:51.0","J. Valanciunas enters the game for L. Nance","","27-38","",""
"154","7:51.0","","","27-38","","D. Ayton misses free throw 1 of 2"
"155","7:51.0","","","27-38","","Offensive rebound by Team"
"156","7:51.0","","","27-39","+1","D. Ayton makes free throw 2 of 2"
"157","7:51.0","B. Ingram enters the game for N. Marshall","","27-39","",""
"158","7:40.0","Shooting foul by D. Ayton (drawn by C. McCollum)","","27-39","",""
"159","7:40.0","C. McCollum misses free throw 1 of 2","","27-39","",""
"160","7:40.0","Offensive rebound by Team","","27-39","",""
"161","7:40.0","C. McCollum makes free throw 2 of 2","+1","28-39","",""
"162","7:28.0","","","28-41","+2","D. Ayton makes 2-pt jump shot from 18 ft (assist by A. Holiday)"
"163","7:14.0","C. McCollum misses 3-pt jump shot from 26 ft","","28-41","",""
"164","7:12.0","","","28-41","","Defensive rebound by D. Ayton"
"165","7:03.0","","","28-43","+2","M. Bridges makes 2-pt layup from 3 ft (assist by A. Holiday)"
"166","7:03.0","New Orleans full timeout","","28-43","",""
"167","6:38.0","B. Ingram misses 2-pt jump shot from 8 ft","","28-43","",""
"168","6:35.0","","","28-43","","Defensive rebound by J. Crowder"
"169","6:26.0","","","28-43","","Turnover by D. Ayton (bad pass)"
"170","6:11.0","J. Alvarado makes 3-pt jump shot from 23 ft (assist by B. Ingram)","+3","31-43","",""
"171","5:42.0","","","31-43","","J. Crowder misses 3-pt jump shot from 26 ft"
"172","5:39.0","Defensive rebound by J. Valanciunas","","31-43","",""
"173","5:25.0","C. McCollum makes 3-pt jump shot from 26 ft (assist by B. Ingram)","+3","34-43","",""
"174","5:05.0","","","34-46","+3","A. Holiday makes 3-pt jump shot from 26 ft (assist by D. Ayton)"
"175","4:46.0","Shooting foul by J. Crowder (drawn by B. Ingram)","","34-46","",""
"176","4:46.0","B. Ingram makes free throw 1 of 2","+1","35-46","",""
"177","4:46.0","","","35-46","","C. Johnson enters the game for J. Crowder"
"178","4:46.0","","","35-46","","L. Shamet enters the game for A. Holiday"
"179","4:46.0","B. Ingram misses free throw 2 of 2","","35-46","",""
"180","4:44.0","","","35-46","","Defensive rebound by L. Shamet"
"181","4:32.0","","","35-46","","C. Paul misses 2-pt jump shot from 10 ft"
"182","4:31.0","Defensive rebound by B. Ingram","","35-46","",""
"183","4:26.0","Shooting foul by M. Bridges (drawn by B. Ingram)","","35-46","",""
"184","4:26.0","B. Ingram makes free throw 1 of 2","+1","36-46","",""
"185","4:26.0","B. Ingram misses free throw 2 of 2","","36-46","",""
"186","4:22.0","Offensive rebound by J. Alvarado","","36-46","",""
"187","4:20.0","B. Ingram misses 3-pt jump shot from 26 ft","","36-46","",""
"188","4:17.0","","","36-46","","Defensive rebound by M. Bridges"
"189","4:07.0","","","36-49","+3","C. Johnson makes 3-pt jump shot from 23 ft (assist by C. Paul)"
"190","3:56.0","J. Alvarado misses 3-pt jump shot from 26 ft","","36-49","",""
"191","3:55.0","","","36-49","","Defensive rebound by L. Shamet"
"192","3:43.0","","","36-49","","Turnover by C. Johnson (bad pass; steal by J. Alvarado)"
"193","3:42.0","Personal foul by C. Paul (drawn by J. Alvarado)","","36-49","",""
"194","3:42.0","J. Alvarado makes free throw 1 of 2","+1","37-49","",""
"195","3:42.0","J. Alvarado makes free throw 2 of 2","+1","38-49","",""
"196","3:27.0","","","38-49","","C. Paul misses 2-pt jump shot from 10 ft"
"197","3:24.0","Defensive rebound by J. Valanciunas","","38-49","",""
"198","3:07.0","B. Ingram makes 2-pt jump shot from 4 ft","+2","40-49","",""
"199","2:53.0","","","40-52","+3","M. Bridges makes 3-pt jump shot from 23 ft (assist by C. Johnson)"
"200","2:36.0","J. Valanciunas misses 2-pt hook shot from 7 ft","","40-52","",""
"201","2:34.0","","","40-52","","Defensive rebound by D. Ayton"
"202","2:16.0","","","40-52","","Shooting foul by J. Alvarado (drawn by C. Paul)"
"203","2:16.0","","","40-53","+1","C. Paul makes free throw 1 of 2"
"204","2:16.0","L. Nance enters the game for J. Valanciunas","","40-53","",""
"205","2:16.0","","","40-54","+1","C. Paul makes free throw 2 of 2"
"206","1:51.0","B. Ingram makes 2-pt jump shot from 17 ft","+2","42-54","",""
"207","1:34.0","","","42-54","","L. Shamet misses 2-pt layup from 6 ft (block by C. McCollum)"
"208","1:34.0","","","42-54","","Offensive rebound by Team"
"209","1:24.0","","","42-54","","C. Paul misses 2-pt jump shot from 14 ft"
"210","1:23.0","Defensive rebound by C. McCollum","","42-54","",""
"211","1:16.0","Turnover by C. McCollum (lost ball; steal by C. Paul)","","42-54","",""
"212","1:09.0","","","42-57","+3","L. Shamet makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"213","0:48.0","J. Alvarado misses 3-pt jump shot from 23 ft","","42-57","",""
"214","0:47.0","","","42-57","","Defensive rebound by D. Ayton"
"215","0:37.0","","","42-59","+2","D. Ayton makes 2-pt layup from 5 ft (assist by C. Paul)"
"216","0:28.0","C. McCollum makes 2-pt jump shot from 15 ft","+2","44-59","",""
"217","0:07.0","","","44-59","","Turnover by D. Ayton (bad pass; steal by B. Ingram)"
"218","0:03.0","B. Ingram misses 2-pt dunk from 2 ft","","44-59","",""
"219","0:02.0","Offensive rebound by L. Nance","","44-59","",""
"220","0:02.0","L. Nance makes 2-pt layup from 2 ft","+2","46-59","",""
"221","0:00.0","","","46-59","","C. Paul misses 3-pt jump shot from 69 ft"
"222","0:00.0","","","46-59","","Offensive rebound by Team"
"223","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"224","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"225","Time","New Orleans","","Score","","Phoenix"
"226","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"227","11:37.0","C. McCollum misses 2-pt jump shot from 14 ft","","46-59","",""
"228","11:34.0","Offensive rebound by J. Valanciunas","","46-59","",""
"229","11:34.0","Turnover by J. Valanciunas (step out of bounds)","","46-59","",""
"230","11:21.0","","","46-62","+3","M. Bridges makes 3-pt jump shot from 26 ft (assist by J. Crowder)"
"231","11:09.0","J. Valanciunas misses 2-pt jump shot from 9 ft","","46-62","",""
"232","11:08.0","Offensive rebound by J. Hayes","","46-62","",""
"233","11:08.0","Shooting foul by J. Crowder (drawn by J. Hayes)","","46-62","",""
"234","11:08.0","J. Hayes makes free throw 1 of 2","+1","47-62","",""
"235","11:08.0","J. Hayes makes free throw 2 of 2","+1","48-62","",""
"236","11:00.0","","","48-64","+2","D. Ayton makes 2-pt layup from 1 ft (assist by M. Bridges)"
"237","11:00.0","","","48-64","","Shooting foul by J. Valanciunas (drawn by D. Ayton)"
"238","11:00.0","","","48-65","+1","D. Ayton makes free throw 1 of 1"
"239","10:35.0","J. Hayes misses 2-pt hook shot from 9 ft","","48-65","",""
"240","10:33.0","Offensive rebound by Team","","48-65","",""
"241","10:26.0","H. Jones misses 2-pt layup from 5 ft","","48-65","",""
"242","10:24.0","","","48-65","","Defensive rebound by C. Johnson"
"243","10:20.0","","","48-65","","J. Crowder misses 3-pt jump shot from 26 ft"
"244","10:18.0","Defensive rebound by C. McCollum","","48-65","",""
"245","10:12.0","J. Valanciunas makes 2-pt layup from 3 ft (assist by C. McCollum)","+2","50-65","",""
"246","9:52.0","","","50-65","","M. Bridges misses 2-pt jump shot from 7 ft"
"247","9:51.0","Defensive rebound by J. Hayes","","50-65","",""
"248","9:42.0","J. Valanciunas makes 2-pt dunk from 2 ft (assist by C. McCollum)","+2","52-65","",""
"249","9:26.0","","","52-67","+2","J. Crowder makes 2-pt jump shot from 14 ft (assist by C. Paul)"
"250","9:26.0","","","52-67","","Shooting foul by J. Hayes (drawn by J. Crowder)"
"251","9:26.0","","","52-67","","J. Crowder misses free throw 1 of 1"
"252","9:24.0","Defensive rebound by C. McCollum","","52-67","",""
"253","9:15.0","B. Ingram makes 2-pt jump shot from 16 ft (assist by C. McCollum)","+2","54-67","",""
"254","8:59.0","","","54-70","+3","J. Crowder makes 3-pt jump shot from 26 ft"
"255","8:48.0","Personal foul by C. Johnson (drawn by J. Hayes)","","54-70","",""
"256","8:41.0","J. Hayes makes 2-pt dunk from 1 ft (assist by J. Valanciunas)","+2","56-70","",""
"257","8:25.0","","","56-70","","J. Crowder misses 3-pt jump shot from 26 ft"
"258","8:22.0","","","56-70","","Offensive rebound by D. Ayton"
"259","8:20.0","","","56-72","+2","D. Ayton makes 2-pt jump shot from 10 ft"
"260","8:05.0","C. McCollum misses 2-pt layup from 3 ft","","56-72","",""
"261","8:04.0","Offensive rebound by J. Valanciunas","","56-72","",""
"262","8:01.0","J. Hayes makes 2-pt jump shot from 3 ft","+2","58-72","",""
"263","7:51.0","","","58-75","+3","M. Bridges makes 3-pt jump shot from 23 ft (assist by C. Paul)"
"264","7:27.0","C. McCollum misses 2-pt jump shot from 20 ft","","58-75","",""
"265","7:26.0","Offensive rebound by J. Valanciunas","","58-75","",""
"266","7:19.0","Shooting foul by J. Crowder (drawn by B. Ingram)","","58-75","",""
"267","7:19.0","B. Ingram makes free throw 1 of 2","+1","59-75","",""
"268","7:19.0","","","59-75","","L. Shamet enters the game for J. Crowder"
"269","7:19.0","B. Ingram makes free throw 2 of 2","+1","60-75","",""
"270","7:05.0","","","60-77","+2","M. Bridges makes 2-pt dunk from 2 ft (assist by C. Johnson)"
"271","7:05.0","","","60-77","","Shooting foul by B. Ingram (drawn by M. Bridges)"
"272","7:05.0","","","60-78","+1","M. Bridges makes free throw 1 of 1"
"273","6:43.0","J. Valanciunas makes 2-pt jump shot from 15 ft (assist by B. Ingram)","+2","62-78","",""
"274","6:31.0","","","62-78","","C. Paul misses 2-pt jump shot from 12 ft"
"275","6:29.0","Defensive rebound by J. Valanciunas","","62-78","",""
"276","6:12.0","J. Valanciunas makes 2-pt jump shot from 6 ft","+2","64-78","",""
"277","5:57.0","","","64-78","","C. Paul misses 2-pt jump shot from 14 ft"
"278","5:55.0","Defensive rebound by J. Valanciunas","","64-78","",""
"279","5:50.0","Personal foul by C. Paul (drawn by B. Ingram)","","64-78","",""
"280","5:50.0","","","64-78","","Phoenix full timeout"
"281","5:38.0","J. Hayes misses 2-pt jump shot from 11 ft","","64-78","",""
"282","5:37.0","","","64-78","","Defensive rebound by C. Paul"
"283","5:21.0","","","64-78","","C. Johnson misses 2-pt layup from 1 ft"
"284","5:19.0","","","64-78","","Offensive rebound by D. Ayton"
"285","5:19.0","","","64-78","","D. Ayton misses 2-pt layup from 3 ft"
"286","5:18.0","Defensive rebound by B. Ingram","","64-78","",""
"287","5:08.0","Turnover by B. Ingram (bad pass; steal by C. Paul)","","64-78","",""
"288","5:03.0","","","64-80","+2","M. Bridges makes 2-pt layup from 1 ft (assist by C. Paul)"
"289","4:48.0","Personal foul by D. Ayton (drawn by C. McCollum)","","64-80","",""
"290","4:48.0","C. McCollum makes free throw 1 of 2","+1","65-80","",""
"291","4:48.0","N. Marshall enters the game for J. Hayes","","65-80","",""
"292","4:48.0","T. Murphy enters the game for H. Jones","","65-80","",""
"293","4:48.0","","","65-80","","C. Payne enters the game for C. Paul"
"294","4:48.0","C. McCollum makes free throw 2 of 2","+1","66-80","",""
"295","4:41.0","","","66-80","","Offensive foul by C. Payne (drawn by N. Marshall)"
"296","4:41.0","","","66-80","","Turnover by C. Payne (offensive foul)"
"297","4:23.0","C. McCollum misses 2-pt jump shot from 10 ft","","66-80","",""
"298","4:21.0","Offensive rebound by N. Marshall","","66-80","",""
"299","4:18.0","Turnover by N. Marshall (lost ball; steal by M. Bridges)","","66-80","",""
"300","4:12.0","","","66-80","","C. Payne misses 2-pt layup from 1 ft"
"301","4:10.0","Defensive rebound by J. Valanciunas","","66-80","",""
"302","4:06.0","Personal foul by L. Shamet (drawn by T. Murphy)","","66-80","",""
"303","4:06.0","T. Murphy makes free throw 1 of 2","+1","67-80","",""
"304","4:06.0","D. Graham enters the game for C. McCollum","","67-80","",""
"305","4:06.0","T. Murphy makes free throw 2 of 2","+1","68-80","",""
"306","3:43.0","","","68-80","","D. Ayton misses 3-pt jump shot from 27 ft"
"307","3:41.0","","","68-80","","Offensive rebound by Team"
"308","3:41.0","","","68-80","","A. Holiday enters the game for C. Johnson"
"309","3:39.0","","","68-80","","L. Shamet misses 3-pt jump shot from 23 ft"
"310","3:36.0","Defensive rebound by B. Ingram","","68-80","",""
"311","3:27.0","Shooting foul by C. Payne (drawn by B. Ingram)","","68-80","",""
"312","3:27.0","B. Ingram makes free throw 1 of 2","+1","69-80","",""
"313","3:27.0","L. Nance enters the game for J. Valanciunas","","69-80","",""
"314","3:27.0","","","69-80","","J. McGee enters the game for D. Ayton"
"315","3:27.0","B. Ingram makes free throw 2 of 2","+1","70-80","",""
"316","3:16.0","","","70-82","+2","C. Payne makes 2-pt jump shot from 11 ft"
"317","2:57.0","N. Marshall makes 2-pt jump shot from 5 ft (assist by B. Ingram)","+2","72-82","",""
"318","2:46.0","","","72-82","","J. McGee misses 2-pt hook shot from 7 ft"
"319","2:41.0","","","72-82","","Offensive rebound by A. Holiday"
"320","2:35.0","","","72-84","+2","J. McGee makes 2-pt dunk at rim (assist by M. Bridges)"
"321","2:13.0","N. Marshall misses 2-pt jump shot from 7 ft","","72-84","",""
"322","2:11.0","","","72-84","","Defensive rebound by J. McGee"
"323","2:08.0","","","72-84","","Personal foul by T. Murphy (drawn by A. Holiday)"
"324","2:08.0","New Orleans full timeout","","72-84","",""
"325","2:08.0","J. Valanciunas enters the game for N. Marshall","","72-84","",""
"326","2:08.0","","","72-84","","C. Johnson enters the game for C. Payne"
"327","2:01.0","","","72-86","+2","L. Shamet makes 2-pt jump shot from 20 ft"
"328","1:33.0","B. Ingram makes 2-pt jump shot from 10 ft","+2","74-86","",""
"329","1:18.0","","","74-86","","J. McGee misses 2-pt layup from 5 ft"
"330","1:16.0","Defensive rebound by T. Murphy","","74-86","",""
"331","1:12.0","Personal foul by J. McGee (drawn by J. Valanciunas)","","74-86","",""
"332","1:12.0","J. Valanciunas makes free throw 1 of 2","+1","75-86","",""
"333","1:12.0","","","75-86","","B. Biyombo enters the game for A. Holiday"
"334","1:12.0","","","75-86","","C. Payne enters the game for C. Johnson"
"335","1:12.0","J. Valanciunas makes free throw 2 of 2","+1","76-86","",""
"336","1:00.0","","","76-86","","C. Payne misses 2-pt jump shot from 11 ft"
"337","0:59.0","Defensive rebound by J. Valanciunas","","76-86","",""
"338","0:36.0","L. Nance makes 2-pt jump shot from 16 ft","+2","78-86","",""
"339","0:16.0","","","78-89","+3","C. Payne makes 3-pt jump shot from 26 ft"
"340","0:00.0","B. Ingram misses 2-pt jump shot from 16 ft","","78-89","",""
"341","0:00.0","Offensive rebound by Team","","78-89","",""
"342","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"343","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"344","Time","New Orleans","","Score","","Phoenix"
"345","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"346","11:45.0","","","78-89","","C. Johnson misses 3-pt jump shot from 25 ft"
"347","11:39.0","Defensive rebound by H. Jones","","78-89","",""
"348","11:17.0","J. Alvarado misses 2-pt jump shot from 11 ft","","78-89","",""
"349","11:14.0","","","78-89","","Defensive rebound by C. Payne"
"350","11:08.0","","","78-89","","C. Payne misses 2-pt layup from 10 ft"
"351","11:06.0","Defensive rebound by H. Jones","","78-89","",""
