"","Time","Phoenix","","Score","","New Orleans"
"77","1:37.0","J. McGee makes free throw 1 of 2","+1","25-25","",""
"78","1:37.0","J. McGee makes free throw 2 of 2","+1","26-25","",""
"79","1:13.0","","","26-25","","J. Alvarado misses 3-pt jump shot from 28 ft"
"80","1:00.0","","","26-25","","Offensive rebound by L. Nance"
"81","1:00.0","","","26-25","","L. Nance misses 2-pt layup at rim"
"82","0:58.0","Defensive rebound by J. McGee","","26-25","",""
"83","0:56.0","M. Bridges makes 2-pt jump shot from 14 ft","+2","28-25","",""
"84","0:43.0","","","28-25","","D. Graham misses 3-pt jump shot from 24 ft"
"85","0:43.0","Defensive rebound by J. McGee","","28-25","",""
"86","0:34.0","C. Payne misses 3-pt jump shot from 27 ft","","28-25","",""
"87","0:34.0","","","28-25","","Defensive rebound by B. Ingram"
"88","0:16.0","","","28-28","+3","T. Murphy makes 3-pt jump shot from 27 ft (assist by B. Ingram)"
"89","0:03.0","C. Johnson misses 2-pt jump shot from 12 ft","","28-28","",""
"90","0:00.0","","","28-28","","Defensive rebound by B. Ingram"
"91","0:00.0","","","28-28","","B. Ingram misses 3-pt jump shot from 53 ft"
"92","0:00.0","","","28-28","","Offensive rebound by Team"
"93","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"94","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"95","Time","Phoenix","","Score","","New Orleans"
"96","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"97","11:50.0","","","28-28","","Offensive foul by J. Valanciunas (drawn by C. Paul)"
"98","11:50.0","","","28-28","","Turnover by J. Valanciunas (offensive foul)"
"99","11:50.0","B. Biyombo enters the game for L. Shamet","","28-28","",""
"100","11:32.0","Personal foul by J. Valanciunas (drawn by J. McGee)","","28-28","",""
"101","11:32.0","L. Shamet enters the game for B. Biyombo","","28-28","",""
"102","11:32.0","","","28-28","","H. Jones enters the game for J. Valanciunas"
"103","11:19.0","D. Booker misses 3-pt jump shot from 27 ft","","28-28","",""
"104","11:16.0","Offensive rebound by J. McGee","","28-28","",""
"105","11:14.0","J. McGee misses 2-pt layup from 4 ft","","28-28","",""
"106","11:12.0","","","28-28","","Defensive rebound by T. Murphy"
"107","11:06.0","","","28-28","","C. McCollum misses 2-pt jump shot from 17 ft"
"108","11:02.0","Defensive rebound by C. Paul","","28-28","",""
"109","10:49.0","L. Shamet misses 2-pt jump shot from 18 ft","","28-28","",""
