"","Time","Phoenix","","Score","","New Orleans"
"346","6:43.0","","","97-98","+3","T. Murphy makes 3-pt jump shot from 23 ft (assist by H. Jones)"
"347","6:21.0","C. Paul makes 2-pt jump shot from 12 ft","+2","99-98","",""
"348","6:05.0","","","99-100","+2","J. Alvarado makes 2-pt jump shot from 7 ft (assist by B. Ingram)"
"349","6:05.0","","","99-100","","Shooting foul by C. Johnson (drawn by J. Alvarado)"
"350","6:05.0","","","99-100","","New Orleans full timeout"
"351","6:05.0","J. Crowder enters the game for C. Johnson","","99-100","",""
"352","6:05.0","","","99-100","","C. McCollum enters the game for T. Murphy"
"353","6:05.0","","","99-100","","J. Alvarado misses free throw 1 of 1"
"354","6:02.0","Defensive rebound by J. Crowder","","99-100","",""
"355","5:43.0","J. Crowder misses 2-pt jump shot from 21 ft","","99-100","",""
"356","5:39.0","Offensive rebound by C. Paul","","99-100","",""
"357","5:34.0","D. Booker misses 2-pt jump shot from 12 ft","","99-100","",""
"358","5:31.0","","","99-100","","Defensive rebound by B. Ingram"
"359","5:14.0","","","99-100","","B. Ingram misses 2-pt jump shot from 10 ft"
"360","5:08.0","Defensive rebound by D. Booker","","99-100","",""
"361","5:08.0","Personal take foul by B. Ingram (drawn by C. Paul)","","99-100","",""
"362","4:52.0","Turnover by C. Paul (bad pass; steal by J. Alvarado)","","99-100","",""
"363","4:37.0","","","99-100","","C. McCollum misses 3-pt jump shot from 27 ft"
"364","4:32.0","Defensive rebound by D. Booker","","99-100","",""
"365","4:15.0","C. Paul makes 2-pt jump shot from 9 ft (assist by D. Ayton)","+2","101-100","",""
"366","3:51.0","","","101-100","","Turnover by B. Ingram (lost ball; steal by M. Bridges)"
"367","3:37.0","Turnover by D. Booker (lost ball; steal by J. Valanciunas)","","101-100","",""
"368","3:31.0","","","101-100","","J. Alvarado misses 2-pt layup from 1 ft (block by J. Crowder)"
"369","3:27.0","Defensive rebound by C. Paul","","101-100","",""
"370","3:19.0","J. Crowder misses 3-pt jump shot from 25 ft","","101-100","",""
"371","3:19.0","","","101-100","","Defensive rebound by Team"
"372","3:19.0","","","101-100","","L. Nance enters the game for J. Valanciunas"
"373","3:10.0","","","101-100","","Personal foul by J. Crowder (drawn by H. Jones)"
"374","3:04.0","","","101-100","","B. Ingram misses 2-pt jump shot from 12 ft"
"375","3:00.0","Defensive rebound by D. Ayton","","101-100","",""
"376","2:51.0","D. Booker misses 2-pt jump shot from 16 ft","","101-100","",""
"377","2:47.0","","","101-100","","Defensive rebound by B. Ingram"
"378","2:35.0","","","101-100","","Personal foul by C. Paul (drawn by J. Alvarado)"
"379","2:35.0","Phoenix full timeout","","101-100","",""
"380","2:35.0","","","101-101","+1","J. Alvarado makes free throw 1 of 2"
"381","2:35.0","","","101-102","+1","J. Alvarado makes free throw 2 of 2"
"382","2:15.0","D. Ayton makes 2-pt dunk at rim (assist by C. Paul)","+2","103-102","",""
"383","2:00.0","","","103-104","+2","B. Ingram makes 2-pt layup from 1 ft (assist by H. Jones)"
"384","1:42.0","D. Booker makes 3-pt jump shot from 25 ft (assist by C. Paul)","+3","106-104","",""
"385","1:30.0","","","106-104","","Turnover by C. McCollum (lost ball; steal by M. Bridges)"
"386","1:28.0","M. Bridges makes 2-pt dunk at rim","+2","108-104","",""
"387","1:28.0","","","108-104","","New Orleans full timeout"
"388","1:15.0","","","108-104","","B. Ingram misses 2-pt jump shot from 12 ft"
"389","1:12.0","Defensive rebound by J. Crowder","","108-104","",""
"390","1:01.0","Shooting foul by J. Alvarado (drawn by C. Paul)","","108-104","",""
"391","1:01.0","C. Paul makes free throw 1 of 2","+1","109-104","",""
"392","1:01.0","C. Paul makes free throw 2 of 2","+1","110-104","",""
"393","0:50.0","","","110-106","+2","L. Nance makes 2-pt layup from 2 ft"
"394","0:50.0","","","110-106","","Shooting foul by D. Ayton (drawn by L. Nance)"
"395","0:50.0","","","110-107","+1","L. Nance makes free throw 1 of 1"
"396","0:28.0","C. Paul makes 2-pt jump shot from 12 ft","+2","112-107","",""
"397","0:21.0","","","112-109","+2","B. Ingram makes 2-pt layup from 1 ft"
"398","0:21.0","Phoenix full timeout","","112-109","",""
"399","0:21.0","C. Johnson enters the game for D. Ayton","","112-109","",""
"400","0:21.0","","","112-109","","N. Marshall enters the game for C. McCollum"
"401","0:19.0","Personal take foul by H. Jones (drawn by D. Booker)","","112-109","",""
"402","0:19.0","D. Booker makes free throw 1 of 2","+1","113-109","",""
"403","0:19.0","","","113-109","","J. Valanciunas enters the game for N. Marshall"
"404","0:19.0","D. Booker makes free throw 2 of 2","+1","114-109","",""
"405","0:19.0","","","114-109","","New Orleans full timeout"
"406","0:19.0","","","114-109","","C. McCollum enters the game for J. Alvarado"
"407","0:19.0","","","114-109","","T. Murphy enters the game for J. Valanciunas"
"408","0:17.0","","","114-109","","B. Ingram misses 3-pt jump shot from 25 ft"
"409","0:13.0","Defensive rebound by J. Crowder","","114-109","",""
"410","0:13.0","Personal take foul by L. Nance (drawn by J. Crowder)","","114-109","",""
"411","0:13.0","J. Crowder misses free throw 1 of 2","","114-109","",""
"412","0:13.0","Offensive rebound by Team","","114-109","",""
"413","0:13.0","J. Crowder makes free throw 2 of 2","+1","115-109","",""
"414","0:08.0","","","115-109","","B. Ingram misses 3-pt jump shot from 29 ft"
"415","0:05.0","","","115-109","","Offensive rebound by Team"
"416","0:03.0","","","115-109","","B. Ingram misses 3-pt jump shot from 26 ft"
"417","0:00.0","Defensive rebound by C. Paul","","115-109","",""
"418","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
